"TID","DE"
"TID_BATTLE_END_MY_TEAM","Dein Team"
"TID_BATTLE_END_ENEMY_TEAM","Gegnerisches Team"
"TID_BACK","ZURÜCK"
"TID_NOT_ENOUGH_GOLD","Nicht genug Münzen. Öffne Brawlboxen, um mehr zu bekommen."
"TID_UNLOCK_SKIN_ERROR_1","Nicht genug Juwelen"
"TID_EXPERIENCE_LEVEL","Erfahrungslevel"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Brawler kaufen"
"TID_CRAFT_HERO_BUTTON_LABEL","Kaufen"
"TID_UNLOCK_SKIN_TITLE","Skin kaufen"
"TID_SKIN_COMING_SOON","Skin ist noch nicht verfügbar."
"TID_UNLOCK_SKIN_BUTTON_LABEL","Kaufen"
"TID_HERO_LIST_TOTAL_TROPHIES","Gesamttrophäen"
"TID_TOP_TOOL_TIP_1","Mit <c00ccff>Marken</c> kannst du Brawlboxen öffnen.\n\nDu bekommst sie durch neue Ereignisse und Kämpfe."
"TID_TOP_TOOL_TIP_3","Mit <c0ed12d>Juwelen</c> kannst du Boxen, Skins und andere Dinge im Shop kaufen.\n\nDu findest sie in Brawlboxen oder kannst sie für Echtgeld im Shop kaufen."
"TID_TOP_TOOL_TIP_2","Mit <cff8E1b>Münzen</c> kannst du deine Brawler upgraden.\n\nDu findest sie in Brawlboxen."
"TID_TOP_TOOL_TIP_4","Mit <cff0000>Ereignistickets</c> erhältst du Zugang zu Ticketereignissen."
"TID_TOP_TOOL_TIP_5","<cff00ff>Starpunkte</c> werden zum Kauf exklusiver Gegenstände im Shop genutzt.\n\nVerdiene Starpunkte durch Saisonbelohnungen und Rangaufstiege deiner Brawler (ab Rang 10; danach alle 5 Ränge)!"
"TID_GAME_MODE_0","JUWELENJAGD"
"TID_GAME_MODE_0_DESC","Sammle Juwelen, die bei der Mine in der Mitte der Map erscheinen. Oder nimm sie einfach besiegten Brawlern ab! Kann dein Team 10 Juwelen sammeln und sie bis zum Ende des Countdowns behalten, gewinnt ihr!"
"TID_GAME_MODE_2","TRESORRAUB"
"TID_GAME_MODE_2_DESC","Beschütze den wertvollen Tresor deines Teams - während du gleichzeitig versuchst, den gegnerischen Tresor zu knacken! Das Team, das als Erstes den gegnerischen Tresor zerstört, gewinnt.\n\nLäuft die Zeit ab, gewinnt das Team, das am meisten Schaden am gegnerischen Tresor angerichtet hat."
"TID_GAME_MODE_3","KOPFGELDJAGD"
"TID_GAME_MODE_3_DESC","Sammle Sterne für dein Team, indem du Gegner besiegst. Jedes Mal, wenn du einen Gegner besiegst, erhöht sich das auf dich ausgesetzte Kopfgeld um einen Stern. So kannst du bis zu sieben Sterne für das gegnerische Team wert sein - lass dich nicht erwischen!\n\nDas Team, das nach Ablauf der Zeit die meisten Sterne gesammelt hat, gewinnt."
"TID_GAME_MODE_6","SOLO-SHOWDOWN"
"TID_GAME_MODE_6_COMBINED","SHOWDOWN"
"TID_GAME_MODE_6_DESC","Sei der letzte Überlebende aus 10 Spielern. Nutze hierfür alle notwendigen Mittel - du hast nur ein Leben!"
"TID_GAME_MODE_6_DESC_COMBINED","Erledige alle anderen und sei der letzte Überlebende. Spiele solo oder als Zweierteam."
"TID_GAME_MODE_5","BRAWLBALL"
"TID_GAME_MODE_5_DESC","Befördere den Ball ins gegnerische Tor. Das Spiel endet, entweder wenn ein Team zwei Tore schießt, oder wenn die Zeit abläuft."
"TID_GAME_MODE_3_OG","ELIMINIERUNG"
"TID_GAME_MODE_3_OG_DESC","Sammle Sterne für dein Team, indem du Gegner besiegst. Jedes Mal, wenn du einen Gegner besiegst, erhöht sich das auf dich ausgesetzte Kopfgeld um einen Stern. So kannst du bis zu sieben Sterne für das gegnerische Team wert sein - lass dich nicht erwischen!\n\nDas Team, das nach Ablauf der Zeit die meisten Sterne gesammelt hat, gewinnt."
"TID_GAME_MODE_11","BELAGERUNG"
"TID_GAME_MODE_11_DESC","Belagert und zerstört den gegnerischen Montageturm! Dein Team besitzt ebenfalls einen Montageturm. Versorgt ihn mit Bolzen, und er fertigt einen Belagerungsroboter, der sich für euch in den Kampf stürzt. In der Mitte der Map erscheinen an zufälligen Stellen Bolzen. Schnappt euch einen Bolzen und haltet ihn ein paar Sekunden lang fest, um ihn eurem Montageturm zuzuführen.\n\nIm Laufe eines Spiels finden bis zu drei Belagerungen statt. Das Team, das zu Beginn einer Belagerung die meisten Bolzen besitzt, konstruiert einen Belagerungsroboter. Je mehr Bolzen ein Team hat, desto stärker wird der Roboter.\nSeid vorsichtig: Montagetürme haben mächtige Verteidigungssysteme! Ohne Belagerungsroboter an eurer Seite solltet ihr ihnen nicht zu nahe kommen."
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Starmarke"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Rangaufstieg"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Levelaufstieg"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Sieg"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Niederlage"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Unentschieden"
"TID_BATTLE_END_GAIN_LABEL_MVP","Starspieler"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Rangscore"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Zeitbelohnung"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Verbl. Marken:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Zeitbelohnung"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Zeitbelohnung"
"TID_BATTLE_END_COIN_REWARDS","MARKENBELOHNUNGEN"
"TID_BATTLE_END_MVP","STARSPIELER"
"TID_BATTLE_END_DEFEAT_INFO","Mehr Glück beim nächsten Mal!"
"TID_TUTORIAL_1","Hi, ich bin Shelly! Sammeln wir all diese <ce662f9>JUWELEN</c>! <c0066ff>Bewege</c> den <c0066ff>BLAUEN JOYSTICK</c> mit deinem linken Daumen, damit ich loslaufe."
"TID_TUTORIAL_2","Holen wir sie uns alle! Her mit den <ce662f9>JUWELEN</c>!"
"TID_TUTORIAL_3","Robo-Ziele! Halte den <ccc0033>ROTEN JOYSTICK</c> mit deinem rechten Daumen gedrückt und <ccc0033>bewege</c> ihn, um zu zielen. Lass ihn los, um zu schießen. Zerstöre die Robos!"
"TID_TUTORIAL_GOOD_JOB_1","Gut gemacht!"
"TID_TUTORIAL_5","Noch mehr Ziele! <ccc0033>TIPPE</c> auf den <ccc0033>ROTEN JOYSTICK</c>, um auf den Gegner zu schießen, der dir am nächsten ist. Zerstöre die Robos!"
"TID_TUTORIAL_6","Nutze jetzt deinen Superskill, um den BOSS hinter der Wand zu erledigen. Halte den <cff9900></c><cff9900>GELBEN JOYSTICK</c> gedrückt und bewege ihn, um zu zielen. Lass ihn los, um zu schießen!"
"TID_TUTORIAL_555","Sehr gut, mach weiter!"
"TID_TUTORIAL_7","Gut gemacht! Nehmen wir die <ce662f9>JUWELEN</c> und machen uns auf den Weg zum Ausgang!"
"TID_TUTORIAL_8","Wenn du Gegner triffst, lädt sich dein Superskill auf. Nutze den <cff9900>gelben Joystick</c>, um deinen Superskill einzusetzen."
"TID_TUTORIAL_9","Du bist ein Naturtalent!\n\nJetzt können wir loslegen!"
"TID_TUTORIAL_10","Greifst du Feinde an, lädt sich dadurch dein Superskill auf. Mein Superskill kann jetzt genutzt werden!\nTippe auf den Superskill-Button!"
"TID_TUTORIAL_11","Die <cff6633>orangen Leisten</c> zeigen an, wie viel Munition du hast. Ich lade so schnell wie möglich nach!"
"TID_FIGHT_TUTORIAL","SPIELEN"
"TID_HERO_SCORE_INFO","Sammle Trophäen für diesen Brawler, indem du Matches gegen andere Spieler gewinnst.\n\nErreiche <PROGRESS> Trophäen, um auf den nächsten Rang aufzusteigen und dir <COINS> Marken zu verdienen."
"TID_HERO_SCORE_INFO_LEG_TROS","Sammle Trophäen für diesen Brawler, indem du Matches gegen andere Spieler gewinnst.\n\nErreiche <PROGRESS> Trophäen, um auf den nächsten Rang aufzusteigen und dir <COINS> Marken sowie <cff00ff><LEGTROS> Starpunkte</c> zu verdienen."
"TID_HERO_SCORE_INFO_MAXED","Du hast den höchsten Rang erreicht!\n\n"
"TID_XP_INFO_ME","Dein Erfahrungslevel.\n\nErfahrungspunkte bekommst du, indem du kämpfst. Sammle noch <REMPROGRESS> EP, um auf Level <LEVEL> aufzusteigen und dir <COINS> Marken zu verdienen."
"TID_XP_INFO_OTHER","Der Erfahrungslevel dieses Spielers"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","SPIELE EIN TRAININGSSPIEL, UM DEN REST DES SPIELS FREIZUSCHALTEN."
"TID_SOCIAL_TAB_CLANS","CLUB"
"TID_SOCIAL_TAB_FRIENDS","FREUNDE"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>brawlt</c> seit <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>Endmenü</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>schaut einem Spiel zu</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>trainiert</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>ist im Matchmaking</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>in einem Team</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>in einem Team</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>in einem Team</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>brawlt</c>"
"TID_FRIEND_STATUS_MENUS","in einem Menü"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","SPIELE IM TEAM!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","SPIELER, DIE ONLINE SIND"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Keine Freunde oder Clubmitglieder online"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Keine Freunde oder Clubmitglieder, die eingeladen werden können. Hast du kürzlich mit einem tollen Spieler gebrawlt? Füge ihn als Freund hinzu!"
"TID_CLAN_CREATE_BUTTON","GRÜNDEN"
"TID_CLAN_SAVE_BUTTON","SPEICHERN"
"TID_CLAN_CREATE_TITLE","NEUEN CLUB GRÜNDEN"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Zuletzt online: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","vor < 1 Std."
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Zuletzt online: <cf7f7f7>vor <HOURS> Std.</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Zuletzt online: <cf7f7f7>vor <DAYS> T.</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Zuletzt online: <cf7f7f7>vor > 1 Monat</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>BRAWLT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>IST IM MATCHMAKING</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>SCHAUT EINEM SPIELER ZU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>TRAINIERT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>IN EINEM MENÜ</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> Mitglieder online"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> Mitglied online"
"TID_ALLIANCE_TYPE_OPEN","Offen"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Nur Einladung"
"TID_ALLIANCE_TYPE_CLOSED","Geschlossen"
"TID_CLAN_SEARCH_TITLE","NACH CLUBS SUCHEN"
"TID_CLAN_INTRO_AD_TITLE","AUF DER SUCHE NACH EINEM CLUB?"
"TID_CLAN_INTRO_AD_DESC","Schließe dich mit anderen Spielern zusammen, um gemeinsam zu brawlen und zu chatten!"
"TID_CLAN_INTRO_CREATE_GO","CLUB GRÜNDEN"
"TID_CLAN_INTRO_SEARCH_GO","NACH CLUBS SUCHEN"
"TID_CLAN_INTRO_REFRESH","AKTUALIS."
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Um diesem Club beitreten zu können, benötigst du <REQ> Trophäen. Du hast momentan <SCORE> Trophäen."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Dieser Club ist geschlossen."
"TID_STREAM_ENTRY_AGE","vor <time>"
"TID_ALLIANCE_ROLE_LEADER","Anführer"
"TID_ALLIANCE_ROLE_CO_LEADER","Vizeanführer"
"TID_ALLIANCE_ROLE_MEMBER","Mitglied"
"TID_ALLIANCE_ROLE_ELDER","Ältester"
"TID_STREAM_SENDER_YOU","Du"
"TID_GOLDRUSH_1","Mysteriöse Mine"
"TID_BANKHEIST_1","Banditenversteck"
"TID_WANTED_1","Tempelruinen"
"TID_BATTLE_ROYALE_1","Schädelufer"
"TID_GOLDRUSH_2","Kristall-Arcade"
"TID_BANKHEIST_2","Kabumm-Canyon"
"TID_WANTED_2","Banditencamp"
"TID_BATTLE_ROYALE_2","Feuerfels"
"TID_GOLDRUSH_3","Giftpilzhöhle"
"TID_BANKHEIST_3","Sichere Zone"
"TID_WANTED_3","Steinfort"
"TID_BATTLE_ROYALE_3","Felswandbrawl"
"TID_WANTED_4","Giftpilzfalle"
"TID_GOLDRUSH_4","Steinfort"
"TID_WANTED_5","Kristalllichtung"
"TID_GOLDRUSH_5","Erzgrube"
"TID_WANTED_6","Schlangenprärie"
"TID_WANTED_7","Shootingstar"
"TID_GOLDRUSH_6","Untertageimbiss"
"TID_GOLDRUSH_7","Chillraum"
"TID_BATTLE_ROYALE_4","Alles oder nichts"
"TID_WANTED_8","Unterschlupf"
"TID_BANKHEIST_4","G.G. Corral"
"TID_CLAN_MEMBERS_ONLINE","Mitglieder online: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Clubtrophäen"
"TID_CLAN_SEARCH_OK","SUCHE"
"TID_CLAN_INFO_NAME","CLUBNAME"
"TID_CLAN_INFO_BADGE","ABZEICHEN"
"TID_CLAN_INFO_DESC","BESCHREIBUNG"
"TID_CLAN_INFO_TOTAL_TROPHIES","CLUBTROPHÄEN"
"TID_CLAN_INFO_TYPE","TYP"
"TID_CLAN_INFO_TAG","CLUBKÜRZEL"
"TID_CLAN_INFO_MIN_TROPHIES","BENÖTIGTE TROPHÄEN"
"TID_CLAN_INFO_LEAVE","VERLASSEN"
"TID_CLAN_INFO_SETTINGS","EINSTELLUNGEN"
"TID_CLAN_INFO_JOIN","BEITRETEN"
"TID_CLAN_INFO_MESSAGE","Nachricht"
"TID_CLAN_INFO_REQUEST_JOIN","Beitrittsanfrage"
"TID_CLAN_SEARCH_NO_RESULTS","Keine Clubs gefunden"
"TID_CLAN_SEARCH_INITIAL","Kein Suchbegriff"
"TID_CLAN_INFO_MEMBERS","Mitglieder"
"TID_CLAN_INFO_SELECT_BADGE","DURCHSUCHEN"
"TID_SELECT_BADGE","ABZEICHEN WÄHLEN"
"TID_ALLIANCE_CREATE_OK","Club wurde erfolgreich gegründet"
"TID_CLAN_CHANGE_SETTINGS_TITLE","CLUBEINSTELLUNGEN"
"TID_TITLE_ALLIANCE","Clubinfo"
"TID_ALLIANCE_LEFT","Du hast den Club verlassen."
"TID_CLAN_MEMBER_DEMOTE","Herabstufen"
"TID_CLAN_MEMBER_PROMOTE","Befördern"
"TID_CLAN_MEMBER_KICK","Kicken"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Club anzeigen"
"TID_BUTTON_INVITE","EINLADEN"
"TID_PLAYER_INFO_GOTO_CLAN","Club anzeigen"
"TID_SELECT_PLAYER_THUMBNAIL","AVATAR AUSWÄHLEN"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Dieser Avatar wird auf EP-Level <LEVEL> freigeschaltet."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Dieser Avatar wird freigeschaltet, wenn du <TROPHIES> Gesamttrophäen hast."
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> Siege"
"TID_PLAYER_INFO_TAB_1","STATS"
"TID_PLAYER_INFO_TAB_2","BRAWLER (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3V3-SIEGE"
"TID_PLAYER_STAT_4","MEISTE TROPHÄEN"
"TID_PLAYER_STAT_8","SOLOSIEGE"
"TID_PLAYER_STAT_10","TOPZEIT ALS RIESENBRAWLER"
"TID_PLAYER_STAT_9","BESTE ROBORUMBLE-ZEIT"
"TID_PLAYER_STAT_11","DUOSIEGE"
"TID_PLAYER_STAT_12","HÖCHSTES BOSSKAMPF-LVL"
"TID_PLAYER_STAT_13","MEISTE POWERPLAY-PUNKTE"
"TID_PLAYER_STAT_14","HÖCHSTER POWERPLAY-RANG"
"TID_PLAYER_STAT_15","MEISTE HERAUSFORDERUNGSSIEGE"
"TID_NO_CLAN","In keinem Club"
"TID_ULTIMATE_NOT_READY","Triff Gegner, um deinen Superskill aufzuladen!"
"TID_CANT_ACTIVATE_ULTI","Superskill kann nicht aktiviert werden, wenn du besiegt wurdest!"
"TID_NAME_TOO_SHORT","Dein Name ist zu kurz."
"TID_ALLIANCE_JOINED","Du bist dem Club beigetreten."
"TID_COIN_RUSH_INTRO_TEXT","Sammelt 10 Juwelen, um zu gewinnen."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Besiege Brawler, um Sterne zu verdienen."
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Schieße auf den gegnerischen Tresor, um ihn zu knacken."
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Schieße auf den gegnerischen Tresor, um ihn zu knacken."
"TID_GO","LOS GEHT´S!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","VERLASSEN BESTÄTIGEN"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nBist du sicher, dass du den Club verlassen willst?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","VERLASSEN"
"TID_ALLIANCE_PROMOTE_TITLE","Beförderung bestätigen"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Bist du sicher, dass du <NAME> zu \q<ROLE>\q befördern möchtest?"
"TID_ALLIANCE_PROMOTE_BUTTON","Befördern"
"TID_ALLIANCE_KICK_TITLE","Kicken bestätigen"
"TID_ALLIANCE_KICK_CONFIRMATION","Bist du sicher, dass du <NAME> aus dem Club kicken möchtest?"
"TID_ALLIANCE_KICK_BUTTON","Kicken"
"TID_ALLIANCE_DEMOTE_TITLE","Herabstufen bestätigen"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Bist du sicher, dass du <NAME> zu \q<ROLE>\q herabstufen möchtest?"
"TID_ALLIANCE_DEMOTE_BUTTON","Herabstufen"
"TID_CLAN_RESPONSE_10","Einstellungen gespeichert."
"TID_CLAN_RESPONSE_20","Club gegründet"
"TID_CLAN_RESPONSE_21","Clubgründung fehlgeschlagen. Bitte versuche es später erneut."
"TID_CLAN_RESPONSE_22","Dieser Name ist nicht erlaubt."
"TID_CLAN_RESPONSE_23","Diese Beschreibung ist nicht erlaubt."
"TID_CLAN_RESPONSE_24","Dieser Name ist zu kurz."
"TID_CLAN_RESPONSE_40","Club beigetreten"
"TID_CLAN_RESPONSE_42","Beitritt fehlgeschlagen: Club ist voll."
"TID_CLAN_RESPONSE_43","Beitritt fehlgeschlagen: Club ist nicht offen."
"TID_CLAN_RESPONSE_45","Beitritt fehlgeschlagen: Du hast nicht genug Trophäen, um diesem Club beizutreten."
"TID_CLAN_RESPONSE_46","Beitritt fehlgeschlagen: Wegen eines früheren Kicks oder einer abgelehnten Beitrittsanfrage bist du aus diesem Club gebannt."
"TID_CLAN_RESPONSE_47","Beitritt fehlgeschlagen: Du bist heute zu vielen Clubs beigetreten. Die Funktion wurde für heute blockiert."
"TID_CLAN_RESPONSE_48","Beitritt fehlgeschlagen: Du kannst keinem Club in einer anderen Region beitreten."
"TID_CLAN_RESPONSE_50","Beitrittsanfrage erfolgreich verschickt."
"TID_CLAN_RESPONSE_51","Senden der Beitrittsanfrage fehlgeschlagen: Dieser Club nimmt keine Mitgliedschaftsanfragen mehr an."
"TID_CLAN_RESPONSE_52","Senden der Beitrittsanfrage fehlgeschlagen: Du hast diesem Club bereits eine Beitrittsanfrage geschickt, die noch nicht beantwortet wurde."
"TID_CLAN_RESPONSE_53","Senden der Beitrittsanfrage fehlgeschlagen: Du hast nicht genug Trophäen, um diesem Club beizutreten."
"TID_CLAN_RESPONSE_54","Senden der Beitrittsanfrage fehlgeschlagen: Wegen eines früheren Kicks oder einer abgelehnten Beitrittsanfrage bist du aus diesem Club gebannt."
"TID_CLAN_RESPONSE_55","Beitrittsanfrage fehlgeschlagen: Du kannst keinem Club in einer anderen Region beitreten."
"TID_CLAN_RESPONSE_56","Beitritt fehlgeschlagen: Der Club ist nicht familienfreundlich."
"TID_CLAN_RESPONSE_70","Der Spieler wurde gekickt."
"TID_CLAN_RESPONSE_80","Du hast den Club verlassen."
"TID_CLAN_RESPONSE_81","Der Spieler wurde erfolgreich befördert."
"TID_CLAN_RESPONSE_82","Der Spieler wurde erfolgreich herabgestuft."
"TID_CLAN_RESPONSE_90","Die Anfrage wurde erfolgreich angenommen."
"TID_CLAN_RESPONSE_91","Die Anfrage wurde erfolgreich abgelehnt."
"TID_CLAN_RESPONSE_92","Annehmen fehlgeschlagen: Der Spieler ist bereits in einem Club Mitglied."
"TID_CLAN_RESPONSE_93","Fehlgeschlagen: Die Anfrage wurde nicht gefunden."
"TID_CLAN_RESPONSE_94","Fehlgeschlagen: Die Anfrage wurde bereits bearbeitet."
"TID_CLAN_RESPONSE_95","Fehlgeschlagen: Du hast nicht genug Rechte, um diese Anfrage zu bearbeiten."
"TID_CLAN_RESPONSE_96","Annehmen fehlgeschlagen: Der Spieler wurde aus diesem Club gebannt."
"TID_CLAN_RESPONSE_100","Du wurdest aus einem Club gekickt."
"TID_CLAN_RESPONSE_101","Du wurdest befördert."
"TID_CLAN_RESPONSE_102","Du wurdest herabgestuft."
"TID_CLAN_RESPONSE_112","Du kannst erst in <TIME> wieder Clubpost senden."
"TID_CLAN_RESPONSE_113","Clubpost erfolgreich versandt."
"TID_CLAN_NO_RIGHTS","Um das zu tun, sind mehr Rechte erforderlich."
"TID_ALLIANCE_NAME_TOO_SHORT","Der Clubname ist zu kurz."
"TID_CLAN_JOIN_REQUEST_TITLE","Clubmitgliedschaft anfragen"
"TID_CLAN_JOIN_REQUEST_SEND","Senden"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Ich würde gerne eurem Club beitreten ..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Diesen Spieler in den Club aufnehmen?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Annehmen"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Ablehnen"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Angenommen von <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Abgelehnt von <name>"
"TID_HINT_DRAG_TO_AIM","Bewegen, um zu zielen"
"TID_HINT_RELEASE_TO_SHOOT","Loslassen, um zu schießen"
"TID_HINT_ACTIVATE_ULTI","Bewege den <cff9900>GELBEN JOYSTICK</c>, um mit deinem Superskill zu zielen!"
"TID_HINT_DRAG_TO_ULTI","Bewege den Stick, um zu zielen, und lasse los, um den SUPERSKILL einzusetzen!"
"TID_HINT_COLLECT_GOLD","Wenn sie besiegt werden, lassen Brawler die <ce662f9>JUWELEN</c>, die sie tragen, fallen."
"TID_HINT_HOLD_GOLD","Lass dir die <ce662f9>JUWELEN</c> nicht abnehmen!"
"TID_HINT_GO_AFTER_ENEMY","Hol dir den Gegner!"
"TID_HINT_ATTACK_BASE","Schieße den gegnerischen Tresor auf, während du deinen eigenen beschützt!"
"TID_HINT_DEFEND_BASE","Schieße den gegnerischen Tresor auf, während du deinen eigenen beschützt!"
"TID_HINT_SHOOT_ENEMIES","Besiege Gegner, um Sterne zu verdienen!"
"TID_HINT_YOU_ARE_WINNING","Dein Team ist dabei, zu gewinnen! Verteidigt euch!"
"TID_HINT_YOU_ARE_LOSING","Dein Team ist dabei, zu verlieren! Greift an!"
"TID_HINT_TAP_TO_MOVE","Tippe, um dich zu bewegen.\nBleib bei deinem Team!"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Achtung: Es ist viel Kopfgeld auf dich ausgesetzt!"
"TID_BOUNTY_3","Achtung: Es ist sehr viel Kopfgeld auf dich ausgesetzt!"
"TID_BOUNTY_4","Gesucht: tot oder lebendig!"
"TID_NO_CLAN_TITLE","Finde einen Club"
"TID_NO_CLAN_BODY","Tritt einem Club bei, um mit coolen Leuten zu chatten und zu spielen!"
"TID_NO_CLAN_SUGGESTIONS","Empfohlene Clubs"
"TID_NO_CLAN_RESULTS","Suchergebnisse"
"TID_NO_CLAN_EMPTY","Keine empfohlenen Clubs :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Auf Daten warten ..."
"TID_CONNECTING_TO_SERVER","Mit Server verbinden ..."
"TID_TEAM_ADVERTISE","MITSPIELER EINLADEN"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","in Club"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","aus Freundesliste"
"TID_TEAM_AD_INFO_0","Sucht nach Teammitgliedern"
"TID_TEAM_AD_JOIN","Team beitreten"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Beitritt fehlgeschlagen. Du bist bereits in einem Team."
"TID_TEAM_MEMBER_STATUS_0","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>BRAWLT</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>ABWESEND</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>NICHT BEREIT</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>IST IM MATCHMAKING</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>ENDMENÜ</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>SCHAUT EINEM SPIELER ZU</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>TRAINIERT</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>SCHREIBT ...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>BRAWLERMENÜ</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>EREIGNISSE</c>"
