"TID","RU"
"TID_RANK_POPUP_SEASON_END_TITLE","ДО КОНЦА СЕЗОНА"
"TID_RANK_POPUP_SEASON_END_INFO","В конце сезона бойцы, набравшие <DECAYSTART> или больше трофеев, теряют часть своих трофеев. Списанные трофеи компенсируются звёздными очками, которые можно тратить в магазине."
"TID_RANK_POPUP_HILITE_CAPTION_3","БОЕЦ: <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_4","СКИН: <SKIN>"
"TID_RANK_POPUP_HILITE_CAPTION_13","СОБЫТИЕ: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","МЕГАЯЩИК"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","КОМАНДНЫЕ СОБЫТИЯ"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","СОБЫТИЯ ДНЯ"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","СОБЫТИЯ ПО БИЛЕТАМ"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_1","Награда конца сезона: звёздные очки"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_2","Награда за место"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_3","Награда за очки"
"TID_RANK_INFO_POPUP_POINTS_LABEL_1","Трофеи"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","Звёздные очки\nв награду"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","Трофеи после окончания сезона"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<START> - <END>"
"TID_DAILY_COINS_COLLECTED","Получено"
"TID_TEAM_BATTLE","СОЗДАТЬ"
"TID_TEAM_UNREADY","не готово"
"TID_TEAM_WAITING_WHILE_READY","Всё готово!\nНужно дождаться остальных."
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><NAME>: <OWNEDCOUNT>-й из <SETSIZE> бойцов</c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Здорово!"
"TID_GATCHA_SCREEN_TAP","Жми! Жми!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","БИЛЕТЫ СОБЫТИЙ"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","БОНУС!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","Действует <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","Начинается через <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","УДВОИТЕЛЬ ЖЕТОНОВ"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","Получи вдвое больше жетонов в боях!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","МОНЕТЫ"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","Используй монеты для улучшения бойцов"
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","КРИСТАЛЛЫ"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","Покупай за кристаллы ящики, скины и другие предметы в магазине"
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","ОЧКИ СИЛЫ"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","Разблокировано улучшение!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","Можно улучшить!"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","БОНУС"
"TID_NAVI_BLOCKED_1","Нельзя перейти на другую страницу в режиме готовности!"
"TID_LEG_TRO_MIG_INFO_SHORT","Получено <cff00ff>звёздных очков:</c> <AMOUNT>!"
"TID_LEG_TRO_MIG_POPUP_OK","ОК"
"TID_LEG_TRO_MIG_POPUP_CLAIM","ЗАБРАТЬ"
"TID_LEG_TRO_MIG_POPUP_TITLE","Представляем <cff00ff>звёздные очки!</c>"
"TID_LEG_TRO_MIG_INFO","Новинка в Brawl Stars: звёздные очки! Их можно зарабатывать с помощью бойцов, набравших 500 или больше трофеев. В конце сезона определенная часть трофеев свыше 500 превращается в звёздные очки.\n\nЗвёздные очки можно также зарабатывать, повышая ранг бойцов. Звёздных очков за повышение ранга бойцов в прошлом: <AMOUNT>."
"TID_TEAM_MEMBER_INFO_READY","<NAME> ожидает готовности остальных"
"TID_TEAM_MEMBER_INFO_NOT_READY","Игрок <NAME> ещё не готов к игре"
"TID_TEAM_MEMBER_INFO_SELF_READY","Нельзя сменить бойца в режиме готовности!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Нельзя сменить событие в режиме готовности!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Нельзя изменить это в режиме готовности!"
"TID_TEAM_GATCHA_BLOCKED","Нельзя открыть ящик в режиме готовности!"
"TID_TEAM_NO_MEMBER_INFO","Приглашать в команду может только её создатель"
"TID_TEAM_INFO_TEAM_CODE","Поделись этим кодом с друзьями и пригласи их в свою команду!\n\nНажми снова, чтобы скопировать в буфер обмена."
"TID_FREEZER","Морозилка"
"TID_GAME_OVER","Бой окончен"
"TID_LEVEL","<LVL>-й уровень"
"TID_PLAYERS_IN_MM","Некоторые игроки участвуют в подборе противников!"
"TID_ONLINE_INFO","Игроки в сети: <ONLINE>, в подборе противников: <MATCHMAKE>, в сражении: <BATTLES>"
"TID_INPUT_NAME","Введи свое имя"
"TID_LEADERBOARD_YOUR_SCORE","Твои очки"
"TID_LEADERBOARD_YOUR_RANK","Твой ранг"
"TID_LEADERBOARD_HIGHEST_SCORE","Лучший результат"
"TID_LEADERBOARD_LOCAL","МЕСТНЫЙ (<COUNTRY>)"
"TID_REGION_0","ГЛОБАЛЬНЫЙ"
"TID_REGION_1","АЗИЯ"
"TID_SET_REGION_RESULT_0","Регион изменён. Новый регион: <REGION>"
"TID_SET_REGION_RESULT_1","Не удалось изменить регион: это нельзя сделать, состоя в клубе."
"TID_SET_REGION_RESULT_2","Не удалось изменить регион: это нельзя сделать, состоя в команде."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Захват кристаллов"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Захвати и удержи 10 кристаллов!"
"TID_BATTLE_END_MY_TEAM","Твоя команда"
"TID_BATTLE_END_ENEMY_TEAM","Команда врага"
"TID_BACK","ОБРАТНО"
"TID_NOT_ENOUGH_GOLD","Не хватает монет. Открывай ящики, чтобы пополнить запас."
"TID_UNLOCK_SKIN_ERROR_1","Не хватает кристаллов"
"TID_EXPERIENCE_LEVEL","Уровень опыта"
"TID_BOT_1","1-й бот"
"TID_BOT_2","2-й бот"
"TID_BOT_3","3-й бот"
"TID_BOT_4","4-й бот"
"TID_BOT_5","5-й бот"
"TID_BOT_6","6-й бот"
"TID_BOT_7","7-й бот"
"TID_BOT_8","8-й бот"
"TID_BOT_9","9-й бот"
"TID_CRAFT_HERO_TITLE","Купить бойца"
"TID_CRAFT_HERO_BUTTON_LABEL","Купить"
"TID_UNLOCK_SKIN_TITLE","Купить скин"
"TID_SKIN_COMING_SOON","Скин ещё недоступен"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Купить"
"TID_HERO_LIST_TOTAL_TROPHIES","Всего трофеев"
"TID_TOP_TOOL_TIP_1","<c00ccff>Жетоны</c> нужны, чтобы открывать ящики.\n\nЖетоны можно получить в новых событиях и в бою."
"TID_TOP_TOOL_TIP_3","<c0ed12d>Кристаллы</c> нужны, чтобы покупать ящики, скины и другие предметы в магазине.\n\nКристаллы можно найти в ящиках и купить в магазине за реальные деньги."
"TID_TOP_TOOL_TIP_2","<cff8E1b>Монеты</c> нужны, чтобы улучшать бойцов.\n\nМонеты можно найти в ящиках."
"TID_TOP_TOOL_TIP_4","<cff0000>Билеты событий</c> позволяют участвовать в событиях по билетам."
"TID_TOP_TOOL_TIP_5","<cff00ff>Звёздные очки</c> нужны, чтобы покупать уникальные предметы в магазине.\n\nИх можно получить за повышение ранга бойца до 10-го и дальше через каждые 5 рангов, а также в награду в конце сезона."
"TID_GAME_MODE_0","ЗАХВАТ КРИСТАЛЛОВ"
"TID_GAME_MODE_0_DESC","Собирай кристаллы, появляющиеся из кристальной шахты в центре карты, или отбирай их у поверженных врагов. Чтобы победить, удержи десять кристаллов до окончания обратного отсчёта."
"TID_GAME_MODE_2","ОГРАБЛЕНИЕ"
"TID_GAME_MODE_2_DESC","Защищай свой сейф, одновременно пытаясь взломать вражеский! Побеждает команда, взломавшая сейф врага первой.\n\nЕсли время истечёт, победителем будет объявлена команда, нанёсшая больше урона вражескому сейфу."
"TID_GAME_MODE_3","НАГРАДА ЗА ПОИМКУ"
"TID_GAME_MODE_3_DESC","Собирай звёзды для своей команды, побеждая участников вражеской. С каждой победой награда за твою голову будет увеличиваться на одну звезду, пока не достигнет семи звёзд. Не дай врагу отобрать их!\n\nПо истечении времени побеждает команда, собравшая больше звёзд."
"TID_GAME_MODE_6","ОДИНОЧНОЕ СТОЛКНОВЕНИЕ"
"TID_GAME_MODE_6_COMBINED","СТОЛКНОВЕНИЕ"
"TID_GAME_MODE_6_DESC","Победи всех и останься в живых. Все средства хороши, ведь у тебя всего одна жизнь."
"TID_GAME_MODE_6_DESC_COMBINED","Победи всех и останься в живых! Играй в одиночном или парном режиме."
"TID_GAME_MODE_5","БРОУЛБОЛ"
"TID_GAME_MODE_5_DESC","Забей гол в ворота противника! Матч закончится по истечении времени или после двух голов, забитых одной из команд."
"TID_GAME_MODE_3_OG","ЗАЧИСТКА"
"TID_GAME_MODE_3_OG_DESC","Собирай звёзды для команды, побеждая участников вражеской. С каждой победой награда за твою голову будет увеличиваться на одну звезду, пока не достигнет семи. Не дай врагу отобрать их!\n\nПо истечении времени побеждает команда с наибольшим количеством звёзд."
"TID_GAME_MODE_11","ОСАДА"
"TID_GAME_MODE_11_DESC","Осади и уничтожь вражескую сборочную установку ИКЕ! У твоей команды тоже есть ИКЕ: снабжай её болтами, чтобы она могла собрать мощного осадного робота вам в помощь. Болты появляются неподалёку от центра карты. Чтобы отправить болт ИКЕ, захвати его и удерживай несколько секунд.\n\nЗа бой можно провести до трёх осад. Осадный робот появится у команды, собравшей к началу осады больше болтов, и чем их больше, тем сильнее робот.\nБерегись, ИКЕ оснащены мощными пушками — не приближайся к базе врага без осадного робота!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Звёздный жетон"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Новый ранг"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Новый уровень"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Победа"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Поражение"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Ничья"
"TID_BATTLE_END_GAIN_LABEL_MVP","Звёздный игрок"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Награда за место"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","За время"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Ещё жетонов:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","За время"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","За время"
"TID_BATTLE_END_COIN_REWARDS","ЖЕТОНЫ В НАГРАДУ"
"TID_BATTLE_END_MVP","ЗВЁЗДНЫЙ ИГРОК"
"TID_BATTLE_END_DEFEAT_INFO","Удачи в следующий раз!"
"TID_TUTORIAL_1","Привет, я Шелли! Давай-ка соберём эти <ce662f9>КРИСТАЛЛЫ</c>! <c0066ff>ЗАЖМИ И ПОТЯНИ</c> <c0066ff>СИНИЙ ДЖОЙСТИК</c> большим пальцем левой руки, чтобы начать движение."
"TID_TUTORIAL_2","Нужно собрать всё! Это мои <ce662f9>КРИСТАЛЛЫ</c>!"
"TID_TUTORIAL_3","Роботы! <ccc0033>ЗАЖМИ И ПОТЯНИ</c> <ccc0033>КРАСНЫЙ ДЖОЙСТИК</c> большим пальцем правой руки для прицеливания и отпусти для выстрела. Уничтожь всех роботов!"
"TID_TUTORIAL_GOOD_JOB_1","Молодец!"
"TID_TUTORIAL_5","Новые цели! Можно <ccc0033>НАЖАТЬ</c> на <ccc0033>КРАСНЫЙ ДЖОЙСТИК</c>, чтобы атаковать ближайшего врага. Уничтожь всех роботов!"
"TID_TUTORIAL_6","А сейчас используй Супер, чтобы атаковать босса за стеной! <cff9900>ЗАЖМИ И ПОТЯНИ</c> <cff9900>ЖЁЛТЫЙ ДЖОЙСТИК</c> для прицеливания и отпусти для выстрела!"
"TID_TUTORIAL_555","Отлично, продолжай в том же духе!"
"TID_TUTORIAL_7","Молодец! <ce662f9>КРИСТАЛЛЫ</c> у нас, теперь давай на выход!"
"TID_TUTORIAL_8","Нанося урон врагу, ты заряжаешь свой Супер. Используй <cff9900>жёлтый джойстик</c> для атаки при помощи Супера!"
"TID_TUTORIAL_9","Ты прирождённый боец!\n\nА теперь задай им всем жару!"
"TID_TUTORIAL_10","Когда ты поражаешь цели, Супер заряжается. Сейчас он заряжен полностью!\nЖми на кнопку супера!"
"TID_TUTORIAL_11","<cff6633>Оранжевые полоски</c> показывают количество твоих боеприпасов. Буду перезаряжать так быстро, как смогу!"
"TID_FIGHT_TUTORIAL","ИГРАТЬ"
"TID_HERO_SCORE_INFO","Собирай этим бойцом трофеи, побеждая в боях против других игроков.\n\nСобрав <PROGRESS> трофеев, боец получит новый ранг и <COINS> жетонов."
"TID_HERO_SCORE_INFO_LEG_TROS","Собирай этим бойцом трофеи, побеждая в боях против других игроков.\n\nСобрав <PROGRESS> трофеев, боец получит новый ранг, <COINS> жетонов и <cff00ff><LEGTROS> звёздных очков.</c>"
"TID_HERO_SCORE_INFO_MAXED","Высший ранг!\n\n"
"TID_XP_INFO_ME","Уровень твоего опыта.\n\nПолучай опыт в боях. Очков опыта до получения <LEVEL>-го уровня и <COINS> жетонов: <REMPROGRESS>."
"TID_XP_INFO_OTHER","Уровень опыта этого игрока"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","СЫГРАЙ ОДИН ТРЕНИРОВОЧНЫЙ БОЙ, ЧТОБЫ ОТКРЫТЬ ИГРУ ПОЛНОСТЬЮ"
"TID_SOCIAL_TAB_CLANS","КЛУБ"
"TID_SOCIAL_TAB_FRIENDS","ДРУЗЬЯ"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>бой</c> идёт <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>экран окончания боя</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>наблюдает</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>тренируется</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>в подборе противников</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>в команде</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>в команде</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>в команде</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>бой</c>"
"TID_FRIEND_STATUS_MENUS","меню"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","ИГРАЙ В КОМАНДЕ!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","ИГРОКИ В СЕТИ"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Друзья или участники клуба сейчас не в сети"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Нет друзей или участников клуба, которых можно было бы пригласить. Кто-то отлично проявил себя в недавнем бою? Добавь их в друзья!"
"TID_CLAN_CREATE_BUTTON","СОЗДАТЬ"
"TID_CLAN_SAVE_BUTTON","СОХРАНИТЬ"
"TID_CLAN_CREATE_TITLE","СОЗДАТЬ НОВЫЙ КЛУБ"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","В сети <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","меньше часа назад"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","В сети <cf7f7f7><HOURS> ч. назад</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","В сети <cf7f7f7><DAYS> д. назад</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","В сети <cf7f7f7>более мес. назад</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>БОЙ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>ПОДБОР ПРОТИВНИКОВ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>НАБЛЮДЕНИЕ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>ТРЕНИРОВКА</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>МЕНЮ</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> уч. в сети"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> уч. в сети"
"TID_ALLIANCE_TYPE_OPEN","Открытый"
"TID_ALLIANCE_TYPE_INVITE_ONLY","По приглашениям"
"TID_ALLIANCE_TYPE_CLOSED","Закрытый"
"TID_CLAN_SEARCH_TITLE","ИСКАТЬ КЛУБ"
"TID_CLAN_INTRO_AD_TITLE","ИЩЕШЬ КЛУБ?"
"TID_CLAN_INTRO_AD_DESC","Играй и общайся с другими игроками!"
"TID_CLAN_INTRO_CREATE_GO","СОЗДАТЬ КЛУБ"
"TID_CLAN_INTRO_SEARCH_GO","ИСКАТЬ КЛУБ"
"TID_CLAN_INTRO_REFRESH","ОБНОВИТЬ"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Количество трофеев, необходимых для вступления в этот клуб: <REQ>. Количество твоих трофеев: <SCORE>."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Это закрытый клуб"
"TID_STREAM_ENTRY_AGE","<time> назад"
"TID_ALLIANCE_ROLE_LEADER","Президент"
"TID_ALLIANCE_ROLE_CO_LEADER","Вице-президент"
"TID_ALLIANCE_ROLE_MEMBER","Участник"
"TID_ALLIANCE_ROLE_ELDER","Ветеран"
"TID_STREAM_SENDER_YOU","Ты"
"TID_GOLDRUSH_1","Роковая шахта"
"TID_BANKHEIST_1","Тайник бандитов"
"TID_WANTED_1","Руины храма"
"TID_BATTLE_ROYALE_1","Озеро мертвецов"
"TID_GOLDRUSH_2","Кристальная аркада"
"TID_BANKHEIST_2","Пороховой каньон"
"TID_WANTED_2","Лагерь бандитов"
"TID_BATTLE_ROYALE_2","Опалённый камень"
"TID_GOLDRUSH_3","Поганковая пещера"
"TID_BANKHEIST_3","Надёжное укрытие"
"TID_WANTED_3","Каменный форт"
"TID_BATTLE_ROYALE_3","Потасовка в Рокуолле"
"TID_WANTED_4","Поганковая западня"
"TID_GOLDRUSH_4","Каменный форт"
"TID_WANTED_5","Кристальная выработка"
"TID_GOLDRUSH_5","Подрыв"
"TID_WANTED_6","Змеиные степи"
"TID_WANTED_7","Падающая звезда"
"TID_GOLDRUSH_6","Подземная закусочная"
"TID_GOLDRUSH_7","Холодильная камера"
"TID_BATTLE_ROYALE_4","Всё или ничего"
"TID_WANTED_8","Укрытие"
"TID_BANKHEIST_4","Дикий Запад"
"TID_CLAN_MEMBERS_ONLINE","Участников в сети: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Трофеи клуба"
"TID_CLAN_SEARCH_OK","ИСКАТЬ"
"TID_CLAN_INFO_NAME","НАЗВАНИЕ КЛУБА"
"TID_CLAN_INFO_BADGE","ЗНАЧОК"
"TID_CLAN_INFO_DESC","ОПИСАНИЕ"
"TID_CLAN_INFO_TOTAL_TROPHIES","ТРОФЕИ КЛУБА"
"TID_CLAN_INFO_TYPE","ТИП"
"TID_CLAN_INFO_TAG","Тег клуба"
"TID_CLAN_INFO_MIN_TROPHIES","НЕОБХОДИМЫЕ ТРОФЕИ"
"TID_CLAN_INFO_LEAVE","ВЫЙТИ"
"TID_CLAN_INFO_SETTINGS","НАСТРОЙКИ"
"TID_CLAN_INFO_JOIN","ВСТУПИТЬ"
"TID_CLAN_INFO_MESSAGE","Сообщение"
"TID_CLAN_INFO_REQUEST_JOIN","Попросить принять"
"TID_CLAN_SEARCH_NO_RESULTS","Клуб не найден"
"TID_CLAN_SEARCH_INITIAL","Пустая строка поиска"
"TID_CLAN_INFO_MEMBERS","Участники:"
"TID_CLAN_INFO_SELECT_BADGE","ВЫБРАТЬ"
"TID_SELECT_BADGE","ВЫБЕРИ ЗНАЧОК"
"TID_ALLIANCE_CREATE_OK","Клуб успешно создан"
"TID_CLAN_CHANGE_SETTINGS_TITLE","НАСТРОЙКИ КЛУБА"
"TID_TITLE_ALLIANCE","Информация о клубе"
"TID_ALLIANCE_LEFT","Ты покидаешь клуб"
"TID_CLAN_MEMBER_DEMOTE","Понизить"
"TID_CLAN_MEMBER_PROMOTE","Повысить"
"TID_CLAN_MEMBER_KICK","Выгнать"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Посмотреть клуб"
"TID_BUTTON_INVITE","ПРИГЛАСИТЬ"
"TID_PLAYER_INFO_GOTO_CLAN","Посмотреть клуб"
"TID_SELECT_PLAYER_THUMBNAIL","ВЫБРАТЬ ИКОНКУ"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Эта иконка откроется после достижения <LEVEL>-го уровня опыта"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Чтобы разблокировать иконку, необходимо <TROPHIES> трофеев"
"TID_PLAYER_INFO_WINS_AMOUNT","Победы: <AMOUNT>"
"TID_PLAYER_INFO_TAB_1","ПОКАЗАТЕЛИ"
"TID_PLAYER_INFO_TAB_2","БОЙЦЫ (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","ПОБЕД 3 НА 3"
"TID_PLAYER_STAT_4","МАКСИМУМ ТРОФЕЕВ"
"TID_PLAYER_STAT_8","ОДИНОЧНЫХ ПОБЕД"
"TID_PLAYER_STAT_10","ЛУЧШЕЕ ВРЕМЯ МЕГАБОЙЦА"
"TID_PLAYER_STAT_9","ЛУЧШЕЕ ВРЕМЯ В РОБОРУБКЕ"
"TID_PLAYER_STAT_11","ПАРНЫХ ПОБЕД"
"TID_PLAYER_STAT_12","ПРОЙДЕННЫЙ УРОВЕНЬ БОЯ С БОССОМ"
"TID_PLAYER_STAT_13","МАКСИМУМ ОЧКОВ В СИЛОВОЙ ГОНКЕ"
"TID_PLAYER_STAT_14","ЛУЧШЕЕ МЕСТО В СИЛОВОЙ ГОНКЕ"
"TID_PLAYER_STAT_15","МАКСИМУМ ПОБЕД В ИСПЫТАНИИ"
"TID_NO_CLAN","Не в клубе"
"TID_ULTIMATE_NOT_READY","Наноси урон врагам, чтобы зарядить Супер!"
"TID_CANT_ACTIVATE_ULTI","Павший боец не может активировать Супер!"
"TID_NAME_TOO_SHORT","Это имя слишком короткое"
"TID_ALLIANCE_JOINED","Ты теперь в клубе"
"TID_COIN_RUSH_INTRO_TEXT","Для победы нужно собрать 10 кристаллов."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Побеждай бойцов, чтобы получить звёзды"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Взломай вражеский сейф"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Взломай вражеский сейф"
"TID_GO","В БОЙ!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","ПОДТВЕРДИТЬ ВЫХОД"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nТочно хочешь выйти из клуба?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","ВЫЙТИ"
"TID_ALLIANCE_PROMOTE_TITLE","Подтвердить повышение"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Точно хочешь повысить игрока <NAME> до звания «<ROLE>»?"
"TID_ALLIANCE_PROMOTE_BUTTON","Повысить"
"TID_ALLIANCE_KICK_TITLE","Подтвердить изгнание"
"TID_ALLIANCE_KICK_CONFIRMATION","Точно хочешь исключить из клуба игрока <NAME>?"
"TID_ALLIANCE_KICK_BUTTON","Выгнать"
"TID_ALLIANCE_DEMOTE_TITLE","Подтвердить понижение"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Точно хочешь понизить игрока <NAME> до звания «<ROLE>»?"
"TID_ALLIANCE_DEMOTE_BUTTON","Понизить"
"TID_CLAN_RESPONSE_10","Настройки сохранены"
"TID_CLAN_RESPONSE_20","Клуб создан"
"TID_CLAN_RESPONSE_21","Не удалось создать клуб. Попробуй позже."
"TID_CLAN_RESPONSE_22","Такое название недопустимо!"
"TID_CLAN_RESPONSE_23","Такое описание недопустимо!"
"TID_CLAN_RESPONSE_24","Название слишком короткое!"
"TID_CLAN_RESPONSE_40","Ты теперь в клубе"
"TID_CLAN_RESPONSE_42","Вступить не удалось: в клубе нет места."
"TID_CLAN_RESPONSE_43","Вступить не удалось: это не открытый клуб."
"TID_CLAN_RESPONSE_45","Вступить не удалось: чтобы вступить в этот клуб, нужно больше трофеев."
"TID_CLAN_RESPONSE_46","Вступить не удалось: возможность вступления в этот клуб заблокирована из-за ранее отклонённого запроса или исключения."
"TID_CLAN_RESPONSE_47","Вступить не удалось: превышен лимит на сегодня. Возможность вступления в клуб заблокирована до завтра."
"TID_CLAN_RESPONSE_48","Вступить не удалось: нельзя вступить в клуб в другом регионе."
"TID_CLAN_RESPONSE_50","Запрос на вступление успешно отправлен."
"TID_CLAN_RESPONSE_51","Запрос на вступление не был отправлен: клуб больше не принимает запросы."
"TID_CLAN_RESPONSE_52","Запрос на вступление не был отправлен: предыдущий запрос в этот клуб ещё не рассмотрен."
"TID_CLAN_RESPONSE_53","Запрос на вступление не был отправлен: чтобы вступить в этот клуб, нужно больше трофеев."
"TID_CLAN_RESPONSE_54","Запрос на вступление невозможен: возможность вступления в этот клуб заблокирована из-за ранее отклонённого запроса или исключения."
"TID_CLAN_RESPONSE_55","Запрос на вступление невозможен: нельзя вступить в клуб в другом регионе."
"TID_CLAN_RESPONSE_56","Вступить не удалось: этот клуб не относится к категории «семейный»."
"TID_CLAN_RESPONSE_70","Игрок изгнан"
"TID_CLAN_RESPONSE_80","Клуб покинут"
"TID_CLAN_RESPONSE_81","Повышение успешно"
"TID_CLAN_RESPONSE_82","Понижение успешно"
"TID_CLAN_RESPONSE_90","Игрок принят"
"TID_CLAN_RESPONSE_91","Игрок не принят"
"TID_CLAN_RESPONSE_92","Принять не удалось: игрок уже в клубе."
"TID_CLAN_RESPONSE_93","Действие не удалось: запрос не найден."
"TID_CLAN_RESPONSE_94","Действие не удалось: запрос уже был рассмотрен."
"TID_CLAN_RESPONSE_95","Действие не удалось: недостаточно прав."
"TID_CLAN_RESPONSE_96","Принять не удалось: игрок заблокирован в этом клубе."
"TID_CLAN_RESPONSE_100","Тебя исключили из клуба"
