"TID","CN"
"TID_GAME_MODE_11","机甲攻坚战"
"TID_GAME_MODE_11_DESC","不断组织进攻，摧毁对手的多功能炮台！您的队伍也有一座多功能炮台，只要为其提供螺栓，它就能制造出强大的攻坚机甲为您冲锋陷阵。螺栓会随机出现在地图的中间区域，拾取螺栓后，只要在几秒内保护它不被敌人抢走，您的多功能炮台就会获得该螺栓。\n\n每局对战最多可进行3波机甲进攻。每波进攻开始时，拥有螺栓数更多的队伍将制造一个攻坚机甲，而拥有的螺栓越多，造出的机甲就越强大。\n当心，多功能炮台发射的炮弹威力巨大，没有攻坚机甲的掩护请不要轻易靠近。"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","胜利奖章"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","荣誉提升"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","等级提升"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","胜利"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","战败"
"TID_BATTLE_END_GAIN_LABEL_DRAW","平局"
"TID_BATTLE_END_GAIN_LABEL_MVP","乱斗明星"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","排名分数"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","时间奖励"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","剩余奖章："
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","时间奖励"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","时间奖励"
"TID_BATTLE_END_COIN_REWARDS","奖章奖励"
"TID_BATTLE_END_MVP","乱斗明星"
"TID_BATTLE_END_DEFEAT_INFO","祝您下次好运！"
"TID_TUTORIAL_1","嗨，我是雪莉！我们一起来收集这些<ce662f9>宝石</c>吧！用左手拇指<c0066ff>拖动蓝色摇杆</c>，我就会向相应的方向移动。"
"TID_TUTORIAL_2","把散落的<ce662f9>宝石</c>都捡起来！它们全都属于我！"
"TID_TUTORIAL_3","机甲来袭！<ccc0033>拖动</c>右手边的<ccc0033>红色摇杆</c>瞄准，松开摇杆即可开火。消灭那些机甲！"
"TID_TUTORIAL_GOOD_JOB_1","干得好！"
"TID_TUTORIAL_5","更多敌人出现了！您可以<ccc0033>点击红色摇杆</c>，直接朝最近的目标射击。消灭那些机甲！"
"TID_TUTORIAL_6","现在使用超级技能攻击墙后边的首领！<cff9900>拖动黄色摇杆</c>来瞄准，松开即可发射超级技能！"
"TID_TUTORIAL_555","不错，继续前进！"
"TID_TUTORIAL_7","漂亮！我们拿到了<ce662f9>宝石</c>，现在向出口前进！"
"TID_TUTORIAL_8","击中敌人可以为超级技能充能。使用<cff9900>黄色摇杆</c>来发射超级技能攻击敌人！"
"TID_TUTORIAL_9","您真是天生的乱斗大师！\n现在去一展身手吧！"
"TID_TUTORIAL_10","命中敌军会为您的超级技能充能。我的超级技能已准备就绪！\n点击超级技能按钮！"
"TID_TUTORIAL_11","这些<cff6633>橙色能量条</c>代表您的弹药量。我会尽快装填弹药！"
"TID_FIGHT_TUTORIAL","对战"
"TID_HERO_SCORE_INFO","使用该英雄对抗其他玩家并取得胜利可为该英雄收集奖杯。\n\n达到<PROGRESS>奖杯即可提升荣誉，并获得<COINS>枚奖章。"
"TID_HERO_SCORE_INFO_LEG_TROS","使用该英雄对抗其他玩家并获胜可为该英雄收集奖杯。\n\n达到<PROGRESS>奖杯即可提升荣誉，并获得<COINS>枚奖章和<cff00ff><LEGTROS>星光点数</c>。"
"TID_HERO_SCORE_INFO_MAXED","您的荣誉已升至最高。\n\n"
"TID_XP_INFO_ME","您的经验等级。\n\n您可以通过对战获得经验值。再获得<REMPROGRESS>经验值可升至<LEVEL>级并获得<COINS>枚奖章。"
"TID_XP_INFO_OTHER","该玩家的经验等级"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","进行一场练习赛即可解锁正式对战"
"TID_SOCIAL_TAB_CLANS","战队"
"TID_SOCIAL_TAB_FRIENDS","好友"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>对战中</c>，已开始<TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>结算界面</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>观战中</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>练习中</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>匹配中</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>已组队</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>已组队</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>已组队</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>对战中</c>"
"TID_FRIEND_STATUS_MENUS","在线"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","组队！"
"TID_ONLINE_FRIENDS_POPUP_TITLE","在线玩家"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","无好友或战队成员在线"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","没有可邀请的好友或战队成员。最近有没有遇到很棒的队友呢？快把他们加为好友吧！"
"TID_CLAN_CREATE_BUTTON","创建"
"TID_CLAN_SAVE_BUTTON","保存"
"TID_CLAN_CREATE_TITLE","创建新战队"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","上次在线：<cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","1小时内"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","上次在线：<cf7f7f7><HOURS>小时前</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","上次在线：<cf7f7f7><DAYS>天前</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","上次在线：<cf7f7f7>1个月前</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>对战中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>在线</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>在线</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>匹配中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>在线</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>观战中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>练习中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>在线</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>在线</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>在线</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT>名成员在线"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT>名成员在线"
"TID_ALLIANCE_TYPE_OPEN","自由加入"
"TID_ALLIANCE_TYPE_INVITE_ONLY","需要批准"
"TID_ALLIANCE_TYPE_CLOSED","不可加入"
"TID_CLAN_SEARCH_TITLE","搜索战队"
"TID_CLAN_INTRO_AD_TITLE","寻找战队？"
"TID_CLAN_INTRO_AD_DESC","与其他玩家组队、聊天！"
"TID_CLAN_INTRO_CREATE_GO","创建战队"
"TID_CLAN_INTRO_SEARCH_GO","搜索战队"
"TID_CLAN_INTRO_REFRESH","刷新"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","该战队要求奖杯数达到<REQ>才能加入，您只有<SCORE>奖杯。"
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","该战队不对外开放"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_ALLIANCE_ROLE_LEADER","队长"
"TID_ALLIANCE_ROLE_CO_LEADER","副队长"
"TID_ALLIANCE_ROLE_MEMBER","队员"
"TID_ALLIANCE_ROLE_ELDER","资深队员"
"TID_STREAM_SENDER_YOU","您"
"TID_GOLDRUSH_1","硬石矿井"
"TID_BANKHEIST_1","强盗据点"
"TID_WANTED_1","神殿废墟"
"TID_BATTLE_ROYALE_1","幽暗溪流"
"TID_GOLDRUSH_2","水晶街机厅"
"TID_BANKHEIST_2","轰隆峡谷"
"TID_WANTED_2","囚徒营地"
"TID_BATTLE_ROYALE_2","焦黑大地"
"TID_GOLDRUSH_3","毒菇陷阱"
"TID_BANKHEIST_3","安全区域"
"TID_WANTED_3","坚石堡垒"
"TID_BATTLE_ROYALE_3","石墙林立"
"TID_WANTED_4","戈壁陷阱"
"TID_GOLDRUSH_4","坚石堡垒"
"TID_WANTED_5","空旷荒地"
"TID_GOLDRUSH_5","十面埋伏"
"TID_WANTED_6","蝮蛇草场"
"TID_WANTED_7","神秘流星"
"TID_GOLDRUSH_6","深渊餐厅"
"TID_GOLDRUSH_7","寒冷空间"
"TID_BATTLE_ROYALE_4","饥荒盛宴"
"TID_WANTED_8","草丛迷踪"
"TID_BANKHEIST_4","荒漠兽栏"
"TID_CLAN_MEMBERS_ONLINE","在线成员：<COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","战队奖杯"
"TID_CLAN_SEARCH_OK","搜索"
"TID_CLAN_INFO_NAME","战队名称"
"TID_CLAN_INFO_BADGE","徽章"
"TID_CLAN_INFO_DESC","描述"
"TID_CLAN_INFO_TOTAL_TROPHIES","战队奖杯"
"TID_CLAN_INFO_TYPE","类型"
"TID_CLAN_INFO_TAG","战队标签"
"TID_CLAN_INFO_MIN_TROPHIES","所需奖杯"
"TID_CLAN_INFO_LEAVE","退出"
"TID_CLAN_INFO_SETTINGS","设置"
"TID_CLAN_INFO_JOIN","加入"
"TID_CLAN_INFO_MESSAGE","消息"
"TID_CLAN_INFO_REQUEST_JOIN","申请加入"
"TID_CLAN_SEARCH_NO_RESULTS","未找到战队"
"TID_CLAN_SEARCH_INITIAL","请填写搜索关键词"
"TID_CLAN_INFO_MEMBERS","成员"
"TID_CLAN_INFO_SELECT_BADGE","浏览"
"TID_SELECT_BADGE","选择徽章"
"TID_ALLIANCE_CREATE_OK","战队创建成功"
"TID_CLAN_CHANGE_SETTINGS_TITLE","战队设置"
"TID_TITLE_ALLIANCE","战队信息"
"TID_ALLIANCE_LEFT","您已退出战队"
"TID_CLAN_MEMBER_DEMOTE","降职"
"TID_CLAN_MEMBER_PROMOTE","晋升"
"TID_CLAN_MEMBER_KICK","踢出"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","查看战队"
"TID_BUTTON_INVITE","邀请"
"TID_PLAYER_INFO_GOTO_CLAN","查看战队"
"TID_SELECT_PLAYER_THUMBNAIL","选择头像"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","经验等级达到<LEVEL>级后解锁"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","总奖杯数达到<TROPHIES>后解锁"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT>胜场"
"TID_PLAYER_INFO_TAB_1","数据"
"TID_PLAYER_INFO_TAB_2","英雄 (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3 VS 3胜场"
"TID_PLAYER_STAT_4","最高奖杯数"
"TID_PLAYER_STAT_8","单人决斗获胜"
"TID_PLAYER_STAT_10","天选英雄最佳纪录"
"TID_PLAYER_STAT_9","机甲入侵最佳记录"
"TID_PLAYER_STAT_11","双人决斗获胜"
"TID_PLAYER_STAT_12","首领之战最佳通关记录"
"TID_PLAYER_STAT_13","星徽竞技场最高积分"
"TID_PLAYER_STAT_14","星徽竞技场最高排名"
"TID_PLAYER_STAT_15","挑战最高胜场数"
"TID_NO_CLAN","未加入战队"
"TID_ULTIMATE_NOT_READY","击中敌人可为超级技能充能！"
"TID_CANT_ACTIVATE_ULTI","被击败时无法激活超级技能！"
"TID_NAME_TOO_SHORT","名称太短"
"TID_ALLIANCE_JOINED","已加入战队"
"TID_COIN_RUSH_INTRO_TEXT","收集10颗宝石"
"TID_BOUNTY_HUNTER_INTRO_TEXT","消灭敌方英雄以获得赏金之星"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","轰开敌方保险柜"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","轰开敌方保险柜"
"TID_GO","对战!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","确认退出"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\n您确定要退出战队吗？"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","退出"
"TID_ALLIANCE_PROMOTE_TITLE","确认晋升"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","您确定将<NAME>晋升为<ROLE>吗？"
"TID_ALLIANCE_PROMOTE_BUTTON","晋升"
"TID_ALLIANCE_KICK_TITLE","确认踢出"
"TID_ALLIANCE_KICK_CONFIRMATION","您确定将<NAME>踢出战队吗？"
"TID_ALLIANCE_KICK_BUTTON","踢出"
"TID_ALLIANCE_DEMOTE_TITLE","确认降职"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","您确定将<NAME>降职为<ROLE>吗？"
"TID_ALLIANCE_DEMOTE_BUTTON","降职"
"TID_CLAN_RESPONSE_10","设置已保存"
"TID_CLAN_RESPONSE_20","战队创建成功"
"TID_CLAN_RESPONSE_21","战队创建失败，请稍后重试"
"TID_CLAN_RESPONSE_22","战队名称不符合要求"
"TID_CLAN_RESPONSE_23","战队描述不符合要求"
"TID_CLAN_RESPONSE_24","名称太短"
"TID_CLAN_RESPONSE_40","已加入战队"
"TID_CLAN_RESPONSE_42","加入失败：战队已满"
"TID_CLAN_RESPONSE_43","加入失败：战队不对外开放"
"TID_CLAN_RESPONSE_45","加入失败：您的奖杯数太低，无法加入该战队。"
"TID_CLAN_RESPONSE_46","加入失败：您之前被该战队踢出或拒绝过，无法再次申请加入。"
"TID_CLAN_RESPONSE_47","加入失败：您今天加入过太多战队，请明天再试。"
"TID_CLAN_RESPONSE_48","加入失败：无法加入其他地区的战队"
"TID_CLAN_RESPONSE_50","申请已发送"
"TID_CLAN_RESPONSE_51","申请发送失败：该战队已设置为不可加入"
"TID_CLAN_RESPONSE_52","申请发送失败：您之前向该战队发送的申请仍在等待处理"
"TID_CLAN_RESPONSE_53","申请发送失败：您的奖杯数太低，无法加入该战队。"
"TID_CLAN_RESPONSE_54","申请发送失败：您之前被该战队踢出或拒绝过，已被该战队屏蔽。"
"TID_CLAN_RESPONSE_55","申请发送失败：无法加入其他地区的战队"
"TID_CLAN_RESPONSE_56","加入失败：该战队并非全年龄都可加入。"
"TID_CLAN_RESPONSE_70","踢出成功"
"TID_CLAN_RESPONSE_80","您退出了战队"
"TID_CLAN_RESPONSE_81","晋升成功"
"TID_CLAN_RESPONSE_82","降职成功"
"TID_CLAN_RESPONSE_90","接受成功"
"TID_CLAN_RESPONSE_91","拒绝成功"
"TID_CLAN_RESPONSE_92","接受失败：该玩家已经加入了一个战队"
"TID_CLAN_RESPONSE_93","操作失败：无法找到申请"
"TID_CLAN_RESPONSE_94","操作失败：申请已处理"
"TID_CLAN_RESPONSE_95","操作失败：没有权限"
"TID_CLAN_RESPONSE_96","接受失败：该玩家已经被本战队屏蔽"
"TID_CLAN_RESPONSE_100","您已被踢出战队"
"TID_CLAN_RESPONSE_101","您已被晋升"
"TID_CLAN_RESPONSE_102","您已被降职"
"TID_CLAN_RESPONSE_112","您需要等待<TIME>才能再次发送战队邮件"
"TID_CLAN_RESPONSE_113","已成功发送战队邮件"
"TID_CLAN_NO_RIGHTS","您没有足够的权限进行此操作"
"TID_ALLIANCE_NAME_TOO_SHORT","战队名称太短"
"TID_CLAN_JOIN_REQUEST_TITLE","申请加入战队"
"TID_CLAN_JOIN_REQUEST_SEND","发送"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","我想加入你的战队......"
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","接受该玩家的战队加入申请？"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","接受"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","拒绝"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","申请已被<name>接受"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","申请已被<name>拒绝"
"TID_HINT_DRAG_TO_AIM","拖动以瞄准"
"TID_HINT_RELEASE_TO_SHOOT","松开以射击"
"TID_HINT_ACTIVATE_ULTI","拖拽<cff9900>黄色虚拟摇杆</c>为超级技能瞄准！"
"TID_HINT_DRAG_TO_ULTI","拖动摇杆，瞄准超级技能。松开摇杆，施放超级技能！"
"TID_HINT_COLLECT_GOLD","英雄被击败时，身上的<ce662f9>宝石</c>就会掉落。"
"TID_HINT_HOLD_GOLD","守住您的<ce662f9>宝石</c>！"
"TID_HINT_GO_AFTER_ENEMY","追击敌军！"
"TID_HINT_ATTACK_BASE","轰开敌方保险柜，保护我方保险柜！"
"TID_HINT_DEFEND_BASE","轰开敌方保险柜，保护我方保险柜！"
"TID_HINT_SHOOT_ENEMIES","击败对方英雄以获得赏金之星！"
"TID_HINT_YOU_ARE_WINNING","您的队伍正在向胜利迈进！注意防守！"
"TID_HINT_YOU_ARE_LOSING","您的队伍快要输了！加强进攻！"
"TID_HINT_TAP_TO_MOVE","轻击地面移动英雄\n与您的队友一起行动"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","注意：您现在值一大笔赏金！"
"TID_BOUNTY_3","注意：您现在值一笔巨额赏金！"
"TID_BOUNTY_4","您已是对方的头号目标！"
"TID_NO_CLAN_TITLE","寻找战队"
"TID_NO_CLAN_BODY","加入战队，与志趣相投的玩家一起聊天畅玩！"
"TID_NO_CLAN_SUGGESTIONS","为您推荐的战队"
"TID_NO_CLAN_RESULTS","搜索结果"
"TID_NO_CLAN_EMPTY","没有推荐的战队"
"TID_NO_CLAN_WAITING_FOR_DATA","等待数据..."
"TID_CONNECTING_TO_SERVER","正在连接服务器..."
"TID_TEAM_ADVERTISE","发送邀请"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","战队"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","好友"
"TID_TEAM_AD_INFO_0","寻找玩家进行组队游戏"
"TID_TEAM_AD_JOIN","加入小队"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","无法加入，您已经加入了一个小队。"
"TID_TEAM_MEMBER_STATUS_0","<c999999>离线</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>对战中</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>离开</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>准备中</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>匹配中</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>结算界面</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>离线</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>观战中</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>练习中</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>正在输入</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>选择英雄</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>选择活动</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>准备就绪</c>"
"TID_TEAM_STATUS_IN_MATCH","对战中"
"TID_TEAM_STATUS_IN_MATCHMAKING","匹配中"
"TID_TEAM_STATUS_FULL","<cff1e00>已满</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","公开"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","您需要加入一个战队才能使用该功能"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","添加好友后即可开启此功能"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","小队已满，无法发送邀请"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","仅小队创建者可用"
"TID_TEAM_LOC_INFO","位于<LOC>的<MODE>"
"TID_TEAM_DISPLAY_TITLE_EVENT","小队"
"TID_STREAM_EVENT_1","<target>被<sender>踢出了战队。再见了！"
"TID_STREAM_EVENT_2","<sender>接受了<target>加入战队。欢迎！"
"TID_STREAM_EVENT_3","<sender>加入了战队。欢迎！"
"TID_STREAM_EVENT_4","<sender>退出了战队。再见了！"
"TID_STREAM_EVENT_5","<target>被<sender>晋升了。恭喜！"
"TID_STREAM_EVENT_6","<target>被<sender>降职了。公事公办！"
"TID_STREAM_EVENT_101","<sender>创建的小队"
"TID_STREAM_EVENT_102","玩家<sender>已加入"
"TID_STREAM_EVENT_103","玩家<sender>已退出"
"TID_STREAM_EVENT_104","<sender>踢出了<target>。再见了！"
"TID_STREAM_EVENT_105","已开始匹配"
"TID_STREAM_EVENT_106","匹配已取消"
"TID_STREAM_EVENT_107","对战已开始"
"TID_STREAM_EVENT_108","对战胜利"
"TID_STREAM_EVENT_109","对战失败"
"TID_STREAM_EVENT_110","练习已开始"
"TID_STREAM_EVENT_111","练习已结束"
"TID_STREAM_EVENT_112","平局"
"TID_STREAM_EVENT_113","荒野决斗已结束"
"TID_STREAM_EVENT_114","已屏蔽文字聊天"
"TID_STREAM_EVENT_115","文字聊天屏蔽已解除"
"TID_CHAT_BOTTOM_BUTTON","向下滑动"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count>条新消息！"
"TID_CHAT_BOTTOM_NEW_MESSAGE","新消息！"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","升至<LVL>级"
"TID_HERO_INFO_ITEMS","升级"
"TID_HERO_INFO_SKINS","英雄"
"TID_HERO_INFO_SKIN_OWNED","您已经拥有该皮肤"
"TID_HERO_INFO_SKIN_ACTIVE","已选择"
"TID_HERO_INFO_SKIN_ACTIVATE","选择"
"TID_HERO_INFO_LEADERBOARD","排行榜"
"TID_HERO_INFO_LEADERBOARD_LABEL","最佳<HERO>玩家"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","搜索"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","拖动并按住为超级技能瞄准！"
"TID_HINT_SHOOT","拖动进行瞄准，松开即可射击"
"TID_HERO_SCORE_SUM_LEADERBOARD","最佳玩家"
"TID_ALLIANCE_LEADERBOARD","最强战队"
"TID_HINT_MAKE_GOAL","拖动进行瞄准，松开把球踢出"
"TID_BATTLE_ROYALE_INTRO_TEXT","成为唯一的生还者！"
"TID_HINT_COLLECT_BUFFS","从木箱和敌人身上收集<c50d050>能量块</c>，\n您就能变得更强！"
"TID_PLAYERS_LEFT","剩余英雄：<num>"
"TID_AVOID_POISON","远离不断扩大的<c90ee90>毒雾区</c>！"
"TID_CLAN_CREATE_COOLDOWN","无法创建战队，请在<TIME>后重试。"
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","经验等级达到<LEVEL>级才能创建战队"
"TID_PLAYER_DATA_MISSING","玩家数据缺失"
"TID_ALLIANCE_DATA_MISSING","战队数据缺失"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","等待英雄重新装填弹药！"
"TID_EVENT_EXPIRED","活动已结束"
"TID_DOUBLE_COINS_INFO","在该模式中对战可以获得双倍奖章"
"TID_DOUBLE_XP_INFO","在该模式中对战可以获得双倍经验值"
"TID_SETTINGS_TITLE","设置"
"TID_SETTINGS_CONTROL_MODE_TITLE","操控模式"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","点击移动"
"TID_SETTINGS_CONTROL_MODE_INFO_0","点击屏幕使英雄移动至点击处。拖动以瞄准，松开以射击。"
"TID_SETTINGS_CONTROL_MODE_VALUE_1","摇杆移动（惯用右手）"
"TID_SETTINGS_CONTROL_MODE_INFO_1","使用屏幕左下角的虚拟摇杆进行移动，点击目标以射击。"
"TID_SETTINGS_CONTROL_MODE_VALUE_2","摇杆移动（惯用左手）"
"TID_SETTINGS_CONTROL_MODE_INFO_2","使用屏幕右下角的虚拟摇杆进行移动，点击目标以射击。"
"TID_CHANGE_NAME_TITLE","更改名称"
"TID_SETTINGS_PLAYERNAME_CURRENT","当前名称："
"TID_SETTINGS_PLAYERNAME_ENTERNEW","输入新名称："
"TID_ERROR_NAMES_DONT_MATCH","输入的名称不一致，请重试。"
"TID_CONTINUE","继续"
"TID_NAMECHANGE_WARNING","注意：您只能更改一次名称。"
"TID_CONFIRM","确认"
"TID_INVALID_NAME","名称无效！请尝试其他名称。"
"TID_SETTINGS_PLAYERNAME_REENTERNEW","再次输入您的新名称："
"TID_NAME_ALREADY_CHANGED","名称只能更改一次"
"TID_NAME_CHANGE_ALREADY_USED","您已经更改过一次名称了"
"TID_NAME_CHANGED_SUCCESS","您的名称已更改！"
"TID_NAME_CHANGE_IN_PROGRESS","无法更改名称，之前的改名请求仍在处理。"
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","经验等级达到<level>级后可更改名称"
"TID_CONFIRM_CONFIRM","请输入\q<confirmword>\q，然后点击确定按钮完成操作"
"TID_CONFIRM_WORD","确认"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","您确定要更改名称吗？\n您的新名称将为："
"TID_BUTTON_CONFIRM","确定"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","活动刷新"
"TID_EVENTS_TIME_LEFT","剩余时间"
"TID_EVENTS_NEW","新！"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","已获得所有经验"
"TID_EVENTS_EVENT_LOCKED","未解锁"
"TID_EVENTS_TROPHY_REQ","总奖杯数达到<c00ffff><COUNT></c>即可解锁"
"TID_EVENTS_PRO_LEAGUE_REQ","获得任意一位英雄的星徽之力即可解锁"
"TID_GAME_STARTING","在<LOCATION>即将开始一场对战，快去加入他们！"
"TID_WEEKEND_EVENT","双倍经验活动"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","商店暂时关闭"
"TID_GATCHA_TEMPORARILY_DISABLED","暂时无法打开乱斗宝箱"
"TID_SHOP_WELCOME_TITLE","欢迎来到商店"
"TID_SHOP_WELCOME","随着游戏的进行，商店将解锁更多版块！\n\n记得多来逛逛，看看有什么新商品！"
"TID_SHOP_SPECIAL_OFFER","特惠活动"
"TID_SHOP_COIN_BOOSTERS","加成"
"TID_SHOP_GEM_PACKS","宝石礼包"
"TID_SHOP_PURCHASED","已购买"
"TID_SHOP_OBTAINED","已获得"
"TID_SHOP_INVALIDATED","已失效"
"TID_SHOP_ACTIVE","激活"
"TID_SHOP_DOUBLE_COINS_TITLE","双倍奖章加成"
"TID_SHOP_DOUBLE_COINS_INFO","接下来通过对战获得的"
"TID_SHOP_DOUBLE_COINS_INFO_2","将会翻倍。"
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","接下来通过对战获得的<AMOUNT>枚奖章将会翻倍"
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","剩余奖章："
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","宝石数量不足"
"TID_SHOP_OFFER_PURCHASE_ERROR_3","您已购买过"
