"TID","NL"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>eindscherm gevecht</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>kijkt toe</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>oefent</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>in koppelprocedure</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>in team</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>in team</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>in team</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>vecht</c>"
"TID_FRIEND_STATUS_MENUS","in menu"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","VORM EEN TEAM!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","ONLINE SPELERS"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Geen vrienden of clubleden online"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Geen vrienden of clubleden beschikbaar voor een uitnodiging. Heb je laatst met een goede speler gespeeld? Voeg hem toe als vriend!"
"TID_CLAN_CREATE_BUTTON","OPRICHTEN"
"TID_CLAN_SAVE_BUTTON","OPSLAAN"
"TID_CLAN_CREATE_TITLE","EEN NIEUWE CLUB OPRICHTEN"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Laatst online: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","< 1 uur geleden"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Voor het laatst online: <cf7f7f7><HOURS>u geleden</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Voor het laatst online: <cf7f7f7><DAYS>d geleden</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Voor het laatst online: <cf7f7f7>> 1 maand geleden</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>VECHT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>IN MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>IN MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>IN KOPPELPROCEDURE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>IN MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>KIJKT TOE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>OEFENT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>IN MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>IN MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>IN MENU</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> leden online"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> lid online"
"TID_ALLIANCE_TYPE_OPEN","Openbaar"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Op uitnodiging"
"TID_ALLIANCE_TYPE_CLOSED","Besloten"
"TID_CLAN_SEARCH_TITLE","ZOEKEN NAAR CLUBS"
"TID_CLAN_INTRO_AD_TITLE","OP ZOEK NAAR EEN CLUB?"
"TID_CLAN_INTRO_AD_DESC","Speel samen en chat met andere spelers."
"TID_CLAN_INTRO_CREATE_GO","CLUB OPRICHTEN"
"TID_CLAN_INTRO_SEARCH_GO","ZOEKEN NAAR CLUBS"
"TID_CLAN_INTRO_REFRESH","VERNIEUWEN"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Je hebt <REQ> trofeeën nodig om lid te kunnen worden. Je hebt maar <SCORE> trofeeën."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Deze club is besloten."
"TID_STREAM_ENTRY_AGE","<time> geleden"
"TID_ALLIANCE_ROLE_LEADER","Voorzitter"
"TID_ALLIANCE_ROLE_CO_LEADER","Co-voorzitter"
"TID_ALLIANCE_ROLE_MEMBER","Lid"
"TID_ALLIANCE_ROLE_ELDER","Oudste"
"TID_STREAM_SENDER_YOU","Jij"
"TID_GOLDRUSH_1","Steenmijn"
"TID_BANKHEIST_1","Dievenschat"
"TID_WANTED_1","Tempelruïne"
"TID_BATTLE_ROYALE_1","Schedelbeek"
"TID_GOLDRUSH_2","Kristallen arcade"
"TID_BANKHEIST_2","Kaboemvallei"
"TID_WANTED_2","Ballingkamp"
"TID_BATTLE_ROYALE_2","Verschroeide steen"
"TID_GOLDRUSH_3","Amanietgrot"
"TID_BANKHEIST_3","Veiligheidszone"
"TID_WANTED_3","Steenfort"
"TID_BATTLE_ROYALE_3","Rotsmuurstrijd"
"TID_WANTED_4","Amanietval"
"TID_GOLDRUSH_4","Steenfort"
"TID_WANTED_5","Kristalvlakte"
"TID_GOLDRUSH_5","Benedenmijn"
"TID_WANTED_6","Slangenprairie"
"TID_WANTED_7","Vallende ster"
"TID_GOLDRUSH_6","Diepzeediner"
"TID_GOLDRUSH_7","Recreatieruimte"
"TID_BATTLE_ROYALE_4","Feest of hongersnood"
"TID_WANTED_8","Schuilplaats"
"TID_BANKHEIST_4","G.G. Stal"
"TID_CLAN_MEMBERS_ONLINE","Leden online: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Clubtrofeeën"
"TID_CLAN_SEARCH_OK","ZOEKEN"
"TID_CLAN_INFO_NAME","CLUBNAAM"
"TID_CLAN_INFO_BADGE","BADGE"
"TID_CLAN_INFO_DESC","BESCHRIJVING"
"TID_CLAN_INFO_TOTAL_TROPHIES","CLUBTROFEEËN"
"TID_CLAN_INFO_TYPE","TYPE"
"TID_CLAN_INFO_TAG","Club-ID"
"TID_CLAN_INFO_MIN_TROPHIES","VEREISTE TROFEEËN"
"TID_CLAN_INFO_LEAVE","VERLATEN"
"TID_CLAN_INFO_SETTINGS","INSTELLINGEN"
"TID_CLAN_INFO_JOIN","MEEDOEN"
"TID_CLAN_INFO_MESSAGE","Bericht"
"TID_CLAN_INFO_REQUEST_JOIN","Aansluitverzoek"
"TID_CLAN_SEARCH_NO_RESULTS","Geen clubs gevonden"
"TID_CLAN_SEARCH_INITIAL","Geen zoekterm"
"TID_CLAN_INFO_MEMBERS","Leden"
"TID_CLAN_INFO_SELECT_BADGE","ZOEKEN"
"TID_SELECT_BADGE","BADGE KIEZEN"
"TID_ALLIANCE_CREATE_OK","Club succesvol opgericht"
"TID_CLAN_CHANGE_SETTINGS_TITLE","CLUBINSTELLINGEN"
"TID_TITLE_ALLIANCE","Club-info"
"TID_ALLIANCE_LEFT","Je hebt de club verlaten"
"TID_CLAN_MEMBER_DEMOTE","Degraderen"
"TID_CLAN_MEMBER_PROMOTE","Promoveren"
"TID_CLAN_MEMBER_KICK","Eruit zetten"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Club bekijken"
"TID_BUTTON_INVITE","UITNODIGEN"
"TID_PLAYER_INFO_GOTO_CLAN","Club bekijken"
"TID_SELECT_PLAYER_THUMBNAIL","Pictogram selecteren"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Dit pictogram wordt ontgrendeld op ervaringslevel <LEVEL>."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Dit pictogram wordt ontgrendeld als je in totaal <TROPHIES> trofeeën hebt behaald."
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> overwinningen"
"TID_PLAYER_INFO_TAB_1","STATISTIEKEN"
"TID_PLAYER_INFO_TAB_2","KNOKKERS (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3-TEGEN-3-OVERWINNINGEN"
"TID_PLAYER_STAT_4","HOOGSTE AANTAL TROFEEËN"
"TID_PLAYER_STAT_8","SOLO-OVERWINNINGEN"
"TID_PLAYER_STAT_10","BESTE TIJD ALS MEGAKNOKKER"
"TID_PLAYER_STAT_9","BESTE ROBOROMMEL-TIJD"
"TID_PLAYER_STAT_11","DUO-OVERWINNINGEN"
"TID_PLAYER_STAT_12","HOOGSTE BAASGEVECHTLEVEL"
"TID_PLAYER_STAT_13","MEESTE KRACHTSPEL-PUNTEN"
"TID_PLAYER_STAT_14","HOOGSTE KRACHTSPEL-POSITIE"
"TID_PLAYER_STAT_15","MEESTE UITDAGINGSZEGES"
"TID_NO_CLAN","Niet in een club"
"TID_ULTIMATE_NOT_READY","Raak vijanden om je super op te laden."
"TID_CANT_ACTIVATE_ULTI","Super kan niet worden gebruikt als je bent verslagen."
"TID_NAME_TOO_SHORT","Je naam is te kort."
"TID_ALLIANCE_JOINED","Aangesloten bij club"
"TID_COIN_RUSH_INTRO_TEXT","Grijp 10 edelstenen om te winnen."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Versla knokkers voor sterren"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Schiet de kluis van de vijand open"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Schiet de kluis van de vijand open"
"TID_GO","VECHTEN!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","VERLATEN BEVESTIGEN"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nWeet je zeker dat je de club wilt verlaten?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","VERLATEN"
"TID_ALLIANCE_PROMOTE_TITLE","Promotie bevestigen"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Weet je zeker dat je <NAME> wilt promoveren tot <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promoveren"
"TID_ALLIANCE_KICK_TITLE","Eruit zetten bevestigen"
"TID_ALLIANCE_KICK_CONFIRMATION","Weet je zeker dat je <NAME> uit de club wilt zetten?"
"TID_ALLIANCE_KICK_BUTTON","Eruit zetten"
"TID_ALLIANCE_DEMOTE_TITLE","Degradatie bevestigen"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Weet je zeker dat je <NAME> wilt degraderen tot <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Degraderen"
"TID_CLAN_RESPONSE_10","Instellingen opgeslagen"
"TID_CLAN_RESPONSE_20","Club opgericht"
"TID_CLAN_RESPONSE_21","Club oprichten mislukt. Probeer het later opnieuw."
"TID_CLAN_RESPONSE_22","Naam niet geaccepteerd"
"TID_CLAN_RESPONSE_23","Beschrijving niet geaccepteerd"
"TID_CLAN_RESPONSE_24","Naam te kort"
"TID_CLAN_RESPONSE_40","Aangesloten bij club"
"TID_CLAN_RESPONSE_42","Aansluiten mislukt: de club zit vol."
"TID_CLAN_RESPONSE_43","Aansluiten mislukt: de club is niet open."
"TID_CLAN_RESPONSE_45","Aansluiten mislukt: je hebt te weinig trofeeën om je bij deze club aan te sluiten."
"TID_CLAN_RESPONSE_46","Aansluiten mislukt: je bent verbannen uit deze club omdat je er eerder uit bent gezet of een eerder aansluitverzoek is afgewezen."
"TID_CLAN_RESPONSE_47","Aansluiten mislukt: je hebt je bij te veel clubs aangesloten vandaag. Je kunt je vandaag niet meer bij een club aansluiten."
"TID_CLAN_RESPONSE_48","Aansluiten mislukt: je kunt je niet aansluiten bij een club in een andere regio."
"TID_CLAN_RESPONSE_50","Aansluitverzoek succesvol verzonden"
"TID_CLAN_RESPONSE_51","Verzenden aansluitverzoek mislukt: de club is niet langer open voor aansluitverzoeken."
"TID_CLAN_RESPONSE_52","Verzenden aansluitverzoek mislukt: er is al een aansluitverzoek voor je in behandeling voor deze club."
"TID_CLAN_RESPONSE_53","Verzenden aansluitverzoek mislukt: je hebt te weinig trofeeën om je bij deze club aan te sluiten."
"TID_CLAN_RESPONSE_54","Aansluitverzoek mislukt: je bent verbannen uit deze club omdat je er eerder uit bent gezet of een eerder aansluitverzoek is afgewezen."
"TID_CLAN_RESPONSE_55","Aansluitverzoek mislukt: je kunt je niet aansluiten bij een club in een andere regio."
"TID_CLAN_RESPONSE_56","Aansluiten mislukt: deze club is niet gezinsvriendelijk."
"TID_CLAN_RESPONSE_70","Eruit zetten gelukt"
"TID_CLAN_RESPONSE_80","Je hebt de club verlaten."
"TID_CLAN_RESPONSE_81","Promoveren succesvol"
"TID_CLAN_RESPONSE_82","Degraderen succesvol"
"TID_CLAN_RESPONSE_90","Accepteren succesvol"
"TID_CLAN_RESPONSE_91","Afwijzen succesvol"
"TID_CLAN_RESPONSE_92","Accepteren mislukt: speler zit al in een club."
"TID_CLAN_RESPONSE_93","Handeling mislukt: verzoek kan niet worden gevonden."
"TID_CLAN_RESPONSE_94","Handeling mislukt: verzoek al behandeld."
"TID_CLAN_RESPONSE_95","Handeling mislukt: geen bevoegdheid"
"TID_CLAN_RESPONSE_96","Accepteren mislukt: speler werd verbannen uit deze club."
"TID_CLAN_RESPONSE_100","Je bent uit de club gezet."
"TID_CLAN_RESPONSE_101","Je bent gepromoveerd!"
"TID_CLAN_RESPONSE_102","Je bent gedegradeerd!"
"TID_CLAN_RESPONSE_112","Versturen van clubmail nog in afkoelperiode voor <TIME>"
"TID_CLAN_RESPONSE_113","Clubmail verstuurd"
"TID_CLAN_NO_RIGHTS","Je hebt geen bevoegdheid om dit te doen."
"TID_ALLIANCE_NAME_TOO_SHORT","De clubnaam is te kort."
"TID_CLAN_JOIN_REQUEST_TITLE","Verzoek clublidmaatschap"
"TID_CLAN_JOIN_REQUEST_SEND","Verzenden"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Ik wil me graag bij je club aansluiten..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Deze speler toelaten tot de club?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accepteren"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Afwijzen"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Geaccepteerd door <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Afgewezen door <name>"
"TID_HINT_DRAG_TO_AIM","Sleep om te richten"
"TID_HINT_RELEASE_TO_SHOOT","Laat los om te schieten"
"TID_HINT_ACTIVATE_ULTI","Sleep de <cff9900>gele joystick</c> om je superaanval te richten."
"TID_HINT_DRAG_TO_ULTI","Sleep om je super te richten. Laat los om te vuren!"
"TID_HINT_COLLECT_GOLD","Knokkers laten hun <ce662f9>edelstenen</c> vallen als ze worden verslagen."
"TID_HINT_HOLD_GOLD","Hou je <ce662f9>edelstenen</c> vast!"
"TID_HINT_GO_AFTER_ENEMY","Ga de vijand achterna!"
"TID_HINT_ATTACK_BASE","Schiet de kluis van de vijand open en bescherm je eigen kluis!"
"TID_HINT_DEFEND_BASE","Schiet de kluis van de vijand open en bescherm je eigen kluis!"
"TID_HINT_SHOOT_ENEMIES","Versla vijanden voor sterren!"
"TID_HINT_YOU_ARE_WINNING","Je team is aan het winnen. Tijd om je te verdedigen."
"TID_HINT_YOU_ARE_LOSING","Je team is aan het verliezen. Tijd om aan te vallen."
"TID_HINT_TAP_TO_MOVE","Tik om te verplaatsen\nVerplaats je met je team"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Pas op! Je bent een hoge premie waard."
"TID_BOUNTY_3","Pas op! Je bent een enorme premie waard."
"TID_BOUNTY_4","Gezocht: dood of levend!"
"TID_NO_CLAN_TITLE","Een club vinden"
"TID_NO_CLAN_BODY","Sluit je aan bij een club om te chatten en om samen te spelen!"
"TID_NO_CLAN_SUGGESTIONS","Aanbevolen clubs voor jou"
"TID_NO_CLAN_RESULTS","Zoekresultaten"
"TID_NO_CLAN_EMPTY","Geen aanbevolen clubs :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Wachten op gegevens..."
"TID_CONNECTING_TO_SERVER","Verbinding maken met server..."
"TID_TEAM_ADVERTISE","ADVERTEREN"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","in club"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","aan vrienden"
"TID_TEAM_AD_INFO_0","Zoeken naar spelers voor een teamspel"
"TID_TEAM_AD_JOIN","Aansluiten bij team"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Je kunt je niet aansluiten. Je zit al in een team."
"TID_TEAM_MEMBER_STATUS_0","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>VECHT</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>WEG</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>NIET KLAAR</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>IN KOPPELPROCEDURE</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>EINDSCHERM</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>KIJKT TOE</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>OEFENT</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>TYPT...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>KNOKKERS</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>EVENEMENTEN</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>KLAAR</c>"
"TID_TEAM_STATUS_IN_MATCH","VECHT"
"TID_TEAM_STATUS_IN_MATCHMAKING","IN KOPPELPROCEDURE"
"TID_TEAM_STATUS_FULL","<cff1e00>VOL</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","OPEN"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","Je moet je aansluiten bij een club voor deze functie."
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","Je moet vrienden hebben voor deze functie."
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Kan niet worden geadverteerd. Het team zit vol."
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","Dit is enkel toegestaan voor de teamsamensteller."
"TID_TEAM_LOC_INFO","<MODE> in <LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","TEAMS"
"TID_STREAM_EVENT_1","Doei! <target> is uit de club gezet door <sender>."
"TID_STREAM_EVENT_2","Welkom! <target> werd toegelaten tot de club door <sender>."
"TID_STREAM_EVENT_3","Welkom! <sender> heeft zich bij de club aangesloten."
"TID_STREAM_EVENT_4","Doei! <sender> heeft de club verlaten."
"TID_STREAM_EVENT_5","Gefeliciteerd! <target> is gepromoveerd door <sender>."
"TID_STREAM_EVENT_6","Niets persoonlijks! <target> is gedegradeerd door <sender>."
"TID_STREAM_EVENT_101","Team samengesteld door <sender>."
"TID_STREAM_EVENT_102","Speler <sender> heeft zich aangesloten."
"TID_STREAM_EVENT_103","Speler <sender> is weg."
"TID_STREAM_EVENT_104","Doei! <sender> heeft <target> eruit gezet."
"TID_STREAM_EVENT_105","koppeling gestart"
"TID_STREAM_EVENT_106","koppeling geannuleerd"
"TID_STREAM_EVENT_107","gevecht begonnen"
"TID_STREAM_EVENT_108","gevecht gewonnen"
"TID_STREAM_EVENT_109","gevecht verloren"
"TID_STREAM_EVENT_110","training gestart"
"TID_STREAM_EVENT_111","training voorbij"
"TID_STREAM_EVENT_112","gelijkspel"
"TID_STREAM_EVENT_113","showdown voorbij"
"TID_STREAM_EVENT_114","Chat uitgeschakeld"
"TID_STREAM_EVENT_115","Chat weer ingeschakeld"
"TID_CHAT_BOTTOM_BUTTON","Omlaag bladeren"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> nieuwe berichten!"
"TID_CHAT_BOTTOM_NEW_MESSAGE","Nieuw bericht!"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","Upgraden naar level <LVL>"
"TID_HERO_INFO_ITEMS","UPGRADES"
"TID_HERO_INFO_SKINS","KNOKKER"
"TID_HERO_INFO_SKIN_OWNED","Je hebt deze skin al."
"TID_HERO_INFO_SKIN_ACTIVE","GESELECTEERD"
"TID_HERO_INFO_SKIN_ACTIVATE","SELECTEREN"
"TID_HERO_INFO_LEADERBOARD","Klassement"
"TID_HERO_INFO_LEADERBOARD_LABEL","Beste <HERO>-spelers"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","ZOEKEN"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","Sleep om je super te richten!"
"TID_HINT_SHOOT","Sleep om te richten. Laat los om te vuren."
"TID_HERO_SCORE_SUM_LEADERBOARD","Beste spelers"
"TID_ALLIANCE_LEADERBOARD","Beste clubs"
"TID_HINT_MAKE_GOAL","Sleep om te richten. Laat los om de bal weg te schoppen."
"TID_BATTLE_ROYALE_INTRO_TEXT","Blijf als laatste over!"
"TID_HINT_COLLECT_BUFFS","Verzamel <c50d050>krachtkubussen</c> uit kratten en van\nvijanden om sterker te worden!"
"TID_PLAYERS_LEFT","Knokkers over: <num>"
"TID_AVOID_POISON","Kom niet in de buurt van de <c90ee90>gifwolken</c>!"
"TID_CLAN_CREATE_COOLDOWN","Kan nog geen club oprichten. Probeer het opnieuw over <TIME>."
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","Je moet ervaringslevel <LEVEL> bereiken om een club op te richten."
"TID_PLAYER_DATA_MISSING","Missende spelersgegevens"
"TID_ALLIANCE_DATA_MISSING","Missende clubgegevens"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","Wacht op munitie om te herladen."
"TID_EVENT_EXPIRED","Evenement afgelopen"
"TID_DOUBLE_COINS_INFO","Als je hier vecht, verdien je dubbel zoveel tokens."
"TID_DOUBLE_XP_INFO","Als je hier vecht, verdien je dubbel zoveel ervaring."
"TID_SETTINGS_TITLE","INSTELLINGEN"
"TID_SETTINGS_CONTROL_MODE_TITLE","BESTURINGSMODUS"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","Tik om te verplaatsen"
"TID_SETTINGS_CONTROL_MODE_INFO_0","Tik op het scherm om je knokker daarheen te verplaatsen. Sleep om te richten en laat los om te schieten."
"TID_SETTINGS_CONTROL_MODE_VALUE_1","Joystick om te verplaatsen (rechtshandig)"
"TID_SETTINGS_CONTROL_MODE_INFO_1","Verplaats je met de virtuele joystick linksonder in beeld. Tik op een doel om te schieten."
"TID_SETTINGS_CONTROL_MODE_VALUE_2","Joystick om te verplaatsen (linkshandig)"
"TID_SETTINGS_CONTROL_MODE_INFO_2","Verplaats je met de virtuele joystick rechtsonder in beeld. Tik op een doel om te schieten."
"TID_CHANGE_NAME_TITLE","NAAM WIJZIGEN"
"TID_SETTINGS_PLAYERNAME_CURRENT","Huidige naam:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Voer nieuwe naam in:"
"TID_ERROR_NAMES_DONT_MATCH","De namen komen niet overeen. Probeer het opnieuw."
"TID_CONTINUE","Doorgaan"
"TID_NAMECHANGE_WARNING","LET OP: je kunt je naam maar ÉÉN keer wijzigen!"
"TID_CONFIRM","Bevestigen"
"TID_INVALID_NAME","Ongeldige naam! Probeer een andere naam."
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Voer je nieuwe naam opnieuw in:"
"TID_NAME_ALREADY_CHANGED","Je kunt je naam maar één keer wijzigen."
"TID_NAME_CHANGE_ALREADY_USED","Je hebt je naam al een keer gewijzigd"
"TID_NAME_CHANGED_SUCCESS","Je naam is gewijzigd!"
"TID_NAME_CHANGE_IN_PROGRESS","Je kunt je naam niet wijzigen. De vorige naamswijziging is nog aan de gang."
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","Een naamswijziging is beschikbaar vanaf ervaringslevel <level>."
"TID_CONFIRM_CONFIRM","Typ '<confirmword>' en tik op OK om de actie te voltooien."
"TID_CONFIRM_WORD","BEVESTIGEN"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Weet je zeker dat je je naam wilt wijzigen?\nJe nieuwe naam wordt:"
"TID_BUTTON_CONFIRM","OK"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","Volgend evenement over"
"TID_EVENTS_TIME_LEFT","Resterende tijd"
"TID_EVENTS_NEW","NIEUW!"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","Alle verzamelde ervaringspunten"
"TID_EVENTS_EVENT_LOCKED","VERGRENDELD"
"TID_EVENTS_TROPHY_REQ","Behaal in totaal <c00ffff><COUNT></c> trofeeën om te ontgrendelen."
"TID_EVENTS_PRO_LEAGUE_REQ","Bemachtig een sterrenkracht voor een knokker om te ontgrendelen."
"TID_GAME_STARTING","Er begint een spel in <LOCATION>. Speel mee!"
"TID_WEEKEND_EVENT","Dubbelervaringsevenement"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","De winkel is tijdelijk gesloten."
"TID_GATCHA_TEMPORARILY_DISABLED","Het openen van knokdozen is tijdelijk niet mogelijk."
"TID_SHOP_WELCOME_TITLE","WELKOM IN DE WINKEL"
"TID_SHOP_WELCOME","Nieuwe delen van de winkel worden geopend naarmate je voortgang boekt in het spel.\n\nKom regelmatig terug voor nieuwe aanbiedingen."
"TID_SHOP_SPECIAL_OFFER","SPECIALE AANBIEDING"
"TID_SHOP_COIN_BOOSTERS","BOOSTERS"
"TID_SHOP_GEM_PACKS","EDELSTEENPAKKETTEN"
"TID_SHOP_PURCHASED","Gekocht"
"TID_SHOP_OBTAINED","Verworven"
"TID_SHOP_INVALIDATED","Verlopen"
"TID_SHOP_ACTIVE","Actief"
"TID_SHOP_DOUBLE_COINS_TITLE","TOKENVERDUBBELAAR"
"TID_SHOP_DOUBLE_COINS_INFO","Verdubbelt de volgende"
"TID_SHOP_DOUBLE_COINS_INFO_2","die je in gevechten verdient."
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","Verdubbelt de volgende <AMOUNT> tokens die je in gevechten krijgt."
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","Resterende tokens:"
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","Niet genoeg edelstenen"
"TID_SHOP_OFFER_PURCHASE_ERROR_3","Je hebt deze aanbieding al gekocht."
"TID_SHOP_OFFER_PURCHASE_ERROR_4","Je kunt deze aanbieding niet kopen. Je hebt al een of meerdere items van deze aanbieding."
"TID_SHOP_OFFER_TITLE","Tijdelijke aanbieding"
"TID_SHOP_GEM_PACK_1_TITLE","Vuistvol edelstenen"
"TID_SHOP_GEM_PACK_2_TITLE","Buidel edelstenen"
"TID_SHOP_GEM_PACK_3_TITLE","Tas edelstenen"
"TID_SHOP_GEM_PACK_4_TITLE","Emmer edelstenen"
"TID_SHOP_GEM_PACK_5_TITLE","Kist edelstenen"
"TID_SHOP_GEM_PACK_6_TITLE","Kluis edelstenen"
"TID_SHOP_HEROES_OF_RARITY","GEGARANDEERDE KNOKKERS"
"TID_SHOP_HERO_OF_RARITY_TITLE","<c<COLOR>><NAME></c> KNOKKER"
"TID_SHOP_HERO_OF_RARITY_BOX","Knokkerdoos"
"TID_SHOP_HERO_POWER_TITLE","<cffffff>+<AMOUNT></c> KRACHT"
