"TID","PT"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","BÔNUS"
"TID_NAVI_BLOCKED_1","Troca de página indisponível após selecionar \qPronto\q!"
"TID_LEG_TRO_MIG_INFO_SHORT","<AMOUNT> <cff00ff>pontos estelares</c> obtidos!"
"TID_LEG_TRO_MIG_POPUP_OK","OK"
"TID_LEG_TRO_MIG_POPUP_CLAIM","RESGATAR"
"TID_LEG_TRO_MIG_POPUP_TITLE","Apresentamos os <cff00ff>pontos estelares</c>!"
"TID_LEG_TRO_MIG_INFO","Novidade: pontos estelares! Você pode ganhá-los fazendo um Brawler atingir 500 troféus ou mais! Ao fim da temporada, alguns dos troféus acima de 500 serão convertidos em pontos estelares.\n\nVocê também pode ganhar pontos estelares melhorando a classe dos seus Brawlers. Você recebeu <AMOUNT> pontos estelares pelos seus Brawlers previamente melhorados!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> está esperando os outros."
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> não pode começar ainda."
"TID_TEAM_MEMBER_INFO_SELF_READY","Troca de Brawler indisponível após selecionar \qPronto\q!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Troca de evento indisponível após selecionar \qPronto\q!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Alteração indisponível após selecionar \qPronto\q!"
"TID_TEAM_GATCHA_BLOCKED","Impossível abrir a caixa após selecionar \qPronto\q!"
"TID_TEAM_NO_MEMBER_INFO","Somente o administrador pode convidar outros para a equipe."
"TID_TEAM_INFO_TEAM_CODE","Compartilhe este código com seus amigos para convidá-los para a sua equipe!\n\nToque novamente para copiar para a área de transferência."
"TID_FREEZER","Congelador"
"TID_GAME_OVER","Partida encerrada"
"TID_LEVEL","nvl <LVL>"
"TID_PLAYERS_IN_MM","Jogadores disponíveis para o pareamento!"
"TID_ONLINE_INFO","Jogadores ativos: <ONLINE> em pareamento: <MATCHMAKE> em batalha: <BATTLES>"
"TID_INPUT_NAME","Insira seu nome aqui"
"TID_LEADERBOARD_YOUR_SCORE","Sua pontuação"
"TID_LEADERBOARD_YOUR_RANK","Sua classe"
"TID_LEADERBOARD_HIGHEST_SCORE","Sua pontuação mais alta"
"TID_LEADERBOARD_LOCAL","REGIÃO (<COUNTRY>)"
"TID_REGION_0","GLOBAL"
"TID_REGION_1","ÁSIA"
"TID_SET_REGION_RESULT_0","A região foi alterada com êxito para <REGION>"
"TID_SET_REGION_RESULT_1","Falha na alteração da região: indisponível enquanto fizer parte de um clube."
"TID_SET_REGION_RESULT_2","Falha na alteração da região: indisponível enquanto fizer parte de uma equipe."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Pique-cristal"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Pegue e mantenha 10 gemas!"
"TID_BATTLE_END_MY_TEAM","Sua equipe"
"TID_BATTLE_END_ENEMY_TEAM","Equipe inimiga"
"TID_BACK","VOLTAR"
"TID_NOT_ENOUGH_GOLD","Moedas insuficientes. Ganhe moedas nas Caixas Brawl!"
"TID_UNLOCK_SKIN_ERROR_1","Gemas insuficientes"
"TID_EXPERIENCE_LEVEL","Nível de experiência"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Comprar Brawler"
"TID_CRAFT_HERO_BUTTON_LABEL","Comprar"
"TID_UNLOCK_SKIN_TITLE","Comprar visual"
"TID_SKIN_COMING_SOON","Visual não disponível"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Comprar"
"TID_HERO_LIST_TOTAL_TROPHIES","Total de troféus"
"TID_TOP_TOOL_TIP_1","As <c00ccff>fichas</c> servem para abrir as Caixas Brawl.\n\nGanhe fichas em novos eventos e batalhas."
"TID_TOP_TOOL_TIP_3","As <c0ed12d>gemas</c> são usadas para comprar caixas, visuais e outros itens na loja.\n\nEncontre gemas nas Caixas Brawl ou compre-as na loja."
"TID_TOP_TOOL_TIP_2","As <cff8E1b>moedas</c> são usadas para melhorar seus Brawlers.\n\nEncontre-as nas Caixas Brawl."
"TID_TOP_TOOL_TIP_4","<cff0000>Ingressos de evento</c> permitem a entrada nos eventos restritos."
"TID_TOP_TOOL_TIP_5","<cff00ff>Pontos estelares</c> servem para comprar itens exclusivos na loja.\n\nAdquira-os nas recompensas de fim de temporada e ao melhorar a classe dos seus Brawlers (ao alcançar a classe 10 e a cada 5 classes depois disso)!"
"TID_GAME_MODE_0","PIQUE-GEMA"
"TID_GAME_MODE_0_DESC","Junte gemas que surgem da mina de gemas no centro do mapa. Ou então, pegue as deixadas para trás de inimigos derrotados! Segure dez gemas durante toda a contagem regressiva para vencer!"
"TID_GAME_MODE_2","ROUBO"
"TID_GAME_MODE_2_DESC","Proteja o valioso cofre da sua equipe e tente abrir o do seu adversário ao mesmo tempo! O primeiro a conseguir vence.\n\nSe o tempo acabar, vence quem causou mais dano ao cofre dos inimigos."
"TID_GAME_MODE_3","CAÇA-ESTRELAS"
"TID_GAME_MODE_3_DESC","Junte estrelas para sua equipe ao derrotar jogadores da equipe inimiga. Sempre que você derrotar um inimigo, uma estrela aparecerá acima do seu personagem, até o máximo de sete. Não deixe o inimigo pegá-las!\n\nVence a equipe que tiver mais estrelas quando o tempo terminar."
"TID_GAME_MODE_6","COMBATE SOLITÁRIO"
"TID_GAME_MODE_6_COMBINED","COMBATE"
"TID_GAME_MODE_6_DESC","Acabe com os outros nove e seja o único sobrevivente. Faça o que for necessário, pois você tem apenas uma vida."
"TID_GAME_MODE_6_DESC_COMBINED","Acabe com os outros nove e seja o único sobrevivente. Jogue sozinho ou em dupla."
"TID_GAME_MODE_5","FUTE-BRAWL"
"TID_GAME_MODE_5_DESC","Acerte a bola no gol da equipe inimiga para marcar ponto! A partida termina quando uma das equipes marcar dois gols ou ao término do tempo."
"TID_GAME_MODE_3_OG","EXTERMÍNIO"
"TID_GAME_MODE_3_OG_DESC","Junte estrelas para sua equipe ao derrotar jogadores da equipe inimiga. Sempre que você derrotar um inimigo, uma estrela aparecerá acima do seu personagem, até o máximo de sete. Não deixe o inimigo pegá-las!\n\nVence a equipe que tiver mais estrelas quando o tempo terminar."
"TID_GAME_MODE_11","ENCURRALADO"
"TID_GAME_MODE_11_DESC","Acabe com IKE, a torreta-montadora do inimigo! A sua equipe também tem uma! Colete e segure peças que aparecem aleatoriamente no meio do mapa, e IKE montará um poderoso Robô de Cerco para lutar por você.\n\nVocê conta com até três rodadas em cada partida. A equipe com mais peças no começo de cada rodada constrói um Robô de Cerco com força proporcional ao número de peças adquiridas.\nCuidado: IKE tem uma defesa fortíssima. Não se aproxime da IKE inimiga sem um Robô de Cerco de escolta!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Ficha estrela"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Pontuação"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Novo nível"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Vitória"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Derrota"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Empate"
"TID_BATTLE_END_GAIN_LABEL_MVP","Craque"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Pontuação"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Bônus de tempo"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Fichas restantes:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Bônus de tempo"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Bônus de tempo"
"TID_BATTLE_END_COIN_REWARDS","RECOMPENSAS EM FICHAS"
"TID_BATTLE_END_MVP","CRAQUE"
"TID_BATTLE_END_DEFEAT_INFO","Mais sorte na próxima vez!"
"TID_TUTORIAL_1","Oi, meu nome é Shelly! Vamos coletar todas as <ce662f9>GEMAS</c>! <c0066ff>ARRASTE</c> o <c0066ff>CONTROLE AZUL</c> com o dedão esquerdo para se mover."
"TID_TUTORIAL_2","Temos que coletar todas! Essas <ce662f9>GEMAS</c> são minhas!"
"TID_TUTORIAL_3","Robôs-alvos! <ccc0033>ARRASTE</c> o <ccc0033>CONTROLE VERMELHO</c> com o dedão direito e solte para atirar. Acabe com eles!"
"TID_TUTORIAL_GOOD_JOB_1","Assim que se faz!"
"TID_TUTORIAL_5","Mais alvos! Dê um <ccc0033>TOQUE</c> no <ccc0033>CONTROLE VERMELHO</c> para atirar no inimigo mais próximo. Destrua os robôs!"
"TID_TUTORIAL_6","Agora use o seu Super para atirar no CHEFE atrás da parede! <cff9900>ARRASTE</c> o <cff9900>CONTROLE AMARELO</c> para mirar e solte-o para disparar!"
"TID_TUTORIAL_555","Legal! Vamos em frente!"
"TID_TUTORIAL_7","Bom trabalho! Nós já temos as <ce662f9>GEMAS</c>, vamos em direção à saída!"
"TID_TUTORIAL_8","Acertar inimigos carrega o seu Super. Use o <cff9900>controle amarelo</c> para atacar os inimigos com o seu Super!"
"TID_TUTORIAL_9","Você leva jeito para ser Brawler!\n\nVamos para cima deles!"
"TID_TUTORIAL_10","Atacar os alvos carrega a barra de Super. O meu já está pronto!\nToque no botão do Super!"
"TID_TUTORIAL_11","As <cff6633>barras alaranjadas</c> mostram a sua munição. Vou recarregar o mais rápido possível!"
"TID_FIGHT_TUTORIAL","JOGAR"
"TID_HERO_SCORE_INFO","Vença partidas contra outros jogadores e colete troféus para este Brawler.\n\nAdquira <PROGRESS> troféus para subir de classe e ganhar <COINS> fichas."
"TID_HERO_SCORE_INFO_LEG_TROS","Vença partidas contra outros jogadores e colete troféus para este Brawler.\n\nAdquira <PROGRESS> troféus para subir de classe, ganhar <COINS> fichas e <cff00ff><LEGTROS> pontos estelares</c>."
"TID_HERO_SCORE_INFO_MAXED","Classe máxima atingida.\n\n"
"TID_XP_INFO_ME","Seu nível de experiência.\n\nVocê ganha experiência nas batalhas. Colete <REMPROGRESS> pontos de experiência a mais para atingir o nível <LEVEL> e ganhar <COINS> fichas."
"TID_XP_INFO_OTHER","O nível de experiência desse jogador."
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","JOGUE UMA PARTIDA DE TREINO PARA DESBLOQUEAR O JOGO NA ÍNTEGRA"
"TID_SOCIAL_TAB_CLANS","CLUBE"
"TID_SOCIAL_TAB_FRIENDS","AMIGOS"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>lutando</c> por <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>tela de resultados</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>assistindo</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>treinando</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>em pareamento</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>em uma equipe</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>em uma equipe</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>em uma equipe</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>lutando</c>"
"TID_FRIEND_STATUS_MENUS","nos menus"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","FORMAR EQUIPE!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","JOGADORES ON-LINE"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Nenhum amigo ou integrante do clube on-line."
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Nenhum amigo ou colega de clube para convidar. Jogou com alguém habilidoso recentemente? Comece uma amizade!"
"TID_CLAN_CREATE_BUTTON","CRIAR"
"TID_CLAN_SAVE_BUTTON","SALVAR"
"TID_CLAN_CREATE_TITLE","CRIAR CLUBE NOVO"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","On-line há <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","menos de 1h"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","On-line há <cf7f7f7><HOURS>h</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","On-line há <cf7f7f7><DAYS> dias</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","On-line há <cf7f7f7>mais de 1 mês</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>LUTANDO</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>NOS MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>NOS MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>PAREAMENTO</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>NOS MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>ASSISTINDO</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>TREINANDO</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>NOS MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>NOS MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>NOS MENUS</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> integrantes on-line"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> integrantes on-line"
"TID_ALLIANCE_TYPE_OPEN","Aberto"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Por convite"
"TID_ALLIANCE_TYPE_CLOSED","Fechado"
"TID_CLAN_SEARCH_TITLE","PROCURAR CLUBES"
"TID_CLAN_INTRO_AD_TITLE","PROCURANDO UM CLUBE?"
"TID_CLAN_INTRO_AD_DESC","Entre num clube e bata papo com outros jogadores!"
"TID_CLAN_INTRO_CREATE_GO","CRIAR CLUBE"
"TID_CLAN_INTRO_SEARCH_GO","PROCURAR CLUBES"
"TID_CLAN_INTRO_REFRESH","ATUALIZAR"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Você precisa de <REQ> troféus para entrar no clube e você tem apenas <SCORE>."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Este é um clube fechado."
"TID_STREAM_ENTRY_AGE","<time> atrás"
"TID_ALLIANCE_ROLE_LEADER","Presidente"
"TID_ALLIANCE_ROLE_CO_LEADER","Vice-presidente"
"TID_ALLIANCE_ROLE_MEMBER","Integrante"
"TID_ALLIANCE_ROLE_ELDER","Perito"
"TID_STREAM_SENDER_YOU","Você"
"TID_GOLDRUSH_1","Mina rochosa"
"TID_BANKHEIST_1","Covil"
"TID_WANTED_1","Ruínas do templo"
"TID_BATTLE_ROYALE_1","Lago de ossos"
"TID_GOLDRUSH_2","Fliperama de cristal"
"TID_BANKHEIST_2","Ravina kabum"
"TID_WANTED_2","Terra de ninguém"
"TID_BATTLE_ROYALE_2","Pedra queimada"
"TID_GOLDRUSH_3","Covil dos cogumelos"
"TID_BANKHEIST_3","Zona segura"
"TID_WANTED_3","Fortaleza de pedra"
"TID_BATTLE_ROYALE_3","Brawl do brô"
"TID_WANTED_4","Arapuca mortal"
"TID_GOLDRUSH_4","Fortaleza de pedra"
"TID_WANTED_5","Clareira de cristal"
"TID_GOLDRUSH_5","Ilumina"
"TID_WANTED_6","Pradaria traiçoeira"
"TID_WANTED_7","Campo de tiro"
"TID_GOLDRUSH_6","Bodega abismal"
"TID_GOLDRUSH_7","Espaço zen"
"TID_BATTLE_ROYALE_4","Tudo ou nada"
"TID_WANTED_8","Tocaia"
"TID_BANKHEIST_4","Curral"
"TID_CLAN_MEMBERS_ONLINE","Integrantes on-line: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Troféus do clube"
"TID_CLAN_SEARCH_OK","BUSCAR"
"TID_CLAN_INFO_NAME","NOME DO CLUBE"
"TID_CLAN_INFO_BADGE","EMBLEMA"
"TID_CLAN_INFO_DESC","DESCRIÇÃO"
"TID_CLAN_INFO_TOTAL_TROPHIES","TROFÉUS DO CLUBE"
"TID_CLAN_INFO_TYPE","TIPO"
"TID_CLAN_INFO_TAG","CÓDIGO DE CLUBE"
"TID_CLAN_INFO_MIN_TROPHIES","TROFÉUS NECESSÁRIOS"
"TID_CLAN_INFO_LEAVE","SAIR"
"TID_CLAN_INFO_SETTINGS","CONFIGURAÇÕES"
"TID_CLAN_INFO_JOIN","ENTRAR"
"TID_CLAN_INFO_MESSAGE","Mensagem"
"TID_CLAN_INFO_REQUEST_JOIN","Pedir para entrar"
"TID_CLAN_SEARCH_NO_RESULTS","Nenhum clube encontrado"
"TID_CLAN_SEARCH_INITIAL","Não há resultados ainda"
"TID_CLAN_INFO_MEMBERS","Integrantes"
"TID_CLAN_INFO_SELECT_BADGE","PROCURAR"
"TID_SELECT_BADGE","SELECIONAR EMBLEMA"
"TID_ALLIANCE_CREATE_OK","O clube foi criado com êxito."
"TID_CLAN_CHANGE_SETTINGS_TITLE","CONFIGURAÇÕES DO CLUBE"
"TID_TITLE_ALLIANCE","Informações do clube"
"TID_ALLIANCE_LEFT","Você saiu do clube."
"TID_CLAN_MEMBER_DEMOTE","Rebaixar"
"TID_CLAN_MEMBER_PROMOTE","Promover"
"TID_CLAN_MEMBER_KICK","Expulsar"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Ver clube"
"TID_BUTTON_INVITE","CONVIDAR"
"TID_PLAYER_INFO_GOTO_CLAN","Ver clube"
"TID_SELECT_PLAYER_THUMBNAIL","SELECIONAR ÍCONE"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Este ícone desbloqueia com nível de experiência <LEVEL>."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Este ícone desbloqueia com <TROPHIES> troféus."
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> vitórias"
"TID_PLAYER_INFO_TAB_1","ESTATÍSTICAS"
"TID_PLAYER_INFO_TAB_2","BRAWLERS (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","VITÓRIAS 3 x 3"
"TID_PLAYER_STAT_4","RECORDE DE TROFÉUS"
"TID_PLAYER_STAT_8","VITÓRIAS SOZINHO"
"TID_PLAYER_STAT_10","RECORDE COMO BRAWLER CHEFÃO"
"TID_PLAYER_STAT_9","RECORDE EM CAOS CIBERNÉTICO"
"TID_PLAYER_STAT_11","VITÓRIAS EM DUPLA"
"TID_PLAYER_STAT_12","MAIOR NÍVEL DO ROBÔ CHEFÃO DERROTADO"
"TID_PLAYER_STAT_13","MAIOR PONTUAÇÃO EM SEDE DE PODER"
"TID_PLAYER_STAT_14","MELHOR POSIÇÃO EM SEDE DE PODER"
"TID_PLAYER_STAT_15","MÁXIMO DE VITÓRIAS EM DESAFIOS"
"TID_NO_CLAN","Não está em nenhum clube."
"TID_ULTIMATE_NOT_READY","Acerte os inimigos para carregar o seu Super!"
"TID_CANT_ACTIVATE_ULTI","Impossível usar o Super ao ser derrotado!"
"TID_NAME_TOO_SHORT","O nome é muito curto"
"TID_ALLIANCE_JOINED","Entrou no clube"
"TID_COIN_RUSH_INTRO_TEXT","Obtenha 10 gemas para vencer."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Ganhe estrelas derrotando os Brawlers."
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Atire para abrir o cofre do inimigo."
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Atire para abrir o cofre do inimigo."
"TID_GO","LUTAR!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","CONFIRMAR A SAÍDA"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nTem certeza de que quer sair do clube?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","SAIR"
"TID_ALLIANCE_PROMOTE_TITLE","Confirmar a promoção"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Tem certeza de que quer promover <NAME> ao papel de <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promover"
"TID_ALLIANCE_KICK_TITLE","Confirmar a expulsão"
"TID_ALLIANCE_KICK_CONFIRMATION","Tem certeza de que quer expulsar <NAME> do clube?"
"TID_ALLIANCE_KICK_BUTTON","Expulsar"
"TID_ALLIANCE_DEMOTE_TITLE","Confirmar o rebaixamento"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Tem certeza de que quer rebaixar <NAME> ao papel de <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Rebaixar"
"TID_CLAN_RESPONSE_10","Configurações salvas"
"TID_CLAN_RESPONSE_20","Clube criado"
"TID_CLAN_RESPONSE_21","Falha na criação do clube! Tente novamente mais tarde."
"TID_CLAN_RESPONSE_22","O nome não foi aceito."
"TID_CLAN_RESPONSE_23","A descrição não foi aceita."
"TID_CLAN_RESPONSE_24","O nome é muito curto."
"TID_CLAN_RESPONSE_40","Entrou no clube"
"TID_CLAN_RESPONSE_42","Falha ao entrar. O clube está cheio."
"TID_CLAN_RESPONSE_43","Falha ao entrar. O clube é fechado."
"TID_CLAN_RESPONSE_45","Falha ao entrar. Você não tem troféus suficientes para entrar no clube."
"TID_CLAN_RESPONSE_46","Falha ao entrar. Você foi banido do clube devido a uma expulsão prévia ou a uma solicitação para participar recusada."
"TID_CLAN_RESPONSE_47","Falha ao entrar. O seu limite máximo de entrada em clubes foi atingido hoje."
"TID_CLAN_RESPONSE_48","Falha ao entrar. Não é possível entrar num clube de outra região."
"TID_CLAN_RESPONSE_50","Pedido de entrada no clube enviada com êxito."
"TID_CLAN_RESPONSE_51","Falha ao enviar o pedido de entrada. O clube não está mais aberto a solicitações."
"TID_CLAN_RESPONSE_52","Falha ao enviar o pedido de entrada. Você já tem uma solicitação pendente para entrar no clube."
"TID_CLAN_RESPONSE_53","Falha ao enviar o pedido de entrada. Você não tem troféus suficientes para entrar no clube."
"TID_CLAN_RESPONSE_54","Falha no pedido de entrada. Você foi banido do clube devido a uma expulsão prévia ou a uma solicitação para participar recusada."
"TID_CLAN_RESPONSE_55","Falha no pedido de entrada. Não é possível entrar num clube de outra região."
"TID_CLAN_RESPONSE_56","Falha ao entrar. O clube não é adequado a todas as idades."
"TID_CLAN_RESPONSE_70","Expulsão efetuada"
"TID_CLAN_RESPONSE_80","Você saiu do clube."
"TID_CLAN_RESPONSE_81","Promoção efetuada"
"TID_CLAN_RESPONSE_82","Rebaixamento efetuado"
"TID_CLAN_RESPONSE_90","Você aceitou o pedido"
"TID_CLAN_RESPONSE_91","Você recusou o pedido"
"TID_CLAN_RESPONSE_92","Falha ao aceitar. O usuário já faz parte de um clube."
"TID_CLAN_RESPONSE_93","Falha ao processar. Pedido não encontrado."
"TID_CLAN_RESPONSE_94","Falha ao processar. O pedido já foi processado."
"TID_CLAN_RESPONSE_95","Falha ao processar. Não há permissão."
"TID_CLAN_RESPONSE_96","Falha ao aceitar. O usuário foi banido do clube."
"TID_CLAN_RESPONSE_100","Expulsaram você de um clube."
"TID_CLAN_RESPONSE_101","Você foi promovido!"
"TID_CLAN_RESPONSE_102","Você foi rebaixado."
"TID_CLAN_RESPONSE_112","Aguarde <TIME> para enviar outra mensagem."
"TID_CLAN_RESPONSE_113","Mensagem do clube enviada"
"TID_CLAN_NO_RIGHTS","Você não tem permissão para isso."
"TID_ALLIANCE_NAME_TOO_SHORT","Nome do clube muito curto."
"TID_CLAN_JOIN_REQUEST_TITLE","Solicitar participação no clube"
"TID_CLAN_JOIN_REQUEST_SEND","Enviar"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Quero entrar no seu clube."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Aceita a entrada deste jogador no clube?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Aceitar"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Recusar"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Aceito por <name>."
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Recusado por <name>."
"TID_HINT_DRAG_TO_AIM","Arraste para mirar"
"TID_HINT_RELEASE_TO_SHOOT","Solte para atirar"
"TID_HINT_ACTIVATE_ULTI","Arraste o <cff9900>CONTROLE AMARELO</c> para mirar o Super."
"TID_HINT_DRAG_TO_ULTI","Arraste para carregar o seu SUPER e solte para atirá-lo!"
"TID_HINT_COLLECT_GOLD","Brawlers deixam suas <ce662f9>GEMAS</c> para trás quando são derrotados."
"TID_HINT_HOLD_GOLD","Não perca as suas <ce662f9>GEMAS</c>!"
"TID_HINT_GO_AFTER_ENEMY","Ataque o inimigo!"
"TID_HINT_ATTACK_BASE","Atire para abrir o cofre do inimigo e proteja o seu!"
"TID_HINT_DEFEND_BASE","Atire para abrir o cofre do inimigo e proteja o seu!"
"TID_HINT_SHOOT_ENEMIES","Ganhe estrelas ao derrotar inimigos!"
"TID_HINT_YOU_ARE_WINNING","Sua equipe está ganhando! Redobre a defesa!"
"TID_HINT_YOU_ARE_LOSING","Sua equipe está perdendo! Parta para o ataque!"
"TID_HINT_TAP_TO_MOVE","Toque para mover\nMova-se com a sua equipe."
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Cuidado! Você vale uma recompensa boa!"
"TID_BOUNTY_3","Cuidado! Você vale uma recompensa gigante!"
"TID_BOUNTY_4","Procurado, vivo ou morto!"
"TID_NO_CLAN_TITLE","Encontrar um clube"
"TID_NO_CLAN_BODY","Entre num clube para bater papo e jogar com uma galera legal!"
"TID_NO_CLAN_SUGGESTIONS","Clubes recomendados para você."
"TID_NO_CLAN_RESULTS","Resultados da pesquisa"
"TID_NO_CLAN_EMPTY","Nenhum clube recomendado :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Aguardando informações..."
"TID_CONNECTING_TO_SERVER","Conectando-se..."
"TID_TEAM_ADVERTISE","ANUNCIAR"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","ao Clube"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","aos amigos"
"TID_TEAM_AD_INFO_0","Procurando jogadores para um jogo de equipes"
"TID_TEAM_AD_JOIN","Participar da equipe"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Impossível participar. Você já está numa equipe."
"TID_TEAM_MEMBER_STATUS_0","<c999999>OFF-LINE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>LUTANDO</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>AUSENTE</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>PREPARANDO</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>PAREAMENTO</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>TELA DE RESULTADOS</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>OFF-LINE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>ASSISTINDO</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>TREINANDO</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>ESCREVENDO...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>BRAWLERS</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>EVENTOS</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>PRONTO</c>"
