"TID","IT"
"TID_TUTORIAL_555","Così si fa! Finiamolo!"
"TID_TUTORIAL_7","Ci sai fare! Abbiamo le <ce662f9>GEMME</c>, quindi possiamo anche andarcene!"
"TID_TUTORIAL_8","Colpisci i nemici per caricare la super e scatenala contro gli avversari usando la <cff9900>levetta gialla</c>!"
"TID_TUTORIAL_9","Impari in fretta!\n\nOra mostragli quello che sai fare!"
"TID_TUTORIAL_10","Attaccare i bersagli carica l'indicatore della super e la mia è pronta!\nTocca il pulsante della super!"
"TID_TUTORIAL_11","Gli <cff6633>indicatori arancioni</c> mostrano le munizioni. Sarò un lampo a ricaricare, non temere!"
"TID_FIGHT_TUTORIAL","GIOCA"
"TID_HERO_SCORE_INFO","Ottieni trofei per questo brawler vincendo le partite contro gli altri giocatori.\n\nAccumula <PROGRESS> trofei per salire al grado successivo e ricevere <COINS> gettoni."
"TID_HERO_SCORE_INFO_LEG_TROS","Ottieni trofei per questo brawler vincendo le partite contro gli altri giocatori.\n\nAccumula <PROGRESS> trofei per salire al grado successivo, ricevere <COINS> gettoni e <cff00ff><LEGTROS> punti stellari</c>."
"TID_HERO_SCORE_INFO_MAXED","Hai raggiunto il massimo grado.\n\n"
"TID_XP_INFO_ME","Il tuo livello di esperienza.\n\nGuadagni punti esperienza combattendo nelle battaglie. Ottienine altri <REMPROGRESS> per raggiungere il livello <LEVEL> e ricevere <COINS> gettoni."
"TID_XP_INFO_OTHER","Il livello di esperienza di questo giocatore."
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","GIOCA A UNA PARTITA DI ALLENAMENTO PER SBLOCCARE IL GIOCO INTERO"
"TID_SOCIAL_TAB_CLANS","CLUB"
"TID_SOCIAL_TAB_FRIENDS","AMICI"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>in battaglia</c> da <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>fine scontro</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>vede scontri</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>allenamento</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>matchmaking</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>in squadra</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>in squadra</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>in squadra</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>in battaglia</c>"
"TID_FRIEND_STATUS_MENUS","nei menu"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","ALLEATI!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","GIOCATORI ONLINE"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Nessun amico o socio del club online"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Nessun amico o socio del club online. Hai giocato con qualcuno davvero forte di recente? Aggiungilo agli amici!"
"TID_CLAN_CREATE_BUTTON","CREA"
"TID_CLAN_SAVE_BUTTON","SALVA"
"TID_CLAN_CREATE_TITLE","CREA UN NUOVO CLUB"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Online: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","meno di 1h fa"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Online: <cf7f7f7><HOURS>h fa</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Online: <cf7f7f7><DAYS>g fa</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Online: <cf7f7f7>più di un mese fa</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>IN BATTAGLIA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>NEI MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>NEI MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>MATCHMAKING</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>NEI MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>VEDE SCONTRI</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>ALLENAMENTO</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>NEI MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>NEI MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>NEI MENU</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> membri online"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> membro online"
"TID_ALLIANCE_TYPE_OPEN","Aperto"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Su invito"
"TID_ALLIANCE_TYPE_CLOSED","Privato"
"TID_CLAN_SEARCH_TITLE","CERCA CLUB"
"TID_CLAN_INTRO_AD_TITLE","CERCHI UN CLUB?"
"TID_CLAN_INTRO_AD_DESC","Alleati e chatta con altri giocatori!"
"TID_CLAN_INTRO_CREATE_GO","CREA CLUB"
"TID_CLAN_INTRO_SEARCH_GO","CERCA CLUB"
"TID_CLAN_INTRO_REFRESH","AGGIORNA"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Sono necessari <REQ> trofei per entrare nel club e tu ne hai solo <SCORE>."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Questo club è privato"
"TID_STREAM_ENTRY_AGE","<time> fa"
"TID_ALLIANCE_ROLE_LEADER","Presidente"
"TID_ALLIANCE_ROLE_CO_LEADER","Vicepresidente"
"TID_ALLIANCE_ROLE_MEMBER","Socio"
"TID_ALLIANCE_ROLE_ELDER","Socio anziano"
"TID_STREAM_SENDER_YOU","Tu"
"TID_GOLDRUSH_1","Miniera Rocciadura"
"TID_BANKHEIST_1","Rifugio dei banditi"
"TID_WANTED_1","Rovine del tempio"
"TID_BATTLE_ROYALE_1","Torrente del teschio"
"TID_GOLDRUSH_2","Sala giochi di cristallo"
"TID_BANKHEIST_2","Canyon Bum Bum"
"TID_WANTED_2","Covo dei fuorilegge"
"TID_BATTLE_ROYALE_2","Lande aride"
"TID_GOLDRUSH_3","Grotta velenosa"
"TID_BANKHEIST_3","Santuario"
"TID_WANTED_3","Colle di pietra"
"TID_BATTLE_ROYALE_3","Valle rocciosa"
"TID_WANTED_4","Antro velenoso"
"TID_GOLDRUSH_4","Colle di pietra"
"TID_WANTED_5","Valle limpida"
"TID_GOLDRUSH_5","Miniera minacciosa"
"TID_WANTED_6","Prateria dei serpenti"
"TID_WANTED_7","Piana delle stelle"
"TID_GOLDRUSH_6","Trattoria sotterranea"
"TID_GOLDRUSH_7","Area relax"
"TID_BATTLE_ROYALE_4","Piana della fame"
"TID_WANTED_8","Nascondiglio"
"TID_BANKHEIST_4","G.G. Corral"
"TID_CLAN_MEMBERS_ONLINE","Soci online: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Trofei del club"
"TID_CLAN_SEARCH_OK","CERCA"
"TID_CLAN_INFO_NAME","NOME DEL CLUB"
"TID_CLAN_INFO_BADGE","EMBLEMA"
"TID_CLAN_INFO_DESC","DESCRIZIONE"
"TID_CLAN_INFO_TOTAL_TROPHIES","TROFEI DEL CLUB"
"TID_CLAN_INFO_TYPE","TIPO"
"TID_CLAN_INFO_TAG","TAG DEL CLUB"
"TID_CLAN_INFO_MIN_TROPHIES","TROFEI NECESSARI"
"TID_CLAN_INFO_LEAVE","ESCI"
"TID_CLAN_INFO_SETTINGS","IMPOSTAZIONI"
"TID_CLAN_INFO_JOIN","ENTRA"
"TID_CLAN_INFO_MESSAGE","Messaggio"
"TID_CLAN_INFO_REQUEST_JOIN","Richiedi accesso"
"TID_CLAN_SEARCH_NO_RESULTS","Nessun club trovato"
"TID_CLAN_SEARCH_INITIAL","Campo di ricerca vuoto"
"TID_CLAN_INFO_MEMBERS","SOCI:"
"TID_CLAN_INFO_SELECT_BADGE","SFOGLIA"
"TID_SELECT_BADGE","SCEGLI EMBLEMA"
"TID_ALLIANCE_CREATE_OK","Club creato"
"TID_CLAN_CHANGE_SETTINGS_TITLE","IMPOSTAZIONI DEL CLUB"
"TID_TITLE_ALLIANCE","Info sul club"
"TID_ALLIANCE_LEFT","Hai abbandonato il club"
"TID_CLAN_MEMBER_DEMOTE","Retrocedi"
"TID_CLAN_MEMBER_PROMOTE","Promuovi"
"TID_CLAN_MEMBER_KICK","Espelli"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Vedi club"
"TID_BUTTON_INVITE","INVITA"
"TID_PLAYER_INFO_GOTO_CLAN","Vedi club"
"TID_SELECT_PLAYER_THUMBNAIL","SELEZIONA"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Questa icona si sblocca al livello esperienza <LEVEL>."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Questa icona si sblocca ottenendo un totale di <TROPHIES> trofei."
"TID_PLAYER_INFO_WINS_AMOUNT","Vittorie: <AMOUNT>"
"TID_PLAYER_INFO_TAB_1","STATISTICHE"
"TID_PLAYER_INFO_TAB_2","BRAWLER (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","VITTORIE 3 VS 3"
"TID_PLAYER_STAT_4","RECORD DI TROFEI"
"TID_PLAYER_STAT_8","VITTORIE IN SINGOLO"
"TID_PLAYER_STAT_10","MIGLIOR TEMPO DA MEGA BRAWLER"
"TID_PLAYER_STAT_9","RECORD IN ROBOASSALTO"
"TID_PLAYER_STAT_11","VITTORIE IN DUE"
"TID_PLAYER_STAT_12","RECORD LIVELLO PIÙ ALTO DI RAID"
"TID_PLAYER_STAT_13","RECORD PUNTI IN SETE DI POTERE"
"TID_PLAYER_STAT_14","RECORD POSIZ. IN SETE DI POTERE"
"TID_PLAYER_STAT_15","MAX VITTORIE SFIDA DEL TORNEO"
"TID_NO_CLAN","In nessun club"
"TID_ULTIMATE_NOT_READY","Colpisci i nemici per caricare la super!"
"TID_CANT_ACTIVATE_ULTI","La super non funziona se sei fuori combattimento!"
"TID_NAME_TOO_SHORT","Il nome è troppo corto."
"TID_ALLIANCE_JOINED","Sei parte del club"
"TID_COIN_RUSH_INTRO_TEXT","Raccogli 10 gemme per vincere!"
"TID_BOUNTY_HUNTER_INTRO_TEXT","Sconfiggi i brawler per ottenere le stelle!"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Colpisci la cassaforte nemica per aprirla!"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Colpisci la cassaforte nemica per aprirla!"
"TID_GO","COMBATTETE!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","CONFERMA USCITA"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nVuoi davvero uscire dal club?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","ESCI"
"TID_ALLIANCE_PROMOTE_TITLE","Conferma promozione"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Vuoi davvero promuovere <NAME> al ruolo di <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promuovi"
"TID_ALLIANCE_KICK_TITLE","Conferma espulsione"
"TID_ALLIANCE_KICK_CONFIRMATION","Vuoi davvero espellere <NAME> dal club?"
"TID_ALLIANCE_KICK_BUTTON","Espelli"
"TID_ALLIANCE_DEMOTE_TITLE","Conferma retrocessione"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Vuoi davvero retrocedere <NAME> al ruolo di <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Retrocedi"
"TID_CLAN_RESPONSE_10","Impostazioni salvate"
"TID_CLAN_RESPONSE_20","Club creato"
"TID_CLAN_RESPONSE_21","Errore nella creazione del club. Riprova più tardi."
"TID_CLAN_RESPONSE_22","Nome non valido"
"TID_CLAN_RESPONSE_23","Descrizione non valida"
"TID_CLAN_RESPONSE_24","Nome troppo corto"
"TID_CLAN_RESPONSE_40","Sei parte del club"
"TID_CLAN_RESPONSE_42","Impossibile entrare. Il club è pieno."
"TID_CLAN_RESPONSE_43","Impossibile entrare. Il club è riservato."
"TID_CLAN_RESPONSE_45","Impossibile entrare. Non hai abbastanza trofei."
"TID_CLAN_RESPONSE_46","Impossibile entrare. Il club ti ha già espulso in passato o non ha accettato una tua richiesta precedente."
"TID_CLAN_RESPONSE_47","Impossibile entrare, perché oggi hai fatto parte di troppi club. Per oggi non puoi più entrare in un club."
"TID_CLAN_RESPONSE_48","Impossibile entrare. Il club fa parte di un'altra regione."
"TID_CLAN_RESPONSE_50","Richiesta inviata."
"TID_CLAN_RESPONSE_51","Impossibile inviare la richiesta. Il club non ne accetta più."
"TID_CLAN_RESPONSE_52","Impossibile inviare la richiesta. Ne esiste già una in sospeso con questo club."
"TID_CLAN_RESPONSE_53","Impossibile inviare la richiesta. Non hai abbastanza trofei."
"TID_CLAN_RESPONSE_54","Impossibile inviare la richiesta, a causa di una precedente espulsione o richiesta non accettata."
"TID_CLAN_RESPONSE_55","Impossibile inviare la richiesta. Il club fa parte di un'altra regione."
"TID_CLAN_RESPONSE_56","Impossibile entrare. Il club non è tra quelli adatti a ogni età."
"TID_CLAN_RESPONSE_70","Espulsione confermata"
"TID_CLAN_RESPONSE_80","Hai abbandonato il club"
"TID_CLAN_RESPONSE_81","Promozione confermata"
"TID_CLAN_RESPONSE_82","Retrocessione confermata"
"TID_CLAN_RESPONSE_90","Accesso confermato"
"TID_CLAN_RESPONSE_91","Rifiuto confermato"
"TID_CLAN_RESPONSE_92","Impossibile confermare l'accesso. La persona è già nel club."
"TID_CLAN_RESPONSE_93","Impossibile eseguire. La richiesta non esiste."
"TID_CLAN_RESPONSE_94","Impossibile eseguire. La richiesta è stata già gestita."
"TID_CLAN_RESPONSE_95","Impossibile eseguire. Non hai i privilegi necessari."
"TID_CLAN_RESPONSE_96","Impossibile confermare l'accesso. Il giocatore è stato sospeso dal club."
"TID_CLAN_RESPONSE_100","Ti hanno espulso dal club"
"TID_CLAN_RESPONSE_101","Hai ricevuto una promozione"
"TID_CLAN_RESPONSE_102","Hai subito una retrocessione"
"TID_CLAN_RESPONSE_112","Attendi <TIME> prima di inviare\nun altro messaggio al club."
"TID_CLAN_RESPONSE_113","Il messaggio è stato inviato al club."
"TID_CLAN_NO_RIGHTS","Non hai i privilegi necessari per questa azione"
"TID_ALLIANCE_NAME_TOO_SHORT","Nome del club troppo corto"
"TID_CLAN_JOIN_REQUEST_TITLE","Richiesta adesione al club"
"TID_CLAN_JOIN_REQUEST_SEND","Invia"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Ehilà, mi piacerebbe entrare in questo club."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Vuoi far entrare questo giocatore nel club?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accetta"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Rifiuta"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Richiesta accettata da <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Richiesta rifiutata da <name>"
"TID_HINT_DRAG_TO_AIM","Trascina per mirare"
"TID_HINT_RELEASE_TO_SHOOT","Rilascia per colpire"
"TID_HINT_ACTIVATE_ULTI","Trascina la <cff9900>LEVETTA GIALLA</c> per mirare la super."
"TID_HINT_DRAG_TO_ULTI","Trascina per mirare la SUPER e rilascia per usarla!"
"TID_HINT_COLLECT_GOLD","I brawler fanno cadere le loro <ce662f9>GEMME</c> quando sono eliminati."
"TID_HINT_HOLD_GOLD","Proteggi le tue <ce662f9>GEMME</c>!"
"TID_HINT_GO_AFTER_ENEMY","Attacca il nemico!"
"TID_HINT_ATTACK_BASE","Colpisci la cassaforte nemica per forzarla e proteggi la tua!"
"TID_HINT_DEFEND_BASE","Colpisci la cassaforte nemica per forzarla e proteggi la tua!"
"TID_HINT_SHOOT_ENEMIES","Sconfiggi i nemici per ottenere stelle!"
"TID_HINT_YOU_ARE_WINNING","La tua squadra sta vincendo! Difendetevi!"
"TID_HINT_YOU_ARE_LOSING","La tua squadra sta perdendo! Attaccate!"
"TID_HINT_TAP_TO_MOVE","Tocca per spostarti.\nMuoviti in gruppo."
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Occhio, c'è una bella taglia su di te ora!"
"TID_BOUNTY_3","Occhio, la tua taglia ora è bella grossa!"
"TID_BOUNTY_4","Vivo o morto!"
"TID_NO_CLAN_TITLE","Trova un club"
"TID_NO_CLAN_BODY","Entra in un club per parlare e giocare con della bella gente!"
"TID_NO_CLAN_SUGGESTIONS","Club consigliati per te"
"TID_NO_CLAN_RESULTS","Risultati della ricerca"
"TID_NO_CLAN_EMPTY","Nessun club consigliato :-("
"TID_NO_CLAN_WAITING_FOR_DATA","In attesa dei dati..."
"TID_CONNECTING_TO_SERVER","Connessione al server..."
"TID_TEAM_ADVERTISE","PUBBLICIZZA"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","nel club"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","agli amici"
"TID_TEAM_AD_INFO_0","In cerca di giocatori per una partita a squadre"
"TID_TEAM_AD_JOIN","Entra in squadra"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Impossibile entrare. Sei già in una squadra."
"TID_TEAM_MEMBER_STATUS_0","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>IN BATTAGLIA</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>NON PRESENTE</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>NON È PRONTO</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>MATCHMAKING</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>FINE SCONTRO</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>VEDE SCONTRI</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>ALLENAMENTO</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>SCRIVE...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>BRAWLER</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>EVENTI</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>PRONTO</c>"
"TID_TEAM_STATUS_IN_MATCH","IN BATTAGLIA"
"TID_TEAM_STATUS_IN_MATCHMAKING","MATCHMAKING"
"TID_TEAM_STATUS_FULL","<cff1e00>PIENA</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","APERTA"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","Devi far parte di un club per usare questa opzione."
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","Devi avere degli amici per usare questa opzione."
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Impossibile pubblicizzare. La squadra è piena."
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","Opzione accessibile solo al fondatore della squadra."
"TID_TEAM_LOC_INFO","<MODE> in <LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","SQUADRE"
"TID_STREAM_EVENT_1","<sender> ha espulso <target> dal club. Ciao ciao!"
"TID_STREAM_EVENT_2","<sender> ha fatto entrare <target> nel club. Evviva!"
"TID_STREAM_EVENT_3","<sender> fa ora parte del club. Evviva!"
"TID_STREAM_EVENT_4","<sender> ha abbandonato il club. Ci mancherà... forse."
"TID_STREAM_EVENT_5","<sender> ha promosso <target>. Congratulazioni!"
"TID_STREAM_EVENT_6","<sender> ha retrocesso <target>. Capita..."
"TID_STREAM_EVENT_101","Squadra creata da <sender>."
"TID_STREAM_EVENT_102","<sender> fa parte della squadra."
"TID_STREAM_EVENT_103","<sender> è uscito/a."
"TID_STREAM_EVENT_104","<sender> ha espulso <target>. Ciao ciao!"
"TID_STREAM_EVENT_105","matchmaking iniziato"
"TID_STREAM_EVENT_106","matchmaking annullato"
"TID_STREAM_EVENT_107","partita iniziata"
"TID_STREAM_EVENT_108","partita vinta"
"TID_STREAM_EVENT_109","partita persa"
"TID_STREAM_EVENT_110","allenamento iniziato"
"TID_STREAM_EVENT_111","allenamento finito"
"TID_STREAM_EVENT_112","pareggio"
"TID_STREAM_EVENT_113","sopravvivenza finita"
"TID_STREAM_EVENT_114","I messaggi sono stati silenziati."
"TID_STREAM_EVENT_115","I messaggi sono stati attivati."
"TID_CHAT_BOTTOM_BUTTON","Scorri in basso"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> nuovi messaggi"
"TID_CHAT_BOTTOM_NEW_MESSAGE","Nuovo messaggio"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","Migliora al livello <LVL>"
"TID_HERO_INFO_ITEMS","MIGLIORAMENTI"
"TID_HERO_INFO_SKINS","BRAWLER"
"TID_HERO_INFO_SKIN_OWNED","Hai già questa skin"
"TID_HERO_INFO_SKIN_ACTIVE","SELEZIONATA"
"TID_HERO_INFO_SKIN_ACTIVATE","SELEZIONA"
"TID_HERO_INFO_LEADERBOARD","Classifica"
"TID_HERO_INFO_LEADERBOARD_LABEL","Migliori giocatori con <HERO>"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW> </c>"
"TID_CLAN_SEARCH_GO","CERCA"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","Trascina per mirare con la super."
"TID_HINT_SHOOT","Trascina per mirare e rilascia per colpire."
"TID_HERO_SCORE_SUM_LEADERBOARD","Migliori giocatori"
"TID_ALLIANCE_LEADERBOARD","Club migliori"
"TID_HINT_MAKE_GOAL","Trascina per mirare e rilascia per calciare la palla."
"TID_BATTLE_ROYALE_INTRO_TEXT","Sopravvivi a tutti gli altri!"
"TID_HINT_COLLECT_BUFFS","Prendi i <c50d050>cubi di energia</c> da casse\ne nemici per diventare più forte!"
"TID_PLAYERS_LEFT","Brawler rimanenti: <num>"
"TID_AVOID_POISON","Evita le <c90ee90>nubi tossiche</c> che avanzano!"
"TID_CLAN_CREATE_COOLDOWN","Impossibile creare un club ora. Prova ancora tra: <TIME>."
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","Devi raggiungere il livello di esperienza <LEVEL> per creare un club."
"TID_PLAYER_DATA_MISSING","Dati giocatore mancanti"
"TID_ALLIANCE_DATA_MISSING","Dati club mancanti"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","Ricarica in corso!"
"TID_EVENT_EXPIRED","Evento scaduto"
"TID_DOUBLE_COINS_INFO","Uno scontro qui ti darà il doppio dei gettoni."
"TID_DOUBLE_XP_INFO","Uno scontro qui ti darà il doppio dell'esperienza."
"TID_SETTINGS_TITLE","IMPOSTAZIONI"
"TID_SETTINGS_CONTROL_MODE_TITLE","COMANDI"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","Tocca per muoverti"
"TID_SETTINGS_CONTROL_MODE_INFO_0","Tocca un punto dello schermo per farlo raggiungere al brawler. Trascina per mirare e rilascia per colpire."
"TID_SETTINGS_CONTROL_MODE_VALUE_1","Movimento per destrorsi"
"TID_SETTINGS_CONTROL_MODE_INFO_1","Sposta il brawler usando una levetta virtuale in basso a sinistra dello schermo. Tocca un bersaglio per attaccarlo."
"TID_SETTINGS_CONTROL_MODE_VALUE_2","Movimento per mancini"
"TID_SETTINGS_CONTROL_MODE_INFO_2","Sposta il brawler usando una levetta virtuale in basso a destra dello schermo. Tocca un bersaglio per attaccarlo."
"TID_CHANGE_NAME_TITLE","CAMBIA NOME"
"TID_SETTINGS_PLAYERNAME_CURRENT","Nome attuale:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Inserisci il nuovo nome:"
"TID_ERROR_NAMES_DONT_MATCH","I nomi non corrispondono. Controlla."
"TID_CONTINUE","Continua"
"TID_NAMECHANGE_WARNING","ATTENZIONE: puoi cambiare il nome una volta sola!"
"TID_CONFIRM","Conferma"
"TID_INVALID_NAME","Nome non valido! Provane un altro."
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Reinserisci il nuovo nome:"
"TID_NAME_ALREADY_CHANGED","Puoi cambiare nome solo una volta."
"TID_NAME_CHANGE_ALREADY_USED","Hai già cambiato nome una volta."
"TID_NAME_CHANGED_SUCCESS","Il nome è stato cambiato!"
"TID_NAME_CHANGE_IN_PROGRESS","Impossibile cambiare il nome. Il cambiamento precedente è in corso."
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","Puoi cambiare nome solo dopo aver raggiunto il livello di esperienza <level>."
"TID_CONFIRM_CONFIRM","Digita \q<confirmword>\q e premi il pulsante OK per completare l'azione."
"TID_CONFIRM_WORD","CONFERMA"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Vuoi davvero cambiare nome?\nIl nuovo nome sarà:"
"TID_BUTTON_CONFIRM","OK"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","Prossimo evento tra:"
"TID_EVENTS_TIME_LEFT","Tempo rimasto"
"TID_EVENTS_NEW","NUOVO!"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","Hai ottenuto tutta l'esperienza"
"TID_EVENTS_EVENT_LOCKED","BLOCCATO"
"TID_EVENTS_TROPHY_REQ","Si sblocca ottenendo un totale di <c00ffff><COUNT></c> trofei."
"TID_EVENTS_PRO_LEAGUE_REQ","Sblocca un'abilità stellare di un brawler per partecipare."
"TID_GAME_STARTING","Sta iniziando una partita nella mappa \q<LOCATION>\q. Partecipa anche tu!"
"TID_WEEKEND_EVENT","Evento con doppia esperienza"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","Il negozio al momento è chiuso."
"TID_GATCHA_TEMPORARILY_DISABLED","Al momento non è possibile aprire le casse brawl."
"TID_SHOP_WELCOME_TITLE","ECCO IL NEGOZIO"
"TID_SHOP_WELCOME","Il negozio si espanderà a mano a mano che avanzerai nel gioco!\n\nTornaci regolarmente per scoprire le nuove offerte!"
"TID_SHOP_SPECIAL_OFFER","OFFERTA SPECIALE"
"TID_SHOP_COIN_BOOSTERS","POTENZIAMENTI"
"TID_SHOP_GEM_PACKS","PACCHETTI DI GEMME"
"TID_SHOP_PURCHASED","Acquistato"
"TID_SHOP_OBTAINED","Ottenuto"
"TID_SHOP_INVALIDATED","Scaduto"
"TID_SHOP_ACTIVE","Attivo"
"TID_SHOP_DOUBLE_COINS_TITLE","RADDOPPIAGETTONI"
"TID_SHOP_DOUBLE_COINS_INFO","Raddoppia le prossime"
"TID_SHOP_DOUBLE_COINS_INFO_2","ottenute in battaglia"
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","Raddoppia i prossimi <AMOUNT> gettoni ottenuti in battaglia."
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","Gettoni rimasti:"
