"TID_GAME_MODE_11","VÂY HÃM"
"TID_GAME_MODE_11_DESC","Vây hãm và tiêu diệt trụ súng IKE của đối phương! Đội của bạn cũng sẽ có trụ súng IKE: hãy nạp ốc vít và IKE sẽ tạo ra một Rô bốt Vây hãm hùng mạnh để chiến đấu cho bạn. Ốc vít sẽ xuất hiện ngẫu nhiên ở trung tâm bản đồ. Hãy chiếm giữ ốc vít trong vài giây để thu thập cho IKE.\n\nMỗi trận sẽ có tối đa ba lần Vây hãm. Mỗi vào đầu mỗi đợt Vây hãm, đội nào có nhiều Ốc vít hơn sẽ xây được một Rô bốt Vây hãm. Thu thập càng nhiều Ốc vít thì Rô bốt sẽ càng mạnh.\nHãy cẩn thận và đừng đến quá gần căn cứ của đối phương mà không được Rô bốt Vây hãm yểm trợ nhé - Trụ súng IKE có hệ thống phòng thủ đạn đạo rất mạnh đấy!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Thẻ Sao"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Thăng hạng"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Thăng cấp"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Chiến thắng"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Bại trận"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Hòa"
"TID_BATTLE_END_GAIN_LABEL_MVP","Người chơi Ưu tú"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Điểm số xếp hạng"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Phần thưởng thời gian"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Thẻ còn lại:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Phần thưởng thời gian"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Phần thưởng thời gian"
"TID_BATTLE_END_COIN_REWARDS","PHẦN THƯỞNG THẺ"
"TID_BATTLE_END_MVP","NGƯỜI CHƠI ƯU TÚ"
"TID_BATTLE_END_DEFEAT_INFO","May mắn hơn vào lần sau nhé!"
"TID_TUTORIAL_1","Xin chào, tôi là Shelly! Hãy thu thập tất cả các viên <ce662f9>NGỌC</c> đó nào! <c0066ff>KÉO</c> <c0066ff>NÚT ĐIỀU KHIỂN MÀU XANH</c> bằng ngón tay cái bên trái để di chuyển tôi."
"TID_TUTORIAL_2","Cần phải thu thập tất cả! Số <ce662f9>NGỌC</c> này là của tôi!"
"TID_TUTORIAL_3","Đã phát hiện mục tiêu Rô bốt! <ccc0033>KÉO</c> <ccc0033>NÚT ĐIỀU KHIỂN MÀU ĐỎ</c> bằng ngón tay cái bên phải để nhắm bắn, và thả ra để bắn. Hãy tiêu diệt bọn rô bốt nào!"
"TID_TUTORIAL_GOOD_JOB_1","Tốt lắm!"
"TID_TUTORIAL_5","Hạ thêm nhiều mục tiêu nữa nào! Bạn có thể <ccc0033>NHẤN</c> <ccc0033>NÚT ĐIỀU KHIỂN MÀU ĐỎ</c> để bắn kẻ địch ở gần nhất. Hãy tiêu diệt bọn rô bốt!"
"TID_TUTORIAL_6","Bây giờ, hãy sử dụng Tuyệt chiêu của bạn để bắn tên TRÙM ở phía sau bức tường! <cff9900>KÉO</c> <cff9900>NÚT ĐIỀU KHIỂN MÀU VÀNG</c> để nhắm mục tiêu, và thả ra để bắn!"
"TID_TUTORIAL_555","Tốt lắm, tiếp tục cố gắng nhé!"
"TID_TUTORIAL_7","Tốt lắm! Chúng ta đã có được <ce662f9>NGỌC</c>, cùng tiến đến lối thoát nào!"
"TID_TUTORIAL_8","Tuyệt chiêu của bạn sẽ được nạp khi bạn tấn công trúng kẻ địch. Sử dụng <cff9900>nút điều khiển màu vàng</c> để tấn công kẻ địch bằng Tuyệt chiêu!"
"TID_TUTORIAL_9","Bạn là một Chiến binh Brawl thiên phú!\n\nCòn bây giờ, tấn công bọn chúng nào!"
"TID_TUTORIAL_10","Bộ đếm cho đòn Tuyệt chiêu sẽ được nạp khi bạn tấn công mục tiêu. Đòn Tuyệt chiêu của tôi hiện đã sẵn sàng!\nHãy nhấn vào nút Tuyệt chiêu!"
"TID_TUTORIAL_11","<cff6633>Thanh màu cam</c> hiển thị đạn của bạn. Tôi sẽ nạp lại càng nhanh càng tốt!"
"TID_FIGHT_TUTORIAL","CHƠI"
"TID_HERO_SCORE_INFO","Thu thập Cúp cho Chiến binh Brawl này bằng cách giành chiến thắng khi đấu với người chơi khác.\n\nĐạt <PROGRESS> cúp để thăng lên Thứ hạng tiếp theo và nhận <COINS> Thẻ."
"TID_HERO_SCORE_INFO_LEG_TROS","Thu thập Cúp cho Chiến binh Brawl này bằng cách giành chiến thắng các trận đấu với người chơi khác.\n\nĐạt <PROGRESS> cúp để thăng lên Hạng tiếp theo, thu thập <COINS> Thẻ và <cff00ff> <LEGTROS>Điểm Sao</c>"
"TID_HERO_SCORE_INFO_MAXED","Bạn đã đạt hạng cao nhất.\n\n"
"TID_XP_INFO_ME","Cấp kinh nghiệm của bạn.\n\nHãy tham gia các Trận đấu để kiếm điểm kinh nghiệm. Thu thập thêm <REMPROGRESS> điểm kinh nghiệm để đạt cấp <LEVEL> và nhận <COINS> Thẻ."
"TID_XP_INFO_OTHER","Cấp điểm kinh nghiệm của người chơi này"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","HÃY CHƠI MỘT TRẬN ĐẤU LUYỆN TẬP ĐỂ MỞ KHÓA TOÀN BỘ TRÒ CHƠI"
"TID_SOCIAL_TAB_CLANS","CÂU LẠC BỘ"
"TID_SOCIAL_TAB_FRIENDS","BẠN BÈ"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>đang chiến đấu</c> trong <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>màn hình kết thúc trận đấu</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>đang xem</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>đang luyện tập</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>đang được ghép trận</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>trong đội</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>trong đội</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>trong đội</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>đang chiến đấu</c>"
"TID_FRIEND_STATUS_MENUS","trong menu"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","LẬP ĐỘI!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","NGƯỜI CHƠI ĐANG TRỰC TUYẾN"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Không có bạn bè hoặc thành viên Câu lạc bộ trực tuyến"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Không có bạn bè hoặc thành viên Câu lạc bộ nào để mời. Bạn vừa có một trận đấu tuyệt vời với ai đó? Hãy thêm họ vào danh sách bạn bè!"
"TID_CLAN_CREATE_BUTTON","TẠO"
"TID_CLAN_SAVE_BUTTON","LƯU"
"TID_CLAN_CREATE_TITLE","TẠO MỘT CÂU LẠC BỘ MỚI"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Trực tuyến lần cuối: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","< 1 giờ trước"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Trực tuyến lần cuối: <cf7f7f7><HOURS>giờ trước</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Trực tuyến lần cuối: <cf7f7f7><DAYS>ngày trước</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Trực tuyến lần cuối: <cf7f7f7>> 1 tháng trước</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>ĐANG CHIẾN ĐẤU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>TRONG MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>TRONG MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>GHÉP TRẬN</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>TRONG MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>ĐANG XEM</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>ĐANG LUYỆN TẬP</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>TRONG MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>TRONG MENU</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>TRONG MENU</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> thành viên trực tuyến"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> thành viên trực tuyến"
"TID_ALLIANCE_TYPE_OPEN","Mở"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Chỉ ai được mời"
"TID_ALLIANCE_TYPE_CLOSED","Kín"
"TID_CLAN_SEARCH_TITLE","TÌM KIẾM CÂU LẠC BỘ"
"TID_CLAN_INTRO_AD_TITLE","BẠN ĐANG TÌM MỘT CÂU LẠC BỘ?"
"TID_CLAN_INTRO_AD_DESC","Lập đội và cùng trò chuyện với những người chơi khác!"
"TID_CLAN_INTRO_CREATE_GO","TẠO CÂU LẠC BỘ"
"TID_CLAN_INTRO_SEARCH_GO","TÌM KIẾM CÂU LẠC BỘ"
"TID_CLAN_INTRO_REFRESH","LÀM MỚI"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Cần có <REQ> cúp để gia nhập Câu lạc bộ này. Bạn chỉ có <SCORE> cúp."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Đây là Câu lạc bộ kín"
"TID_STREAM_ENTRY_AGE","<time> trước"
"TID_ALLIANCE_ROLE_LEADER","Chủ tịch"
"TID_ALLIANCE_ROLE_CO_LEADER","Phó chủ tịch"
"TID_ALLIANCE_ROLE_MEMBER","Thành viên"
"TID_ALLIANCE_ROLE_ELDER","Thành viên cấp cao"
"TID_STREAM_SENDER_YOU","Bạn"
"TID_GOLDRUSH_1","Mỏ Đá Cứng"
"TID_BANKHEIST_1","Nơi ẩn náu của Kẻ cướp"
"TID_WANTED_1","Ngôi đền Đổ nát"
"TID_BATTLE_ROYALE_1","Vùng đất Đầu lâu"
"TID_GOLDRUSH_2","Pha lê Điện tử"
"TID_BANKHEIST_2","Hẻm núi Kaboom"
"TID_WANTED_2","Doanh trại Bất kham"
"TID_BATTLE_ROYALE_2","Hỏa Thạch"
"TID_GOLDRUSH_3","Động Nấm độc"
"TID_BANKHEIST_3","Vùng An toàn"
"TID_WANTED_3","Pháo đài Đá"
"TID_BATTLE_ROYALE_3","Quyết đấu Tường đá"
"TID_WANTED_4","Bẫy Nấm độc"
"TID_GOLDRUSH_4","Pháo đài Đá"
"TID_WANTED_5","Cánh đồng Pha lê"
"TID_GOLDRUSH_5","Mỏ ngầm"
"TID_WANTED_6","Thảo nguyên Rắn"
"TID_WANTED_7","Sao băng"
"TID_GOLDRUSH_6","Quán ăn Sâu thẳm"
"TID_GOLDRUSH_7","Không gian Thư thái"
"TID_BATTLE_ROYALE_4","Yến tiệc hay Đói kém"
"TID_WANTED_8","Sào huyệt"
"TID_BANKHEIST_4","Bãi quây G.G"
"TID_CLAN_MEMBERS_ONLINE","Thành viên trực tuyến: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Cúp Câu lạc bộ"
"TID_CLAN_SEARCH_OK","TÌM KIẾM"
"TID_CLAN_INFO_NAME","TÊN CÂU LẠC BỘ"
"TID_CLAN_INFO_BADGE","PHÙ HIỆU"
"TID_CLAN_INFO_DESC","MÔ TẢ"
"TID_CLAN_INFO_TOTAL_TROPHIES","CÚP CÂU LẠC BỘ"
"TID_CLAN_INFO_TYPE","LOẠI:"
"TID_CLAN_INFO_TAG","Thẻ Câu lạc bộ"
"TID_CLAN_INFO_MIN_TROPHIES","SỐ CÚP CẦN CÓ"
"TID_CLAN_INFO_LEAVE","RỜI ĐI"
"TID_CLAN_INFO_SETTINGS","CÀI ĐẶT"
"TID_CLAN_INFO_JOIN","GIA NHẬP"
"TID_CLAN_INFO_MESSAGE","Tin nhắn"
"TID_CLAN_INFO_REQUEST_JOIN","Yêu cầu gia nhập"
"TID_CLAN_SEARCH_NO_RESULTS","Không tìm thấy Câu lạc bộ"
"TID_CLAN_SEARCH_INITIAL","Không có chuỗi tìm kiếm"
"TID_CLAN_INFO_MEMBERS","Thành viên"
"TID_CLAN_INFO_SELECT_BADGE","TÌM DUYỆT"
"TID_SELECT_BADGE","CHỌN PHÙ HIỆU"
"TID_ALLIANCE_CREATE_OK","Đã tạo Câu lạc bộ thành công"
"TID_CLAN_CHANGE_SETTINGS_TITLE","CÀI ĐẶT CÂU LẠC BỘ"
"TID_TITLE_ALLIANCE","Thông tin Câu lạc bộ"
"TID_ALLIANCE_LEFT","Bạn đã rời Câu lạc bộ"
"TID_CLAN_MEMBER_DEMOTE","Giáng cấp"
"TID_CLAN_MEMBER_PROMOTE","Thăng cấp"
"TID_CLAN_MEMBER_KICK","Khai trừ"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Xem Câu lạc bộ"
"TID_BUTTON_INVITE","MỜI"
"TID_PLAYER_INFO_GOTO_CLAN","Xem Câu lạc bộ"
"TID_SELECT_PLAYER_THUMBNAIL","CHỌN BIỂU TƯỢNG"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Biểu tượng này sẽ mở khóa khi điểm kinh nghiệm đạt cấp <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Biểu tượng này sẽ mở khóa khi đạt tổng cộng <TROPHIES> cúp"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> trận thắng"
"TID_PLAYER_INFO_TAB_1","THÔNG SỐ"
"TID_PLAYER_INFO_TAB_2","CHIẾN BINH BRAWL (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","CHIẾN THẮNG 3 VS 3"
"TID_PLAYER_STAT_4","SỐ CÚP CAO NHẤT"
"TID_PLAYER_STAT_8","CHIẾN THẮNG ĐƠN"
"TID_PLAYER_STAT_10","CHƠI BRAWL LỚN TỐT NHẤT"
"TID_PLAYER_STAT_9","LẦN ĐẠI CHIẾN RÔ BỐT TỐT NHẤT"
"TID_PLAYER_STAT_11","CHIẾN THẮNG ĐÔI"
"TID_PLAYER_STAT_12","ĐÃ ĐÁNH BẠI TRÙM CẤP CAO NHẤT"
"TID_PLAYER_STAT_13","ĐIỂM SO TÀI SỨC MẠNH CAO NHẤT"
"TID_PLAYER_STAT_14","HẠNG SO TÀI SỨC MẠNH CAO NHẤT"
"TID_PLAYER_STAT_15","THẮNG THỬ THÁCH NHIỀU NHẤT"
"TID_NO_CLAN","Không ở trong Câu lạc bộ"
"TID_ULTIMATE_NOT_READY","Bắn trúng kẻ địch để nạp đầy Tuyệt chiêu của bạn!"
"TID_CANT_ACTIVATE_ULTI","Không thể kích hoạt Tuyệt chiêu khi đã bị đánh bại!"
"TID_NAME_TOO_SHORT","Tên của bạn quá ngắn"
"TID_ALLIANCE_JOINED","Đã gia nhập Câu lạc bộ"
"TID_COIN_RUSH_INTRO_TEXT","Thu thập 10 viên ngọc để chiến thắng"
"TID_BOUNTY_HUNTER_INTRO_TEXT","Đánh bại Chiến binh Brawl để kiếm sao"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Bắn thủng két sắt của địch"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Bắn thủng két sắt của địch"
"TID_GO","Chiến đấu!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","XÁC NHẬN RỜI ĐI"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nBạn có chắc chắn muốn rời khỏi Câu lạc bộ không?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","RỜI ĐI"
"TID_ALLIANCE_PROMOTE_TITLE","Xác nhận thăng cấp"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Bạn có chắc muốn thăng cấp <NAME> lên <ROLE> không?"
"TID_ALLIANCE_PROMOTE_BUTTON","Thăng cấp"
"TID_ALLIANCE_KICK_TITLE","Xác nhận khai trừ"
"TID_ALLIANCE_KICK_CONFIRMATION","Bạn có chắc chắn muốn khai trừ <NAME> khỏi Câu lạc bộ không?"
"TID_ALLIANCE_KICK_BUTTON","Khai trừ"
"TID_ALLIANCE_DEMOTE_TITLE","Xác nhận giáng cấp"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Bạn có chắc muốn giáng cấp <NAME> xuống <ROLE> không?"
"TID_ALLIANCE_DEMOTE_BUTTON","Giáng cấp"
"TID_CLAN_RESPONSE_10","Đã lưu cài đặt"
"TID_CLAN_RESPONSE_20","Đã tạo Câu lạc bộ"
"TID_CLAN_RESPONSE_21","Không tạo được Câu lạc bộ! Vui lòng thử lại sau."
"TID_CLAN_RESPONSE_22","Tên không được chấp nhận"
"TID_CLAN_RESPONSE_23","Mô tả không được chấp nhận"
"TID_CLAN_RESPONSE_24","Tên quá ngắn"
"TID_CLAN_RESPONSE_40","Đã gia nhập Câu lạc bộ"
"TID_CLAN_RESPONSE_42","Không gia nhập được: Câu lạc bộ đã đủ người"
"TID_CLAN_RESPONSE_43","Không gia nhập được: Câu lạc bộ không mở"
"TID_CLAN_RESPONSE_45","Không gia nhập được: bạn không có đủ cúp để gia nhập Câu lạc bộ này"
"TID_CLAN_RESPONSE_46","Không gia nhập được: bạn đã bị cấm gia nhập Câu lạc bộ này vì đã bị khai trừ hoặc yêu cầu gia nhập của bạn đã bị từ chối trước đó"
"TID_CLAN_RESPONSE_47","Không gia nhập được: yêu cầu gia nhập Câu lạc bộ quá nhiều vào hôm nay. Bạn đã bị chặn gửi yêu cầu gia nhập Câu lạc bộ trong ngày hôm nay."
"TID_CLAN_RESPONSE_48","Không gia nhập được: không thể gia nhập vào Câu lạc bộ ở một khu vực khác."
"TID_CLAN_RESPONSE_50","Đã gửi yêu cầu gia nhập thành công"
"TID_CLAN_RESPONSE_51","Không gửi được yêu cầu gia nhập: Câu lạc bộ này không còn ở chế độ mở cho các yêu cầu gia nhập nữa"
"TID_CLAN_RESPONSE_52","Không gửi được yêu cầu gia nhập: bạn vẫn còn một yêu cầu gia nhập vào Câu lạc bộ này đang chờ xử lý"
"TID_CLAN_RESPONSE_53","Không gửi được yêu cầu gia nhập: bạn không có đủ cúp để gia nhập Câu lạc bộ này"
"TID_CLAN_RESPONSE_54","Không yêu cầu gia nhập được: bạn bị cấm gia nhập Câu lạc bộ này vì đã bị khai trừ hoặc yêu cầu gia nhập của bạn đã bị từ chối trước đó"
"TID_CLAN_RESPONSE_55","Không yêu cầu gia nhập được: không thể gia nhập vào Câu lạc bộ ở một khu vực khác."
"TID_CLAN_RESPONSE_56","Không thể tham gia: CLB này không phù hợp với trẻ em"
"TID_CLAN_RESPONSE_70","Khai trừ thành công"
"TID_CLAN_RESPONSE_80","Bạn đã rời khỏi Câu lạc bộ"
"TID_CLAN_RESPONSE_81","Thăng cấp thành công"
"TID_CLAN_RESPONSE_82","Giáng cấp thành công"
"TID_CLAN_RESPONSE_90","Chấp nhận thành công"
"TID_CLAN_RESPONSE_91","Từ chối thành công"
"TID_CLAN_RESPONSE_92","Không thể chấp nhận: mục tiêu đã ở trong một Câu lạc bộ rồi"
"TID_CLAN_RESPONSE_93","Thao tác thất bại: Không thể tìm thấy yêu cầu"
"TID_CLAN_RESPONSE_94","Thao tác thất bại: Yêu cầu này đã được xử lý rồi"
"TID_CLAN_RESPONSE_95","Thao tác thất bại: Không có quyền"
"TID_CLAN_RESPONSE_96","Không thể chấp nhận: mục tiêu đã bị cấm ở Câu lạc bộ này"
"TID_CLAN_RESPONSE_100","Bạn đã bị khai trừ khỏi Câu lạc bộ"
"TID_CLAN_RESPONSE_101","Bạn đã được thăng cấp"
"TID_CLAN_RESPONSE_102","Bạn đã bị giáng cấp"
"TID_CLAN_RESPONSE_112","Vẫn đang chờ gửi thư CLB trong <TIME>"
"TID_CLAN_RESPONSE_113","Đã gửi thư CLB thành công"
"TID_CLAN_NO_RIGHTS","Bạn không có quyền thực hiện điều này"
"TID_ALLIANCE_NAME_TOO_SHORT","Tên Câu lạc bộ quá ngắn"
"TID_CLAN_JOIN_REQUEST_TITLE","Yêu cầu trở thành thành viên của Câu lạc bộ"
"TID_CLAN_JOIN_REQUEST_SEND","Gửi"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Tôi muốn gia nhập Câu lạc bộ của bạn..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Chấp nhận người chơi này gia nhập Câu lạc bộ?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Chấp nhận"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Từ chối"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Được chấp nhận bởi <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Bị từ chối bởi <name>"
"TID_HINT_DRAG_TO_AIM","Kéo để nhắm mục tiêu"
"TID_HINT_RELEASE_TO_SHOOT","Thả để bắn"
"TID_HINT_ACTIVATE_ULTI","Kéo <cff9900>NÚT ĐIỀU KHIỂN MÀU VÀNG</c> để nhắm mục tiêu bằng Tuyệt chiêu!"
"TID_HINT_DRAG_TO_ULTI","Kéo để nhắm mục tiêu cho TUYỆT CHIÊU, thả ra để bắn!"
"TID_HINT_COLLECT_GOLD","Chiến binh Brawl sẽ rơi ra <ce662f9>NGỌC</c> khi bị đánh bại"
"TID_HINT_HOLD_GOLD","Hãy giữ lấy <ce662f9>NGỌC</c> của bạn!"
"TID_HINT_GO_AFTER_ENEMY","Đuổi theo kẻ địch!"
"TID_HINT_ATTACK_BASE","Bắn thủng két sắt của kẻ địch và bảo vệ két sắt của bạn!"
"TID_HINT_DEFEND_BASE","Bắn thủng két sắt của kẻ địch và bảo vệ két sắt của bạn!"
"TID_HINT_SHOOT_ENEMIES","Đánh bại kẻ địch để kiếm sao!"
"TID_HINT_YOU_ARE_WINNING","Đội của bạn sắp thắng rồi! Phòng thủ đi nào!"
"TID_HINT_YOU_ARE_LOSING","Đội của bạn sắp thua rồi! Tấn công đi nào!"
"TID_HINT_TAP_TO_MOVE","Nhấn để di chuyển\nDi chuyển cùng đội của bạn"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Chú ý: bạn đáng giá một phần thưởng lớn đấy!"
"TID_BOUNTY_3","Chú ý: bạn đáng giá một phần thưởng cực kỳ lớn đấy!"
"TID_BOUNTY_4","Truy nã - dù sống hay chết!"
"TID_NO_CLAN_TITLE","Tìm Câu lạc bộ"
"TID_NO_CLAN_BODY","Gia nhập Câu lạc bộ để trò chuyện và cùng chiến đấu với các game thủ tuyệt vời!"
"TID_NO_CLAN_SUGGESTIONS","Câu lạc bộ được đề xuất cho bạn"
"TID_NO_CLAN_RESULTS","Kết quả tìm kiếm"
"TID_NO_CLAN_EMPTY","Không có Câu lạc bộ được đề xuất :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Đang chờ dữ liệu..."
"TID_CONNECTING_TO_SERVER","Đang kết nối với máy chủ..."
"TID_TEAM_ADVERTISE","QUẢNG CÁO"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","đến Câu lạc bộ"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","đến bạn bè"
"TID_TEAM_AD_INFO_0","Đang tìm người chơi cho trận chiến đồng đội"
"TID_TEAM_AD_JOIN","Gia nhập đội"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Không thể tham gia. Bạn đã ở trong một đội rồi"
"TID_TEAM_MEMBER_STATUS_0","<c999999>NGOẠI TUYẾN</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>ĐANG CHIẾN ĐẤU</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>VẮNG MẶT</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>CHƯA SẴN SÀNG</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>GHÉP TRẬN</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>ĐANG NHẬN THƯỞNG</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>NGOẠI TUYẾN</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>ĐANG XEM</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>ĐANG LUYỆN TẬP</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>ĐANG VIẾT...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>CHỌN NHÂN VẬT</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>SỰ KIỆN</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>SẴN SÀNG</c>"
"TID_TEAM_STATUS_IN_MATCH","ĐANG CHIẾN ĐẤU"
"TID_TEAM_STATUS_IN_MATCHMAKING","ĐANG GHÉP TRẬN"
"TID_TEAM_STATUS_FULL","<cff1e00>ĐẦY</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","MỞ"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","Bạn phải gia nhập Câu lạc bộ để sử dụng tính năng này"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","Bạn cần phải có bạn bè để sử dụng tính năng này"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Không thể quảng cáo. Đội đã đầy"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","Chỉ có người tạo đội mới được phép mà thôi"
"TID_TEAM_LOC_INFO","<MODE> tại <LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","ĐỘI"
"TID_STREAM_EVENT_1","Chào! <target> đã bị <sender> khai trừ khỏi Câu lạc bộ"
"TID_STREAM_EVENT_2","Chào mừng! <target> đã được <sender> chấp nhận vào Câu lạc bộ"
"TID_STREAM_EVENT_3","Chào mừng! <sender> đã gia nhập Câu lạc bộ!"
"TID_STREAM_EVENT_4","Chào! <sender> đã rời khỏi Câu lạc bộ!"
"TID_STREAM_EVENT_5","Chúc mừng! <target> đã được <sender> thăng cấp"
"TID_STREAM_EVENT_6","Không có thù hằn cá nhân gì đâu! <target> đã bị <sender> giáng cấp"
"TID_STREAM_EVENT_101","Đội được <sender> tạo"
"TID_STREAM_EVENT_102","Người chơi <sender> đã gia nhập"
"TID_STREAM_EVENT_103","Người chơi <sender> đã rời đi"
"TID_STREAM_EVENT_104","Chào! <sender> đã khai trừ <target>"
"TID_STREAM_EVENT_105","ghép trận đã bắt đầu"
"TID_STREAM_EVENT_106","ghé trận đã bị hủy"
"TID_STREAM_EVENT_107","trận chiến đã bắt đầu"
"TID_STREAM_EVENT_108","trận đã thắng"
"TID_STREAM_EVENT_109","trận thua"
"TID_STREAM_EVENT_110","luyện tập đã bắt đầu"
"TID_STREAM_EVENT_111","luyện tập đã kết thúc"
"TID_STREAM_EVENT_112","trận hòa"
"TID_STREAM_EVENT_113","chế độ sinh tồn đã kết thúc"
"TID_STREAM_EVENT_114","Đã tắt âm cuộc trò chuyện"
