"TID","JP"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","最後のログイン：<cf7f7f7><DAYS>日前</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","最後のログイン：<cf7f7f7>1ヶ月以上前</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>バトル中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>メニュー画面</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>メニュー画面</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>マッチメイキング中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>メニュー画面</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>観戦中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>練習中</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>メニュー画面</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>メニュー画面</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>メニュー画面</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","オンライン：<COUNT>人"
"TID_CLAN_ENTRY_ONLINE_MEMBER","オンライン：<COUNT>人"
"TID_ALLIANCE_TYPE_OPEN","参加自由"
"TID_ALLIANCE_TYPE_INVITE_ONLY","承認制"
"TID_ALLIANCE_TYPE_CLOSED","非公開"
"TID_CLAN_SEARCH_TITLE","クラブを検索"
"TID_CLAN_INTRO_AD_TITLE","クラブをお探しですか？"
"TID_CLAN_INTRO_AD_DESC","クラブで他のプレイヤーと交流しよう！"
"TID_CLAN_INTRO_CREATE_GO","クラブを作成"
"TID_CLAN_INTRO_SEARCH_GO","クラブを検索"
"TID_CLAN_INTRO_REFRESH","更新"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","このクラブに参加するには<REQ>トロフィー必要です。あなたの所有は<SCORE>トロフィーです。"
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","このクラブには参加できません"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_ALLIANCE_ROLE_LEADER","リーダー"
"TID_ALLIANCE_ROLE_CO_LEADER","サブリーダー"
"TID_ALLIANCE_ROLE_MEMBER","メンバー"
"TID_ALLIANCE_ROLE_ELDER","シニア"
"TID_STREAM_SENDER_YOU","あなた"
"TID_GOLDRUSH_1","ごつごつ坑道"
"TID_BANKHEIST_1","盗賊のアジト"
"TID_WANTED_1","寺院跡"
"TID_BATTLE_ROYALE_1","ガイコツ川"
"TID_GOLDRUSH_2","クリスタルアーケード"
"TID_BANKHEIST_2","どんぱち谷"
"TID_WANTED_2","ならず者の基地"
"TID_BATTLE_ROYALE_2","焼け野原"
"TID_GOLDRUSH_3","毒キノコ洞窟"
"TID_BANKHEIST_3","安全地帯"
"TID_WANTED_3","岩の要塞"
"TID_BATTLE_ROYALE_3","岩壁の決戦"
"TID_WANTED_4","サボテンの罠"
"TID_GOLDRUSH_4","岩の要塞"
"TID_WANTED_5","シンメトリー"
"TID_GOLDRUSH_5","アンダーマイン"
"TID_WANTED_6","ジグザグ草原"
"TID_WANTED_7","流れ星"
"TID_GOLDRUSH_6","ディープダイナー"
"TID_GOLDRUSH_7","落ち着ける場所"
"TID_BATTLE_ROYALE_4","天国と地獄"
"TID_WANTED_8","隠れ家"
"TID_BANKHEIST_4","鉄壁の砦"
"TID_CLAN_MEMBERS_ONLINE","オンライン：<COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","クラブトロフィー"
"TID_CLAN_SEARCH_OK","検索"
"TID_CLAN_INFO_NAME","クラブ名"
"TID_CLAN_INFO_BADGE","紋章"
"TID_CLAN_INFO_DESC","紹介文"
"TID_CLAN_INFO_TOTAL_TROPHIES","クラブトロフィー"
"TID_CLAN_INFO_TYPE","タイプ"
"TID_CLAN_INFO_TAG","クラブタグ"
"TID_CLAN_INFO_MIN_TROPHIES","必要トロフィー数"
"TID_CLAN_INFO_LEAVE","脱退"
"TID_CLAN_INFO_SETTINGS","設定"
"TID_CLAN_INFO_JOIN","参加"
"TID_CLAN_INFO_MESSAGE","メッセージ"
"TID_CLAN_INFO_REQUEST_JOIN","参加申請"
"TID_CLAN_SEARCH_NO_RESULTS","クラブが見つかりません"
"TID_CLAN_SEARCH_INITIAL","検索ワードが未入力です"
"TID_CLAN_INFO_MEMBERS","メンバー"
"TID_CLAN_INFO_SELECT_BADGE","他も見る"
"TID_SELECT_BADGE","紋章を選択"
"TID_ALLIANCE_CREATE_OK","クラブが作成できました"
"TID_CLAN_CHANGE_SETTINGS_TITLE","クラブ設定"
"TID_TITLE_ALLIANCE","クラブ情報"
"TID_ALLIANCE_LEFT","クラブを脱退しました"
"TID_CLAN_MEMBER_DEMOTE","降格"
"TID_CLAN_MEMBER_PROMOTE","昇格"
"TID_CLAN_MEMBER_KICK","追放"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","クラブを見る"
"TID_BUTTON_INVITE","招待"
"TID_PLAYER_INFO_GOTO_CLAN","クラブを見る"
"TID_SELECT_PLAYER_THUMBNAIL","アイコンを選択"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","XPレベル<LEVEL>でアンロック"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","合計トロフィー<TROPHIES>個で\nアンロック"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT>勝"
"TID_PLAYER_INFO_TAB_1","戦績"
"TID_PLAYER_INFO_TAB_2","キャラクター（<FOUND>/<TOTAL>）"
"TID_PLAYER_STAT_1","3対3 勝利数"
"TID_PLAYER_STAT_4","最多トロフィー数"
"TID_PLAYER_STAT_8","ソロ勝利数"
"TID_PLAYER_STAT_10","巨大キャラ側のベスト"
"TID_PLAYER_STAT_9","ロボットファイトのベスト"
"TID_PLAYER_STAT_11","デュオ勝利数"
"TID_PLAYER_STAT_12","ボスファイト最高レベル"
"TID_PLAYER_STAT_13","パワープレイ最高ポイント"
"TID_PLAYER_STAT_14","パワープレイ最高ランク"
"TID_PLAYER_STAT_15","チャレンジ最多勝利数"
"TID_NO_CLAN","クラブに参加していません"
"TID_ULTIMATE_NOT_READY","敵に命中させて必殺技をチャージ！"
"TID_CANT_ACTIVATE_ULTI","撃ち負けた時は必殺技を使えません！"
"TID_NAME_TOO_SHORT","名前が短すぎます"
"TID_ALLIANCE_JOINED","クラブに参加しました"
"TID_COIN_RUSH_INTRO_TEXT","10エメラルドを集めれば勝利"
"TID_BOUNTY_HUNTER_INTRO_TEXT","敵を倒して星を集めよう"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","敵の金庫を撃って破壊しよう"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","敵の金庫を撃って破壊しよう"
"TID_GO","バトル！"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","脱退の確認"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\n本当にクラブを脱退しますか？"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","脱退"
"TID_ALLIANCE_PROMOTE_TITLE","昇格の確認"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","本当に<NAME>を<ROLE>に昇格しますか？"
"TID_ALLIANCE_PROMOTE_BUTTON","昇格"
"TID_ALLIANCE_KICK_TITLE","追放の確認"
"TID_ALLIANCE_KICK_CONFIRMATION","本当に<NAME>をクラブから追放しますか？"
"TID_ALLIANCE_KICK_BUTTON","追放"
"TID_ALLIANCE_DEMOTE_TITLE","降格の確認"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","本当に<NAME>を<ROLE>に降格しますか？"
"TID_ALLIANCE_DEMOTE_BUTTON","降格"
"TID_CLAN_RESPONSE_10","設定を保存しました"
"TID_CLAN_RESPONSE_20","クラブを作成しました"
"TID_CLAN_RESPONSE_21","クラブを作成できません！しばらく待ってから再度お試しください。"
"TID_CLAN_RESPONSE_22","無効な名前です"
"TID_CLAN_RESPONSE_23","無効な紹介文です"
"TID_CLAN_RESPONSE_24","名前が短すぎます"
"TID_CLAN_RESPONSE_40","クラブに参加しました"
"TID_CLAN_RESPONSE_42","参加不可：クラブが満員です。"
"TID_CLAN_RESPONSE_43","参加不可：クラブが非公開です。"
"TID_CLAN_RESPONSE_45","参加不可：参加条件のトロフィー数に達していません。"
"TID_CLAN_RESPONSE_46","参加不可：過去に、このクラブから追放されたか参加申請を拒否されています。"
"TID_CLAN_RESPONSE_47","参加不可：1日に参加できるクラブ数の上限に達しました。今日はこれ以上参加できません。"
"TID_CLAN_RESPONSE_48","参加不可：異なる地域のクラブには参加できません。"
"TID_CLAN_RESPONSE_50","参加申請を送信しました"
"TID_CLAN_RESPONSE_51","申請送信不可：このクラブは参加申請を受け付けていません。"
"TID_CLAN_RESPONSE_52","申請送信不可：このクラブにはすでに参加申請を送信済みです。"
"TID_CLAN_RESPONSE_53","リクエスト送信不可：参加条件のトロフィー数に達していません。"
"TID_CLAN_RESPONSE_54","参加申請不可：過去に、このクラブから追放または参加申請を拒否されています。"
"TID_CLAN_RESPONSE_55","参加申請不可：異なる地域のクラブには参加できません。"
"TID_CLAN_RESPONSE_56","参加不可：このクラブはファミリーフレンドリーではありません"
"TID_CLAN_RESPONSE_70","追放しました"
"TID_CLAN_RESPONSE_80","クラブを脱退しました"
"TID_CLAN_RESPONSE_81","昇格しました"
"TID_CLAN_RESPONSE_82","降格しました"
"TID_CLAN_RESPONSE_90","承認しました"
"TID_CLAN_RESPONSE_91","拒否しました"
"TID_CLAN_RESPONSE_92","承認不可：このプレイヤーはすでに別のクラブに参加しています。"
"TID_CLAN_RESPONSE_93","対応不可：リクエストが見つかりません"
"TID_CLAN_RESPONSE_94","対応不可：すでに対応済みのリクエストです"
"TID_CLAN_RESPONSE_95","対応不可：権限がありません"
"TID_CLAN_RESPONSE_96","承認不可：このクラブから追放されたことのあるプレイヤーです。"
"TID_CLAN_RESPONSE_100","クラブから追放されました"
"TID_CLAN_RESPONSE_101","昇格されました"
"TID_CLAN_RESPONSE_102","降格されました"
"TID_CLAN_RESPONSE_112","クラブメールの送信は\nあと<TIME>間行えません"
"TID_CLAN_RESPONSE_113","クラブメールを送信しました"
"TID_CLAN_NO_RIGHTS","この操作を行う権限がありません。"
"TID_ALLIANCE_NAME_TOO_SHORT","クラブ名が短すぎます"
"TID_CLAN_JOIN_REQUEST_TITLE","クラブへの参加をリクエスト"
"TID_CLAN_JOIN_REQUEST_SEND","送信"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","あなたのクラブに参加させてください！"
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","参加申請を承認しますか？"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","承認"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","拒否"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","<name>に承認されました"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","<name>に拒否されました"
"TID_HINT_DRAG_TO_AIM","ドラッグして狙いを定めて"
"TID_HINT_RELEASE_TO_SHOOT","指を離して発射"
"TID_HINT_ACTIVATE_ULTI","<cff9900>黄色いコントローラー</c>をドラッグして必殺技をエイム！"
"TID_HINT_DRAG_TO_ULTI","ドラッグして必殺技の狙いを定め、指を離して発射！"
"TID_HINT_COLLECT_GOLD","倒されると<ce662f9>エメラルド</c>を落としてしまいます"
"TID_HINT_HOLD_GOLD","<ce662f9>エメラルド</c>を守り抜こう！"
"TID_HINT_GO_AFTER_ENEMY","敵を追いかけよう！"
"TID_HINT_ATTACK_BASE","敵の金庫を破壊し、自分の金庫を守ろう！"
"TID_HINT_DEFEND_BASE","敵の金庫を破壊し、自分の金庫を守ろう！"
"TID_HINT_SHOOT_ENEMIES","敵を倒して星を集めよう！"
"TID_HINT_YOU_ARE_WINNING","チームが勝てそうです！防衛にまわりましょう！"
"TID_HINT_YOU_ARE_LOSING","チームが負けそうです！どんどん攻めましょう！"
"TID_HINT_TAP_TO_MOVE","タップで移動\nチームメイトと移動しよう"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","注意：あなたに高額の懸賞金がついています！"
"TID_BOUNTY_3","注意：あなたに超高額の懸賞金がついています！"
"TID_BOUNTY_4","WANTED！"
"TID_NO_CLAN_TITLE","クラブを探す"
"TID_NO_CLAN_BODY","クラブに参加して、仲間とチャットやプレイを楽しみましょう！"
"TID_NO_CLAN_SUGGESTIONS","オススメのクラブ"
"TID_NO_CLAN_RESULTS","検索結果"
"TID_NO_CLAN_EMPTY","オススメはありません (T_T)"
"TID_NO_CLAN_WAITING_FOR_DATA","データ取得中..."
"TID_CONNECTING_TO_SERVER","サーバーに接続中..."
"TID_TEAM_ADVERTISE","募集"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","クラブ"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","フレンド"
"TID_TEAM_AD_INFO_0","チーム戦に参加するプレイヤーを検索中"
"TID_TEAM_AD_JOIN","チームに参加"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","すでにチームに入っているため参加できません。"
"TID_TEAM_MEMBER_STATUS_0","<c999999>オフライン</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>バトル中</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>退席中</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>準備中</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>マッチメイキング中</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>終了画面</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>オフライン</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>観戦中</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>練習中</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>入力中...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>キャラ選択中</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>イベント画面</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>準備完了</c>"
"TID_TEAM_STATUS_IN_MATCH","バトル中"
"TID_TEAM_STATUS_IN_MATCHMAKING","マッチメイキング中"
"TID_TEAM_STATUS_FULL","<cff1e00>満員</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","参加自由"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","この機能を利用するにはクラブに所属している必要があります。"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","フレンドがいなければ、この機能は使えません。"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","チームが満員のため募集できません。"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","この操作を実行できるのはチーム作成者のみです。"
"TID_TEAM_LOC_INFO","<LOC>で<MODE>"
"TID_TEAM_DISPLAY_TITLE_EVENT","チーム"
"TID_STREAM_EVENT_1","さらば！<sender>が<target>をクラブから追放しました"
"TID_STREAM_EVENT_2","ようこそ！<sender>が<target>の参加を承認しました"
"TID_STREAM_EVENT_3","ようこそ！<sender>がクラブに参加しました"
"TID_STREAM_EVENT_4","また会おう！<sender> がクラブを脱退しました"
"TID_STREAM_EVENT_5","おめでとう！<sender>が<target>を昇格しました"
"TID_STREAM_EVENT_6","元気を出して！<sender>が<target>を降格しました"
"TID_STREAM_EVENT_101","<sender>がチームを作成しました"
"TID_STREAM_EVENT_102","プレイヤー<sender>が参加しました"
"TID_STREAM_EVENT_103","プレイヤー<sender>が脱退しました"
"TID_STREAM_EVENT_104","さらば！<sender>が<target>を追放しました"
"TID_STREAM_EVENT_105","マッチメイキングが始まりました"
"TID_STREAM_EVENT_106","マッチメイキングがキャンセルされました"
"TID_STREAM_EVENT_107","ゲームが始まりました"
"TID_STREAM_EVENT_108","勝利しました"
"TID_STREAM_EVENT_109","敗北しました"
"TID_STREAM_EVENT_110","練習を開始しました"
"TID_STREAM_EVENT_111","練習を終了しました"
"TID_STREAM_EVENT_112","引き分けでした"
"TID_STREAM_EVENT_113","バトルロイヤルが終了しました"
"TID_STREAM_EVENT_114","テキストチャットをミュートしました"
"TID_STREAM_EVENT_115","テキストチャットのミュートを解除しました"
"TID_CHAT_BOTTOM_BUTTON","下へスクロール"
"TID_CHAT_BOTTOM_NEW_MESSAGES","新着メッセージ：<count>件"
"TID_CHAT_BOTTOM_NEW_MESSAGE","新着メッセージ！"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","レベル<LVL>にアップグレード"
"TID_HERO_INFO_ITEMS","アップグレード"
"TID_HERO_INFO_SKINS","キャラクター"
"TID_HERO_INFO_SKIN_OWNED","このスキンは所有しています"
"TID_HERO_INFO_SKIN_ACTIVE","選択中"
"TID_HERO_INFO_SKIN_ACTIVATE","選択"
"TID_HERO_INFO_LEADERBOARD","ランキング"
"TID_HERO_INFO_LEADERBOARD_LABEL","ベスト<HERO>プレイヤー"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","検索"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","ドラッグして必殺技の狙いを定めよう！"
"TID_HINT_SHOOT","ドラッグして狙い、指を離して発射"
"TID_HERO_SCORE_SUM_LEADERBOARD","ベストプレイヤー"
"TID_ALLIANCE_LEADERBOARD","ベストクラブ"
"TID_HINT_MAKE_GOAL","ドラッグして狙い、指を離してボールをキック"
"TID_BATTLE_ROYALE_INTRO_TEXT","最後の生存者になろう！"
"TID_HINT_COLLECT_BUFFS","木箱や敵から<c50d050>パワーキューブ</c>を\n回収してパワーアップ！"
"TID_PLAYERS_LEFT","生存者：<num>"
"TID_AVOID_POISON","拡散する<c90ee90>毒ガス</c>から逃れよう！"
"TID_CLAN_CREATE_COOLDOWN","現在クラブの作成はできません。<TIME>後に再度お試しください。"
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","クラブを作成するには\nXPレべル<LEVEL>が必要です"
"TID_PLAYER_DATA_MISSING","プレイヤーデータなし"
"TID_ALLIANCE_DATA_MISSING","クラブデータなし"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","弾がリロードされるまで待とう！"
"TID_EVENT_EXPIRED","イベントは終了しました"
"TID_DOUBLE_COINS_INFO","ここでバトルすると獲得トークンが2倍！"
"TID_DOUBLE_XP_INFO","ここでバトルすると獲得XPが2倍！"
"TID_SETTINGS_TITLE","設定"
"TID_SETTINGS_CONTROL_MODE_TITLE","操作モード"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","タップ移動"
"TID_SETTINGS_CONTROL_MODE_INFO_0","画面をタップしてキャラを移動。ドラッグして狙いを定め、指を離して発射。"
"TID_SETTINGS_CONTROL_MODE_VALUE_1","ジョイスティック操作（右利き）"
"TID_SETTINGS_CONTROL_MODE_INFO_1","画面左下にあるジョイスティックで移動。ターゲットをタップして発射。"
"TID_SETTINGS_CONTROL_MODE_VALUE_2","ジョイスティック操作（左利き）"
"TID_SETTINGS_CONTROL_MODE_INFO_2","画面右下にあるジョイスティックで移動。ターゲットをタップして発射。"
"TID_CHANGE_NAME_TITLE","名前変更"
"TID_SETTINGS_PLAYERNAME_CURRENT","現在の名前："
"TID_SETTINGS_PLAYERNAME_ENTERNEW","新しい名前を入力："
"TID_ERROR_NAMES_DONT_MATCH","名前が一致しません。もう一度お試しください。"
"TID_CONTINUE","続ける"
"TID_NAMECHANGE_WARNING","注意：名前は一度しか変更できません！"
"TID_CONFIRM","確定"
"TID_INVALID_NAME","無効な名前です！他のものを入力してください。"
"TID_SETTINGS_PLAYERNAME_REENTERNEW","新しい名前を再入力："
"TID_NAME_ALREADY_CHANGED","名前は一度しか変更できません。"
"TID_NAME_CHANGE_ALREADY_USED","すでに一度名前を変更しています"
"TID_NAME_CHANGED_SUCCESS","名前を変更しました！"
"TID_NAME_CHANGE_IN_PROGRESS","名前を変更できません。前回の名前変更の処理中です。"
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","名前を変更するには\nXPレベル<level>が必要です"
"TID_CONFIRM_CONFIRM","操作を完了するには「<confirmword>」と入力してOKボタンを押してください。"
"TID_CONFIRM_WORD","かくてい"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","本当に名前を変更しますか？\n新しい名前："
"TID_BUTTON_CONFIRM","OK"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","次のイベントまで"
"TID_EVENTS_TIME_LEFT","残り時間"
"TID_EVENTS_NEW","NEW!"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","すべてのXPを回収しました"
"TID_EVENTS_EVENT_LOCKED","ロック中"
"TID_EVENTS_TROPHY_REQ","合計<c00ffff><COUNT></c>トロフィー到達で\nアンロック"
"TID_EVENTS_PRO_LEAGUE_REQ","いずれかのキャラクターの\nスターパワーを獲得すると\nアンロック"
"TID_GAME_STARTING","<LOCATION>でゲームが始まります。参加しましょう！"
"TID_WEEKEND_EVENT","XP 2倍イベント"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","ショップは一時的に\nご利用いただけません"
"TID_GATCHA_TEMPORARILY_DISABLED","ブロスタボックスは\n一時的に開けません"
"TID_SHOP_WELCOME_TITLE","ショップへようこそ！"
"TID_SHOP_WELCOME","プレイを進めると、\n新しいショップのカテゴリが\n解放されます！\n\n定期的にチェックして\n新着アイテムを確認しよう！"
"TID_SHOP_SPECIAL_OFFER","スペシャルセール"
"TID_SHOP_COIN_BOOSTERS","ブースター"
"TID_SHOP_GEM_PACKS","エメラルドパック"
"TID_SHOP_PURCHASED","購入済"
"TID_SHOP_OBTAINED","入手不可"
"TID_SHOP_INVALIDATED","期限切れ"
"TID_SHOP_ACTIVE","使用中"
"TID_SHOP_DOUBLE_COINS_TITLE","ダブルトークン"
"TID_SHOP_DOUBLE_COINS_INFO","2倍にできるトークン"
"TID_SHOP_DOUBLE_COINS_INFO_2","バトルで獲得するもの限定！"
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","バトルで獲得する<AMOUNT>個のトークンが2倍に！"
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","残りのトークン："
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","エメラルドが足りません"
"TID_SHOP_OFFER_PURCHASE_ERROR_3","このセール品はすでに購入済みです。"
"TID_SHOP_OFFER_PURCHASE_ERROR_4","このセール品は購入できません。含まれるアイテムの1つ以上をすでに所有しています。"
"TID_SHOP_OFFER_TITLE","期間限定セール"
"TID_SHOP_GEM_PACK_1_TITLE","ひと握りのエメラルド"
"TID_SHOP_GEM_PACK_2_TITLE","エメラルドの小袋"
"TID_SHOP_GEM_PACK_3_TITLE","エメラルドの袋"
"TID_SHOP_GEM_PACK_4_TITLE","エメラルドのバケツ"
"TID_SHOP_GEM_PACK_5_TITLE","エメラルドの箱"
"TID_SHOP_GEM_PACK_6_TITLE","エメラルドの金庫"
"TID_SHOP_HEROES_OF_RARITY","確定キャラクター"
"TID_SHOP_HERO_OF_RARITY_TITLE","<c<COLOR>><NAME></c> キャラ"
"TID_SHOP_HERO_OF_RARITY_BOX","キャラボックス"
"TID_SHOP_HERO_POWER_TITLE","<cffffff>+<AMOUNT></c> パワー"
"TID_SHOP_GATCHA_BOXES","ボックス"
"TID_SHOP_GATCHA_BOX_1","ビッグボックス"
"TID_SHOP_GATCHA_BOX_2","ブロスタボックス"
"TID_SHOP_GATCHA_BOX_3","メガボックス"
"TID_SHOP_GATCHA_BOX_PURCHASE_ERROR_3","今日はこれ以上ボックスを購入できません"
"TID_SHOP_TICKETS","イベントチケット"
"TID_SHOP_TICKET_PACK_0","チケットセット"
"TID_SHOP_TICKET_PACK_1","チケットの山"
"TID_SHOP_TICKET_PACK_2","チケットひと巻き"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACKS","コインパック"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_0","ひと握りのコイン"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1","コインの小袋"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2","コインの袋"
"TID_HERO_LVL_MATERIAL_RECEIVED","<AMOUNT>コインを購入しました"
"TID_SHOP_DAILY_OFFERS","日替わりセール"
"TID_SHOP_SKINS","スキン"
"TID_SHOP_BRAWLIDAYS_SKINS","クリスマススキン"
"TID_SHOP_LUNAR_BRAWL_SKINS","旧正月スキン"
"TID_SHOP_LEGENDARY_SKINS","スターショップ"
"TID_SHOP_STAR_BOXES","スターボックス"
"TID_SHOP_FREE","無料"
"TID_SHOP_CLAIM","回収"
"TID_SHOP_NEW_DAILY_OFFERS_AVAILABLE_IN","<TIME>"
"TID_SHOP_TICKETS_AVAILABLE_FOR","<TIME>"
"TID_SHOP_DISCOUNT","-<AMOUNT>%"
"TID_SHOP_OFFER_TITLE_0","無料ボックス"
"TID_SHOP_OFFER_TITLE_1","コイン"
"TID_SHOP_OFFER_TITLE_6","ブロスタボックス"
"TID_SHOP_OFFER_TITLE_7","チケット"
"TID_SHOP_OFFER_TITLE_8","パワーポイント"
"TID_SHOP_OFFER_TITLE_9","ダブルトークン"
"TID_SHOP_OFFER_TITLE_10","メガボックス"
"TID_SHOP_OFFER_TITLE_12","パワーポイント"
"TID_SHOP_OFFER_TITLE_14","ビッグボックス"
"TID_SHOP_OFFER_TITLE_15","ブロスタボックス"
"TID_SHOP_OFFER_TITLE_16","エメラルド"
"TID_SHOP_OFFER_DESC_GOLD","コインを使うとキャラをアップグレードできる"
"TID_SHOP_OFFER_ANY_BRAWLER","1体のキャラクターを\n選んで強化"
"TID_PURCHASE_OFFER_POPUP_TITLE","購入を確定"
"TID_PURCHASE_OFFER_POPUP_TITLE_FREE","無料報酬"
"TID_SHOP_OFFER_NEW_HERO_LABEL","キャラクター"
"TID_SHOP_OFFER_NEW_SKIN_LABEL","スキン"
"TID_SHOP_OFFER_HERO_POWER_TITLE","パワーポイント"
"TID_SHOP_TICKET_PURCHASE_ERROR_4","購入できません。購入は、イベントにつき各パック1回限定です。"
"TID_SHOP_OFFER_NEW","新入荷"
"TID_GATCHA_BOX_TITLE_2","ブロスタボックス"
"TID_GATCHA_BOX_TITLE_3","メガボックス"
"TID_SHOP_HERO_PURCHASE_CONFIRM_LABEL","新キャラクター"
"TID_GATCHA_BOX_INFO_2","新キャラ、スターパワー、コインにキャラ2人分のパワーポイントが入っています。一部のボックスにはダブルトークンも含まれます！"
"TID_GATCHA_BOX_INFO_3","\n\nブロスタボックス<AMOUNT>個分のサイズです。"
"TID_SHOP_OFFER_INFO_0","無料でお楽しみいただけます！"
"TID_SHOP_OFFER_INFO_1","<AMOUNT>コインが入っています。キャラのアップグレードにご活用ください。"
"TID_SHOP_OFFER_INFO_2","<RARITY>キャラクターのいずれかをアンロックします！"
"TID_SHOP_OFFER_INFO_3","新キャラをアンロック！"
"TID_SHOP_OFFER_INFO_6","キャラクター、パワーポイント、コイン等を入手できます！"
"TID_SHOP_OFFER_INFO_7","イベントチケットが<AMOUNT>枚入っています。チケットイベントをお楽しみください！"
