"TID","FI"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Et voi vaihtaa tapahtumaa valmiustilassa!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Et voi vaihtaa tätä valmiustilassa!"
"TID_TEAM_GATCHA_BLOCKED","Et voi avata lipasta valmiustilassa!"
"TID_TEAM_NO_MEMBER_INFO","Joukkuekutsu on vain joukkueen perustajan käytettävissä."
"TID_TEAM_INFO_TEAM_CODE","Jaa tämä koodi kavereillesi ja kutsu heidät joukkueeseesi.\n\nKopioi koodi leikepöydälle napauttamalla uudelleen."
"TID_FREEZER","Jäädyttäjä"
"TID_GAME_OVER","Ottelu päättyi"
"TID_LEVEL","taso <LVL>"
"TID_PLAYERS_IN_MM","Ottelunmuodostuksessa on pelaajia!"
"TID_ONLINE_INFO","Pelaajia paikalla: <ONLINE> ottelunmuodostuksessa: <MATCHMAKE> ottelussa: <BATTLES>"
"TID_INPUT_NAME","Kirjoita nimesi tähän"
"TID_LEADERBOARD_YOUR_SCORE","Pisteesi"
"TID_LEADERBOARD_YOUR_RANK","Sijoituksesi"
"TID_LEADERBOARD_HIGHEST_SCORE","Korkein pistemääräsi"
"TID_LEADERBOARD_LOCAL","PAIKALLINEN (<COUNTRY>)"
"TID_REGION_0","MAAILMAN-\nLAAJUINEN"
"TID_REGION_1","AASIA"
"TID_SET_REGION_RESULT_0","Alueen vaihto alueeseen <REGION> onnistui."
"TID_SET_REGION_RESULT_1","Alueen vaihto epäonnistui: et voi vaihtaa aluetta, kun olet jengissä."
"TID_SET_REGION_RESULT_2","Alueen vaihto epäonnistui: et voi vaihtaa aluetta, kun olet joukkueessa."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Kristallikaappaus"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Nappaa ja pidä hallussasi 10 jalokiveä!"
"TID_BATTLE_END_MY_TEAM","Joukkueesi"
"TID_BATTLE_END_ENEMY_TEAM","Vastustajajoukkue"
"TID_BACK","TAKAISIN"
"TID_NOT_ENOUGH_GOLD","Ei tarpeeksi kolikoita. Avaa rähinälippaita saadaksesi niitä lisää."
"TID_UNLOCK_SKIN_ERROR_1","Ei tarpeeksi jalokiviä"
"TID_EXPERIENCE_LEVEL","Kokemustaso"
"TID_BOT_1","Robotti 1"
"TID_BOT_2","Robotti 2"
"TID_BOT_3","Robotti 3"
"TID_BOT_4","Robotti 4"
"TID_BOT_5","Robotti 5"
"TID_BOT_6","Robotti 6"
"TID_BOT_7","Robotti 7"
"TID_BOT_8","Robotti 8"
"TID_BOT_9","Robotti 9"
"TID_CRAFT_HERO_TITLE","Osta rämäpää"
"TID_CRAFT_HERO_BUTTON_LABEL","Osta"
"TID_UNLOCK_SKIN_TITLE","Osta asu"
"TID_SKIN_COMING_SOON","Asu ei ole vielä saatavilla."
"TID_UNLOCK_SKIN_BUTTON_LABEL","Osta"
"TID_HERO_LIST_TOTAL_TROPHIES","Pokaaleja yhteensä"
"TID_TOP_TOOL_TIP_1","<c00ccff>Poleteilla</c> voit avata rähinälippaita.\n\nKerää poletteja uusista tapahtumista ja otteluista."
"TID_TOP_TOOL_TIP_3","<c0ed12d>Jalokivillä</c> voit ostaa lippaita, asuja ja muita kaupan tuotteita.\n\nHanki jalokiviä rähinälippaista tai osta niitä kaupasta oikealla rahalla."
"TID_TOP_TOOL_TIP_2","<cff8E1b>Kolikoilla</c> voit päivittää rämäpäitäsi.\n\nHanki kolikoita rähinälippaista."
"TID_TOP_TOOL_TIP_4","<cff0000>Tapahtumalipuilla</c> pääset pelaamaan lipputapahtumissa."
"TID_TOP_TOOL_TIP_5","<cff00ff>Tähtipisteillä</c> voi ostaa erikoistuotteita kaupasta.\n\nVoit saada tähtipisteitä palkinnoksi kauden päättyessä sekä silloin, kun joku rämäpäistäsi nousee arvoasteikolla tasolle 10 ja siitä eteenpäin joka viidenneltä tasolta!"
"TID_GAME_MODE_0","JALOKIVIKAAPPAUS"
"TID_GAME_MODE_0_DESC","Kerää kartan keskellä olevasta jalokivikaivoksesta ilmestyviä jalokiviä. Toki voit myös vain napata niitä tyrmätyiltä rämäpäiltä. Kun joukkueesi kerää kymmenen jalokiveä ja pitää ne hallussaan loppulaskennan ajan, voitatte pelin!"
"TID_GAME_MODE_2","RYÖSTÖ"
"TID_GAME_MODE_2_DESC","Suojelkaa joukkueenne kassakaappia ja yrittäkää samalla murtautua vastustajan kassakaappiin! Voittaja on se joukkue, joka ensimmäisenä pääsee käsiksi vastustajan kassakaapin sisältöön.\n\nJos aika loppuu, enemmän vastustajajoukkueen kaappia tuhonnut joukkue voittaa."
"TID_GAME_MODE_3","PALKKIOJAHTI"
"TID_GAME_MODE_3_DESC","Kerää joukkueellesi tähtiä tyrmäämällä vastustajia. Joka kerta, kun kukistat vastustajan, pääsi päällä näkyvään palkkioon tulee yksi tähti lisää. Voit kerätä jopa seitsemän tähteä, joten varo, ettet anna niitä vastustajalle!\n\nSe joukkue voittaa, jolla on enemmän tähtiä ajan loppuessa."
"TID_GAME_MODE_6","YKSINPELISELKKAUS"
"TID_GAME_MODE_6_COMBINED","SELKKAUS"
"TID_GAME_MODE_6_DESC","Kukista yhdeksän muuta ja ole kukkulan kuningas. Kaikki keinot ovat sallittuja, sillä sinulla on vain yksi elämä."
"TID_GAME_MODE_6_DESC_COMBINED","Kukista yhdeksän muuta ja ole kukkulan kuningas. Pelaa yksin tai kahden pelaajan joukkueessa."
"TID_GAME_MODE_5","RÄHINÄPALLO"
"TID_GAME_MODE_5_DESC","Hoida pallo vastustajajoukkueen maaliin! Ottelu päättyy jommankumman joukkueen kahteen maaliin, tai kun aika päättyy."
"TID_GAME_MODE_3_OG","TÄYSTUHO"
"TID_GAME_MODE_3_OG_DESC","Kerää joukkueellesi tähtiä tyrmäämällä vastustajia. Joka kerta, kun kukistat vastustajan, pääsi päällä näkyvään palkkioon tulee yksi tähti lisää. Voit kerätä jopa seitsemän tähteä, joten varo, ettet anna niitä vastustajalle!\n\nSe joukkue voittaa, jolla on enemmän tähtiä ajan loppuessa."
"TID_GAME_MODE_11","PIIRITYS"
"TID_GAME_MODE_11_DESC","Piiritä ja tuhoa vastustajan rakentajatykki! Sinunkin joukkueellasi on rakentajatykki: anna sille pultteja, niin se kokoaa tehokkaan piiritysrobotin. Pultteja ilmestyy sattumanvaraisesti kartan keskelle. Nappaa pultti ja pidä se hallussasi muutaman sekunnin ajan, niin tykki saa sen käyttöönsä.\n\nJokaisessa ottelussa on enintään kolme piiritystä. Joukkue, jolla on enemmän pultteja piirityksen alkaessa, rakentaa piiritysrobotin. Mitä enemmän pultteja, sitä vahvempi robotti.\nPidä varasi, sillä rakentajatykit myös ampuvat nikkaroinnin lomassa. Älä mene liian lähelle vastustajan tukikohtaa ilman piiritysrobottisi suojaa!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Tähtipoletti"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Uusi arvo"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Uusi taso"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Voitto"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Tappio"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Tasapeli"
"TID_BATTLE_END_GAIN_LABEL_MVP","Tähtipelaaja"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Sijoitustulos"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Aikapalkinto"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Poletteja jäljellä:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Aikapalkinto"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Aikapalkinto"
"TID_BATTLE_END_COIN_REWARDS","POLETTIPALKINNOT"
"TID_BATTLE_END_MVP","TÄHTIPELAAJA"
"TID_BATTLE_END_DEFEAT_INFO","Parempi onni ensi kerralla!"
"TID_TUTORIAL_1","Moi, olen Shelly! Kerätään kaikki <ce662f9>jalokivet</c>! <c0066ff>Vedä</c> <c0066ff>sinistä ohjainta</c> vasemmalla peukalollasi, niin saat minut liikkeelle."
"TID_TUTORIAL_2","Kerätään ne kaikki! Nämä <ce662f9>jalokivet</c> kuuluvat meille!"
"TID_TUTORIAL_3","Robokohteita! Tähtää <ccc0033>vetämällä</c> <ccc0033>punaista ohjainta</c> oikealla peukalollasi, ja laukaise ase nostamalla peukalo. Tuhoa robotit!"
"TID_TUTORIAL_GOOD_JOB_1","Hienosti toimittu!"
"TID_TUTORIAL_5","Lisää kohteita! <ccc0033>Napauta</c> <ccc0033>punaista ohjainta</c>, kun haluat ampua lähintä vastustajaa. Tuhoa robotit!"
"TID_TUTORIAL_6","Käytä nyt supervoimaasi seinän takana olevan pomon ampumiseen! Tähtää supervoimasi <cff9900>vetämällä</c> <cff9900>keltaista ohjainta</c> ja laukaise irrottamalla ote!"
"TID_TUTORIAL_555","Hyvin menee, anna palaa!"
"TID_TUTORIAL_7","Hyvää työtä! Saimme <ce662f9>jalokivet</c>, joten nyt ulos täältä!"
"TID_TUTORIAL_8","Vastustajaan osuminen lataa supervoimasi. Käytä <cff9900>keltaista ohjainta</c> hyökätäksesi supervoimallasi!"
"TID_TUTORIAL_9","Olet luontainen rämäpää!\n\nNyt mennään ja näytetään niille!"
"TID_TUTORIAL_10","Kohteisiin hyökkääminen lataa super-hyökkäysmittarisi. Minun superini on valmis nyt.\nNapauta supervoimapainiketta!"
"TID_TUTORIAL_11","<cff6633>Oranssi palkki</c> näyttää ammukset. Lataan niin nopeasti, kuin pystyn!"
"TID_FIGHT_TUTORIAL","PELAA"
"TID_HERO_SCORE_INFO","Kerää pokaaleja rämäpäälle voittamalla sijoitusotteluita muita pelaajia vastaan.\n\nHanki <PROGRESS> pokaalia ja nouset arvoasteikolla sekä ansaitset <COINS> polettia."
"TID_HERO_SCORE_INFO_LEG_TROS","Kerää pokaaleja tälle rämäpäälle voittamalla otteluita muita pelaajia vastaan.\n\nSaavuta <PROGRESS> pokaalia, niin saavutat seuraavan arvon ja saat <COINS> polettia ja <cff00ff><LEGTROS> tähtipistettä</c>."
"TID_HERO_SCORE_INFO_MAXED","Olet saavuttanut korkeimman arvon.\n\n"
"TID_XP_INFO_ME","Kokemustasosi:\n\nKartuta kokemusta ottelemalla. Kerää vielä <REMPROGRESS> kokemuspistettä, niin pääset tasolle <LEVEL> ja ansaitset <COINS> polettia."
"TID_XP_INFO_OTHER","Tämän pelaajan kokemustaso"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","PELAA YKSI HARJOITUSOTTELU AVATAKSESI TÄYDEN PELIN"
"TID_SOCIAL_TAB_CLANS","JENGI"
"TID_SOCIAL_TAB_FRIENDS","KAVERIT"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>taistelussa</c> <TIME> ajan"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>ottelun päätösruutu</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>katselee</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>harjoittelee</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>ottelunmuodostuksessa</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>joukkueessa</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>ottelussa</c>"
"TID_FRIEND_STATUS_MENUS","valikossa"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","LIITY JOUKKUEESEEN!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","PAIKALLA OLEVAT PELAAJAT"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Ei kavereita tai jengin jäseniä paikalla"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Ei yhtään kaveria tai jengin jäsentä kutsuttavana. Oletko pelannut huipputyyppien kanssa? Lisää heidät kavereiksesi!"
"TID_CLAN_CREATE_BUTTON","PERUSTA"
"TID_CLAN_SAVE_BUTTON","TALLENNA"
"TID_CLAN_CREATE_TITLE","PERUSTA UUSI JENGI"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Viimeksi paikalla: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","< 1 t sitten"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Viimeksi paikalla: <cf7f7f7><HOURS> t sitten</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Viimeksi paikalla: <cf7f7f7><DAYS> pv sitten</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Viimeksi paikalla: <cf7f7f7> > 1 kk sitten</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>OTTELUSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>VALIKOSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>VALIKOSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>OTTELUNMUODOSTUKSESSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>VALIKOSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>KATSELEE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>HARJOITTELEE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>VALIKOSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>VALIKOSSA</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>VALIKOSSA</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> jäsentä paikalla"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> jäsen paikalla"
"TID_ALLIANCE_TYPE_OPEN","Avoin"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Vain kutsutuille"
"TID_ALLIANCE_TYPE_CLOSED","Suljettu"
"TID_CLAN_SEARCH_TITLE","ETSI JENGEJÄ"
"TID_CLAN_INTRO_AD_TITLE","ETSITKÖ JENGIÄ?"
"TID_CLAN_INTRO_AD_DESC","Liity jengiin ja juttele toisten kanssa!"
"TID_CLAN_INTRO_CREATE_GO","PERUSTA JENGI"
"TID_CLAN_INTRO_SEARCH_GO","ETSI JENGEJÄ"
"TID_CLAN_INTRO_REFRESH","PÄIVITÄ"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Tarvitset <REQ> pokaalia, jotta voit liittyä tähän jengiin. Sinulla on vain <SCORE> pokaalia."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Tämä jengi on suljettu."
"TID_STREAM_ENTRY_AGE","<time> sitten"
"TID_ALLIANCE_ROLE_LEADER","Puheenjohtaja"
"TID_ALLIANCE_ROLE_CO_LEADER","Varapuheenjohtaja"
"TID_ALLIANCE_ROLE_MEMBER","Jäsen"
"TID_ALLIANCE_ROLE_ELDER","Kunniajäsen"
"TID_STREAM_SENDER_YOU","Sinä"
"TID_GOLDRUSH_1","Kovan onnen kaivos"
"TID_BANKHEIST_1","Ryövärin jemma"
"TID_WANTED_1","Temppelirauniot"
"TID_BATTLE_ROYALE_1","Kallovirta"
"TID_GOLDRUSH_2","Kristallipelihalli"
"TID_BANKHEIST_2","Paukkukanjoni"
"TID_WANTED_2","Lainsuojattomien leiri"
"TID_BATTLE_ROYALE_2","Kärventynyt kivi"
"TID_GOLDRUSH_3","Kärpässieniluola"
"TID_BANKHEIST_3","Turvakeidas"
"TID_WANTED_3","Lohkarelinnake"
"TID_BATTLE_ROYALE_3","Kivimuurinmurtaja"
"TID_WANTED_4","Myrkkyansa"
"TID_GOLDRUSH_4","Lohkarelinnake"
"TID_WANTED_5","Kristallinkirkas"
"TID_GOLDRUSH_5","Ilkivaltakunta"
"TID_WANTED_6","Käärmepreeria"
"TID_WANTED_7","Tähdenlento"
"TID_GOLDRUSH_6","Kellariravintola"
"TID_GOLDRUSH_7","Levähdyspaikka"
"TID_BATTLE_ROYALE_4","Pokaali tai perikato"
"TID_WANTED_8","Piilopaikka"
"TID_BANKHEIST_4","Aitaus"
"TID_CLAN_MEMBERS_ONLINE","Paikalla: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Jengin pokaalit"
"TID_CLAN_SEARCH_OK","HAE"
"TID_CLAN_INFO_NAME","JENGIN NIMI"
"TID_CLAN_INFO_BADGE","TUNNUS"
"TID_CLAN_INFO_DESC","KUVAUS"
"TID_CLAN_INFO_TOTAL_TROPHIES","JENGIN POKAALIT"
"TID_CLAN_INFO_TYPE","TYYPPI"
"TID_CLAN_INFO_TAG","Jengitunnus"
"TID_CLAN_INFO_MIN_TROPHIES","VAADITUT POKAALIT"
"TID_CLAN_INFO_LEAVE","POISTU"
"TID_CLAN_INFO_SETTINGS","ASETUKSET"
"TID_CLAN_INFO_JOIN","LIITY"
"TID_CLAN_INFO_MESSAGE","Viesti"
"TID_CLAN_INFO_REQUEST_JOIN","Lähetä liittymispyyntö"
"TID_CLAN_SEARCH_NO_RESULTS","Jengejä ei löytynyt."
"TID_CLAN_SEARCH_INITIAL","Ei hakutuloksia"
"TID_CLAN_INFO_MEMBERS","Jäseniä"
"TID_CLAN_INFO_SELECT_BADGE","SELAA"
"TID_SELECT_BADGE","VALITSE TUNNUS"
"TID_ALLIANCE_CREATE_OK","Jengin perustaminen onnistui."
"TID_CLAN_CHANGE_SETTINGS_TITLE","JENGIN ASETUKSET"
"TID_TITLE_ALLIANCE","Jengin tiedot"
"TID_ALLIANCE_LEFT","Poistuit jengistä."
"TID_CLAN_MEMBER_DEMOTE","Alenna"
"TID_CLAN_MEMBER_PROMOTE","Ylennä"
"TID_CLAN_MEMBER_KICK","Poista"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Katsele jengiä."
"TID_BUTTON_INVITE","KUTSU"
"TID_PLAYER_INFO_GOTO_CLAN","Katsele jengiä."
"TID_SELECT_PLAYER_THUMBNAIL","VALITSE KUVAKE"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Tämä kuvake avautuu kokemustasolla <LEVEL>."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Tämä kuvake avautuu, kun pokaaleja on <TROPHIES>."
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> voittoa"
"TID_PLAYER_INFO_TAB_1","TILASTOT"
"TID_PLAYER_INFO_TAB_2","RÄMÄPÄÄT (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3V3-VOITTOJA"
"TID_PLAYER_STAT_4","SUURIN POKAALIMÄÄRÄ"
"TID_PLAYER_STAT_8","YKSINPELIEN VOITTOJA"
"TID_PLAYER_STAT_10","PARAS AIKA MAHTIRÄMÄPÄÄNÄ"
"TID_PLAYER_STAT_9","PARAS ROBORYMINÄN AIKA"
"TID_PLAYER_STAT_11","KAKSINPELIEN VOITTOJA"
"TID_PLAYER_STAT_12","KORKEIN POMO-OTTELUN TASO"
"TID_PLAYER_STAT_13","KORKEIMMAT TÄHTITAISTELUPISTEET"
"TID_PLAYER_STAT_14","KORKEIN TÄHTITAISTELUSIJOITUS"
"TID_PLAYER_STAT_15","HAASTEVOITTOENNÄTYS"
"TID_NO_CLAN","Ei jengissä"
"TID_ULTIMATE_NOT_READY","Lataa supervoimaasi osumalla vastustajiin!"
"TID_CANT_ACTIVATE_ULTI","Supervoimaa ei voi aktivoida tyrmättynä."
"TID_NAME_TOO_SHORT","Nimesi on liian lyhyt."
"TID_ALLIANCE_JOINED","Liityit jengiin."
"TID_COIN_RUSH_INTRO_TEXT","Voita nappaamalla 10 jalokiveä."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Kerää tähtiä kukistamalla rämäpäitä."
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Tuhoa vastustajan kassakaappi."
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Tuhoa vastustajan kassakaappi."
"TID_GO","OTTELE!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","VAHVISTA POISTUMINEN"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nHaluatko varmasti poistua jengistä?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","POISTU"
"TID_ALLIANCE_PROMOTE_TITLE","Vahvista ylentäminen"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Haluatko varmasti ylentää pelaajan <NAME> asemaan <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Ylennä"
"TID_ALLIANCE_KICK_TITLE","Poistaminen vahvistettu"
"TID_ALLIANCE_KICK_CONFIRMATION","Haluatko varmasti poistaa pelaajan <NAME> jengistä?"
"TID_ALLIANCE_KICK_BUTTON","Poista"
"TID_ALLIANCE_DEMOTE_TITLE","Vahvista alentaminen"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Haluatko varmasti alentaa pelaajan <NAME> asemaan <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Alenna"
"TID_CLAN_RESPONSE_10","Asetukset tallennettu."
"TID_CLAN_RESPONSE_20","Jengi perustettu."
"TID_CLAN_RESPONSE_21","Jengin perustaminen epäonnistui! Yritä myöhemmin uudelleen."
"TID_CLAN_RESPONSE_22","Nimeä ei hyväksytä."
"TID_CLAN_RESPONSE_23","Kuvausta ei hyväksytä."
"TID_CLAN_RESPONSE_24","Nimi on liian lyhyt."
"TID_CLAN_RESPONSE_40","Liityit jengiin."
"TID_CLAN_RESPONSE_42","Liittyminen epäonnistui: jengi on jo täynnä."
"TID_CLAN_RESPONSE_43","Liittyminen epäonnistui: jengi ei ole avoin."
"TID_CLAN_RESPONSE_45","Liittyminen epäonnistui: sinulla ei ole tarpeeksi pokaaleja, jotta voisit liittyä tähän jengiin."
"TID_CLAN_RESPONSE_46","Liittyminen epäonnistui: sinut on estetty tässä jengissä, koska sinut on aiemmin poistettu tai liittymispyyntösi on hylätty."
"TID_CLAN_RESPONSE_47","Liittyminen epäonnistui: Olet liittynyt liian moneen jengiin tänään. Uuteen jengiin liittyminen on estetty tältä päivältä."
"TID_CLAN_RESPONSE_48","Liittyminen epäonnistui: et voi liittyä toisen alueen jengiin."
"TID_CLAN_RESPONSE_50","Liittymispyynnön lähettäminen onnistui."
"TID_CLAN_RESPONSE_51","Pyynnön lähettäminen epäonnistui: jengi ei ole enää ota vastaan liittymispyyntöjä."
"TID_CLAN_RESPONSE_52","Pyynnön lähettäminen epäonnistui: olet jo lähettänyt liittymispyynnön tähän jengiin."
"TID_CLAN_RESPONSE_53","Pyynnön lähettäminen epäonnistui: sinulla ei ole tarpeeksi pokaaleja, jotta voisit liittyä tähän jengiin."
"TID_CLAN_RESPONSE_54","Liittyminen epäonnistui: sinut on estetty tässä jengissä, koska sinut on aiemmin poistettu tai liittymispyyntösi on hylätty."
"TID_CLAN_RESPONSE_55","Liittyminen epäonnistui: et voi liittyä toisen alueen jengiin."
"TID_CLAN_RESPONSE_56","Liittyminen ei onnistu: tämä ei ole koko perheelle sopiva jengi."
"TID_CLAN_RESPONSE_70","Poistaminen onnistui."
"TID_CLAN_RESPONSE_80","Poistuit jengistä."
"TID_CLAN_RESPONSE_81","Ylentäminen onnistui."
"TID_CLAN_RESPONSE_82","Alentaminen onnistui."
"TID_CLAN_RESPONSE_90","Hyväksyminen onnistui."
"TID_CLAN_RESPONSE_91","Hylkääminen onnistui."
"TID_CLAN_RESPONSE_92","Pyynnön hyväksyminen epäonnistui: pelaaja on jo jengissä."
"TID_CLAN_RESPONSE_93","Toiminto epäonnistui: pyyntöä ei löydy."
"TID_CLAN_RESPONSE_94","Toiminto epäonnistui: pyyntö on jo käsitelty."
"TID_CLAN_RESPONSE_95","Toiminto epäonnistui: ei oikeuksia."
"TID_CLAN_RESPONSE_96","Pyynnön hyväksyminen epäonnistui: pelaaja on estetty tässä jengissä."
"TID_CLAN_RESPONSE_100","Sinut on poistettu jengistä."
"TID_CLAN_RESPONSE_101","Sinut on ylennetty."
"TID_CLAN_RESPONSE_102","Sinut on alennettu."
"TID_CLAN_RESPONSE_112","Odota vielä <TIME> ennen uuden viestin lähettämistä."
"TID_CLAN_RESPONSE_113","Jengipostin lähetys onnistui."
"TID_CLAN_NO_RIGHTS","Sinulla ei ole oikeutta suorittaa toimintoa."
"TID_ALLIANCE_NAME_TOO_SHORT","Jengin nimi on liian lyhyt."
"TID_CLAN_JOIN_REQUEST_TITLE","Lähetä liittymispyyntö"
"TID_CLAN_JOIN_REQUEST_SEND","Lähetä"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","Haluaisin liittyä jengiinne..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Hyväksytkö pelaajan jengiin?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Hyväksy"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Hylkää"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","<name> hyväksyi pyynnön."
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","<name> hylkäsi pyynnön."
"TID_HINT_DRAG_TO_AIM","Tähtää vetämällä."
"TID_HINT_RELEASE_TO_SHOOT","Ammu päästämällä irti."
"TID_HINT_ACTIVATE_ULTI","Tähtää supervoimasi vetämällä <cff9900>keltaista ohjainta</c>."
"TID_HINT_DRAG_TO_ULTI","Tähtää supervoima vetämällä ja laukaise vapauttamalla!"
"TID_HINT_COLLECT_GOLD","Tyrmätyt rämäpäät pudottavat <ce662f9>jalokivensä</c>."
"TID_HINT_HOLD_GOLD","Pidä huolta <ce662f9>jalokivistäsi</c>!"
"TID_HINT_GO_AFTER_ENEMY","Nappaa vastustaja!"
"TID_HINT_ATTACK_BASE","Tuhoa vastustajan kassakaappi ja suojele omaasi!"
"TID_HINT_DEFEND_BASE","Tuhoa vastustajan kassakaappi ja suojele omaasi!"
"TID_HINT_SHOOT_ENEMIES","Kukista vastustajia saadaksesi tähtiä!"
"TID_HINT_YOU_ARE_WINNING","Joukkueesi on voittamaisillaan. Puolusta!"
"TID_HINT_YOU_ARE_LOSING","Joukkueesi on häviämäisillään. Hyökkää!"
"TID_HINT_TAP_TO_MOVE","Liiku napauttamalla.\nLiiku joukkueesi kanssa."
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Ole varuillasi! Sinusta saa ison palkkion!"
"TID_BOUNTY_3","Ole varuillasi! Sinusta saa valtavan palkkion!"
"TID_BOUNTY_4","Etsintäkuulutettu!"
"TID_NO_CLAN_TITLE","Etsi jengi"
"TID_NO_CLAN_BODY","Liity jengiin, niin voit jutella ja pelata mahtavien tyyppien kanssa!"
"TID_NO_CLAN_SUGGESTIONS","Suosittelemme sinulle näitä jengejä:"
"TID_NO_CLAN_RESULTS","Hakutulokset"
"TID_NO_CLAN_EMPTY","Ei suositeltuja jengejä :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Tietoja odotetaan..."
"TID_CONNECTING_TO_SERVER","Yhdistetään palvelimeen..."
"TID_TEAM_ADVERTISE","KERRO"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","jengiin"
