"TID","TH"
"TID_HERO_LIST_COMING_UP","ดูรายละเอียดหลังจากบรอว์เลอร์เปิดตัว"
"TID_SKIN_INFO_TIME_UNTIL_RELEASE","จะมาถึงใน <TIME>"
"TID_SKIN_INFO_","สกินรางวัลจาก Supercell ID"
"TID_SKIN_INFO_1","สกินนักบุกเบิก Brawl Stars!\n\nสำหรับบัญชีที่สร้างก่อนปี 2019"
"TID_SKIN_INFO_2","รับสกินนี้ได้โดยทำการเชื่อมต่อกับ Supercell ID จากหน้าจอการตั้งค่า!"
"TID_SKIN_INFO_3_TEASER","เร็วๆ นี้..."
"TID_SKIN_INFO_3_AVAILABLE","\nเปิดขายแบบจำกัดเวลาเท่านั้น"
"TID_SKIN_INFO_3_NOT_AVAILABLE","\nยังไม่เปิดขายในตอนนี้"
"TID_SKIN_INFO_3_HERO_NEEDED","\nต้องปลดล็อคบรอว์เลอร์เพื่อซื้อสกินนี้"
"TID_SKIN_INFO_CAMPAIGN_1_AVAILABLE","ฉลองวันหยุดไม่หยุดสู้ด้วยสกินช่วงเทศกาล!"
"TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE","สกินวันหยุดไม่หยุดสู้"
"TID_SKIN_INFO_CAMPAIGN_3_AVAILABLE","ฉลองวันบรอว์โอวีนด้วยสกินช่วงเทศกาล!"
"TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE","สกินบรอว์โอวีน!"
"TID_SKIN_INFO_LEGENDARY","สกินดวงดาว"
"TID_LEGENDARY_TROPHIES","ค่าดวงดาว"
"TID_SKIN_REWARD_TITLE_1","รางวัลสกิน"
"TID_SKIN_REWARD_INFO_1","คุณได้ปลดล็อคสกินใหม่! ขอบคุณที่เล่น Brawl Stars ในปี 2018"
"TID_SKIN_REWARD_TITLE_2","รางวัลสกิน"
"TID_SKIN_REWARD_INFO_2","คุณได้ปลดล็อคสกินใหม่เป็นรางวัลสำหรับการเชื่อมต่อบัญชีของคุณเข้ากับ Supercell ID"
"TID_SKIN_REWARD_OK","รับ"
"TID_HERO_REWARD_TITLE_1","ข้อความจากฝ่ายสนับสนุน"
"TID_HERO_REWARD_INFO_1","ฝ่ายสนับสนุนของ Brawl Stars ได้บริจาคบรอว์เลอร์ใหม่ให้กับคุณ"
"TID_SKIN_REWARD_TITLE_0","ข้อความจากฝ่ายสนับสนุน"
"TID_SKIN_REWARD_INFO_0","ฝ่ายสนับสนุนของ Brawl Stars ได้บริจาคสกินใหม่ให้กับคุณ"
"TID_SKIN_REWARD_TITLE_3","ข้อความจากฝ่ายสนับสนุน"
"TID_SKIN_REWARD_INFO_3","ฝ่ายสนับสนุนของ Brawl Stars ได้บริจาคสกินใหม่ให้กับคุณ"
"TID_REWARD_TITLE","ข้อความจากฝ่ายสนับสนุน"
"TID_REWARD_INFO","คุณได้รับการบริจาคที่รอดำเนินการอยู่จากฝ่ายสนับสนุนของ Brawl Stars"
"TID_REWARD_INFO_RESOURCE_FIRSTWINS","รับโทเค็นดวงดาว <AMOUNT> ชิ้นแล้ว"
"TID_REWARD_INFO_RESOURCE_GOLD","รับโทเค็น <AMOUNT> ชิ้นแล้ว"
"TID_REWARD_INFO_RESOURCE_LEGENDARYTROPHIES","รับค่าดวงดาว <AMOUNT> หน่วยแล้ว"
"TID_REWARD_OK","รับ"
"TID_HERO_REWARD_OK","รับ"
"TID_RANK_POPUP_TITLE","ถนนถ้วยรางวัล"
"TID_RANK_POPUP_NEXT_GOAL","เป้าหมายต่อไป"
"TID_RANK_POPUP_COLLECT","รับ"
"TID_RANK_POPUP_SEASON_END_REWARD","รางวัลประจำฤดูกาล"
"TID_RANK_POPUP_SEASON_END_REWARD_OWN","<cffff00>รางวัลประจำฤดูกาลของคุณ</c>"
"TID_RANK_POPUP_TOTAL_INFO","ไต่อันดับถ้วยรางวัลรวมเพื่อปลดล็อครางวัลและขึ้นลีกใหม่!\nถ้วยรางวัลรวมคือผลรวมของถ้วยรางวัลของบรอว์เลอร์แต่ละตัว"
"TID_RANK_POPUP_SEASON_END_TITLE","ฤดูกาลจะจบลงใน"
"TID_RANK_POPUP_SEASON_END_INFO","เมื่อฤดูกาลสิ้นสุดลง บรอว์เลอร์ของคุณที่มีถ้วยรางวัล <DECAYSTART> ถ้วยหรือมากกว่าจะสูญเสียถ้วยรางวัลบางส่วน คุณจะได้รับสิ่งทดแทนเป็นค่าดวงดาวที่คุณสามารถใช้ได้ในร้านค้า"
"TID_RANK_POPUP_HILITE_CAPTION_3","ปลดล็อค: <HERO>"
"TID_RANK_POPUP_HILITE_CAPTION_4","ปลดล็อค: <SKIN>"
"TID_RANK_POPUP_HILITE_CAPTION_13","อีเวนท์ใหม่: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","กล่องยักษ์"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","อีเวนท์ทีม"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","อีเวนท์รายวัน"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","อีเวนท์ตั๋ว"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_1","รางวัลค่าดวงดาวเมื่อสิ้นสุดฤดูกาล"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_2","รางวัลตามอันดับ"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_3","รางวัลตามแต้ม"
"TID_RANK_INFO_POPUP_POINTS_LABEL_1","ถ้วยรางวัล"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","รางวัลค่าดวงดาว"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","ถ้วยรางวัลหลังสิ้นสุดฤดูกาล"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<START> - <END>"
"TID_DAILY_COINS_COLLECTED","เก็บแล้ว"
"TID_TEAM_BATTLE","สร้าง"
"TID_TEAM_UNREADY","ยังไม่พร้อม"
"TID_TEAM_WAITING_WHILE_READY","คุณพร้อมแล้ว!\nกำลังรอผู้เล่นอื่น"
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> บรอว์เลอร์<NAME></c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","เยี่ยม!"
"TID_GATCHA_SCREEN_TAP","แตะ! แตะ!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","ตั๋วอีเวนท์"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","โบนัส!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","ใช้งานได้เป็นเวลา <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","เริ่มต้นใน <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","แพ็คทวีคูณโทเค็น"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","เพิ่มโทเค็นที่ได้รับการต่อสู้เป็นสองเท่า!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","เหรียญ"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","ใช้เหรียญเพื่ออัปเกรดบรอว์เลอร์ของคุณ"
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","อัญมณี"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","ใช้อัญมณีเพื่อซื้อกล่อง สกิน หรือสินค้าอื่นๆ จากร้านค้า"
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","ค่าพลัง"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","ปลดล็อคการอัปเกรดแล้ว!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","สามารถอัปเกรดได้!"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","โบนัส"
"TID_NAVI_BLOCKED_1","คุณจะเปลี่ยนหน้าในขณะที่อยู่ในสถานะพร้อมไม่ได้!"
"TID_LEG_TRO_MIG_INFO_SHORT","ได้รับ<cff00ff>ค่าดวงดาว</c> <AMOUNT> หน่วย!"
"TID_LEG_TRO_MIG_POPUP_OK","ตกลง"
"TID_LEG_TRO_MIG_POPUP_CLAIM","รับ"
"TID_LEG_TRO_MIG_POPUP_TITLE","ขอแนะนำ <cff00ff>ค่าดวงดาว</c>"
"TID_LEG_TRO_MIG_INFO","สิ่งใหม่ใน Brawl Stars: ค่าดวงดาว! คุณสามารถได้รับค่าดวงดาวเมื่อบรอว์เลอร์มีถ้วยรางวัล 500 ถ้วยหรือมากกว่า เมื่อฤดูกาลสิ้นสุดลง ถ้วยรางวัลบางส่วนที่มากกว่า 500 ถ้วยจะถูกเปลี่ยนเป็นค่าดวงดาว\n\nคุณยังสามารถได้รับค่าดวงดาวด้วยการไต่อันดับบรอว์เลอร์ของคุณ คุณจะได้รับค่าดวงดาว <AMOUNT> หน่วยจากบรอว์เลอร์ที่เลื่อนอันดับก่อนหน้านี้!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> กำลังรอให้ผู้เล่นอื่นพร้อม"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> ยังไม่พร้อมสำหรับเกม"
"TID_TEAM_MEMBER_INFO_SELF_READY","ไม่สามารถเปลี่ยนบรอว์เลอร์ในขณะที่อยู่ในสถานะพร้อมได้!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","ไม่สามารถเปลี่ยนอีเวนท์ในขณะที่อยู่ในสถานะพร้อมได้!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","ไม่สามารถเปลี่ยนข้อมูลนี้ในขณะที่อยู่ในสถานะพร้อมได้!"
"TID_TEAM_GATCHA_BLOCKED","ไม่สามารถเปิดกล่องในขณะที่อยู่ในสถานะพร้อมได้!"
"TID_TEAM_NO_MEMBER_INFO","การเชิญเข้าทีมใช้งานได้สำหรับผู้สร้างทีมเท่านั้น"
"TID_TEAM_INFO_TEAM_CODE","แชร์รหัสนี้ให้กับเพื่อนและเชิญให้พวกเขาเข้าร่วมทีมของคุณ!\n\nแตะอีกครั้งเพื่อคัดลอกไปยังคลิปบอร์ด"
"TID_FREEZER","เยือกแข็ง"
"TID_GAME_OVER","แมตช์จบแล้ว"
"TID_LEVEL","เลเวล <LVL>"
"TID_PLAYERS_IN_MM","มีผู้เล่นอยู่ในการจับคู่!"
"TID_ONLINE_INFO","ผู้เล่นออนไลน์: <ONLINE> ในการจับคู่: <MATCHMAKE> ในแมตช์: <BATTLES>"
"TID_INPUT_NAME","ป้อนชื่อของคุณที่นี่"
"TID_LEADERBOARD_YOUR_SCORE","คะแนนของคุณ"
"TID_LEADERBOARD_YOUR_RANK","อันดับของคุณ"
"TID_LEADERBOARD_HIGHEST_SCORE","คะแนนสูงสุดของคุณ"
"TID_LEADERBOARD_LOCAL","ประเทศ (<COUNTRY>)"
"TID_REGION_0","ทั่วโลก"
"TID_REGION_1","เอเชีย"
"TID_SET_REGION_RESULT_0","เปลี่ยนภูมิภาคเป็น <REGION> แล้ว"
"TID_SET_REGION_RESULT_1","เปลี่ยนภูมิภาคล้มเหลว: ไม่สามารถเปลี่ยนภูมิภาคในขณะอยู่ในคลับได้"
"TID_SET_REGION_RESULT_2","เปลี่ยนภูมิภาคล้มเหลว: ไม่สามารถเปลี่ยนภูมิภาคในขณะอยู่ในทีมได้"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","ศึกชิงคริสตัล"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","ชิงและเก็บอัญมณีให้ได้ 10 เม็ด!"
"TID_BATTLE_END_MY_TEAM","ทีมของคุณ"
"TID_BATTLE_END_ENEMY_TEAM","ทีมศัตรู"
"TID_BACK","ย้อนกลับ"
"TID_NOT_ENOUGH_GOLD","เหรียญไม่เพียงพอ เปิดกล่องบรอว์เพื่อรับเหรียญ"
"TID_UNLOCK_SKIN_ERROR_1","อัญมณีไม่เพียงพอ"
"TID_EXPERIENCE_LEVEL","เลเวลประสบการณ์"
"TID_BOT_1","บอท 1"
"TID_BOT_2","บอท 2"
"TID_BOT_3","บอท 3"
"TID_BOT_4","บอท 4"
"TID_BOT_5","บอท 5"
"TID_BOT_6","บอท 6"
"TID_BOT_7","บอท 7"
"TID_BOT_8","บอท 8"
"TID_BOT_9","บอท 9"
"TID_CRAFT_HERO_TITLE","ซื้อบรอว์เลอร์"
"TID_CRAFT_HERO_BUTTON_LABEL","ซื้อ"
"TID_UNLOCK_SKIN_TITLE","ซื้อสกิน"
"TID_SKIN_COMING_SOON","สกินยังไม่เปิดขาย"
"TID_UNLOCK_SKIN_BUTTON_LABEL","ซื้อ"
"TID_HERO_LIST_TOTAL_TROPHIES","ถ้วยรางวัลทั้งหมด"
"TID_TOP_TOOL_TIP_1","<c00ccff>โทเค็น</c>นั้นมีไว้สำหรับใช้เปิดกล่องบรอว์\n\nเก็บสะสมโทเค็นได้จากอีเวนท์และการต่อสู้ใหม่ๆ"
"TID_TOP_TOOL_TIP_3","<c0ed12d>อัญมณี</c>ใช้เพื่อซื้อกล่อง สกิน และสินค้าอื่นๆ จากร้านค้า\n\nหาอัญมณีได้จากกล่องบรอว์หรือซื้อจากร้านค้าด้วยเงินจริง"
"TID_TOP_TOOL_TIP_2","<cff8E1b>เหรียญ</c>ใช้เพื่ออัปเกรดบรอว์เลอร์\n\nหาเหรียญได้จากกล่องบรอว์"
"TID_TOP_TOOL_TIP_4","<cff0000>ตั๋วอีเวนท์</c>มอบโอกาสให้คุณเข้าร่วมอีเวนท์ตั๋ว"
"TID_TOP_TOOL_TIP_5","<cff00ff>ค่าดวงดาว</c>สามารถนำไปใช้ซื้อไอเท็มพิเศษจากร้านค้าได้\n\nรับค่าดวงดาวจากรางวัลสิ้นสุดฤดูกาล หรือเมื่อบรอว์เลอร์ตัวใดก็ตามไต่ถึงอันดับ 10 และทุกๆ 5 อันดับหลังจากนั้น!"
"TID_GAME_MODE_0","ศึกชิงอัญมณี"
"TID_GAME_MODE_0_DESC","เก็บอัญมณีที่ออกมาจากเหมืองอัญมณีที่อยู่กลางแผนที่ หรือเก็บจากศัตรูที่พ่ายแพ้ไปแล้วก็ได้! ครอบครองอัญมณีสิบเม็ดไว้ตามเวลาที่กำหนดเพื่อรับชัยชนะ!"
"TID_GAME_MODE_2","ปล้นสะดม"
"TID_GAME_MODE_2_DESC","ปกป้องตู้นิรภัยสุดล้ำค่าของทีมคุณ พร้อมกับพยายามเปิดตู้นิรภัยของทีมศัตรูไปด้วย! ทีมไหนก็ตามที่เปิดตู้นิรภัยได้ก่อนจะเป็นฝ่ายชนะ\n\nถ้าเวลาหมด ทีมที่สร้างความเสียหายให้แก่ตู้นิรภัยของศัตรูได้มากกว่าจะเป็นผู้ชนะ"
"TID_GAME_MODE_3","ล่าค่าหัว"
"TID_GAME_MODE_3_DESC","เก็บดาวให้กับทีมโดยการปราบผู้เล่นทีมศัตรู ทุกครั้งที่คุณปราบศัตรูได้หนึ่งราย ค่าหัวบนหัวของคุณจะเพิ่มขึ้นหนึ่งดวง โดยมีได้สูงสุดเจ็ดดาว อย่าให้ศัตรูเอาไปได้!\n\nทีมที่มีดาวมากกว่าเมื่อเวลาหมดจะเป็นฝ่ายชนะ"
"TID_GAME_MODE_6","ศึกประจันหน้าแบบเดี่ยว"
"TID_GAME_MODE_6_COMBINED","ศึกประจันหน้า"
"TID_GAME_MODE_6_DESC","จัดการผู้เล่นอีก 9 คนและรอดชีวิตเป็นคนสุดท้าย ทำทุกอย่างที่ทำได้เพราะมีเพียงชีวิตเดียวเท่านั้น"
"TID_GAME_MODE_6_DESC_COMBINED","จัดการทุกคนและรอดชีวิตเป็นคนสุดท้าย เล่นแบบเดี่ยวหรือเล่นเป็นทีมสองคน"
"TID_GAME_MODE_5","ศึกชิงบอล"
"TID_GAME_MODE_5_DESC","ยิงลูกบอลเข้าประตูของฝั่งตรงข้ามเพื่อทำแต้ม! แมตช์จะสิ้นสุดเมื่อมีหนึ่งทีมทำประตูได้สองแต้ม หรือจบเกม"
"TID_GAME_MODE_3_OG","กวาดให้เกลี้ยง"
"TID_GAME_MODE_3_OG_DESC","เก็บดาวให้กับทีมโดยการปราบผู้เล่นทีมศัตรู ทุกครั้งที่คุณปราบศัตรูได้หนึ่งราย ค่าหัวบนหัวของคุณจะเพิ่มขึ้นหนึ่งดวง โดยมีได้สูงสุดเจ็ดดาว อย่าให้ศัตรูเอาไปได้!\n\nทีมที่มีดาวมากกว่าเมื่อเวลาหมดจะเป็นฝ่ายชนะ"
"TID_GAME_MODE_11","ยุทธการตีโอบ"
"TID_GAME_MODE_11_DESC","โอบล้อมและทำลายป้อมปืน IKE ของศัตรู! ทีมของคุณก็มี IKE เช่นกัน: เติมสลักให้กับป้อมปืนเพื่อประกอบ\nหุ่นยนต์ที่ทรงพลังให้ช่วยเหลือคุณในการต่อสู้ สลักจะสุ่มปรากฏกลางแผนที่ ดังนั้นเก็บสลักและถือไว้สองถึงสามวินาทีเพื่อเติมสลักให้กับ IKE ของคุณ\n\nแต่ละแมตช์จะมียุทธการตีโอบสูงสุดสามครั้ง และเมื่อเริ่มต้นยุทธการตีโอบแต่ละครั้ง ทีมที่มีสลักมากกว่าจะได้สร้างหุ่นยนต์ตีโอบ ยิ่งคุณมีสลักมากเท่าไหร่\nหุ่นยนต์ก็จะแข็งแกร่งมากขึ้นเท่านั้น\nโปรดระวังเพราะ IKE สามารถป้องกันกระสุนได้เป็นอย่างดี - อย่าเข้าไปใกล้ฐานศัตรูมากจนเกินไปโดยไม่มีหุ่นยนต์ตีโอบคอยช่วยคุณอยู่!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","โทเค็นดวงดาว"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","เลื่อนอันดับ"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","เลื่อนเลเวล"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","ชัยชนะ"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","พ่ายแพ้"
"TID_BATTLE_END_GAIN_LABEL_DRAW","เสมอ"
"TID_BATTLE_END_GAIN_LABEL_MVP","ผู้เล่นเด่น"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","คะแนนอันดับ"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","รางวัลตามเวลา"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","โทเค็นที่เหลือ:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","รางวัลตามเวลา"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","รางวัลตามเวลา"
"TID_BATTLE_END_COIN_REWARDS","รางวัลโทเค็น"
"TID_BATTLE_END_MVP","ผู้เล่นเด่น"
"TID_BATTLE_END_DEFEAT_INFO","ขอให้ครั้งต่อไปโชคดี!"
"TID_TUTORIAL_1","สวัสดี ฉันเชลลี่! มาเก็บ<ce662f9>อัญมณี</c>กัน! <c0066ff>ลาก</c><c0066ff>แป้นควบคุมสีฟ้า</c>ด้วยนิ้วโป้งซ้ายเพื่อเคลื่อนที่"
"TID_TUTORIAL_2","ต้องเก็บให้หมด! <ce662f9>อัญมณี</c>เป็นของฉัน!"
"TID_TUTORIAL_3","เล็งเป้าหุ่นยนต์! <ccc0033>ลาก</c><ccc0033>แป้นควบคุมสีแดง</c>ด้วยนิ้วโป้งขวาเพื่อเล็งเป้าและปล่อยเพื่อโจมตี ทำลายเจ้าหุ่นยนต์นั่นซะ!"
"TID_TUTORIAL_GOOD_JOB_1","เก่งมาก!"
"TID_TUTORIAL_5","มีเป้าหมายเพิ่ม! คุณสามารถ<ccc0033>แตะ</c><ccc0033>แป้นควบคุมสีแดง</c>เพื่อโจมตีศัตรูที่อยู่ใกล้ที่สุดได้ ทำลายเจ้าหุ่นยนต์นั่นซะ!"
"TID_TUTORIAL_6","คราวนี้ใช้ท่าไม้ตายเพื่อยิงบอสที่อยู่หลังกำแพง! <cff9900>ลาก</c><cff9900>แป้นควบคุมสีเหลือง</c>เพื่อเล็งท่าไม้ตายและปล่อยเพื่อโจมตี!"
"TID_TUTORIAL_555","ดี ยิงต่อไป!"
"TID_TUTORIAL_7","เยี่ยมมาก! เราได้<ce662f9>อัญมณี</c>แล้ว มุ่งหน้าไปยังทางออกกัน!"
"TID_TUTORIAL_8","ท่าไม้ตายจะชาร์จเมื่อยิงถูกศัตรู ใช้<cff9900>แป้นควบคุมสีเหลือง</c>เพื่อโจมตีศัตรูด้วยท่าไม้ตาย!"
"TID_TUTORIAL_9","คุณนี่เป็นบรอว์เลอร์แต่เกิดจริงๆ!\n\nไปจัดการพวกนั้นกัน!"
"TID_TUTORIAL_10","การโจมตีเป้าหมายจะชาร์จแถบพลังท่าไม้ตาย ท่าไม้ตายของฉันพร้อมแล้ว!\nแตะปุ่มท่าไม้ตาย!"
"TID_TUTORIAL_11","<cff6633>แถบสีส้ม</c>จะแสดงกระสุนของคุณ ฉันจะใส่กระสุนให้เร็วที่สุดเท่าที่ทำได้!"
"TID_FIGHT_TUTORIAL","เล่น"
"TID_HERO_SCORE_INFO","สะสมถ้วยรางวัลให้กับบรอว์เลอร์ตัวนี้ด้วยการชนะการแข่งขันกับผู้เล่นอื่น\n\nไต่อันดับถ้วยรางวัลให้ถึง <PROGRESS> ถ้วยเพื่อไปยังอันดับต่อไปและรับโทเค็น <COINS> ชิ้น"
"TID_HERO_SCORE_INFO_LEG_TROS","สะสมถ้วยรางวัลให้กับ\nบรอว์เลอร์ตัวนี้ด้วย\nการชนะการแข่งขันกับผู้เล่นอื่น\n\nไต่อันดับถ้วยรางวัลให้ถึง <PROGRESS> ถ้วยเพื่อไปยังอันดับต่อไป รับโทเค็น <COINS> ชิ้น และ<cff00ff>ค่าดวงดาว <LEGTROS> หน่วย</c>"
"TID_HERO_SCORE_INFO_MAXED","คุณไต่ถึงอันดับสูงสุดแล้ว\n\n"
"TID_XP_INFO_ME","เลเวลประสบการณ์ของคุณ\n\nรับประสบการณ์เพิ่มจากการต่อสู้ เก็บค่าประสบการณ์อีก <REMPROGRESS> หน่วยเพื่อให้ถึงเลเวล <LEVEL> และรับโทเค็น <COINS> ชิ้น"
"TID_XP_INFO_OTHER","เลเวลประสบการณ์ของผู้เล่นนี้"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","เล่นแมตช์ฝึกฝนหนึ่งครั้งเพื่อปลดล็อคเกมตัวเต็ม"
"TID_SOCIAL_TAB_CLANS","คลับ"
"TID_SOCIAL_TAB_FRIENDS","เพื่อน"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>ต่อสู้</c>เป็นเวลา <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>หน้าจอเมื่อแมตช์สิ้นสุด</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>กำลังชม</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>กำลังฝึกฝน</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>อยู่ในการจับคู่</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>อยู่ในทีม</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>อยู่ในทีม</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>อยู่ในทีม</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>กำลังต่อสู้</c>"
"TID_FRIEND_STATUS_MENUS","ในเมนู"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","จัดทีม!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","ผู้เล่นออนไลน์"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","ไม่มีเพื่อนหรือสมาชิกคลับออนไลน์"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","ไม่มีเพื่อนหรือสมาชิกคลับให้เชิญ เพิ่งเล่นกับคนเก่งมาสินะ? เพิ่มพวกเขาเป็นเพื่อนสิ!"
"TID_CLAN_CREATE_BUTTON","สร้าง"
"TID_CLAN_SAVE_BUTTON","บันทึก"
"TID_CLAN_CREATE_TITLE","สร้างคลับใหม่"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","ออนไลน์ล่าสุด: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","น้อยกว่า 1 ชม. ที่แล้ว"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","ออนไลน์ล่าสุด: <cf7f7f7><HOURS> ชม.ที่แล้ว</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","ออนไลน์ล่าสุด: <cf7f7f7><DAYS> วันที่แล้ว</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","ออนไลน์ล่าสุด: <cf7f7f7>มากกว่า 1 เดือนที่แล้ว</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>กำลังต่อสู้</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>ในเมนู</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>ในเมนู</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>จับคู่</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>ในเมนู</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>กำลังชม</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>กำลังฝึกฝน</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>ในเมนู</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>ในเมนู</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>ในเมนู</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","สมาชิกออนไลน์ <COUNT> คน"
"TID_CLAN_ENTRY_ONLINE_MEMBER","สมาชิกออนไลน์ <COUNT> คน"
"TID_ALLIANCE_TYPE_OPEN","เปิด"
"TID_ALLIANCE_TYPE_INVITE_ONLY","เชิญเท่านั้น"
"TID_ALLIANCE_TYPE_CLOSED","ปิด"
"TID_CLAN_SEARCH_TITLE","ค้นหาคลับ"
"TID_CLAN_INTRO_AD_TITLE","กำลังหาคลับใช่ไหม?"
"TID_CLAN_INTRO_AD_DESC","จัดทีมและแชตกับผู้เล่นอื่น!"
"TID_CLAN_INTRO_CREATE_GO","สร้างคลับ"
"TID_CLAN_INTRO_SEARCH_GO","ค้นหาคลับ"
"TID_CLAN_INTRO_REFRESH","รีเฟรช"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","คลับนี้ต้องการถ้วยรางวัล <REQ> ถ้วยเพื่อเข้าร่วม คุณมีถ้วยรางวัลเพียง <SCORE> ถ้วยเท่านั้น"
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","คลับนี้เป็นคลับปิด"
"TID_STREAM_ENTRY_AGE","<time> ที่แล้ว"
"TID_ALLIANCE_ROLE_LEADER","ประธาน"
"TID_ALLIANCE_ROLE_CO_LEADER","รองประธาน"
"TID_ALLIANCE_ROLE_MEMBER","สมาชิก"
