"TID","AR"
"TID_RANK_POPUP_HILITE_CAPTION_4","فتح: <SKIN>"
"TID_RANK_POPUP_HILITE_CAPTION_13","حدث جديد: <NAME>"
"TID_RANK_POPUP_HILITE_CAPTION_10","صندوق عملاق"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_4","أحداث الفريق"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_3","الأحداث اليومية"
"TID_RANK_POPUP_HILITE_CAPTION_SLOT_7","أحداث التذاكر"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_1","مكافآت نقاط نجوم نهاية الموسم"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_2","المكافآت المبنية على الترتيب"
"TID_RANK_INFO_POPUP_SEASON_REWARDS_3","المكافآت المبنية على النقاط"
"TID_RANK_INFO_POPUP_POINTS_LABEL_1","الكؤوس"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","مكافأة نقاط النجوم"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","الكؤوس بعد نهاية الموسم"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<END> - <START>"
"TID_DAILY_COINS_COLLECTED","النقود المجمعة"
"TID_TEAM_BATTLE","إنشاء"
"TID_TEAM_UNREADY","غير مستعد"
"TID_TEAM_WAITING_WHILE_READY","أنت مستعد!\nفي انتظار الآخرين"
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><SETSIZE>/<OWNEDCOUNT> بطل <NAME></c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><SETSIZE>/<OWNEDCOUNT> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","رائع!"
"TID_GATCHA_SCREEN_TAP","اضغط! اضغط!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","تذاكر الأحداث"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","مكافأة!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","نشطة لمدة <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","البدء بعد <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","مضاعف الأقراص"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","احصل على ضعف الأقراص التي تربحها من المعارك!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","النقود"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","استخدم النقود لترقية الأبطال لديك."
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","الجواهر"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","استخدم الجواهر لشراء الصناديق، والمظاهر، وعناصر أخرى من المتجر."
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","نقاط القوة"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","تم فتح الترقية!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","الترقية متوفرة!"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","مكافأة"
"TID_NAVI_BLOCKED_1","لا يمكنك تغيير الصفحة أثناء وضع الاستعداد!"
"TID_LEG_TRO_MIG_INFO_SHORT","حصلت على <AMOUNT> من <cff00ff>نقاط النجوم</c>!"
"TID_LEG_TRO_MIG_POPUP_OK","موافق"
"TID_LEG_TRO_MIG_POPUP_CLAIM","المطالبة"
"TID_LEG_TRO_MIG_POPUP_TITLE","تقديم <cff00ff>نقاط النجوم</c>"
"TID_LEG_TRO_MIG_INFO","جديد في Brawl Stars: نقاط النجوم! تفوز بنقاط النجوم عندما يبلغ أحد أبطالك 500 كأس أو أكثر، وفي نهاية الموسم، تتحول بعض الكؤوس التي تزيد عن 500 إلى نقاط نجوم.\n\nيمكنك أيضًا الفوز بنقاط النجوم عن طريق رفع رتبة أبطالك. لقد حصلت على <AMOUNT> من نقاط النجوم من خلال الأبطال الذين رفعت رتبتهم سابقًا!"
"TID_TEAM_MEMBER_INFO_READY","<NAME> في انتظار الآخرين للاستعداد"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> غير مستعد للمواجهة بعد"
"TID_TEAM_MEMBER_INFO_SELF_READY","لا يمكن تغيير البطل في وضع الاستعداد!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","لا يمكن تغيير الحدث في وضع الاستعداد!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","لا يمكن تغيير هذا في وضع الاستعداد!"
"TID_TEAM_GATCHA_BLOCKED","لا يمكن فتح صناديق في وضع الاستعداد!"
"TID_TEAM_NO_MEMBER_INFO","الدعوة إلى الفريق متاحة للمؤسس فقط"
"TID_TEAM_INFO_TEAM_CODE","شارك هذا الرمز مع أصدقائك، وادعوهم للانضمام إلى فريقك.\n\nاضغط مجددًا للنسخ إلى الحافظة."
"TID_FREEZER","مُجمِد"
"TID_GAME_OVER","انتهت المواجهة"
"TID_LEVEL","مستوى <LVL>"
"TID_PLAYERS_IN_MM","هناك لاعبون في المطابقة!"
"TID_ONLINE_INFO","اللاعبون المتصلون: <ONLINE>، في المطابقة: <MATCHMAKE>، في المواجهة: <BATTLES>"
"TID_INPUT_NAME","أدخل اسمك هنا"
"TID_LEADERBOARD_YOUR_SCORE","النتيجة"
"TID_LEADERBOARD_YOUR_RANK","الترتيب"
"TID_LEADERBOARD_HIGHEST_SCORE","أعلى نتيجة حققتها"
"TID_LEADERBOARD_LOCAL","محلية (<COUNTRY>)"
"TID_REGION_0","عالمية"
"TID_REGION_1","آسيا"
"TID_SET_REGION_RESULT_0","تم تبديل المنطقة بنجاح إلى <REGION>"
"TID_SET_REGION_RESULT_1","فشل تغيير المنطقة: لا يمكن تغيير المنطقة خلال قيدك باتحاد."
"TID_SET_REGION_RESULT_2","فشل تغيير المنطقة: لا يمكن تغيير المنطقة خلال قيدك بفريق."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","جمع البلور"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","اجمع 10 جواهر واحتفظ بها!"
"TID_BATTLE_END_MY_TEAM","فريقك"
"TID_BATTLE_END_ENEMY_TEAM","فريق الخصم"
"TID_BACK","الرجوع"
"TID_NOT_ENOUGH_GOLD","النقود لا تكفي. افتح صناديق العراك للحصول على النقود."
"TID_UNLOCK_SKIN_ERROR_1","الجواهر لا تكفي"
"TID_EXPERIENCE_LEVEL","مستوى الخبرة"
"TID_BOT_1","روبوت 1"
"TID_BOT_2","روبوت 2"
"TID_BOT_3","روبوت 3"
"TID_BOT_4","روبوت 4"
"TID_BOT_5","روبوت 5"
"TID_BOT_6","روبوت 6"
"TID_BOT_7","روبوت 7"
"TID_BOT_8","روبوت 8"
"TID_BOT_9","روبوت 9"
"TID_CRAFT_HERO_TITLE","شراء البطل"
"TID_CRAFT_HERO_BUTTON_LABEL","الشراء"
"TID_UNLOCK_SKIN_TITLE","شراء المظهر"
"TID_SKIN_COMING_SOON","المظهر غير متاح بعد."
"TID_UNLOCK_SKIN_BUTTON_LABEL","الشراء"
"TID_HERO_LIST_TOTAL_TROPHIES","إجمالي الكؤوس"
"TID_TOP_TOOL_TIP_1","<c00ccff>الأقراص</c> تستخدم لفتح صناديق العراك.\n\nاجمع الأقراص من الأحداث والمعارك الجديدة."
"TID_TOP_TOOL_TIP_3","<c0ed12d>الجواهر</c> تستخدم لشراء الصناديق، والمظاهر، والعناصر الأخرى من المتجر.\n\nاحصل على الجواهر من صناديق العراك أو بشرائها من المتجر باستخدام المال الحقيقي."
"TID_TOP_TOOL_TIP_2","<cff8E1b>النقود</c> تستخدم لترقية الأبطال.\n\nاحصل على النقود من صناديق العراك."
"TID_TOP_TOOL_TIP_4","تتيح لك <cff0000>تذاكر الأحداث</c> المشاركة في أحداث التذاكر."
"TID_TOP_TOOL_TIP_5","تُستخدم <cff00ff>نقاط النجوم</c> لشراء عناصر حصرية من المتجر.\n\nفز بنقاط نجوم عبر مكافآت نهاية الموسم، أو عندما تبلغ رتبة أي من أبطالك الترتيب 10، وبعد كل 5 ترتيبات تليه."
"TID_GAME_MODE_0","جمع الجواهر"
"TID_GAME_MODE_0_DESC","اجمع الجواهر التي تنبثق من منجم الجواهر في وسط الخريطة، أو التقطها من خصومك المهزومين! احتفظ بعشر جواهر طوال مدة العد التنازلي للفوز بالمواجهة!"
"TID_GAME_MODE_2","السطو"
"TID_GAME_MODE_2_DESC","احم خزينة فريقك الثمينة بينما تحاول السطو على خزينة الفريق العدو في الوقت نفسه. يفوز بالمواجهة أول فريق ينجح في فتح خزينة العدو.\n\nإذا نفد الوقت المحدد، يفوز الفريق الذي ألحق أكبر ضرر بخزينة العدو."
"TID_GAME_MODE_3","الجائزة"
"TID_GAME_MODE_3_DESC","اجمع النجوم لصالح فريقك بهزيمة أعضاء الفريق الخصم. تزداد المكافأة على رأسك بنجمة واحدة في كل مرة تهزم فيها عدوًا، وقد تصل إلى 7 نجوم. لا تدع العدو يستولي عليها!\n\nيفوز الفريق الذي يملك أعلى عدد من النجوم عند نفاد الوقت."
"TID_GAME_MODE_6","المواجهة الحاسمة الفردية"
"TID_GAME_MODE_6_COMBINED","المواجهة الحاسمة"
"TID_GAME_MODE_6_DESC","اقض على اللاعبين التسعة الآخرين، وابق وحدك في أرض المعركة. استخدام أي وسيلة لازمة للبقاء؛ فلديك حياة واحدة فقط."
"TID_GAME_MODE_6_DESC_COMBINED","اقض على اللاعبين الآخرين، وابق وحدك في أرض المعركة. العب في الوضع الفردي أو في فريق مكون من اثنين."
"TID_GAME_MODE_5","كرة العراك"
"TID_GAME_MODE_5_DESC","خذ الكرة إلى شبكة الفريق المنافس لتحرز الأهداف! تنتهي المباراة بإحراز أحد الفريقين هدفين أو نفاد الوقت بالكامل."
"TID_GAME_MODE_3_OG","الإبادة"
"TID_GAME_MODE_3_OG_DESC","اجمع النجوم لصالح فريقك بهزيمة أعضاء الفريق الخصم. تزداد المكافأة على رأسك بنجمة واحدة في كل مرة تهزم فيها عدوًا، وقد تصل إلى 7 نجوم. لا تدع العدو يستولي عليها!\n\nيفوز الفريق الذي يملك أعلى عدد من النجوم عند نفاد الوقت."
"TID_GAME_MODE_11","الحصار"
"TID_GAME_MODE_11_DESC","حاصر ودمّر برج العدو! لدى فريقك أيضًا برج عليك تزويده بالبراغي لتركيب روبوت حصار قوي يقاتل لصالحكم. تظهر البراغي على أرض المصنع. التقط أحدها واحتفظ به لبضع ثوانٍ لتزويد البرج به.\n\nهناك ما يصل إلى ثلاثة حصارات خلال كل مواجهة. يبني الفريق الحاصل على أكبر عدد من البراغي روبوت حصار عند بداية كل حصار، وتزداد قوة روبوت الحصار كلما ازداد عدد البراغي.\nتنبيه: هذه الأبراج بها دفاعات صاروخية فتاكة؛ لذا فلا تقترب كثيرًا من قاعدة العدو دون روبوت حصار يساندك!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","قرص النجوم"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","ترتيب أعلى"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","مستوى أعلى"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","نصر"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","هزيمة"
"TID_BATTLE_END_GAIN_LABEL_DRAW","تعادل"
"TID_BATTLE_END_GAIN_LABEL_MVP","نجم المواجهة"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","نتيجة الترتيب"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","مكافأة الوقت"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","الأقراص المتبقية:"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","مكافأة الوقت"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","مكافأة الوقت"
"TID_BATTLE_END_COIN_REWARDS","مكافآت الأقراص"
"TID_BATTLE_END_MVP","نجم المواجهة"
"TID_BATTLE_END_DEFEAT_INFO","حظًا أفضل في المرة القادمة!"
"TID_TUTORIAL_1","مرحبًا، أنا شيلي! هيا نجمع هذه <ce662f9>الجواهر</c> كلها. <c0066ff>اسحب</c> <c0066ff>وحدة التحكم الزرقاء</c> بإبهامك الأيسر لتحركني."
"TID_TUTORIAL_2","سأجمعها كلها! هذه <ce662f9>الجواهر</c> لي!"
"TID_TUTORIAL_3","أهداف الروبوت! <ccc0033>اسحب</c> <ccc0033>وحدة التحكم الحمراء</c> بإبهامك الأيمن للتصويب، وارفعه لإطلاق النار. دمر هذه الروبوتات."
"TID_TUTORIAL_GOOD_JOB_1","أحسنت!"
"TID_TUTORIAL_5","المزيد من الأهداف! يمكنك <ccc0033>الضغط</c> على <ccc0033>وحدة التحكم الحمراء</c> لإطلاق النار على أقرب عدو. دمر الروبوتات."
"TID_TUTORIAL_6","استخدم الزخم الآن لضرب الزعيم خلف الجدار! <cff9900>اسحب</c> <cff9900>وحدة التحكم الصفراء</c> لتصويب ضربة الزخم، وارفع إصبعك لإطلاق النار!"
"TID_TUTORIAL_555","جيد! استمر!"
"TID_TUTORIAL_7","أحسنت! لقد حصلنا على <ce662f9>الجواهر</c>، فلنخرج من هنا!"
"TID_TUTORIAL_8","كلما أصبت الأعداء ارتفع زخمك. استخدم <cff9900>وحدة التحكم الصفراء</c> لمهاجمة الأعداء بضربة الزخم!"
"TID_TUTORIAL_9","أنت بطل بالفطرة!\n\nوالآن اذهب ونل منهم!"
"TID_TUTORIAL_10","مهاجمة الأهداف تشحن عداد الزخم. أصبح زخمي جاهزًا الآن!\nاضغط على زر الزخم!"
"TID_TUTORIAL_11","تشير <cff6633>الأشرطة البرتقالية</c> إلى ذخيرتك. سأعيد التعبئة بأسرع ما يمكن."
"TID_FIGHT_TUTORIAL","اللعب"
"TID_HERO_SCORE_INFO","اجمع الكؤوس لهذا البطل بالفوز في المواجهات أمام اللاعبين الآخرين.\n\nابلغ حد <PROGRESS> من الكؤوس للوصول إلى الترتيب التالي وربح <COINS> من الأقراص."
"TID_HERO_SCORE_INFO_LEG_TROS","اجمع كؤوس هذا البطل بالانتصار في مواجهات أمام لاعبين آخرين.\n\nاجمع <PROGRESS> من الكؤوس لبلوغ الرتبة التالية وربح <COINS> من الأقراص و<cff00ff><LEGTROS> من نقاط النجوم</c>."
"TID_HERO_SCORE_INFO_MAXED","لقد بلغت الرتبة النهائية.\n\n"
"TID_XP_INFO_ME","مستوى خبرتك\n\nاكتسب الخبرة من خوض المعارك. اجمع <REMPROGRESS> من نقاط الخبرة الإضافية لتصل إلى المستوى <LEVEL>، وتربح <COINS> من الأقراص."
"TID_XP_INFO_OTHER","مستوى خبرة هذا اللاعب"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","العب مواجهة تدريب واحدة لفتح اللعبة بالكامل"
"TID_SOCIAL_TAB_CLANS","الاتحاد"
"TID_SOCIAL_TAB_FRIENDS","الأصدقاء"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>في معركة</c> لمدة <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>شاشة نهاية المواجهة</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>في وضع المشاهدة</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>في تدريب</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>قيد المطابقة</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>في فريق</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>في فريق</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>في فريق</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>في وضع المعركة</c>"
"TID_FRIEND_STATUS_MENUS","في القوائم"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","شكِّل فريقًا!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","اللاعبون المتصلون"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","لا يوجد أصدقاء أو أعضاء من الاتحاد متصلون"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","ما من أصدقاء أو أعضاء بالاتحاد يمكن دعوتهم. هل صادفت لاعبًا بارعًا مؤخرًا؟ لم لا تضيفه إلى قائمة أصدقائك؟"
"TID_CLAN_CREATE_BUTTON","إنشاء"
"TID_CLAN_SAVE_BUTTON","الحفظ"
"TID_CLAN_CREATE_TITLE","إنشاء اتحاد جديد"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","آخر ظهور: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","قبل أقل من ساعة"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","آخر ظهور: <cf7f7f7>قبل <HOURS> س</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","آخر ظهور: <cf7f7f7>قبل <DAYS> ي</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","آخر ظهور:<cf7f7f7>قبل أكثر من شهر</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>في معركة</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>في القوائم</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>في القوائم</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>في المطابقة</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>في القوائم</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>في وضع المشاهدة</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>في التدريب</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>في القوائم</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>في القوائم</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>في القوائم</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> من الأعضاء المتصلين"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> متصل"
"TID_ALLIANCE_TYPE_OPEN","مفتوح"
"TID_ALLIANCE_TYPE_INVITE_ONLY","بالدعوة فقط"
"TID_ALLIANCE_TYPE_CLOSED","مغلق"
"TID_CLAN_SEARCH_TITLE","البحث عن اتحادات"
"TID_CLAN_INTRO_AD_TITLE","هل تبحث عن اتحاد؟"
"TID_CLAN_INTRO_AD_DESC","أنشئ اتحادًا وتمكن من الدردشة مع اللاعبين الآخرين!"
"TID_CLAN_INTRO_CREATE_GO","إنشاء اتحاد"
"TID_CLAN_INTRO_SEARCH_GO","البحث عن اتحادات"
"TID_CLAN_INTRO_REFRESH","تحديث"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","يشترط هذا الاتحاد <REQ> من الكؤوس للانضمام. ليس لديك إلا <SCORE> من الكؤوس."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","هذا الاتحاد مغلق"
"TID_STREAM_ENTRY_AGE","قبل <time>"
"TID_ALLIANCE_ROLE_LEADER","الرئيس"
"TID_ALLIANCE_ROLE_CO_LEADER","نائب"
"TID_ALLIANCE_ROLE_MEMBER","عضو"
"TID_ALLIANCE_ROLE_ELDER","وكيل"
"TID_STREAM_SENDER_YOU","أنت"
"TID_GOLDRUSH_1","منجم المعادن"
"TID_BANKHEIST_1","مخبأ قطاع الطرق"
"TID_WANTED_1","أطلال المعابد"
"TID_BATTLE_ROYALE_1","خليج الجماجم"
"TID_GOLDRUSH_2","آركيد الكريستال"
"TID_BANKHEIST_2","وادي المتفجرات"
"TID_WANTED_2","معسكر الأشقياء"
"TID_BATTLE_ROYALE_2","الحجر المتفحم"
"TID_GOLDRUSH_3","مغارة الهلاك"
"TID_BANKHEIST_3","المنطقة الآمنة"
"TID_WANTED_3","الحصن الصامد"
"TID_BATTLE_ROYALE_3","عراك روكوول"
"TID_WANTED_4","الفخاخ المبيدة"
"TID_GOLDRUSH_4","الحصن الصامد"
"TID_WANTED_5","حقل البلور"
"TID_GOLDRUSH_5","الزعزعة"
"TID_WANTED_6","مرتع الأفاعي"
"TID_WANTED_7","نجم الرماية"
"TID_GOLDRUSH_6","مطعم الأنفاق"
"TID_GOLDRUSH_7","أرض الترفيه"
"TID_BATTLE_ROYALE_4","وليمة أو مجاعة"
"TID_WANTED_8","المخبأ"
"TID_BANKHEIST_4","صحراء الحشود"
"TID_CLAN_MEMBERS_ONLINE","الأعضاء المتصلون: <TOTAL>/<COUNT>"
"TID_CLAN_TOTAL_TROPHIES","كؤوس الاتحاد"
"TID_CLAN_SEARCH_OK","البحث"
"TID_CLAN_INFO_NAME","اسم الاتحاد"
"TID_CLAN_INFO_BADGE","الشارة"
"TID_CLAN_INFO_DESC","الوصف"
"TID_CLAN_INFO_TOTAL_TROPHIES","كؤوس الاتحاد"
"TID_CLAN_INFO_TYPE","النوع"
"TID_CLAN_INFO_TAG","معّرف الاتحاد"
"TID_CLAN_INFO_MIN_TROPHIES","الكؤوس المطلوبة"
"TID_CLAN_INFO_LEAVE","الخروج"
"TID_CLAN_INFO_SETTINGS","الإعدادات"
"TID_CLAN_INFO_JOIN","الانضمام"
"TID_CLAN_INFO_MESSAGE","رسالة"
"TID_CLAN_INFO_REQUEST_JOIN","طلب الانضمام"
"TID_CLAN_SEARCH_NO_RESULTS","لم يتم العثور على اتحادات"
"TID_CLAN_SEARCH_INITIAL","لا توجد سلسلة بحث"
"TID_CLAN_INFO_MEMBERS","الأعضاء"
"TID_CLAN_INFO_SELECT_BADGE","تصفح"
"TID_SELECT_BADGE","حدد الشارة"
"TID_ALLIANCE_CREATE_OK","تم إنشاء الاتحاد بنجاح"
"TID_CLAN_CHANGE_SETTINGS_TITLE","إعدادات الاتحاد"
"TID_TITLE_ALLIANCE","بيانات الاتحاد"
"TID_ALLIANCE_LEFT","لقد خرجت من الاتحاد."
"TID_CLAN_MEMBER_DEMOTE","إنزال رتبة"
"TID_CLAN_MEMBER_PROMOTE","رفع الرتبة"
"TID_CLAN_MEMBER_KICK","الطرد"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","عرض الاتحاد"
"TID_BUTTON_INVITE","الدعوة"
"TID_PLAYER_INFO_GOTO_CLAN","عرض الاتحاد"
"TID_SELECT_PLAYER_THUMBNAIL","تحديد الأيقونة"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","تفتح هذه الأيقونة عند مستوى الخبرة <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","تفتح هذه الأيقونة عند <TROPHIES> من إجمالي الكؤوس"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> من الانتصارات"
"TID_PLAYER_INFO_TAB_1","الإحصاءات"
"TID_PLAYER_INFO_TAB_2","الأبطال (<TOTAL>/<FOUND>)"
"TID_PLAYER_STAT_1","الانتصارات في معارك 3 ضد 3"
"TID_PLAYER_STAT_4","أعلى عدد كؤوس"
"TID_PLAYER_STAT_8","الانتصارات الفردية"
"TID_PLAYER_STAT_10","أطول مدة كزعيم"
"TID_PLAYER_STAT_9","أطول مدة في معركة الروبوتات"
"TID_PLAYER_STAT_11","الانتصارات الزوجية"
"TID_PLAYER_STAT_12","أعلى مستوى تم بلوغه في قتال الزعماء"
"TID_PLAYER_STAT_13","أعلى نقاط في 'التكتيكات الهجومية'"
"TID_PLAYER_STAT_14","أعلى ترتيب في 'التكتيكات الهجومية'"
"TID_PLAYER_STAT_15","أعلى نتيجة في التحديات"
"TID_NO_CLAN","ليس في اتحاد"
"TID_ULTIMATE_NOT_READY","اضرب الأعداء لشحن الزخم الخاص بك!"
"TID_CANT_ACTIVATE_ULTI","لا يمكن تفعيل الزخم عند الهزيمة!"
"TID_NAME_TOO_SHORT","اسمك أقصر من اللازم"
"TID_ALLIANCE_JOINED","تم الانضمام إلى اتحاد"
"TID_COIN_RUSH_INTRO_TEXT","اجمعوا 10 جواهر لتحقيق الفوز"
"TID_BOUNTY_HUNTER_INTRO_TEXT","اهزم الأبطال للفوز بالنجوم"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","افتح خزينة العدو بطلقاتك"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","افتح خزينة العدو بطلقاتك"
"TID_GO","إلى المعركة!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","تأكيد الخروج"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nهل ترغب بالتأكيد في مغادرة الاتحاد؟"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","الخروج"
"TID_ALLIANCE_PROMOTE_TITLE","تأكيد رفع الرتبة"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","هل ترغب بالتأكيد في رفع رتبة <NAME> إلى <ROLE>؟"
"TID_ALLIANCE_PROMOTE_BUTTON","رفع الرتبة"
"TID_ALLIANCE_KICK_TITLE","تأكيد الطرد"
"TID_ALLIANCE_KICK_CONFIRMATION","هل ترغب بالتأكيد في طرد <NAME> من الاتحاد؟"
"TID_ALLIANCE_KICK_BUTTON","الطرد"
"TID_ALLIANCE_DEMOTE_TITLE","تأكيد إنزال الرتبة"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","هل ترغب بالتأكيد في إنزال رتبة <NAME> إلى <ROLE>؟"
"TID_ALLIANCE_DEMOTE_BUTTON","إنزال رتبة"
"TID_CLAN_RESPONSE_10","تم حفظ الإعدادات"
"TID_CLAN_RESPONSE_20","تم إنشاء اتحاد"
"TID_CLAN_RESPONSE_21","فشل إنشاء اتحاد! الرجاء المحاولة مرة أخرى لاحقًا."
"TID_CLAN_RESPONSE_22","الاسم غير مقبول"
"TID_CLAN_RESPONSE_23","الوصف غير مقبول"
"TID_CLAN_RESPONSE_24","اسم أقصر من اللازم"
"TID_CLAN_RESPONSE_40","تم الانضمام إلى اتحاد"
"TID_CLAN_RESPONSE_42","فشل الانضمام: الاتحاد مكتمل"
"TID_CLAN_RESPONSE_43","فشل الانضمام: الاتحاد غير مفتوح"
"TID_CLAN_RESPONSE_45","فشل الانضمام: ليس لديك ما يكفي من الكؤوس للانضمام إلى هذا الاتحاد"
"TID_CLAN_RESPONSE_46","فشل الانضمام: تم حظرك من قبل هذا الاتحاد لطردك/رفض طلب انضمامك في السابق"
"TID_CLAN_RESPONSE_47","فشل الانضمام: قدمت طلبات انضمام إلى اتحادات أكثر من اللازم اليوم. تم حظرك من الانضمام إلى اتحاد بقية اليوم"
"TID_CLAN_RESPONSE_48","فشل الانضمام: لا يمكن الانضمام إلى اتحاد في منطقة أخرى"
"TID_CLAN_RESPONSE_50","تم إرسال طلب الانضمام بنجاح"
"TID_CLAN_RESPONSE_51","فشل إرسال طلب الانضمام: عضوية الاتحاد لم تعد مفتوحة لقبول الطلبات"
"TID_CLAN_RESPONSE_52","فشل إرسال طلب الانضمام: لديك بالفعل طلب انضمام معلق في هذا الاتحاد"
"TID_CLAN_RESPONSE_53","فشل إرسال طلب الانضمام: ليس لديك ما يكفي من الكؤوس للانضمام إلى هذا الاتحاد"
"TID_CLAN_RESPONSE_54","فشل طلب الانضمام: تم حظرك من قبل هذا الاتحاد لطردك/رفض طلب انضمامك في السابق"
"TID_CLAN_RESPONSE_55","فشل طلب الانضمام: لا يمكن الانضمام إلى اتحاد في منطقة أخرى"
