"TID","EN"
"TID_TUTORIAL_3","Robo targets! <ccc0033>DRAG</c> the <ccc0033>RED CONTROL</c> with your right thumb to aim your shots, and release to fire. Destroy the robos!"
"TID_TUTORIAL_GOOD_JOB_1","Good job!"
"TID_TUTORIAL_5","More targets! You can <ccc0033>TAP</c> the <ccc0033>RED CONTROL</c> to shoot at the closest enemy. Destroy the robos!"
"TID_TUTORIAL_6","Now use your Super to shoot the BOSS behind the wall! <cff9900>DRAG</c> the <cff9900>YELLOW CONTROL</c> to aim your Super, and release to fire!"
"TID_TUTORIAL_555","Nice, keep going!"
"TID_TUTORIAL_7","Good job! We've got the <ce662f9>GEMS</c>, let's head towards the exit!"
"TID_TUTORIAL_8","Hitting enemies charges your Super. Use the <cff9900>yellow control</c> to attack the enemies with your Super!"
"TID_TUTORIAL_9","You're a natural Brawler!\n\nNow, let's go get 'em!"
"TID_TUTORIAL_10","Attacking targets charges up the Super attack meter. My Super is ready now!\nTap the Super button!"
"TID_TUTORIAL_11","The <cff6633>orange bars</c> show your ammo. I'll reload as fast as I can!"
"TID_FIGHT_TUTORIAL","PLAY"
"TID_HERO_SCORE_INFO","Collect Trophies for this Brawler by winning games against other players.\n\nReach <PROGRESS> trophies to achieve next Rank and earn <COINS> Tokens."
"TID_HERO_SCORE_INFO_LEG_TROS","Collect Trophies for this Brawler by winning games against other players.\n\nReach <PROGRESS> trophies to achieve the next Rank, earn <COINS> Tokens and <cff00ff><LEGTROS> Star Points</c>"
"TID_HERO_SCORE_INFO_MAXED","You have reached the final rank.\n\n"
"TID_XP_INFO_ME","Your experience level.\n\nGain experience by Battling. Collect <REMPROGRESS> more experience points to reach level <LEVEL> and earn <COINS> Tokens."
"TID_XP_INFO_OTHER","This player's experience level"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","PLAY ONE PRACTICE MATCH TO UNLOCK THE FULL GAME"
"TID_SOCIAL_TAB_CLANS","CLUB"
"TID_SOCIAL_TAB_FRIENDS","FRIENDS"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>battling</c> for <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>match end screen</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>spectating</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>practicing</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>in matchmaking</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>in team</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>in team</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>in team</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>battling</c>"
"TID_FRIEND_STATUS_MENUS","in menus"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","TEAM UP!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","ONLINE PLAYERS"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","No friends or Club members online"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","No friends or Club members available for invite. Played with someone great recently? Add them as a friend!"
"TID_CLAN_CREATE_BUTTON","CREATE"
"TID_CLAN_SAVE_BUTTON","SAVE"
"TID_CLAN_CREATE_TITLE","CREATE A NEW CLUB"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","Last online: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","< 1h ago"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","Last online: <cf7f7f7><HOURS>h ago</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","Last online: <cf7f7f7><DAYS>d ago</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","Last online: <cf7f7f7>> 1 month ago</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>BATTLING</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>IN MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>IN MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>MATCHMAKE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>IN MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>SPECTATING</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>PRACTICING</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>IN MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>IN MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>IN MENUS</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> members online"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> member online"
"TID_ALLIANCE_TYPE_OPEN","Open"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Invite only"
"TID_ALLIANCE_TYPE_CLOSED","Closed"
"TID_CLAN_SEARCH_TITLE","SEARCH FOR CLUBS"
"TID_CLAN_INTRO_AD_TITLE","LOOKING FOR A CLUB?"
"TID_CLAN_INTRO_AD_DESC","Team up and chat with other players!"
"TID_CLAN_INTRO_CREATE_GO","CREATE CLUB"
"TID_CLAN_INTRO_SEARCH_GO","SEARCH FOR CLUBS"
"TID_CLAN_INTRO_REFRESH","REFRESH"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","This Club requires <REQ> trophies to join. You only have <SCORE> trophies."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","This Club is closed"
"TID_STREAM_ENTRY_AGE","<time> ago"
"TID_ALLIANCE_ROLE_LEADER","President"
"TID_ALLIANCE_ROLE_CO_LEADER","Vice President"
"TID_ALLIANCE_ROLE_MEMBER","Member"
"TID_ALLIANCE_ROLE_ELDER","Senior"
"TID_STREAM_SENDER_YOU","You"
"TID_GOLDRUSH_1","Hard Rock Mine"
"TID_BANKHEIST_1","Bandit Stash"
"TID_WANTED_1","Temple Ruins"
"TID_BATTLE_ROYALE_1","Skull Creek"
"TID_GOLDRUSH_2","Crystal Arcade"
"TID_BANKHEIST_2","Kaboom Canyon"
"TID_WANTED_2","Outlaw Camp"
"TID_BATTLE_ROYALE_2","Scorched Stone"
"TID_GOLDRUSH_3","Deathcap Cave"
"TID_BANKHEIST_3","Safe Zone"
"TID_WANTED_3","Stone Fort"
"TID_BATTLE_ROYALE_3","Rockwall Brawl"
"TID_WANTED_4","Deathcap Trap"
"TID_GOLDRUSH_4","Stone Fort"
"TID_WANTED_5","Crystal Clearing"
"TID_GOLDRUSH_5","Undermine"
"TID_WANTED_6","Snake Prairie"
"TID_WANTED_7","Shooting Star"
"TID_GOLDRUSH_6","Deep Diner"
"TID_GOLDRUSH_7","Chill Space"
"TID_BATTLE_ROYALE_4","Feast or Famine"
"TID_WANTED_8","Hideout"
"TID_BANKHEIST_4","G.G. Corral"
"TID_CLAN_MEMBERS_ONLINE","Members Online: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Club trophies"
"TID_CLAN_SEARCH_OK","SEARCH"
"TID_CLAN_INFO_NAME","CLUB NAME"
"TID_CLAN_INFO_BADGE","BADGE"
"TID_CLAN_INFO_DESC","DESCRIPTION"
"TID_CLAN_INFO_TOTAL_TROPHIES","CLUB TROPHIES"
"TID_CLAN_INFO_TYPE","TYPE"
"TID_CLAN_INFO_TAG","Club Tag"
"TID_CLAN_INFO_MIN_TROPHIES","REQUIRED TROPHIES"
"TID_CLAN_INFO_LEAVE","LEAVE"
"TID_CLAN_INFO_SETTINGS","SETTINGS"
"TID_CLAN_INFO_JOIN","JOIN"
"TID_CLAN_INFO_MESSAGE","Message"
"TID_CLAN_INFO_REQUEST_JOIN","Request join"
"TID_CLAN_SEARCH_NO_RESULTS","No Clubs found"
"TID_CLAN_SEARCH_INITIAL","No search string"
"TID_CLAN_INFO_MEMBERS","Members"
"TID_CLAN_INFO_SELECT_BADGE","BROWSE"
"TID_SELECT_BADGE","SELECT BADGE"
"TID_ALLIANCE_CREATE_OK","Club created successfully"
"TID_CLAN_CHANGE_SETTINGS_TITLE","CLUB SETTINGS"
"TID_TITLE_ALLIANCE","Club info"
"TID_ALLIANCE_LEFT","You have left the Club"
"TID_CLAN_MEMBER_DEMOTE","Demote"
"TID_CLAN_MEMBER_PROMOTE","Promote"
"TID_CLAN_MEMBER_KICK","Kick"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","View Club"
"TID_BUTTON_INVITE","INVITE"
"TID_PLAYER_INFO_GOTO_CLAN","View Club"
"TID_SELECT_PLAYER_THUMBNAIL","SELECT ICON"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","This icon unlocks at experience level <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","This icon unlocks at <TROPHIES> total trophies"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> wins"
"TID_PLAYER_INFO_TAB_1","STATS"
"TID_PLAYER_INFO_TAB_2","BRAWLERS (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3 VS 3 VICTORIES"
"TID_PLAYER_STAT_4","HIGHEST TROPHIES"
"TID_PLAYER_STAT_8","SOLO VICTORIES"
"TID_PLAYER_STAT_10","BEST TIME AS BIG BRAWLER"
"TID_PLAYER_STAT_9","BEST ROBO RUMBLE TIME"
"TID_PLAYER_STAT_11","DUO VICTORIES"
"TID_PLAYER_STAT_12","HIGHEST BOSS FIGHT LVL PASSED"
"TID_PLAYER_STAT_13","HIGHEST POWER PLAY POINTS"
"TID_PLAYER_STAT_14","HIGHEST POWER PLAY RANK"
"TID_PLAYER_STAT_15","MOST CHALLENGE WINS"
"TID_NO_CLAN","Not in a Club"
"TID_ULTIMATE_NOT_READY","Hit enemies to charge up your Super!"
"TID_CANT_ACTIVATE_ULTI","Cannot activate Super when defeated!"
"TID_NAME_TOO_SHORT","Your name is too short"
"TID_ALLIANCE_JOINED","Club joined"
"TID_COIN_RUSH_INTRO_TEXT","Grab 10 gems to win"
"TID_BOUNTY_HUNTER_INTRO_TEXT","Defeat Brawlers for stars"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Shoot open the enemy safe"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Shoot open the enemy safe"
"TID_GO","BATTLE!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","CONFIRM LEAVE"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nAre you sure you want to leave the Club?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","LEAVE"
"TID_ALLIANCE_PROMOTE_TITLE","Confirm Promote"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Are you sure you want to promote <NAME> to role <ROLE>?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promote"
"TID_ALLIANCE_KICK_TITLE","Confirm Kick"
"TID_ALLIANCE_KICK_CONFIRMATION","Are you sure you want to kick <NAME> from the Club?"
"TID_ALLIANCE_KICK_BUTTON","Kick"
"TID_ALLIANCE_DEMOTE_TITLE","Confirm Demote"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Are you sure you want to demote <NAME> to role <ROLE>?"
"TID_ALLIANCE_DEMOTE_BUTTON","Demote"
"TID_CLAN_RESPONSE_10","Settings saved"
"TID_CLAN_RESPONSE_20","Club created"
"TID_CLAN_RESPONSE_21","Creating a Club failed! Please try again later."
"TID_CLAN_RESPONSE_22","Name not accepted"
"TID_CLAN_RESPONSE_23","Description not accepted"
"TID_CLAN_RESPONSE_24","Name too short"
"TID_CLAN_RESPONSE_40","Club joined"
"TID_CLAN_RESPONSE_42","Join failed: Club is full"
"TID_CLAN_RESPONSE_43","Join failed: Club is not open"
"TID_CLAN_RESPONSE_45","Join failed: you don't have enough trophies to join this Club"
"TID_CLAN_RESPONSE_46","Join failed: you're banned from this Club because of an earlier kick/rejected join request"
"TID_CLAN_RESPONSE_47","Join failed: too many Club joins today. Joining a Club has been blocked for you today."
"TID_CLAN_RESPONSE_48","Join failed: cannot join a Club in another region."
"TID_CLAN_RESPONSE_50","Join request sent successfully"
"TID_CLAN_RESPONSE_51","Join request sending failed: Club is no longer open for membership requests"
"TID_CLAN_RESPONSE_52","Join request sending failed: you already have a pending request to this Club"
"TID_CLAN_RESPONSE_53","Join request sending failed: you don't have enough trophies to join this Club"
"TID_CLAN_RESPONSE_54","Join request failed: you're banned from this Club because of an earlier kick/rejected join request"
"TID_CLAN_RESPONSE_55","Join request failed: cannot join a Club in another region."
"TID_CLAN_RESPONSE_56","Join failed: This Club is not Family Friendly"
"TID_CLAN_RESPONSE_70","Kick success"
"TID_CLAN_RESPONSE_80","You left the Club"
"TID_CLAN_RESPONSE_81","Promote success"
"TID_CLAN_RESPONSE_82","Demote success"
"TID_CLAN_RESPONSE_90","Accept success"
"TID_CLAN_RESPONSE_91","Reject success"
"TID_CLAN_RESPONSE_92","Accept failed: target is already in a Club"
"TID_CLAN_RESPONSE_93","Action failed: cannot find request"
"TID_CLAN_RESPONSE_94","Action failed: request already handled"
"TID_CLAN_RESPONSE_95","Action failed: no rights"
"TID_CLAN_RESPONSE_96","Accept failed: target has been banned from this Club"
"TID_CLAN_RESPONSE_100","You have been kicked from a Club"
"TID_CLAN_RESPONSE_101","You have been promoted"
"TID_CLAN_RESPONSE_102","You have been demoted"
"TID_CLAN_RESPONSE_112","Club mail sending still on cooldown for <TIME>"
"TID_CLAN_RESPONSE_113","Club mail sent successfully"
"TID_CLAN_NO_RIGHTS","You don't have the rights to do this"
"TID_ALLIANCE_NAME_TOO_SHORT","Club name too short"
"TID_CLAN_JOIN_REQUEST_TITLE","Request Club membership"
"TID_CLAN_JOIN_REQUEST_SEND","Send"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","I would like to join your Club..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Accept this player to the Club?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accept"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Reject"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Accepted by <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Rejected by <name>"
"TID_HINT_DRAG_TO_AIM","Drag to aim"
"TID_HINT_RELEASE_TO_SHOOT","Release to shoot"
"TID_HINT_ACTIVATE_ULTI","Drag the <cff9900>YELLOW CONTROL</c> to aim your Super!"
"TID_HINT_DRAG_TO_ULTI","Drag to aim SUPER, release to fire!"
"TID_HINT_COLLECT_GOLD","Brawlers will drop their <ce662f9>GEMS</c> when defeated"
"TID_HINT_HOLD_GOLD","Hold on to your <ce662f9>GEMS</c>!"
"TID_HINT_GO_AFTER_ENEMY","Go after the enemy!"
"TID_HINT_ATTACK_BASE","Shoot open the enemy safe and protect your own!"
"TID_HINT_DEFEND_BASE","Shoot open the enemy safe and protect your own!"
"TID_HINT_SHOOT_ENEMIES","Defeat enemies for stars!"
"TID_HINT_YOU_ARE_WINNING","Your team is winning! Play defense!"
"TID_HINT_YOU_ARE_LOSING","Your team is losing! Play offense!"
"TID_HINT_TAP_TO_MOVE","Tap to move\nMove with your team"
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Watch out: you are worth a big bounty!"
"TID_BOUNTY_3","Watch out: you are worth a huge bounty!"
"TID_BOUNTY_4","Wanted dead or alive!"
"TID_NO_CLAN_TITLE","Find a Club"
"TID_NO_CLAN_BODY","Join a Club to chat and play with cool people!"
"TID_NO_CLAN_SUGGESTIONS","Recommended Clubs for you"
"TID_NO_CLAN_RESULTS","Search results"
"TID_NO_CLAN_EMPTY","No recommended Clubs :-("
"TID_NO_CLAN_WAITING_FOR_DATA","Waiting for data..."
"TID_CONNECTING_TO_SERVER","Connecting to server..."
"TID_TEAM_ADVERTISE","ADVERTISE"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","to Club"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","to friends"
"TID_TEAM_AD_INFO_0","Looking for players for a team game"
"TID_TEAM_AD_JOIN","Join Team"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Cannot join. You're already in a team"
"TID_TEAM_MEMBER_STATUS_0","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>BATTLING</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>AWAY</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>NOT READY</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>MATCHMAKE</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>END SCREEN</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>OFFLINE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>SPECTATING</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>PRACTICING</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>TYPING...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>BRAWLERS</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>EVENTS</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>READY</c>"
"TID_TEAM_STATUS_IN_MATCH","BATTLING"
"TID_TEAM_STATUS_IN_MATCHMAKING","MATCHMAKING"
"TID_TEAM_STATUS_FULL","<cff1e00>FULL</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","OPEN"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","You must join a Club to use this feature"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","You need to have friends to use this feature"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Cannot advertise. Team is already full"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","This is allowed for team creator only"
"TID_TEAM_LOC_INFO","<MODE> at <LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","TEAMS"
"TID_STREAM_EVENT_1","Bye! <target> has been kicked out of the Club by <sender>"
"TID_STREAM_EVENT_2","Welcome! <target> was accepted to the Club by <sender>"
"TID_STREAM_EVENT_3","Welcome! <sender> joined the Club!"
"TID_STREAM_EVENT_4","Bye! <sender> has left the Club!"
"TID_STREAM_EVENT_5","Congratulations! <target> was promoted by <sender>"
"TID_STREAM_EVENT_6","Nothing personal! <target> was demoted by <sender>"
"TID_STREAM_EVENT_101","Team created by <sender>"
"TID_STREAM_EVENT_102","Player <sender> joined"
"TID_STREAM_EVENT_103","Player <sender> left"
"TID_STREAM_EVENT_104","Bye! <sender> kicked <target>"
"TID_STREAM_EVENT_105","matchmake started"
"TID_STREAM_EVENT_106","matchmake cancelled"
"TID_STREAM_EVENT_107","game started"
"TID_STREAM_EVENT_108","game won"
"TID_STREAM_EVENT_109","game lost"
"TID_STREAM_EVENT_110","practice started"
"TID_STREAM_EVENT_111","practice ended"
"TID_STREAM_EVENT_112","game draw"
"TID_STREAM_EVENT_113","showdown ended"
"TID_STREAM_EVENT_114","Text chat muted"
"TID_STREAM_EVENT_115","Text chat unmuted"
"TID_CHAT_BOTTOM_BUTTON","Scroll down"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> new messages!"
"TID_CHAT_BOTTOM_NEW_MESSAGE","New message!"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","Upgrade to lvl <LVL>"
"TID_HERO_INFO_ITEMS","UPGRADES"
"TID_HERO_INFO_SKINS","BRAWLER"
"TID_HERO_INFO_SKIN_OWNED","You own this skin"
"TID_HERO_INFO_SKIN_ACTIVE","SELECTED"
"TID_HERO_INFO_SKIN_ACTIVATE","SELECT"
"TID_HERO_INFO_LEADERBOARD","Leaderboard"
"TID_HERO_INFO_LEADERBOARD_LABEL","Best <HERO> players"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","SEARCH"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","Drag to aim the Super!"
"TID_HINT_SHOOT","Drag to aim, release to fire"
"TID_HERO_SCORE_SUM_LEADERBOARD","Best players"
"TID_ALLIANCE_LEADERBOARD","Best Clubs"
"TID_HINT_MAKE_GOAL","Drag to aim, release to kick the Ball"
"TID_BATTLE_ROYALE_INTRO_TEXT","Be the sole survivor!"
"TID_HINT_COLLECT_BUFFS","Collect <c50d050>Power Cubes</c> from crates and\nenemies to grow stronger!"
"TID_PLAYERS_LEFT","Brawlers left: <num>"
"TID_AVOID_POISON","Stay clear of the advancing <c90ee90>poison clouds</c>!"
"TID_CLAN_CREATE_COOLDOWN","Cannot create a Club yet. Try again in <TIME>"
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","You need to reach experience level <LEVEL> to create a Club"
"TID_PLAYER_DATA_MISSING","Player data missing"
"TID_ALLIANCE_DATA_MISSING","Club data missing"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","Wait for ammo to recharge!"
"TID_EVENT_EXPIRED","Event expired"
"TID_DOUBLE_COINS_INFO","Battling here gives you double Tokens"
"TID_DOUBLE_XP_INFO","Battling here gives you double experience"
"TID_SETTINGS_TITLE","SETTINGS"
"TID_SETTINGS_CONTROL_MODE_TITLE","CONTROL MODE"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","Tap to move"
"TID_SETTINGS_CONTROL_MODE_INFO_0","Tap the screen to make your Brawler move there. Drag to aim and release to shoot."
"TID_SETTINGS_CONTROL_MODE_VALUE_1","Joystick Move (Right Handed)"
"TID_SETTINGS_CONTROL_MODE_INFO_1","Move with a virtual joystick in the bottom left corner. Tap at a target to shoot."
"TID_SETTINGS_CONTROL_MODE_VALUE_2","Joystick Move (Left Handed)"
"TID_SETTINGS_CONTROL_MODE_INFO_2","Move with a virtual joystick in the bottom right corner. Tap at a target to shoot."
"TID_CHANGE_NAME_TITLE","CHANGE NAME"
"TID_SETTINGS_PLAYERNAME_CURRENT","Current Name:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Enter new name:"
"TID_ERROR_NAMES_DONT_MATCH","Names don't match. Please try again."
"TID_CONTINUE","Continue"
"TID_NAMECHANGE_WARNING","NOTE: You can only change your name ONCE"
"TID_CONFIRM","Confirm"
"TID_INVALID_NAME","Invalid name! Please try another one."
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Re-enter your new name:"
"TID_NAME_ALREADY_CHANGED","Name can only be changed once."
"TID_NAME_CHANGE_ALREADY_USED","You have already changed your name once"
"TID_NAME_CHANGED_SUCCESS","Your name was changed!"
"TID_NAME_CHANGE_IN_PROGRESS","Can't change name. Previous name change is in progress."
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","Name change is available starting from experience level <level>"
"TID_CONFIRM_CONFIRM","Please type in \q<confirmword>\q and press the Okay button to complete the action"
"TID_CONFIRM_WORD","CONFIRM"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Are you sure you want to change your name?\nYour new name will be:"
"TID_BUTTON_CONFIRM","Okay"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","Next event in"
"TID_EVENTS_TIME_LEFT","Time left"
"TID_EVENTS_NEW","NEW!"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","All experience collected"
"TID_EVENTS_EVENT_LOCKED","LOCKED"
"TID_EVENTS_TROPHY_REQ","Reach <c00ffff><COUNT></c> total Trophies to unlock"
"TID_EVENTS_PRO_LEAGUE_REQ","Get a Star Power for a Brawler to unlock"
"TID_GAME_STARTING","A game is starting at <LOCATION>. Please join!"
"TID_WEEKEND_EVENT","Double experience event"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","Shop is temporarily closed"
"TID_GATCHA_TEMPORARILY_DISABLED","Opening Brawl Boxes is temporarily disabled"
"TID_SHOP_WELCOME_TITLE","WELCOME TO THE SHOP"
"TID_SHOP_WELCOME","New sections of the shop will open up as you progress in the game!\n\nBe sure to check back regularly for new deals!"
"TID_SHOP_SPECIAL_OFFER","SPECIAL OFFER"
"TID_SHOP_COIN_BOOSTERS","BOOSTERS"
"TID_SHOP_GEM_PACKS","GEM PACKS"
"TID_SHOP_PURCHASED","Purchased"
"TID_SHOP_OBTAINED","Obtained"
"TID_SHOP_INVALIDATED","Expired"
"TID_SHOP_ACTIVE","Active"
"TID_SHOP_DOUBLE_COINS_TITLE","TOKEN DOUBLER"
"TID_SHOP_DOUBLE_COINS_INFO","Doubles the next"
"TID_SHOP_DOUBLE_COINS_INFO_2","you earn from Battles"
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","Doubles the next <AMOUNT> Tokens you earn from Battles"
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","Tokens remaining:"
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","Not enough Gems"
"TID_SHOP_OFFER_PURCHASE_ERROR_3","This offer has already been purchased"
"TID_SHOP_OFFER_PURCHASE_ERROR_4","Cannot purchase this offer. You already have one or more items of this offer"
"TID_SHOP_OFFER_TITLE","Time Limited Offer"
"TID_SHOP_GEM_PACK_1_TITLE","Fistful of Gems"
"TID_SHOP_GEM_PACK_2_TITLE","Pouch of Gems"
"TID_SHOP_GEM_PACK_3_TITLE","Satchel of Gems"
"TID_SHOP_GEM_PACK_4_TITLE","Bucket of Gems"
"TID_SHOP_GEM_PACK_5_TITLE","Crate of Gems"
"TID_SHOP_GEM_PACK_6_TITLE","Haul of Gems"
"TID_SHOP_HEROES_OF_RARITY","GUARANTEED BRAWLERS"
"TID_SHOP_HERO_OF_RARITY_TITLE","<c<COLOR>><NAME></c> BRAWLER"
"TID_SHOP_HERO_OF_RARITY_BOX","Brawler Box"
"TID_SHOP_HERO_POWER_TITLE","<cffffff>+<AMOUNT></c> POWER"
"TID_SHOP_GATCHA_BOXES","BOXES"
"TID_SHOP_GATCHA_BOX_1","BIG BOX"
"TID_SHOP_GATCHA_BOX_2","BRAWL BOX"
"TID_SHOP_GATCHA_BOX_3","MEGA BOX"
"TID_SHOP_GATCHA_BOX_PURCHASE_ERROR_3","Cannot purchase any more boxes today"
"TID_SHOP_TICKETS","EVENT TICKETS"
"TID_SHOP_TICKET_PACK_0","Pack of Tickets"
"TID_SHOP_TICKET_PACK_1","Pile of Tickets"
"TID_SHOP_TICKET_PACK_2","Roll of Tickets"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACKS","COIN PACKS"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_0","Fistful of Coins"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1","Pouch of Coins"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2","Bag of Coins"
"TID_HERO_LVL_MATERIAL_RECEIVED","<AMOUNT> Coins purchased"
"TID_SHOP_DAILY_OFFERS","DAILY DEALS"
