"TID","FR"
"TID_TEAM_GATCHA_BLOCKED","Vous ne pouvez pas ouvrir une boîte une fois prêt !"
"TID_TEAM_NO_MEMBER_INFO","Invitation d'équipe disponible uniquement pour le créateur"
"TID_TEAM_INFO_TEAM_CODE","Partagez le code avec vos amis pour les inviter à rejoindre votre équipe !\n\nTouchez encore une fois pour copier dans le presse-papiers."
"TID_FREEZER","Congélateur"
"TID_GAME_OVER","Match terminé"
"TID_LEVEL","niv. <LVL>"
"TID_PLAYERS_IN_MM","Des joueurs recherchent des adversaires !"
"TID_ONLINE_INFO","Joueurs en ligne : <ONLINE> recherchant des adversaires : <MATCHMAKE> dans un combat : <BATTLES>"
"TID_INPUT_NAME","Tapez votre nom ici."
"TID_LEADERBOARD_YOUR_SCORE","Votre score"
"TID_LEADERBOARD_YOUR_RANK","Votre rang"
"TID_LEADERBOARD_HIGHEST_SCORE","Votre meilleur score"
"TID_LEADERBOARD_LOCAL","RÉGION (<COUNTRY>)"
"TID_REGION_0","MONDIAL"
"TID_REGION_1","ASIE"
"TID_SET_REGION_RESULT_0","Votre nouvelle région : <REGION>"
"TID_SET_REGION_RESULT_1","Changement de région impossible tant que vous êtes dans un club."
"TID_SET_REGION_RESULT_2","Changement de région impossible tant que vous êtes dans une équipe."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Attrape-cristal"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Récupérez et gardez 10 gemmes."
"TID_BATTLE_END_MY_TEAM","Votre équipe"
"TID_BATTLE_END_ENEMY_TEAM","Équipe adverse"
"TID_BACK","RETOUR"
"TID_NOT_ENOUGH_GOLD","Pas assez de pièces, ouvrez des boîtes Brawl pour en obtenir."
"TID_UNLOCK_SKIN_ERROR_1","Pas assez de gemmes"
"TID_EXPERIENCE_LEVEL","Niveau d'expérience"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Acheter brawler"
"TID_CRAFT_HERO_BUTTON_LABEL","Acheter"
"TID_UNLOCK_SKIN_TITLE","Acheter skin"
"TID_SKIN_COMING_SOON","Skin pas encore disponible"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Acheter"
"TID_HERO_LIST_TOTAL_TROPHIES","Total de trophées"
"TID_TOP_TOOL_TIP_1","Les <c00ccff>jetons</c> servent à ouvrir les boîtes Brawl.\n\nGagnez des jetons grâce aux nouveaux événements et aux combats."
"TID_TOP_TOOL_TIP_3","Les <c0ed12d>gemmes</c> servent à acheter des boîtes, des skins et autres dans le magasin.\n\nGagnez des gemmes dans les boîtes Brawl ou achetez-les avec de l'argent réel."
"TID_TOP_TOOL_TIP_2","Les <cff8E1b>pièces</c> servent à améliorer vos brawlers.\n\nVous trouverez des pièces dans les boîtes Brawl."
"TID_TOP_TOOL_TIP_4","Grâce aux <cff0000>tickets d'événement</c>, vous pouvez participer aux événements à ticket."
"TID_TOP_TOOL_TIP_5","Vous pouvez utiliser les <cff00ff>points star</c> pour acheter des objets exclusifs en magasin.\n\nRecevez des points star grâce aux récompenses de fin de saison ou lorsqu'un brawler atteint le rang 10, puis tous les 5 rangs après cela."
"TID_GAME_MODE_0","RAZZIA DE GEMMES"
"TID_GAME_MODE_0_DESC","Récupérez les gemmes jaillissant de la mine au milieu de la carte, ou celles perdues par les ennemis tombés au combat ! Protégez dix gemmes jusqu'à la fin du compte à rebours pour gagner."
"TID_GAME_MODE_2","BRAQUAGE"
"TID_GAME_MODE_2_DESC","Protégez votre coffre-fort tout en essayant de forcer celui de vos adversaires. La première équipe à forcer le coffre de l'autre l'emporte !\n\nSi le temps est écoulé sans qu'une équipe n'ait pris le dessus, celle ayant infligé le plus de dégâts au coffre ennemi gagne."
"TID_GAME_MODE_3","PRIME"
"TID_GAME_MODE_3_DESC","Récupérez des étoiles en éliminant vos adversaires. À chaque ennemi vaincu, la prime sur votre tête monte d'une étoile et ce, jusqu'à sept. Ne les donnez pas à l'ennemi !\n\nL'équipe ayant gagné le plus d'étoiles à la fin du temps imparti remporte la victoire."
"TID_GAME_MODE_6","SURVIVANT SOLO"
"TID_GAME_MODE_6_COMBINED","SURVIVANT"
"TID_GAME_MODE_6_DESC","Éliminez les neuf autres joueurs et soyez le seul survivant. Tous est permis : vous n'avez qu'une vie..."
"TID_GAME_MODE_6_DESC_COMBINED","Éliminez tout le monde et soyez le seul survivant. Jouez seul ou en équipe de deux."
"TID_GAME_MODE_5","BRAWLBALL"
"TID_GAME_MODE_5_DESC","Utilisez le ballon pour marquer un but contre l'équipe adverse. Le match se termine dès qu'une équipe a marqué deux buts, ou une fois le temps écoulé."
"TID_GAME_MODE_3_OG","CHASSE OUVERTE"
"TID_GAME_MODE_3_OG_DESC","Récupérez des étoiles en éliminant vos adversaires. À chaque ennemi vaincu, la prime sur votre tête monte d'une étoile et ce, jusqu'à sept. Ne les donnez pas à l'ennemi !\n\nL'équipe ayant gagné le plus d'étoiles à la fin du temps imparti remporte la victoire."
"TID_GAME_MODE_11","SIÈGE"
"TID_GAME_MODE_11_DESC","Assiégez et détruisez la tourelle d'assemblage IKE adverse. Votre équipe a aussi une IKE : donnez-lui des boulons pour construire un robot de siège. Les boulons apparaissent au hasard sur la carte. Ramassez-en un et protégez-le jusqu'à ce que votre IKE le récupère.\n\nIl y a jusqu'à trois sièges au cours d'un combat. L'équipe avec le plus de boulons au début du siège construit un robot. Plus vous avez de boulons, plus votre robot est fort.\nAttention, les tourelles IKE ont des défenses très puissantes, alors ne vous approchez pas sans robot de siège pour vous aider."
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Jeton star"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Rang supérieur"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Niv. sup."
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Victoire"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Défaite"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Égalité"
"TID_BATTLE_END_GAIN_LABEL_MVP","Joueur star"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Score de rang"
"TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL","Récompense de temps"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Jetons restants :"
"TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS","Récompense de temps"
"TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM","Récompense de temps"
"TID_BATTLE_END_COIN_REWARDS","RÉCOMPENSE : JETONS"
"TID_BATTLE_END_MVP","JOUEUR STAR"
"TID_BATTLE_END_DEFEAT_INFO","Vous gagnerez une prochaine fois !"
"TID_TUTORIAL_1","Salut, moi, c'est Shelly ! On va récupérer ces <ce662f9>gemmes</c> ! <c0066ff>Faites bouger</c> le <c0066ff>joystick bleu</c> avec votre pouce gauche pour me déplacer."
"TID_TUTORIAL_2","Récupérez-les toutes ! Ces <ce662f9>gemmes</c> sont à moi !"
"TID_TUTORIAL_3","Des robots cibles ! <ccc0033>Faites bouger</c> le <ccc0033>joystick rouge</c> avec votre pouce droit pour viser, et relâchez pour tirer. Détruisez les robots !"
"TID_TUTORIAL_GOOD_JOB_1","Bien joué !"
"TID_TUTORIAL_5","Encore des cibles ! Vous pouvez <ccc0033>toucher</c> le <ccc0033>joystick rouge</c> pour tirer sur l'ennemi le plus proche. Détruisez les robots !"
"TID_TUTORIAL_6","Maintenant, utilisez votre super pour tirer sur le boss derrière le mur. <cff9900>Faites bouger</c> le <cff9900>joystick jaune</c> pour viser et relâchez pour tirer avec votre super."
"TID_TUTORIAL_555","Ouais, continuez !"
"TID_TUTORIAL_7","Bien joué ! On a les <ce662f9>gemmes</c>. Direction la sortie !"
"TID_TUTORIAL_8","Votre super se charge à chaque fois que vous touchez un ennemi. Utilisez le <cff9900>joystick jaune</c> pour tirer avec !"
"TID_TUTORIAL_9","Vous êtes un brawler-né !\n\nMaintenant, à l'attaque !"
"TID_TUTORIAL_10","Attaquer des cibles charge la jauge de votre super pouvoir. Le mien est prêt !\nAppuyez dessus pour voir !"
"TID_TUTORIAL_11","Les <cff6633>barres orange</c> représentent vos munitions. Je rechargerai aussi vite que je peux !"
"TID_FIGHT_TUTORIAL","JOUER"
"TID_HERO_SCORE_INFO","Récupérez des trophées pour ce brawler en gagnant contre d'autres joueurs.\n\nAtteignez <PROGRESS> trophées pour passer au rang supérieur et gagner <COINS> jetons."
"TID_HERO_SCORE_INFO_LEG_TROS","Récupérez des trophées pour ce brawler en gagnant contre d'autres joueurs.\n\nAtteignez <PROGRESS> trophées pour passer au rang supérieur, gagner <COINS> jetons et <cff00ff><LEGTROS> points star</c>."
"TID_HERO_SCORE_INFO_MAXED","Vous avez atteint le rang ultime.\n\n"
"TID_XP_INFO_ME","Votre niveau d'expérience.\n\nAccumulez de l'expérience en combattant. Obtenez encore <REMPROGRESS> points d'expérience pour atteindre le niveau <LEVEL> et gagner <COINS> jetons."
"TID_XP_INFO_OTHER","Niveau d'expérience du joueur"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","Jouez un match d'entraînement pour débloquer le reste du jeu."
"TID_SOCIAL_TAB_CLANS","CLUB"
"TID_SOCIAL_TAB_FRIENDS","AMIS"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>en combat</c> depuis <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>écran de fin de match</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>spectateur</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>entraînement</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>en recherche d'adversaires</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>dans une équipe</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>dans une équipe</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>dans une équipe</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>en combat</c>"
"TID_FRIEND_STATUS_MENUS","dans les menus"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","REJOIGNEZ L'ÉQUIPE"
"TID_ONLINE_FRIENDS_POPUP_TITLE","JOUEURS EN LIGNE"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Aucun ami ou membre du club en ligne"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Aucun ami ou membre du club à inviter. Vous avez combattu avec un super joueur ? Ajoutez-le !"
"TID_CLAN_CREATE_BUTTON","CRÉER"
"TID_CLAN_SAVE_BUTTON","ENREGISTRER"
"TID_CLAN_CREATE_TITLE","CRÉER UN NOUVEAU CLUB"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","En ligne : <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","il y a moins d'1 h"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","En ligne : <cf7f7f7>il y a <HOURS> h</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","En ligne : <cf7f7f7>il y a <DAYS> j</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","En ligne : <cf7f7f7>>il y a 1 mois</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>EN COMBAT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>RECHERCHE</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>SPECTATEUR</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>ENTRAÎNEMENT</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>DANS LES MENUS</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> membres en ligne"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> membre en ligne"
"TID_ALLIANCE_TYPE_OPEN","Ouvert"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Sur invitation"
"TID_ALLIANCE_TYPE_CLOSED","Fermé"
"TID_CLAN_SEARCH_TITLE","CHERCHER DES CLUBS"
"TID_CLAN_INTRO_AD_TITLE","VOUS CHERCHEZ UN CLUB ?"
"TID_CLAN_INTRO_AD_DESC","Rejoignez un club pour chatter avec d'autres joueurs !"
"TID_CLAN_INTRO_CREATE_GO","CRÉER UN CLUB"
"TID_CLAN_INTRO_SEARCH_GO","CHERCHER DES CLUBS"
"TID_CLAN_INTRO_REFRESH","ACTUALISER"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Il vous faut <REQ> trophées pour rejoindre ce club. Vous n'avez que <SCORE> trophées."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Ce club est fermé."
"TID_STREAM_ENTRY_AGE","il y a <time>"
"TID_ALLIANCE_ROLE_LEADER","Président"
"TID_ALLIANCE_ROLE_CO_LEADER","Vice-président"
"TID_ALLIANCE_ROLE_MEMBER","Membre"
"TID_ALLIANCE_ROLE_ELDER","Sénior"
"TID_STREAM_SENDER_YOU","Vous"
"TID_GOLDRUSH_1","Mine hard-rock"
"TID_BANKHEIST_1","Cache du bandit"
"TID_WANTED_1","Ruines du temple"
"TID_BATTLE_ROYALE_1","Crique du crâne"
"TID_GOLDRUSH_2","Arcade cristalline"
"TID_BANKHEIST_2","Canyon boum-boum"
"TID_WANTED_2","Camp de hors-la-loi"
"TID_BATTLE_ROYALE_2","Terre brûlée"
"TID_GOLDRUSH_3","Grotte vénéneuse"
"TID_BANKHEIST_3","Zone sécurisée"
"TID_WANTED_3","Fort de pierre"
"TID_BATTLE_ROYALE_3","Brawl n' roll"
"TID_WANTED_4","Piège vénéneux"
"TID_GOLDRUSH_4","Fort de pierre"
"TID_WANTED_5","Clairière de cristal"
"TID_GOLDRUSH_5","Tunnel de mine"
"TID_WANTED_6","Prairie aux serpents"
"TID_WANTED_7","Étoile filante"
"TID_GOLDRUSH_6","Au bon resto"
"TID_GOLDRUSH_7","Espace tranquille"
"TID_BATTLE_ROYALE_4","Famine ou festin"
"TID_WANTED_8","Cachette secrète"
"TID_BANKHEIST_4","G.G. Corral"
"TID_CLAN_MEMBERS_ONLINE","Membres en ligne : <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Trophées du club"
"TID_CLAN_SEARCH_OK","RECHERCHE"
"TID_CLAN_INFO_NAME","NOM DU CLUB"
"TID_CLAN_INFO_BADGE","BADGE"
"TID_CLAN_INFO_DESC","DESCRIPTION"
"TID_CLAN_INFO_TOTAL_TROPHIES","TROPHÉES DU CLUB"
"TID_CLAN_INFO_TYPE","TYPE"
"TID_CLAN_INFO_TAG","IDENTIFIANT"
"TID_CLAN_INFO_MIN_TROPHIES","TROPHÉES REQUIS"
"TID_CLAN_INFO_LEAVE","QUITTER"
"TID_CLAN_INFO_SETTINGS","PARAMÈTRES"
"TID_CLAN_INFO_JOIN","REJOINDRE"
"TID_CLAN_INFO_MESSAGE","Message"
"TID_CLAN_INFO_REQUEST_JOIN","Demander à rejoindre"
"TID_CLAN_SEARCH_NO_RESULTS","Aucun club trouvé"
"TID_CLAN_SEARCH_INITIAL","Aucune recherche effectuée"
"TID_CLAN_INFO_MEMBERS","Membres"
"TID_CLAN_INFO_SELECT_BADGE","PARCOURIR"
"TID_SELECT_BADGE","CHOISIR UN BADGE"
"TID_ALLIANCE_CREATE_OK","Club créé avec succès"
"TID_CLAN_CHANGE_SETTINGS_TITLE","PARAMÈTRES DU CLUB"
"TID_TITLE_ALLIANCE","Infos du club"
"TID_ALLIANCE_LEFT","Vous avez quitté le club."
"TID_CLAN_MEMBER_DEMOTE","Rétrograder"
"TID_CLAN_MEMBER_PROMOTE","Promouvoir"
"TID_CLAN_MEMBER_KICK","Exclure"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Voir club"
"TID_BUTTON_INVITE","INVITER"
"TID_PLAYER_INFO_GOTO_CLAN","Voir club"
"TID_SELECT_PLAYER_THUMBNAIL","Sélectionner avatar"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Cet avatar sera débloqué au niveau <LEVEL>."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Cet avatar sera débloqué avec <TROPHIES> trophées."
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> victoires"
"TID_PLAYER_INFO_TAB_1","STATISTIQUES"
"TID_PLAYER_INFO_TAB_2","BRAWLERS (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","VICTOIRES 3c3"
"TID_PLAYER_STAT_4","MEILLEUR SCORE DE TROPHÉES"
"TID_PLAYER_STAT_8","VICTOIRES EN SOLO"
"TID_PLAYER_STAT_10","MEILLEUR TEMPS - BRAWLEUR GÉANT"
"TID_PLAYER_STAT_9","MEILLEUR TEMPS - ROBOTS À GOGO"
"TID_PLAYER_STAT_11","VICTOIRES EN DUO"
"TID_PLAYER_STAT_12","MEILLEUR NIVEAU - COMBAT DE BOSS"
"TID_PLAYER_STAT_13","MEILLEUR SCORE - MARATHON STAR"
"TID_PLAYER_STAT_14","RANG MARATHON STAR LE PLUS ÉLEVÉ"
"TID_PLAYER_STAT_15","RECORD DE VICTOIRES EN DÉFI"
"TID_NO_CLAN","Pas dans un club"
"TID_ULTIMATE_NOT_READY","Infligez des dégâts aux ennemis pour charger votre super pouvoir."
"TID_CANT_ACTIVATE_ULTI","Le super ne peut pas être activé si vous avez perdu."
"TID_NAME_TOO_SHORT","Ce nom est trop court."
"TID_ALLIANCE_JOINED","Club rejoint"
"TID_COIN_RUSH_INTRO_TEXT","Récupérez 10 gemmes pour gagner."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Battez des brawlers pour gagner des étoiles."
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Forcez le coffre ennemi."
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Forcez le coffre ennemi."
"TID_GO","COMBATTEZ !"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","CONFIRMER"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n\nVoulez-vous vraiment quitter ce club ?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","QUITTER"
"TID_ALLIANCE_PROMOTE_TITLE","Confirmer promotion"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Voulez-vous vraiment promouvoir <NAME> au rôle de : <ROLE> ?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promouvoir"
"TID_ALLIANCE_KICK_TITLE","Confirmer exclusion"
"TID_ALLIANCE_KICK_CONFIRMATION","Êtes-vous sûr de vouloir exclure <NAME> du club ?"
"TID_ALLIANCE_KICK_BUTTON","Exclure"
"TID_ALLIANCE_DEMOTE_TITLE","Confirmer rétrogradation"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Voulez-vous vraiment rétrograder <NAME> au rang de : <ROLE> ?"
"TID_ALLIANCE_DEMOTE_BUTTON","Rétrograder"
"TID_CLAN_RESPONSE_10","Paramètres sauvegardés"
"TID_CLAN_RESPONSE_20","Club créé"
"TID_CLAN_RESPONSE_21","Échec de création du club. Veuillez réessayer plus tard."
"TID_CLAN_RESPONSE_22","Nom refusé"
"TID_CLAN_RESPONSE_23","Description refusée"
"TID_CLAN_RESPONSE_24","Nom trop court"
"TID_CLAN_RESPONSE_40","Club rejoint"
"TID_CLAN_RESPONSE_42","Échec : club déjà plein."
"TID_CLAN_RESPONSE_43","Échec : club fermé."
"TID_CLAN_RESPONSE_45","Échec : vous n'avez pas assez de trophées pour rejoindre ce club."
"TID_CLAN_RESPONSE_46","Échec : vous êtes banni(e) de ce club à cause d'une exclusion précédente/demande rejetée."
"TID_CLAN_RESPONSE_47","Échec : vous avez déjà essayé de rejoindre trop de clubs aujourd'hui."
"TID_CLAN_RESPONSE_48","Échec : vous ne pouvez pas rejoindre un club d'une autre région."
"TID_CLAN_RESPONSE_50","Demande envoyée"
"TID_CLAN_RESPONSE_51","Échec de l'envoi : ce club n'accepte plus les demandes."
"TID_CLAN_RESPONSE_52","Échec de l'envoi : vous avez déjà une demande en attente pour ce club."
"TID_CLAN_RESPONSE_53","Échec de l'envoi : vous n'avez pas assez de trophées pour rejoindre ce club."
"TID_CLAN_RESPONSE_54","Échec de la demande : vous êtes banni(e) de ce club à cause d'une exclusion précédente/demande rejetée."
"TID_CLAN_RESPONSE_55","Échec de la demande : vous ne pouvez pas rejoindre un club d'une autre région."
"TID_CLAN_RESPONSE_56","Échec : ce club n'est pas en mode Familial."
"TID_CLAN_RESPONSE_70","Exclusion confirmée"
"TID_CLAN_RESPONSE_80","Vous avez quitté le club."
"TID_CLAN_RESPONSE_81","Promotion confirmée"
"TID_CLAN_RESPONSE_82","Rétrogradation confirmée"
"TID_CLAN_RESPONSE_90","Acceptation confirmée"
"TID_CLAN_RESPONSE_91","Refus confirmé"
"TID_CLAN_RESPONSE_92","Échec : le joueur est déjà dans un club."
"TID_CLAN_RESPONSE_93","Échec : impossible de trouver la demande."
"TID_CLAN_RESPONSE_94","Échec : demande déjà traitée."
"TID_CLAN_RESPONSE_95","Échec : pas de droits."
"TID_CLAN_RESPONSE_96","Échec : ce joueur a été banni du club."
"TID_CLAN_RESPONSE_100","Vous avez été exclu(e) d'un club."
"TID_CLAN_RESPONSE_101","Vous avez été promu(e)."
"TID_CLAN_RESPONSE_102","Vous avez été rétrogradé(e)."
"TID_CLAN_RESPONSE_112","Vous devez patienter <TIME> avant d'envoyer un nouveau club-mail."
"TID_CLAN_RESPONSE_113","Envoi du club-mail réussi."
"TID_CLAN_NO_RIGHTS","Vous n'avez pas les droits pour effectuer cette action."
"TID_ALLIANCE_NAME_TOO_SHORT","Nom de club trop court"
"TID_CLAN_JOIN_REQUEST_TITLE","Demander à devenir membre du club"
"TID_CLAN_JOIN_REQUEST_SEND","Envoyer"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","J'aimerais rejoindre votre club..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Accepter ce joueur dans votre club ?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accepter"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Refuser"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Accepté(e) par <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Refusé(e) par <name>"
"TID_HINT_DRAG_TO_AIM","Faites glisser votre doigt pour viser."
"TID_HINT_RELEASE_TO_SHOOT","Relâchez pour tirer."
"TID_HINT_ACTIVATE_ULTI","Faites glisser le <cff9900>joystick jaune</c> pour viser avec votre super."
"TID_HINT_DRAG_TO_ULTI","Faites glisser votre doigt pour viser avec le super, relâchez pour tirer."
"TID_HINT_COLLECT_GOLD","Les brawlers perdent leurs <ce662f9>gemmes</c> s'ils sont éliminés."
"TID_HINT_HOLD_GOLD","Protégez vos <ce662f9>gemmes</c> !"
"TID_HINT_GO_AFTER_ENEMY","Attaquez l'ennemi !"
"TID_HINT_ATTACK_BASE","Tirez sur le coffre ennemi et protégez le vôtre."
"TID_HINT_DEFEND_BASE","Tirez sur le coffre ennemi et protégez le vôtre."
"TID_HINT_SHOOT_ENEMIES","Battez vos ennemis pour gagner des étoiles."
"TID_HINT_YOU_ARE_WINNING","Votre équipe va gagner. N'oubliez pas de défendre !"
"TID_HINT_YOU_ARE_LOSING","Votre équipe va perdre. Il faut attaquer !"
"TID_HINT_TAP_TO_MOVE","Touchez pour vous déplacer.\nRestez avec votre équipe."
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","Attention : la prime sur votre tête grimpe !"
"TID_BOUNTY_3","Attention : la prime sur votre tête est énorme !"
"TID_BOUNTY_4","Mort ou vif !"
"TID_NO_CLAN_TITLE","Trouver un club"
"TID_NO_CLAN_BODY","Vous voulez chatter et jouer avec des gens sympas ? Rejoignez un club !"
"TID_NO_CLAN_SUGGESTIONS","Clubs recommandés"
"TID_NO_CLAN_RESULTS","Résultats de la recherche"
"TID_NO_CLAN_EMPTY","Aucune recommandation de club"
"TID_NO_CLAN_WAITING_FOR_DATA","En attente des données..."
"TID_CONNECTING_TO_SERVER","Connexion au serveur..."
"TID_TEAM_ADVERTISE","PUBLIER"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","au club"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","pour les amis"
"TID_TEAM_AD_INFO_0","Recherche de joueurs pour un jeu d'équipe"
"TID_TEAM_AD_JOIN","Rejoindre l'équipe"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","Vous êtes déjà dans un club."
"TID_TEAM_MEMBER_STATUS_0","<c999999>HORS LIGNE</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>EN COMBAT</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>ABSENT</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>PAS PRÊT</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>RECHERCHE</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>ÉCRAN DE FIN DE COMBAT</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>HORS LIGNE</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>SPECTATEUR</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>ENTRAÎNEMENT</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>ÉCRIT...</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>BRAWLERS</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>ÉVÉNEMENTS</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>PRÊT</c>"
"TID_TEAM_STATUS_IN_MATCH","EN COMBAT"
"TID_TEAM_STATUS_IN_MATCHMAKING","RECHERCHE D'ADVERSAIRES"
"TID_TEAM_STATUS_FULL","<cff1e00>COMPLET</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","OUVERT"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","Vous devez être dans un club pour utiliser cette fonctionnalité."
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","Vous devez avoir des amis pour utiliser cette fonctionnalité."
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Impossible de publier. Votre équipe est au complet."
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","Autorisé uniquement pour les créateurs d'équipes"
"TID_TEAM_LOC_INFO","<MODE> : <LOC>"
"TID_TEAM_DISPLAY_TITLE_EVENT","ÉQUIPES"
"TID_STREAM_EVENT_1","Oh ! <sender> a exclu <target> du club."
"TID_STREAM_EVENT_2","Bienvenue ! <sender> a accepté <target> dans le club."
