"TID","KR"
"TID_TUTORIAL_2","전부 모아야 해요!\n<ce662f9>보석</c>은 다 내꺼!"
"TID_TUTORIAL_3","오른쪽 엄지손가락으로\n<ccc0033>빨간색 조이스틱</c>을 <ccc0033>드래그</c>해서\n대상을 조준한 후 놓으면서 쏘세요!\n로봇들을 파괴해 보자고요!"
"TID_TUTORIAL_GOOD_JOB_1","잘했어요!"
"TID_TUTORIAL_5","더 공격해보세요!\n<ccc0033>빨간색 조이스틱</c>을 <ccc0033>탭</c>해서\n근거리에 있는 대상을 공격하세요!\n로봇들을 파괴해 보자고요!"
"TID_TUTORIAL_6","이제 특수 공격을 사용해\n벽 뒤에있는 보스를 파괴하세요!\n<cff9900>노란색 조이스틱</c>을 <cff9900>드래그</c>해서\n조준한 후 공격하세요!"
"TID_TUTORIAL_555","잘했어요! 계속하세요!"
"TID_TUTORIAL_7","잘했어요! <ce662f9>보석</c>을 모두 획득했어요! 이제 나가 볼까요?"
"TID_TUTORIAL_8","적을 공격하면 특수 공격이 충전됩니다. <cff9900>노란색 조이스틱</c>을 사용해서 특수 공격으로 적을 처치하세요!"
"TID_TUTORIAL_9","재능을 타고났군요!\n\n이제 한바탕 날뛰어볼까요?"
"TID_TUTORIAL_10","적을 공격하면 특수 공격이 충전됩니다. 지금 특수 공격이 준비되었어요!\n특수 공격 버튼을 탭하세요!"
"TID_TUTORIAL_11","<cff6633>주황색 바</c>는 남은 탄환입니다. 최대한 빨리 재장전할게요!"
"TID_FIGHT_TUTORIAL","플레이"
"TID_HERO_SCORE_INFO","다른 플레이어를 상대로 게임에서 승리해 해당 브롤러의 트로피를 모으세요.\n\n트로피 <PROGRESS>개를 모으면 랭크가 오르며 토큰 <COINS>개를 획득합니다."
"TID_HERO_SCORE_INFO_LEG_TROS","다른 플레이어를 상대로 게임에서 승리해 해당 브롤러의 트로피를 모으세요.\n\n트로피 <PROGRESS>개를 모으면 랭크가 오르며 토큰 <COINS>개와 <cff00ff>스타 포인트 <LEGTROS>점</c>을 획득합니다."
"TID_HERO_SCORE_INFO_MAXED","최종 랭크를 달성했습니다!\n\n"
"TID_XP_INFO_ME","내 XP 레벨입니다.\n\n전투에서 XP를 모으세요. XP <REMPROGRESS>점을 더 모으면 <LEVEL>레벨에 도달하고 토큰 <COINS>개를 얻을 수 있습니다."
"TID_XP_INFO_OTHER","플레이어의 XP 레벨"
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","연습 게임을 플레이하고 전체 게임을 잠금 해제하세요!"
"TID_SOCIAL_TAB_CLANS","클럽"
"TID_SOCIAL_TAB_FRIENDS","친구"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<TIME> 동안 <cffffff>전투 중</c>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>전투 결과 화면</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>관전 중</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>연습 중</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>매치메이킹 중</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>팀 참가 중</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>팀 참가 중</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>팀 참가 중</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>전투 중</c>"
"TID_FRIEND_STATUS_MENUS","메뉴 화면"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","팀 구성!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","온라인 플레이어"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","온라인 상태인 친구나 클럽 멤버가 없습니다."
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","초대할 수 있는 친구나 클럽 멤버가 없습니다. 마음에 드는 플레이어와 함께 전투한 적이 있나요? 친구로 추가하세요!"
"TID_CLAN_CREATE_BUTTON","생성"
"TID_CLAN_SAVE_BUTTON","저장"
"TID_CLAN_CREATE_TITLE","신규 클럽 생성"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","마지막 접속: <cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","1시간 미만 전"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","마지막 접속: <cf7f7f7><HOURS>시간 전</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","마지막 접속: <cf7f7f7><DAYS>일 전</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","마지막 접속: <cf7f7f7>1달 이상 전</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>전투 중</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>메뉴 화면</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>메뉴 화면</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>매치메이킹</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>메뉴 화면</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>관전 중</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>연습 중</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>메뉴 화면</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>메뉴 화면</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>메뉴 화면</c>"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","온라인 멤버 <COUNT>명"
"TID_CLAN_ENTRY_ONLINE_MEMBER","온라인 멤버 <COUNT>명"
"TID_ALLIANCE_TYPE_OPEN","공개"
"TID_ALLIANCE_TYPE_INVITE_ONLY","초대 한정"
"TID_ALLIANCE_TYPE_CLOSED","비공개"
"TID_CLAN_SEARCH_TITLE","클럽 검색"
"TID_CLAN_INTRO_AD_TITLE","클럽을 찾는 중이세요?"
"TID_CLAN_INTRO_AD_DESC","\n다른 플레이어들과 함께하세요!"
"TID_CLAN_INTRO_CREATE_GO","클럽 생성"
"TID_CLAN_INTRO_SEARCH_GO","클럽 검색"
"TID_CLAN_INTRO_REFRESH","새로 고침"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","해당 클럽에 가입하려면\n트로피 <REQ>개가 필요합니다!\n내 트로피: <SCORE>개"
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","비공개 클럽입니다."
"TID_STREAM_ENTRY_AGE","<time> 전"
"TID_ALLIANCE_ROLE_LEADER","대표"
"TID_ALLIANCE_ROLE_CO_LEADER","공동 대표"
"TID_ALLIANCE_ROLE_MEMBER","멤버"
"TID_ALLIANCE_ROLE_ELDER","장로"
"TID_STREAM_SENDER_YOU","나"
"TID_GOLDRUSH_1","암석 광산"
"TID_BANKHEIST_1","도적 금고"
"TID_WANTED_1","사원의 폐허"
"TID_BATTLE_ROYALE_1","해골천"
"TID_GOLDRUSH_2","수정 오락실"
"TID_BANKHEIST_2","우당탕 협곡"
"TID_WANTED_2","무법자 캠프"
"TID_BATTLE_ROYALE_2","불타는 돌무덤"
"TID_GOLDRUSH_3","독버섯 동굴"
"TID_BANKHEIST_3","안전지대"
"TID_WANTED_3","바위 요새"
"TID_BATTLE_ROYALE_3","바위 장벽 전투"
"TID_WANTED_4","독버섯 함정"
"TID_GOLDRUSH_4","바위 요새"
"TID_WANTED_5","수정 공터"
"TID_GOLDRUSH_5","흔들 광산"
"TID_WANTED_6","뱀의 초원"
"TID_WANTED_7","별내림 계곡"
"TID_GOLDRUSH_6","지하굴 식당"
"TID_GOLDRUSH_7","조용했던 동네"
"TID_BATTLE_ROYALE_4","모 아니면 도"
"TID_WANTED_8","은신처"
"TID_BANKHEIST_4","G.G. 지대"
"TID_CLAN_MEMBERS_ONLINE","온라인 멤버: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","클럽 트로피"
"TID_CLAN_SEARCH_OK","검색"
"TID_CLAN_INFO_NAME","클럽 이름"
"TID_CLAN_INFO_BADGE","배지"
"TID_CLAN_INFO_DESC","설명"
"TID_CLAN_INFO_TOTAL_TROPHIES","클럽 트로피"
"TID_CLAN_INFO_TYPE","유형"
"TID_CLAN_INFO_TAG","클럽 태그"
"TID_CLAN_INFO_MIN_TROPHIES","트로피 조건"
"TID_CLAN_INFO_LEAVE","탈퇴"
"TID_CLAN_INFO_SETTINGS","설정"
"TID_CLAN_INFO_JOIN","가입"
"TID_CLAN_INFO_MESSAGE","메시지"
"TID_CLAN_INFO_REQUEST_JOIN","가입 요청"
"TID_CLAN_SEARCH_NO_RESULTS","클럽을 찾지 못했습니다."
"TID_CLAN_SEARCH_INITIAL","검색 결과가 없습니다."
"TID_CLAN_INFO_MEMBERS","멤버"
"TID_CLAN_INFO_SELECT_BADGE","검색"
"TID_SELECT_BADGE","배지 선택"
"TID_ALLIANCE_CREATE_OK","클럽을 성공적으로 생성했습니다."
"TID_CLAN_CHANGE_SETTINGS_TITLE","클럽 설정"
"TID_TITLE_ALLIANCE","클럽 정보"
"TID_ALLIANCE_LEFT","클럽을 탈퇴했습니다."
"TID_CLAN_MEMBER_DEMOTE","강등"
"TID_CLAN_MEMBER_PROMOTE","승급"
"TID_CLAN_MEMBER_KICK","추방"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","클럽 보기"
"TID_BUTTON_INVITE","초대"
"TID_PLAYER_INFO_GOTO_CLAN","클럽 보기"
"TID_SELECT_PLAYER_THUMBNAIL","아이콘 선택"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","XP <LEVEL>레벨에서 잠금 해제!"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","총 트로피 <TROPHIES>개 필요!"
"TID_PLAYER_INFO_WINS_AMOUNT","<AMOUNT> 승"
"TID_PLAYER_INFO_TAB_1","통계"
"TID_PLAYER_INFO_TAB_2","브롤러 (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","3 vs 3 승리"
"TID_PLAYER_STAT_4","최대 트로피"
"TID_PLAYER_STAT_8","솔로 승리"
"TID_PLAYER_STAT_10","빅 브롤러 베스트 타임"
"TID_PLAYER_STAT_9","로보 럼블 베스트 타임"
"TID_PLAYER_STAT_11","듀오 승리"
"TID_PLAYER_STAT_12","보스전 최고 레벨"
"TID_PLAYER_STAT_13","파워 플레이 최고 포인트"
"TID_PLAYER_STAT_14","파워 플레이 최고 순위"
"TID_PLAYER_STAT_15","챌린지 최다 승수"
"TID_NO_CLAN","가입한 클럽이 없습니다."
"TID_ULTIMATE_NOT_READY","적을 공격해\n특수 공격을 충전하세요!"
"TID_CANT_ACTIVATE_ULTI","처치되었을 때는 특수 공격을\n사용할 수 없습니다!"
"TID_NAME_TOO_SHORT","이름이 너무 짧습니다."
"TID_ALLIANCE_JOINED","클럽에 가입했습니다."
"TID_COIN_RUSH_INTRO_TEXT","보석 10개를 모아 승리하세요!"
"TID_BOUNTY_HUNTER_INTRO_TEXT","브롤러를 처치하고 별을 모으세요!"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","적의 금고를 부수세요!"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","적의 금고를 부수세요!"
"TID_GO","전투 시작!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","클럽 탈퇴 확인"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\n정말로 클럽을 탈퇴할까요?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","클럽 탈퇴"
"TID_ALLIANCE_PROMOTE_TITLE","승급 확인"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","정말로 <NAME> 님을 <ROLE>로 승급할까요?"
"TID_ALLIANCE_PROMOTE_BUTTON","승급"
"TID_ALLIANCE_KICK_TITLE","추방 확인"
"TID_ALLIANCE_KICK_CONFIRMATION","정말로 <NAME> 님을 클럽에서 추방할까요?"
"TID_ALLIANCE_KICK_BUTTON","추방"
"TID_ALLIANCE_DEMOTE_TITLE","강등 확인"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","정말로 <NAME> 님을 <ROLE>로 강등할까요?"
"TID_ALLIANCE_DEMOTE_BUTTON","강등"
"TID_CLAN_RESPONSE_10","설정이 저장되었습니다."
"TID_CLAN_RESPONSE_20","클럽을 생성했습니다."
"TID_CLAN_RESPONSE_21","클럽 생성에 실패했습니다! 다시 시도해 주세요."
"TID_CLAN_RESPONSE_22","허용되지 않는 이름입니다!"
"TID_CLAN_RESPONSE_23","허용되지 않는 설명입니다!"
"TID_CLAN_RESPONSE_24","이름이 너무 짧습니다!"
"TID_CLAN_RESPONSE_40","클럽에 가입했습니다!"
"TID_CLAN_RESPONSE_42","가입 실패: 클럽이 가득 찼습니다."
"TID_CLAN_RESPONSE_43","가입 실패: 비공개 클럽입니다."
"TID_CLAN_RESPONSE_45","가입 실패: 트로피가 부족해 해당 클럽에 가입할 수 없습니다."
"TID_CLAN_RESPONSE_46","가입 실패: 추방되었거나 가입 요청이 거절된 적 있는 클럽입니다. 해당 클럽으로부터 차단되었습니다."
"TID_CLAN_RESPONSE_47","가입 실패: 하루에 너무 많은 클럽에 가입했습니다. 하루 동안 클럽 가입이 비활성화됩니다."
"TID_CLAN_RESPONSE_48","가입 실패: 다른 지역의 클럽에는 가입할 수 없습니다."
"TID_CLAN_RESPONSE_50","가입 요청 전송 성공"
"TID_CLAN_RESPONSE_51","가입 요청 전송 실패: 해당 클럽은 비공개로 전환되었습니다."
"TID_CLAN_RESPONSE_52","가입 요청 전송 실패: 해당 클럽에 이미 가입 요청을 보냈습니다."
"TID_CLAN_RESPONSE_53","가입 요청 전송 실패: 트로피가 모자라 해당 클럽에 가입할 수 없습니다."
"TID_CLAN_RESPONSE_54","가입 요청 실패: 추방되었거나 가입 요청이 거절된 적 있는 클럽입니다. 해당 클럽으로부터 차단되었습니다."
"TID_CLAN_RESPONSE_55","가입 요청 실패: 다른 지역의 클럽에는 가입할 수 없습니다."
"TID_CLAN_RESPONSE_56","가입 실패: 전 연령 클럽이 아닙니다."
"TID_CLAN_RESPONSE_70","추방 성공"
"TID_CLAN_RESPONSE_80","클럽을 탈퇴했습니다."
"TID_CLAN_RESPONSE_81","승급 성공"
"TID_CLAN_RESPONSE_82","강등 성공"
"TID_CLAN_RESPONSE_90","수락 성공"
"TID_CLAN_RESPONSE_91","거절 성공"
"TID_CLAN_RESPONSE_92","수락 실패: 이미 클럽에 가입한 플레이어입니다."
"TID_CLAN_RESPONSE_93","처리 실패: 요청을 찾을 수 없습니다."
"TID_CLAN_RESPONSE_94","처리 실패: 이미 처리된 요청입니다."
"TID_CLAN_RESPONSE_95","처리 실패: 권한이 없습니다."
"TID_CLAN_RESPONSE_96","수락 실패: 이 클럽에서 차단한 플레이어입니다."
"TID_CLAN_RESPONSE_100","클럽에서 추방되었습니다."
"TID_CLAN_RESPONSE_101","승급되었습니다!"
"TID_CLAN_RESPONSE_102","강등되었습니다!"
"TID_CLAN_RESPONSE_112","아직 클럽 메일을 보낼 수 없습니다.(<TIME>)"
"TID_CLAN_RESPONSE_113","클럽 메일을 성공적으로 보냈습니다."
"TID_CLAN_NO_RIGHTS","권한이 없습니다!"
"TID_ALLIANCE_NAME_TOO_SHORT","클럽 이름이 너무 짧습니다."
"TID_CLAN_JOIN_REQUEST_TITLE","클럽 가입 요청"
"TID_CLAN_JOIN_REQUEST_SEND","보내기"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","클럽에 가입하고 싶어요."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","가입 요청을 수락할까요?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","수락"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","거절"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","<name> 님이 수락했습니다."
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","<name> 님이 거절했습니다."
"TID_HINT_DRAG_TO_AIM","드래그해서 조준"
"TID_HINT_RELEASE_TO_SHOOT","놓으면서 사격"
"TID_HINT_ACTIVATE_ULTI","<cff9900>노란색 조이스틱</c>을 드래그해서 특수 공격을 조준하세요!"
"TID_HINT_DRAG_TO_ULTI","드래그해서 특수 공격을 조준한 후 놓으면서 쏘세요!"
"TID_HINT_COLLECT_GOLD","브롤러가 처치되면 가지고 있는 <ce662f9>보석</c>을 떨어뜨립니다."
"TID_HINT_HOLD_GOLD","<ce662f9>보석</c>을 유지하세요!"
"TID_HINT_GO_AFTER_ENEMY","적을 추격하세요!"
"TID_HINT_ATTACK_BASE","적의 금고를 부수고 내 금고를 보호하세요!"
"TID_HINT_DEFEND_BASE","적의 금고를 부수고 내 금고를 보호하세요!"
"TID_HINT_SHOOT_ENEMIES","적을 처치해 별을 모으세요!"
"TID_HINT_YOU_ARE_WINNING","이기고 있습니다! 방어하세요!"
"TID_HINT_YOU_ARE_LOSING","지고 있습니다! 공격하세요!"
"TID_HINT_TAP_TO_MOVE","탭해서 이동하세요.\n팀과 함께 이동하세요."
"TID_BOUNTY_1","<EMPTY>"
"TID_BOUNTY_2","주의: 별을 많이 가지고 있습니다!"
"TID_BOUNTY_3","주의: 별을 아주 많이 가지고 있습니다!"
"TID_BOUNTY_4","생사불문!"
"TID_NO_CLAN_TITLE","클럽 찾기"
"TID_NO_CLAN_BODY","클럽에 가입해 다른 플레이어와 채팅하고 함께 플레이하세요!"
"TID_NO_CLAN_SUGGESTIONS","추천 클럽"
"TID_NO_CLAN_RESULTS","검색 결과"
"TID_NO_CLAN_EMPTY","추천 클럽이 없습니다."
"TID_NO_CLAN_WAITING_FOR_DATA","데이터를 기다리는 중..."
"TID_CONNECTING_TO_SERVER","서버에 연결 중..."
"TID_TEAM_ADVERTISE","홍보"
"TID_TEAM_AD_BUTTON_SUBLABEL_CLAN","클럽"
"TID_TEAM_AD_BUTTON_SUBLABEL_FRIENDS","친구"
"TID_TEAM_AD_INFO_0","팀 게임을 위해 플레이어를 찾고 있습니다."
"TID_TEAM_AD_JOIN","팀 참가"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_A_TEAM","팀 참가 실패: 이미 다른 팀에 참가했습니다."
"TID_TEAM_MEMBER_STATUS_0","<c999999>오프라인</c>"
"TID_TEAM_MEMBER_STATUS_1","<cff1e00>전투 중</c>"
"TID_TEAM_MEMBER_STATUS_2","<c006cff>자리 비움</c>"
"TID_TEAM_MEMBER_STATUS_3","<c999999>준비 중</c>"
"TID_TEAM_MEMBER_STATUS_4","<cff1e00>매치메이킹 화면</c>"
"TID_TEAM_MEMBER_STATUS_5","<cff1e00>결과 화면</c>"
"TID_TEAM_MEMBER_STATUS_6","<c999999>오프라인</c>"
"TID_TEAM_MEMBER_STATUS_7","<cff1e00>관전 중</c>"
"TID_TEAM_MEMBER_STATUS_8","<cff1e00>연습 중</c>"
"TID_TEAM_MEMBER_STATUS_9","<c999999>메시지 작성 중</c>"
"TID_TEAM_MEMBER_STATUS_10","<c999999>브롤러 화면</c>"
"TID_TEAM_MEMBER_STATUS_11","<c999999>이벤트 화면</c>"
"TID_TEAM_MEMBER_STATUS_READY","<c2edd1b>준비 완료</c>"
"TID_TEAM_STATUS_IN_MATCH","전투 중"
"TID_TEAM_STATUS_IN_MATCHMAKING","매치메이킹 화면"
"TID_TEAM_STATUS_FULL","<cff1e00>정원 충족</c>"
"TID_TEAM_STATUS_WAITING_FOR_PLAYERS","공개"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","해당 기능을 사용하려면 클럽에 가입해야 합니다!"
"TID_TEAM_AD_POST_FAIL_NO_FRIENDS","해당 기능을 사용하려면 친구가 있어야 합니다!"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","홍보할 수 없습니다. 팀이 이미 가득 찼습니다!"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","팀 홍보는 생성자만 할 수 있습니다!"
"TID_TEAM_LOC_INFO","<LOC>의 <MODE>"
"TID_TEAM_DISPLAY_TITLE_EVENT","팀"
"TID_STREAM_EVENT_1","잘 가요! <sender> 님이 <target> 님을 클럽에서 추방했습니다!"
"TID_STREAM_EVENT_2","환영합니다! <sender> 님이 <target> 님의 클럽 가입 요청을 수락했습니다!"
"TID_STREAM_EVENT_3","<sender> 님이 클럽에 가입했습니다!"
"TID_STREAM_EVENT_4","<sender> 님이 클럽을 탈퇴했습니다!"
"TID_STREAM_EVENT_5","축하합니다! <sender> 님이 <target> 님을 승급시켰습니다!"
"TID_STREAM_EVENT_6","<sender> 님이 <target> 님을 강등시켰습니다!"
"TID_STREAM_EVENT_101","<sender> 님이 팀을 생성했습니다!"
"TID_STREAM_EVENT_102","<sender> 님이 참가했습니다!"
"TID_STREAM_EVENT_103","<sender> 님이 나갔습니다!"
"TID_STREAM_EVENT_104","잘 가요! <sender> 님이 <target> 님을 추방했습니다!"
"TID_STREAM_EVENT_105","매치메이킹 시작"
"TID_STREAM_EVENT_106","매치메이킹 취소"
"TID_STREAM_EVENT_107","게임 시작"
"TID_STREAM_EVENT_108","게임 승리"
"TID_STREAM_EVENT_109","게임 패배"
"TID_STREAM_EVENT_110","연습 게임 시작"
"TID_STREAM_EVENT_111","연습 게임 종료"
"TID_STREAM_EVENT_112","무승부"
"TID_STREAM_EVENT_113","쇼다운 종료"
"TID_STREAM_EVENT_114","채팅 음소거 활성화"
"TID_STREAM_EVENT_115","채팅 음소거 비활성화"
"TID_CHAT_BOTTOM_BUTTON","스크롤 내리기"
"TID_CHAT_BOTTOM_NEW_MESSAGES","신규 메시지 <count>개!"
"TID_CHAT_BOTTOM_NEW_MESSAGE","신규 메시지!"
"TID_HERO_INFO_UPGRADE_TITLE","<c<COLOR>><NAME></c>"
"TID_HERO_INFO_UPGRADE_INFO","<LVL>레벨로 업그레이드"
"TID_HERO_INFO_ITEMS","업그레이드"
"TID_HERO_INFO_SKINS","브롤러"
"TID_HERO_INFO_SKIN_OWNED","보유한 스킨"
"TID_HERO_INFO_SKIN_ACTIVE","선택함"
"TID_HERO_INFO_SKIN_ACTIVATE","선택"
"TID_HERO_INFO_LEADERBOARD","순위표"
"TID_HERO_INFO_LEADERBOARD_LABEL","베스트 <HERO> 플레이어"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CLAN_SEARCH_GO","검색"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","드래그해서 특수 공격을 조준하세요!"
"TID_HINT_SHOOT","드래그해서 조준한 후 놓으면서 쏘세요!"
"TID_HERO_SCORE_SUM_LEADERBOARD","베스트 플레이어"
"TID_ALLIANCE_LEADERBOARD","베스트 클럽"
"TID_HINT_MAKE_GOAL","드래그해서 조준하고 놓아서 공을 차세요!"
"TID_BATTLE_ROYALE_INTRO_TEXT","최후의 1인이 되세요!"
"TID_HINT_COLLECT_BUFFS","상자와 적으로부터 <c50d050>파워 큐브</c>를 모아 더욱 강해지세요!"
"TID_PLAYERS_LEFT","생존 브롤러: <num>"
"TID_AVOID_POISON","조금씩 조여오는 <c90ee90>독 구름</c>을 피하세요!"
"TID_CLAN_CREATE_COOLDOWN","아직 클럽을 생성할 수 없습니다. <TIME> 후 다시 시도해 주세요."
"TID_CLAN_CREATE_XP_LEVEL_REQUIRED","클럽을 생성하려면 XP <LEVEL>레벨 이상이어야 합니다."
"TID_PLAYER_DATA_MISSING","플레이어 데이터 손실"
"TID_ALLIANCE_DATA_MISSING","클럽 데이터 손실"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","탄환이 충전될 때까지 기다리세요!"
"TID_EVENT_EXPIRED","이벤트 만료"
"TID_DOUBLE_COINS_INFO","이곳에서 전투하면 토큰을 두 배로 얻습니다!"
"TID_DOUBLE_XP_INFO","이곳에서 전투하면 XP를 두 배로 얻습니다!"
"TID_SETTINGS_TITLE","설정"
"TID_SETTINGS_CONTROL_MODE_TITLE","조이스틱 모드"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","탭해서 이동"
"TID_SETTINGS_CONTROL_MODE_INFO_0","화면을 탭해서 브롤러를 이동하세요. 드래그해서 조준한 후 놓으면서 쏘세요!"
"TID_SETTINGS_CONTROL_MODE_VALUE_1","조이스틱 이동 (오른손)"
"TID_SETTINGS_CONTROL_MODE_INFO_1","왼쪽 하단 모서리의 가상 조이스틱으로 이동하세요. 대상을 탭해서 공격하세요."
"TID_SETTINGS_CONTROL_MODE_VALUE_2","조이스틱 이동 (왼손)"
"TID_SETTINGS_CONTROL_MODE_INFO_2","오른쪽 하단 모서리의 가상 조이스틱으로 이동하세요. 대상을 탭해서 공격하세요."
"TID_CHANGE_NAME_TITLE","이름 변경"
"TID_SETTINGS_PLAYERNAME_CURRENT","현재 이름:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","새 이름 입력:"
"TID_ERROR_NAMES_DONT_MATCH","이름이 일치하지 않습니다. 다시 시도해주세요."
"TID_CONTINUE","계속"
"TID_NAMECHANGE_WARNING","참고: 이름은 한 번만 변경할 수 있습니다!"
"TID_CONFIRM","확인"
"TID_INVALID_NAME","사용할 수 없는 이름입니다! 다른 이름을 입력하세요."
"TID_SETTINGS_PLAYERNAME_REENTERNEW","새 이름 재입력:"
"TID_NAME_ALREADY_CHANGED","이름은 한 번만 변경할 수 있습니다!"
"TID_NAME_CHANGE_ALREADY_USED","이미 이름을 변경했습니다!"
"TID_NAME_CHANGED_SUCCESS","이름이 변경되었습니다!"
"TID_NAME_CHANGE_IN_PROGRESS","이름을 변경할 수 없습니다. 이전 이름 변경 절차가 진행 중입니다."
"TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW","XP <level>레벨부터\n이름을 변경할 수 있습니다!"
"TID_CONFIRM_CONFIRM","\q<confirmword>\q 입력 후 확인 버튼을 눌러 완료하세요."
"TID_CONFIRM_WORD","확인"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","정말 이름을 변경하시겠어요?\n새 이름:"
"TID_BUTTON_CONFIRM","확인"
"TID_EVENTS_TIME","<cFFFFFF><TIME></c>"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","다음 이벤트까지:"
"TID_EVENTS_TIME_LEFT","남은 시간"
"TID_EVENTS_NEW","신규!"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","모든 XP를 모았습니다!"
"TID_EVENTS_EVENT_LOCKED","잠김"
"TID_EVENTS_TROPHY_REQ","총 트로피 <c00ffff><COUNT></c>개를 모아\n잠금 해제하세요!"
"TID_EVENTS_PRO_LEAGUE_REQ","브롤러 스타 파워를 획득해\n잠금 해제하세요!"
"TID_GAME_STARTING","<LOCATION>에서 게임이 시작됩니다! 어서 참가하세요!"
"TID_WEEKEND_EVENT","더블 XP 이벤트"
"TID_PLAYER_KILLED_SOMEONE","<name>"
"TID_SHOP_TEMPORARILY_DISABLED","상점을 당분간 이용할 수 없습니다."
"TID_GATCHA_TEMPORARILY_DISABLED","브롤 상자를 당분간 열 수 없습니다."
