Name,LockedForChronos,Disabled,ItemName,WeaponSkill,UltimateSkill,Pet,Speed,Hitpoints,MeleeAutoAttackSplashDamage,AutoAttackSpeedMs,AutoAttackDamage,AutoAttackBulletsPerShot,AutoAttackMode,AutoAttackProjectileSpread,AutoAttackProjectile,AutoAttackRange,RegeneratePerSecond,UltiChargeMul,UltiChargeUltiMul,Type,DamagerPercentFromAliens,DefaultSkin,FileName,BlueExportName,RedExportName,ShadowExportName,AreaEffect,DeathAreaEffect,TakeDamageEffect,DeathEffect,MoveEffect,ReloadEffect,OutOfAmmoEffect,DryFireEffect,SpawnEffect,MeleeHitEffect,AutoAttackStartEffect,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,LoopedEffect,LoopedEffect2,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,AttackStartEffectOffset,TwoWeaponAttackEffectOffset,ShadowScaleX,ShadowScaleY,ShadowX,ShadowY,ShadowSkew,Scale,HeroScreenScale,EndScreenScale,GatchaScreenScale,HomeScreenScale,HeroScreenXOffset,HeroScreenZOffset,CollisionRadius,HealthBar,HealthBarOffsetY,FlyingHeight,ProjectileStartZ,StopMovementAfterMS,WaitMS,TID,ForceAttackAnimationToEnd,IconSWF,IconExportName,RecoilAmount,Homeworld,FootstepClip,DifferentFootstepOffset,FootstepIntervalMS,AttackingWeaponScale,UseThrowingLeftWeaponBoneScaling,UseThrowingRightWeaponBoneScaling,ShowEnemyInMenus,CommonSetUpgradeBonus,RareSetUpgradeBonus,SuperRareSetUpgradeBonus,CanWalkOverWater,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,ChargeUltiAutomatically,VideoLink
CoopRangedEnemy4,,,,,,,750,6700,,1400,1760,,,30,CoopRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,190,200,,,,,,160,Medium,-65,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
ShotgunGirlPet,,,,,,,652,2400,,600,400,,,30,ShotgunGirlPetProjectile,22,320,,,Minion_FollowOwner,,ShellyPetDefault,,,,,,,,death_shotgun_girl,Gen_move_fx,,,,,,bear_attack,,,,,,,,,,,,,,,30,,85,80,,,25,43,200,,,,,,90,Medium,-11,,350,,,,,,,,,footstep,25,250,160,,,,,,,,,,,,,,,,
BlackHolePet,,,,,,,870,2400,,600,400,,,,,5,,,,Minion_FindEnemies,,BlackholePetDefault,,,,,,,,death_shotgun_girl,,,,,tara_def_ulti_starPower_spawn,,bear_attack,,,,,,sparkle_trail_dark_minion,,,,,,,,,30,,85,80,,,25,95,200,,,,,,90,Medium,-43,,350,,,,,,,,,,25,250,160,,,,,,,,,,,,,,,,
CoopBoss1,,,,BossRapidFire,BossCharge,,600,45000,,400,600,,,,,8,,,,Npc_Boss,,BigBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,150,85,80,,,25,250,200,,,,,,220,Medium,-100,,500,,,,,,,,,footstep,60,400,160,,,,,,,,,,,,,,,,
CoopBoss2,,,,BossRapidFire2,BossCharge,,600,55000,,400,640,,,,,9,,,,Npc_Boss,,BigBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,150,85,80,,,25,300,200,,,,,,250,Medium,-120,,500,,,,,,,,,footstep,60,400,160,,,,,,,,true,30,,30,255,120,255,,
CoopBoss3,,,,BossRapidFire3,BossCharge,,600,65000,,400,680,,,,,9,,,,Npc_Boss,,BigBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,150,85,80,,,25,350,200,,,,,,280,Medium,-140,,500,,,,,,,,,footstep,60,400,160,,,,,,,,true,100,,,255,140,140,,
TutorialExplodingBarrel,,,,,,,0,300,,,,,,,,,,,,Minion_Building,,TntBox,,,,,,ExplodingBarrelExplosion,,,,,,,,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,95,,,,,,,145,,-59,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
EventModifierBoss,,,,,,,600,32000,,400,600,,,,,7,,,,Minion_FindEnemies2,,BigBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,35,,85,80,,,25,250,200,,,,,,220,Medium,-100,,,,,,,,,,,footstep,25,250,160,,,,,,,,,,,,,,,,
RaidBoss,,,,RaidBossRapidFire,RaidBossCharge,,550,250000,,400,800,,,,,9,,,,Npc_Boss,,BossBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,150,85,80,,,25,300,200,,,,,,280,Medium,-130,,500,,,,,,,,,footstep,60,400,160,,,,,,,,,,,,,,,,
RaidBossMeleeEnemy1,,,,,,,650,3600,,400,260,,,,,5,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,127,200,,,,,,120,Medium,-54,,,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
RaidBossMeleeEnemy2,,,,,,,650,5100,,400,470,,,,,5,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,148,200,,,,,,145,Medium,-59,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
RaidBossMeleeEnemy3,,,,,,,650,8250,,400,600,,,,,6,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,169,200,,,,,,170,Medium,-65,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
RaidBossMeleeEnemy4,,,,,,,650,12150,,400,730,,,,,6,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,190,200,,,,,,195,Medium,-70,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
RaidBossFastMeleeEnemy1,,,,,,,950,2250,,600,400,,,,,5,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,106,200,,,,,,100,Medium,-43,,,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
RaidBossFastMeleeEnemy2,,,,,,,950,4050,,600,720,,,,,5,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,127,200,,,,,,120,Medium,-49,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
RaidBossFastMeleeEnemy3,,,,,,,950,5175,,600,920,,,,,6,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,148,200,,,,,,140,Medium,-54,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
RaidBossFastMeleeEnemy4,,,,,,,950,7560,,600,1120,,,,,6,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,169,200,,,,,,160,Medium,-59,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
RaidBossRangedEnemy1,,,,,,,800,1500,,1400,630,,,40,RaidBossRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,127,200,,,,,,100,Medium,-49,,350,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
RaidBossRangedEnemy2,,,,,,,800,2700,,1400,1130,,,40,RaidBossRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,148,200,,,,,,120,Medium,-54,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
RaidBossRangedEnemy3,,,,,,,800,3450,,1400,1450,,,40,RaidBossRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,169,200,,,,,,140,Medium,-59,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
RaidBossRangedEnemy4,,,,,,,800,5040,,1400,1760,,,40,RaidBossRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,190,200,,,,,,160,Medium,-65,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
RoboWarsBase,,,,,,,0,30000,,500,1000,,,,RoboWarsBaseProjectile,33,,,,Pvp_Base,,ArtilleryTurretDefault,,,,,,,nuts_bolts_metal_small,safe_explosion,,,,,,,artillery_dude_turret_attack,,,,,,,,,,,,,,,,,100,-100,0,0,0,180,,,,,,,160,Medium,-75,,300,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
RoboWarsBox,,,,,,,0,4000,,,,,,,,,,,,LootBox,,LootBox,,,,,,,,Gen_wood_explosion,,,,,robo_wars_box_spawn,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,95,,,,,,,145,Medium,-40,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
RoboWarsRobo,,,,,,,500,30000,,400,400,,,,,9,,,,RoboWars,,BigBotDefault,,,,,,,nuts_bolts_metal_small,boss_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,35,,85,80,,,25,250,200,,,,,,220,Medium,-100,,,,,,,,,,,footstep,25,250,160,,,,,,,,,,,,,,,,
