"Name","ParentProjectileForSkin","Speed","FileName","BlueSCW","RedSCW","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamagesConstantlyTickDelay","FreezeStrength","FreezeDurationMS","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","DamageOnlyWithOneProj","HealOwnPercent","CanGrowStronger","HideFaster","GrapplesEnemy","KickBack","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","MinDistanceForSpread","IsFriendlyHomingMissile","IsBoomerang","CanHitAgainAfterBounce","IsHomingMissile","BlockUltiCharge","PoisonType","TravelType","HomingStrength","HomeIgnoreTicks","HomeDistance","HomeLifeTime"
"MechanicUltiProjectile",,1196,"sc/effects_brawler.sc",,,"jessie_def_ulti_projectile","jessie_def_ulti_projectile","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,,,,,,"plasma_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanProjectile",,2718,"sc/effects_brawler.sc",,,"nita_def_atk_blue","nita_def_atk_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","nita_def_atk_end_blue",250,,,,,0,1,0,100,,,,,,"nita_def_atk_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanUltiProjectile",,1196,"sc/effects_brawler.sc",,,"nita_def_ulti_projectile_blue","nita_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,,,,,,"nita_def_ulti_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepProjectile",,1750,"sc/effects_brawler.sc",,,"barley_def_atk_projectile","barley_def_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,1,0,100,1,"Barley_def_atk",,,,"barley_def_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepUltiProjectile",,1504,"sc/effects_brawler.sc",,,"barley_def_ulti_projectile","barley_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,1,0,100,1,"Barley_def_ulti",,,,"barley_def_ulti_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,
"Barley002Projectile","BarkeepProjectile",,"sc/effects_brawler.sc",,,"fireball_blue","fireball_red",,"projectile_fire_blue","projectile_fire_red",,,,"Gen_hit","Gen_hit",,0,"true",,,,240,,0,100,1,"Barley_002_atk",,,,"barley_002_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley002UltiProjectile","BarkeepUltiProjectile",,"sc/effects_brawler.sc",,,"fireball_blue","fireball_red",,"projectile_fire_blue","projectile_fire_red",,,,"Gen_hit","Gen_hit",,0,"true",,,,170,,0,100,1,"Barley_002_ulti",,,,"barley_002_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley003Projectile","BarkeepProjectile",,"sc/effects_brawler.sc",,,"barley_003_atk_projectile","barley_003_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,,0,100,1,"Barley_def_atk",,,,"barley_def_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley003UltiProjectile","BarkeepUltiProjectile",,"sc/effects_brawler.sc",,,"barley_003_ulti_projectile","barley_003_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,,0,100,1,"Barley_def_ulti",,,,"barley_def_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley004Projectile","BarkeepProjectile",,"sc/effects_brawler.sc",,,"barley_004_atk_projectile","barley_004_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,,0,100,1,"Barley_004_atk",,,,"barley_004_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley004UltiProjectile","BarkeepUltiProjectile",,"sc/effects_brawler.sc",,,"barley_004_ulti_projectile","barley_004_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,,0,100,1,"Barley_004_ulti",,,,"barley_004_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley005Projectile","BarkeepProjectile",,"sc/effects_brawler.sc","sc3d/barley_005_atk_blue.scw","sc3d/barley_005_atk_red.scw",,,"shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,240,,0,100,1,"Barley_005_atk",,,,"barley_005_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley005UltiProjectile","BarkeepUltiProjectile",,"sc/effects_brawler.sc","sc3d/barley_005_atk_blue.scw","sc3d/barley_005_atk_red.scw",,,"shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,170,,0,100,1,"Barley_005_ulti",,,,"barley_005_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeProjectile",,1900,"sc/effects_brawler.sc",,,"dynamike_tnt_blue","dynamike_tnt_red","dynamike_tnt_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1100,35,430,1,0,100,,"TntDudeExplosion",,,,"fire_spark_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,
"TntDudeUltiProjectile",,1600,"sc/effects_brawler.sc",,,"dynamite_bundle_ulti","dynamite_bundle_ulti_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,1300,35,330,1,0,100,,"TntDudeUltiExplosion",,,,"fire_spark_trail_huge","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeSantaProjectile","TntDudeProjectile",,"sc/effects_brawler.sc",,,"dynamike_santa_attack_anim_blue","dynamike_santa_attack_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,430,,0,100,1,"TntDudeExplosion",,,,"fire_spark_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeSantaUltiProjectile","TntDudeUltiProjectile",,"sc/effects_brawler.sc",,,"dynamike_santa_ulti_anim_blue","dynamike_santa_ulti_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,330,,0,100,,"TntDudeUltiExplosion",,,,"fire_spark_trail_huge","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeChefProjectile","TntDudeProjectile",,"sc/effects_brawler.sc",,,"dynamike_chef_attack_anim_blue","dynamike_chef_attack_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,430,,0,100,1,"TntDudeExplosion",,,,"fire_spark_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeChefUltiProjectile","TntDudeUltiProjectile",,"sc/effects_brawler.sc",,,"dynamike_chef_ulti_anim_blue","dynamike_chef_ulti_anim_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,330,,0,100,,"TntDudeUltiExplosion",,,,"fire_spark_trail_huge","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike003Projectile","TntDudeProjectile",,"sc/effects_brawler.sc","sc3d/dynamike_003_atk_projectile_blue.scw","sc3d/dynamike_003_atk_projectile_red.scw","dynamike_004_ulti_tail_blue","dynamike_004_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,430,,0,100,,"TntDudeExplosion",,,,"dynamike_003_atk_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike003UltiProjectile","TntDudeUltiProjectile",,"sc/effects_brawler.sc","sc3d/dynamike_003_ulti_projectile_blue.scw","sc3d/dynamike_003_ulti_projectile_red.scw","dynamike_004_ulti_tail_blue","dynamike_004_ulti_tail_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,35,330,,0,100,,"TntDudeUltiExplosion",,,,"dynamike_003_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoneThrowerProjectile",,1305,"sc/effects.sc",,,"basic_grenade_projectile","basic_grenade_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,4000,35,150,1,0,100,,,,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoneThrowerUltiProjectile",,1305,"sc/effects.sc",,,"projectile_plasmaball","projectile_plasmaball_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,15000,35,150,1,0,100,,,,,,"trail_temp","true",,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DummyProjectileForLaserBall",,2499,"sc/effects.sc",,,"projectile_small_blue","projectile_small_red",,"projectile_light","projectile_light_red",,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,0,100,,,,,,"Gen_Trail_small","true",,"true",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicTurretProjectile",,3478,"sc/effects.sc",,,"Bullet_blue","Bullet_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerUltiProjectile",,2718,"sc/effects.sc",,,"bat_clump_projectile","bat_clump_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,400,,,,,0,1,0,100,,,,,,"Bats","true",,,,,"true",,,,,,,,,,,,,,,,,,,100,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,
"CrowProjectile",,3261,"sc/effects_brawler.sc",,,"crow_def_atk_projectile","crow_def_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Poison_hit","no_hit",50,,,,,0,2,0,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,1,,,,,
"CrowUltiProjectile",,3261,"sc/effects_brawler.sc",,,"crow_def_ulti_projectile","crow_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Poison_hit","no_hit",50,,,,,0,1,0,100,,,,,,"poison_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Crow002Projectile","CrowProjectile",,"sc/effects_brawler.sc",,,"crow_002_atk_projectile","crow_002_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","crow_002_hit","crow_002_atk_reachaed",50,,,,,0,,0,100,,,,,,"crow_002_ulti_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
"Crow002UltiProjectile","CrowUltiProjectile",,"sc/effects_brawler.sc",,,"crow_002_ulti_projectile","crow_002_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","crow_002_hit","crow_002_atk_reachaed",50,,,,,0,,0,100,,,,,,"crow_002_ulti_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
"DeadMariachiProjectile",,2500,"sc/effects_brawler.sc",,,"poco_def_atk_blue","poco_def_atk_red",,,,,,,"poco_def_hit_env","poco_def_hit_char","poco_def_atk_end",150,,,,,0,4,0,80,,,,,,"poco_def_atk_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,
"DeadMariachiUltiProjectile",,5000,"sc/effects_brawler.sc",,,"poco_def_ulti","poco_def_ulti",,,,,,,"poco_def_ultiEnd","Mariachi_hit","poco_def_ultiEnd",400,,,,,0,1,0,100,,,,,,"poco_def_ulti_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,"true",,"true",100,,,,,,,,,,,,,,,,,,,,,,,,
"Poco002Projectile","DeadMariachiProjectile",,"sc/effects_brawler.sc",,,"poco_002_atk_blue","poco_002_atk_red",,,,,,,"poco_002_hit_env","poco_002_hit_char","poco_002_atk_end",150,,,,,0,,0,80,,,,,,"poco_002_atk_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Poco002UltiProjectile","DeadMariachiUltiProjectile",,"sc/effects_brawler.sc",,,"poco_002_ulti","poco_002_ulti",,,,,,,"poco_002_ultiEnd","Mariachi_hit","poco_002_ultiEnd",400,,,,,0,,0,100,,,,,,"poco_002_ulti_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poco003Projectile","DeadMariachiProjectile",,"sc/effects_brawler.sc",,,"poco_003_atk_blue","poco_003_atk_red",,,,,,,"poco_002_hit_env","poco_002_hit_char","poco_002_atk_end",150,,,,,0,,0,80,,,,,,"poco_003_atk_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"Poco003UltiProjectile","DeadMariachiUltiProjectile",,"sc/effects_brawler.sc",,,"poco_003_ulti","poco_003_ulti",,,,,,,"poco_003_ultiEnd","Mariachi_hit","poco_003_ultiEnd",400,,,,,0,,0,100,,,,,,"poco_003_ulti_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BowDudeSpawnMineProjectile",,2391,"sc/effects_brawler.sc","sc3d/bo_def_ulti_projectile_blue.scw","sc3d/bo_def_ulti_projectile_red.scw",,,"shadow_normal_circle",,,,,,,,,0,"true",,,,405,2,0,100,,"Bo_def_ulti1_area",,,,,"true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BowDudeProjectile",,2609,"sc/effects_brawler.sc",,,"bo_def_atk","bo_def_atk_red","shadow_normal_circle",,,,,,,,,70,,,,,0,5,0,100,,"Brock_def_atk_area",,,,"fire_spark_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
"Bow002Projectile","BowDudeProjectile",,"sc/effects_brawler.sc",,,"bo_002_atk","bo_002_atk_red","shadow_normal_circle",,,,,,,,,,,,,,0,,0,100,,"Brock_def_atk_area",,,,"fire_spark_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
"Bow002UltiProjectile","BowDudeSpawnMineProjectile",,"sc/effects_brawler.sc","sc3d/bo_002_ulti_projectile_blue.scw","sc3d/bo_002_ulti_projectile_red.scw","bo_002_ulti_tail_blue","bo_002_ulti_tail_red","shadow_normal_circle",,,,,,,,,,,,,,405,,0,100,,"Bo_def_ulti1_area",,,,"bo_002_ulti_trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SniperProjectile",,4000,"sc/effects.sc",,,"sniper_bullet_blue","sniper_bullet_red","shadow_normal_circle",,,,,,"sniper_hit","sniper_hit","no_hit",101,,,,,0,3,0,100,,,,,,"Sniper_Trail","true",,,,,,,,,,,,,,,10,100,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeProjectile",,4130,"sc/effects_brawler.sc",,,"pam_def_bullet","pam_def_bullet_red","shadow_normal_circle",,,,,,"pam_def_atk_hit","pam_def_atk_hit","pam_def_atk_reachaed",50,,,,,0,2,0,85,2,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinigunDudeUltiProjectile",,1196,"sc/effects_brawler.sc",,,"pam_def_ulti_projectile","pam_def_ulti_projectile_red","shadow_normal_circle",,,,,,,,,0,"true",,,,170,3,0,100,,,,,,"pam_def_ult_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrimoDefProjectile",,3261,"sc/effects_brawler.sc","sc3d/primo_def_atk_projectile_blue.scw","sc3d/primo_def_atk_projectile_red.scw",,,"shadow_normal_circle_big",,,,,,,"Lucha_hit",,150,,,,,0,1,0,80,,,,,,"lucha_smoke_Trail","true",,,,"UseZFrames","true",,,,,,,,,,,,,,,,20,100,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
"Primo003Projectile","PrimoDefProjectile",,"sc/effects_brawler.sc","sc3d/primo_003_atk_projectile_blue.scw","sc3d/primo_003_atk_projectile_red.scw",,,"shadow_normal_circle_big",,,,,,,"primo_003_atk_hit",,150,,,,,0,1,0,80,,,,,,"primo_003_atk","true",,,,"UseZFrames","true",,,,,,,,,,,,,,,,20,100,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
"BlackHoleProjectile",,3152,"sc/effects.sc",,,"playing_card","playing_card_red","shadow_normal_circle",,,,,,"blackhole_hit_envy","Gen_hit","blackhole_no_hit",100,,,,,0,2,0,100,,,,,,"sparkle_trail","true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackHoleUltiProjectile",,1522,"sc/effects.sc",,,"black_hole_projectile","black_hole_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,200,1,0,100,,"BlackHoleUltiSuck","BlackHoleUltiExplosion",,,"sparkle_trail_dark","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarrelBotProjectile",,3044,"sc/effects_brawler.sc",,,"bullet_shotgun_def_blue_short","bullet_shotgun_def_red_short","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","bull_def_atk_reached",0,,,,,0,2,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darryl002Projectile","BarrelBotProjectile",,"sc/effects_brawler.sc",,,"darryl_002_projectile_blue","darryl_002_projectile_red","shadow_normal_circle",,,,,,"darryl_002_atk_reached","Gen_hit","darryl_002_atk_reached",,,,,,0,,0,100,,,,,,"darryl_002_dumpling_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeProjectile",,3000,"sc/effects_brawler.sc",,,"penny_def_atk_projectile","penny_def_atk_projectile_red","shadow_normal_circle",,,,,,"penny_def_atk1_hit_env","penny_def_atk1_hit","penny_def_atk1_reached",150,,,,,0,2,0,120,,,,,,"penny_def_atk_trail","true",,,,,,,,,,3,100,16,"ArtilleryDudeProjectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeProjectile2",,2500,"sc/effects_brawler.sc",,,"penny_def_atk2_projectile","penny_def_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","penny_def_atk2_hit","penny_def_atk2_reached",101,,,,,0,2,0,60,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeUltiProjectile",,1196,"sc/effects_brawler.sc",,,"penny_def_ulti_projectile","penny_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,139,1,0,100,,,,,,"plasma_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryDudeTurretProjectile",,750,"sc/effects.sc",,,"cannon_projectile_blue","cannon_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,90,1,0,100,1,"ArtilleryDudeTurretExplosion",,,,"fire_spark_trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny002Projectile","ArtilleryDudeProjectile",,"sc/effects_brawler.sc",,,"penny_002_atk_projectile","penny_002_atk_projectile_red","shadow_normal_circle",,,,,,"penny_002_atk1_hit_env","penny_002_atk1_hit","penny_002_atk1_reached",,,,,,0,,0,120,,,,,,"penny_002_atk_trail","true",,,,,,,,,,,,,"Penny002Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny002Projectile2","ArtilleryDudeProjectile2",,"sc/effects_brawler.sc",,,"penny_002_atk2_projectile","penny_002_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","penny_def_atk2_hit","penny_002_atk2_reached",,,,,,0,,0,60,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny002UltiProjectile","ArtilleryDudeUltiProjectile",,"sc/effects_brawler.sc",,,"penny_002_ulti_projectile","penny_002_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,139,,0,100,,,,,,"penny_002_ulti_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny002TurretProjectile","ArtilleryDudeTurretProjectile",,"sc/effects.sc",,,"penny_002_atk_projectile","cannon_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,"true",,,90,,0,100,1,"ArtilleryDudeTurretExplosion",,,,"fire_spark_trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny003Projectile","ArtilleryDudeProjectile",,"sc/effects_brawler.sc",,,"penny_003_atk_projectile","penny_003_atk_projectile_red","shadow_normal_circle",,,,,,"penny_003_atk1_hit_env","penny_003_atk1_hit","penny_003_atk1_reached",,,,,,0,,0,120,,,,,,"penny_003_atk_trail","true",,,,,,,,,,,,,"Penny003Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny003Projectile2","ArtilleryDudeProjectile2",,"sc/effects_brawler.sc",,,"penny_003_atk2_projectile","penny_003_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","penny_def_atk2_hit","penny_003_atk2_reached",,,,,,0,,0,60,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penny003UltiProjectile","ArtilleryDudeUltiProjectile",,"sc/effects_brawler.sc",,,"penny_003_ulti_projectile","penny_003_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,139,,0,100,,,,,,"penny_003_ulti_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlPetProjectile",,2826,"sc/effects.sc",,,"Bullet_blue","Bullet_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackHolePetProjectile",,3152,"sc/effects.sc",,,"playing_card","playing_card_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,0,100,,,,,,"sparkle_trail",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HammerDudeProjectile",,5000,"sc/effects_brawler.sc",,,"nita_def_atk_blue","nita_def_atk_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","nita_def_atk_end_blue",150,,,,,0,2,0,100,,,,,,"nita_def_atk_trail","true",,,,"DoNotRotateClip","true",,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,
"HammerDudeUltiProjectile",,6000,"sc/effects_brawler.sc",,,"nita_def_atk_blue","nita_def_atk_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","nita_def_atk_end_blue",250,,,,,0,2,0,100,,,,,,"nita_def_atk_trail","true",,,,"DoNotRotateClip","true","true","true",,,,,,,,,,,,,2000,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,
"CrowProjectileFlame","CrowProjectile",,"sc/effects_brawler.sc",,,"crow_def_atk_projectile","crow_def_atk_projectile_red","shadow_normal_circle",,,,,,"Gen_hit",,"no_hit",,,,,,0,,0,100,,,,,,"flame_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"CrowUltiProjectileFlame","CrowUltiProjectile",,"sc/effects_brawler.sc",,,"crow_def_ulti_projectile","crow_def_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit",,"no_hit",,,,,,0,,0,100,,,,,,"flame_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"HookProjectile",,3200,"sc/effects_brawler.sc",,,"gene_def_atk1_projectile_blue","gene_def_atk1_projectile_red","gene_def_atk1_projecctile_shadow",,,,,,"gene_def_atk1_reachaed","gene_def_atk1Hit","gene_def_atk1_reachaed",150,,,,,0,2,0,150,,,,,,"gene_def_atk_trail","true",,,,"UseZFrames",,,,,,6,200,17,"HookProjectile2",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HookProjectile2",,3200,"sc/effects_brawler.sc",,,"gene_def_atk2_projectile_blue","gene_def_atk2_projectile_red","shadow_normal_circle",,,,,,"gene_def_atk2Env","gene_def_atk2Hit","gene_def_atk2_reachaed",101,,,,,0,2,0,120,,,,,,,"true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
