"Name","Conf","Campaign","ObtainType","PetSkin","PetSkin2","CostLegendaryTrophies","CostGems","TID","ShopTID","Features","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular"
"DamageBoosterDefault","DamageBoosterDefault",,,,,,,,,,,"8bit_tex.pvr","8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)","8bit_tex.pvr","8bit_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)"
"SniperPink","SniperPink",,,,,500,,"TID_PIPER_PINK_SKIN","TID_PIPER_PINK_SKIN_SHOP","MODEL",,"piper_pink_tex.pvr","piper_pink_tex.pvr","piper_pink_tex.pvr","piper_pink_tex.pvr"
"ArcadeClassic","ArcadeClassic",,,"DamageBoosterDefault",,,30,"TID_8BIT_CLASSIC_SKIN","TID_8BIT_CLASSIC_SKIN_SHOP","MODEL",,"8bit_classic_tex.pvr","8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)","8bit_classic_tex.pvr","8bit_classic_tex.pvr+hue(masks/8bit/8bit_msk.png,138.000000)+saturation(masks/8bit/8bit_msk.png,3.000000)+hue(masks/8bit/8bit_light_msk.png,146.000000)"
"NinjaShark","NinjaShark",,,,,,80,"TID_LEON_SHARK_SKIN","TID_LEON_SHARK_SKIN_SHOP","MODEL",,"shark_leon_tex.pvr","shark_leon_tex.pvr","shark_leon_tex.pvr","shark_leon_tex.pvr"
"BlackHoleBlue","BlackHoleBlue",,,,,500,,"TID_TARA_BLUE_SKIN","TID_TARA_BLUE_SKIN_SHOP","MODEL",,"tara_blue_tex.pvr","tara_blue_tex.pvr","tara_blue_tex.pvr","tara_blue_tex.pvr"
"LootBoxMoonFestival","LootBoxMoonFestival",,,,,,,,,,,,,,
"SandstormDefault","SandstormDefault",,,,,,,,,,,"sandy_tex.pvr","sandy_tex.pvr","sandy_tex.pvr","sandy_tex.pvr"
"BeeSniperDefault","BeeSniperDefault",,,,,,,,,,,"bea_tex.pvr","bea_tex.pvr","bea_tex.pvr","bea_tex.pvr"
"BossRaceBossDefault","BossRaceBossDefault",,,,,,,,,,,"bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr"
"BarkeepWizardRed","BarkeepWizardRed",,,,,2500,,"TID_BARLEY_RED_WIZARD_SKIN","TID_BARLEY_RED_WIZARD_SKIN_SHOP","MODEL",,"barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)","barley_wizard_tex.pvr+hue(masks/barley/coat_msk.png,133.953003)+value(masks/barley/coat_msk.png,0.698000)"
"HookPirate","HookPirate",,,,,,80,"TID_GENE_PIRATE_SKIN","TID_GENE_PIRATE_SKIN_SHOP","MODEL",,"gene_pirate_tex.pvr","gene_pirate_tex.pvr","gene_pirate_tex.pvr","gene_pirate_tex.pvr"
"Sandstormsleepy","Sandstormsleepy",,,,,,30,"TID_SANDY_SLEEPY_SKIN","TID_SANDY_SLEEPY_SKIN_SHOP","MODEL",,"sleepy_sandy_tex.pvr","sleepy_sandy_tex.pvr","sleepy_sandy_tex.pvr","sleepy_sandy_tex.pvr"
"MummyDefault","MummyDefault",,,,,,,,,,,"emz_tex.pvr","emz_tex.pvr","emz_tex.pvr","emz_tex.pvr"
"Sniperrose","Sniperrose",3,4,,,,80,"TID_PIPER_CALAVERA_SKIN","TID_PIPER_CALAVERA_SKIN_SHOP","MODEL",,"piper_rose_tex.pvr","piper_rose_tex.pvr","piper_rose_tex.pvr","piper_rose_tex.pvr"
"SpawnerDudeDefault","SpawnerDudeDefault",,,"ArtilleryTurretDefault","ShamanBearDefault",,150,"TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","MODEL,VFX",,"brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr"
"ShotgunGirlWitch","ShotgunGirlWitch",3,4,,,,150,"TID_SHELLY_WITCH_SKIN","TID_SHELLY_WITCH_SKIN_SHOP","MODEL,VFX,ANIM,SFX",,"shelly_witch_tex.pvr","shelly_witch_tex.pvr","shelly_witch_tex.pvr","shelly_witch_tex.pvr"
"MechanicKnightDark","MechanicKnightDark",,,"TurretDragonDark",,10000,,"TID_JESSIE_DARK_KNIGHT_SKIN","TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM",,"jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,117.209000)+value(masks/jessie/jessie_knight_plume_msk.png,0.600000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.581000)+value(masks/jessie/jessie_knight_metal_msk.png,0.000000)+hue(masks/jessie/jessie_knight_fabric_msk.png,125.581001)+value(masks/jessie/jessie_knight_fabric_msk.png,0.600000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,117.209000)+value(masks/jessie/jessie_knight_plume_msk.png,0.600000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.581000)+value(masks/jessie/jessie_knight_metal_msk.png,0.000000)+hue(masks/jessie/jessie_knight_fabric_msk.png,125.581001)+value(masks/jessie/jessie_knight_fabric_msk.png,0.600000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,140.000000)+hue(masks/jessie/jessie_knight_plume_msk.png,0.400000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_metal_msk.png,0.698000)+value(masks/jessie/jessie_knight_fabric_msk.png,0.930000)+hue(masks/jessie/jessie_knight_fabric_msk.png,117.209000)","jessie_knight_tex.pvr+hue(masks/jessie/jessie_knight_plume_msk.png,140.000000)+hue(masks/jessie/jessie_knight_plume_msk.png,0.400000)+saturation(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_gold_msk.png,0.200000)+value(masks/jessie/jessie_knight_metal_msk.png,0.698000)+value(masks/jessie/jessie_knight_fabric_msk.png,0.930000)+hue(masks/jessie/jessie_knight_fabric_msk.png,117.209000)"
"TurretDragonDark","TurretDragonDark",,,,,,,,,,,"turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,322.325989)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,0.349000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.200000)+hue(masks/jessie/jessie_turrret_dragon_belly_msk.png,330.697998)+saturation(masks/jessie/jessie_turrret_dragon_belly_msk.png,1.395000)+value(masks/jessie/jessie_turrret_dragon_belly_msk.png,0.930000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,322.325989)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,0.349000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.200000)+hue(masks/jessie/jessie_turrret_dragon_belly_msk.png,330.697998)+saturation(masks/jessie/jessie_turrret_dragon_belly_msk.png,1.395000)+value(masks/jessie/jessie_turrret_dragon_belly_msk.png,0.930000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,351.627991)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,1.047000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.814000)","turret_dragon_tex.pvr+hue(masks/jessie/jessie_turrret_dragon_main_msk.png,351.627991)+saturation(masks/jessie/jessie_turrret_dragon_main_msk.png,1.047000)+value(masks/jessie/jessie_turrret_dragon_main_msk.png,0.814000)"
"HammerDudeDJ","HammerDudeDJ",,,,,,80,"TID_FRANK_DJ_SKIN","TID_FRANK_DJ_SKIN_SHOP","MODEL",,"frank_dj_tex.pvr","frank_dj_tex.pvr","frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)","frank_dj_tex.pvr+value(masks/frank/frank_dj_coat_msk.png,0.200000)"
"NinjaWolf","NinjaWolf",3,4,,,,150,"TID_LEON_WEREWOLF_SKIN","TID_LEON_WEREWOLF_SKIN_SHOP","MODEL,VFX,ANIM,SFX",,"leon_wolf_tex.pvr","leon_wolf_tex.pvr","leon_wolf_tex.pvr","leon_wolf_tex.pvr"
"SpeedyDefault","SpeedyDefault",,,,,,,,,"MODEL",,"max_tex.pvr","max_tex.pvr","max_tex.pvr","max_tex.pvr"
"LuchadorBrown","LuchadorBrown",4,4,,,,150,"TID_EL_PRIMO_BROWN_SKIN","TID_EL_PRIMO_BROWN_SKIN_SHOP","MODEL,VFX,ANIM",,"primo_brown_tex.pvr","primo_brown_tex.pvr","primo_brown_tex.pvr","primo_brown_tex.pvr"
"HomerDefault","HomerDefault",,,,,,,,,,,"spike_tex.pvr","spike_tex.pvr","spike_tex.pvr","spike_tex.pvr"
"TrickshotDudeTotal","TrickshotDudeTotal",,3,,,,,"TID_RICO_BETA_SKIN","TID_RICO_BETA_SKIN_SHOP","MODEL",,"rico_og_tex.pvr","rico_og_tex.pvr","rico_og_tex.pvr","rico_og_tex.pvr"
"NinjaSally","NinjaSally",4,4,,,,80,"TID_LEON_SALLY_SKIN","TID_LEON_SALLY_SKIN_SHOP","MODEL,VFX",,"leon_sally_tex.pvr","leon_sally_tex.pvr","leon_sally_tex.pvr","leon_sally_tex.pvr"
"WhirlwindLeonard","WhirlwindLeonard",4,4,,,,80,"TID_CARL_LEONARD_SKIN","TID_CARL_LEONARD_SKIN_SHOP","MODEL,VFX",,"carl_leonard_tex.pvr","carl_leonard_tex.pvr","carl_leonard_tex.pvr","carl_leonard_tex.pvr"
"TntDudeSantaRope","TntDudeSantaRope",,,,,,,,,,,"dynamike_santa_blue_tex.pvr","dynamike_santa_tex.pvr","dynamike_santa_blue_tex.pvr","dynamike_santa_tex.pvr"
"WhirlwindPirate","WhirlwindPirate",1,3,,,,150,"TID_CARL_CAPTAIN_SKIN","TID_CARL_CAPTAIN_SKIN_SHOP","MODEL,VFX,ANIM",,"carl_pirate_tex.pvr","carl_pirate_tex.pvr","carl_pirate_tex.pvr","carl_pirate_tex.pvr"
"GunslingerPirate","GunslingerPirate",1,3,,,,150,"TID_COLT_CORSAIR_SKIN","TID_COLT_CORSAIR_SKIN_SHOP","MODEL,VFX,ANIM",,"colt_pirate_tex.pvr","colt_pirate_tex.pvr","colt_pirate_tex.pvr","colt_pirate_tex.pvr"
"CtfGift","CtfGift",,,,,,,,,,,"item_present_blue.pvr","item_present_red.pvr",,
"SpeedyGT","SpeedyGT",,3,,,,,"TID_MAX_BLUE_SKIN","TID_MAX_BLUE_SKIN_SHOP","MODEL",,"max_gt_tex.pvr","max_gt_tex.pvr","max_gt_tex.pvr","max_gt_tex.pvr"
"BeeDefault","BeeDefault",,,,,,,,,,,"bea_tex.pvr","bea_tex.pvr","bea_tex.pvr","bea_tex.pvr"
"BeeSniperLadyBug","BeeSniperLadyBug",,3,,,,,"TID_BEA_LADYBUG_SKIN","TID_BEA_LADYBUG_SKIN_SHOP","MODEL",,"bea_ladybug_tex.pvr","bea_ladybug_tex.pvr","bea_ladybug_tex.pvr","bea_ladybug_tex.pvr"
"PocoPirate","PocoPirate",1,3,,,,80,"TID_POCO_PIRATE_SKIN","TID_POCO_PIRATE_SKIN_SHOP","MODEL,VFX",,"poco_pirate_tex.pvr","poco_pirate_tex.pvr","poco_pirate_tex.pvr","poco_pirate_tex.pvr"
"BeeLadyBug","BeeLadyBug",,,,,,,,,,,"bea_ladybug_tex.pvr","bea_ladybug_tex.pvr","bea_ladybug_tex.pvr","bea_ladybug_tex.pvr"
