"Name","IconSWF","IconExportName","Target","LockedForChronos","MetaType","RequiresCard","Type","Skill","Value","Value2","Value3","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName","SortOrder","DontUpgradeStat"
"BarrelBot_unique_2","sc/ui.sc","icon_eiuD","BarrelBot",,4,,"super_reload",,100,,,"common","TID_SPEC_ABI_SUPER_RELOAD",,,"genicon_health",,,
"Barkeep_unique_2","sc/ui.sc","icon_eiuD","Barkeep",,4,,"damage_main_attack",,140,,,"common","TID_SPEC_ABI_DAMAGE_MAIN_ATTACK",,,"genicon_health",,,
"HookDude_unique_2","sc/ui.sc","icon_eiuD","HookDude",,4,,"damage_ulti",,300,,,"common","TID_SPEC_ABI_DAMAGE_ULTI",,,"genicon_health",,,
"BlackHole_unique_2","sc/ui.sc","icon_eiuD","BlackHole",,4,,"black_hole_healer",,1,,,"common","TID_SPEC_ABI_BLACK_HOLE_HEALER",,,"genicon_health",,,
"ClusterBombDude_unique_2","sc/ui.sc","icon_eiuD","ClusterBombDude",,4,,"recharge",,220,,,"common","TID_SPEC_ABI_RECHARGE",,,"genicon_health",,,
"ShotgunGirl_unique_3","sc/ui.sc","icon_eiuD","ShotgunGirl","true",4,,"super_range",,7,40,,"common","TID_SPEC_SUPER_RANGE",,,"genicon_health",,,
"BullDude_unique_3","sc/ui.sc","icon_eiuD","BullDude","true",4,,"immune_to_cc",,1,,,"common","TID_SPEC_ABI_IMMUNE_TO_CC",,,"genicon_health",,,
"DeadMariachi_unique_3","sc/ui.sc","icon_eiuD","DeadMariachi","true",4,,"cure_debuffs",,1,,,"common","TID_SPEC_ABI_CURE_DEBUFFS",,,"genicon_health",,,
"Baseball_unique_3","sc/ui.sc","icon_eiuD","Baseball","true",4,,"freeze",,60,350,,"common","TID_SPEC_ABI_SUPER_SLOW",,,"genicon_health",,,
"Whirlwind_unique_3","sc/ui.sc","icon_eiuD","Whirlwind","true",4,,"super_destroy_walls",,600,,,"common","TID_SPEC_ABI_SUPER_DESTROY_WALLS",,,"genicon_health",,,
"Undertaker_unique_3","sc/ui.sc","icon_eiuD","Undertaker","true",4,,"barrel_defense",,15,30,,"common","TID_SPEC_ABI_DASH_SHIELD",,,"genicon_health",,,
"Arcade_unique","sc/ui.sc","icon_eiuD","Arcade",,4,,"larger_area_ulti",,1,,,"common","TID_SPEC_ABI_LARGER_AREA_ULTI",,,"genicon_health",,,
"Luchador_unique_3","sc/ui.sc","icon_eiuD","Luchador","true",4,,"grow_from_damage",,500,2880,,"common","TID_SPEC_ABI_GROW_FROM_DAMAGE",,,"genicon_health",,,
"Gunslinger_unique_3","sc/ui.sc","icon_eiuD","Gunslinger","true",4,,"armor",,2000,,,"common","TID_SPEC_ABI_ARMOR",,,"genicon_health",,,
"Mechanic_unique_3","sc/ui.sc","icon_eiuD","Mechanic","true",4,,"walking_turret",,600,,,"common","TID_SPEC_ABI_WALKING_TURRET",,,"genicon_health",,,
"RocketGirl_unique_3","sc/ui.sc","icon_eiuD","RocketGirl","true",4,,"shield_ulti",,30,,,"common","TID_SPEC_SHIELD_ULTI",,,"genicon_health",,,
"TntDude_unique_3","sc/ui.sc","icon_eiuD","TntDude","true",4,,"pet",,1,,,"common","TID_SPEC_ABI_PET",,,"genicon_health",,,
"Sniper_unique_3","sc/ui.sc","icon_eiuD","Sniper","true",4,,"spot_from_air",,15,,,"common","TID_SPEC_SPOT_FROM_AIR",,,"genicon_health",,,
"Ninja_unique_3","sc/ui.sc","icon_eiuD","Ninja","true",4,,"damage_ulti",,140,,,"common","TID_SPEC_ABI_DAMAGE_ULTI",,,"genicon_health",,,
"Cactus_unique_3","sc/ui.sc","icon_eiuD","Cactus","true",4,,"spikes_low_health",,40,672,20,"common","TID_SPEC_ABI_SPIKES_LOW_HEALTH",,,"genicon_health",,,
"Arcade_unlock","sc/ui.sc",,"Arcade",,0,,"unlock",,,,,"common",,,,,,9,
"Arcade_hp","sc/ui.sc","health_icon","Arcade",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Arcade_abi","sc/ui.sc","attack_icon","Arcade",,2,,"skill","ArcadeWeapon",,,,"common","TID_ARCADE_WEAPON","TID_STAT_DAMAGE_PER_BEAM",,"genicon_damage",,,
"Arcade_ulti","sc/ui.sc","ulti_icon","Arcade",,3,,"skill","ArcadeUlti",,,,"common","TID_ARCADE_ULTI","TID_STAT_DAMAGE_BOOST","TID_DAMAGE_BOOSTER_HEALTH","genicon_heal","genicon_health",,"true"
"Arcade_unique_2","sc/ui.sc","icon_eiuD","Arcade",,4,,"resurrect",,1,,,"common","TID_SPEC_ABI_RESURRECT",,,"genicon_health",,,
"Sandstorm_unlock","sc/ui.sc",,"Sandstorm",,0,,"unlock",,,,,"legendary",,,,,,29,
"Sandstorm_hp","sc/ui.sc","health_icon","Sandstorm",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Sandstorm_abi","sc/ui.sc","attack_icon","Sandstorm",,2,,"skill","SandstormWeapon",,,,"common","TID_SANDSTORM_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"Sandstorm_ulti","sc/ui.sc","ulti_icon","Sandstorm",,3,,"skill","SandstormUlti",,,,"common","TID_SANDSTORM_ULTI","TID_STAT_SANDSTORM",,"genicon_damage",,,
"Sandstorm_unique","sc/ui.sc","icon_eiuD","Sandstorm",,4,,"aoe_dot",,40,,,"common","TID_SPEC_ABI_SANDSTORM_DOT",,,"genicon_health",,,
"Sandstorm_unique_2","sc/ui.sc","icon_eiuD","Sandstorm",,4,,"aoe_dot",,-250,,,"common","TID_SPEC_ABI_SANDSTORM_HOT",,,"genicon_health",,,
"BeeSniper_unlock","sc/ui.sc",,"BeeSniper",,0,,"unlock",,,,,"legendary",,,,,,19,
"BeeSniper_hp","sc/ui.sc","health_icon","BeeSniper",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"BeeSniper_abi","sc/ui.sc","attack_icon","BeeSniper",,2,,"skill","BeeSniperWeapon",,,,"common","TID_BEE_SNIPER_WEAPON","TID_STAT_MAX_DAMAGE",,"genicon_damage",,,
"BeeSniper_ulti","sc/ui.sc","ulti_icon","BeeSniper",,3,,"skill","BeeSniperUlti",,,,"common","TID_BEE_SNIPER_ULTI","TID_STAT_DAMAGE_PER_BOMB",,"genicon_damage",,,
"BeeSniper_unique","sc/ui.sc","icon_eiuD","BeeSniper",,4,,"speed_full_ammo",,120,,,"common","TID_SPEC_ABI_SPED_FULL_AMMO",,,"genicon_health",,,
"BeeSniper_unique_2","sc/ui.sc","icon_eiuD","BeeSniper",,4,,"speed_full_ammo",,120,,,"common","TID_SPEC_ABI_SPED_FULL_AMMO",,,"genicon_health",,,
"Mummy_unlock","sc/ui.sc",,"Mummy",,0,,"unlock",,,,,"common",,,,,,10,
"Mummy_hp","sc/ui.sc","health_icon","Mummy",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Mummy_abi","sc/ui.sc","attack_icon","Mummy",,2,,"skill","MummyWeapon",,,,"common","TID_MUMMY_WEAPON","TID_STAT_DAMAGE_PER_HALF_SECOND",,"genicon_damage",,,
"Mummy_ulti","sc/ui.sc","ulti_icon","Mummy",,3,,"skill","MummyUlti",,,,"common","TID_MUMMY_ULTI","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",,,
"Mummy_unique","sc/ui.sc","icon_eiuD","Mummy",,4,,"increase_dmg_consecutive_dot",,20,,,"common","TID_SPEC_ABI_TICK_DMG_GROW",,,"genicon_damage",,,
"Mummy_unique_2","sc/ui.sc","icon_eiuD","Mummy","true",4,,"ulti_heals_self",,200,,,"common","TID_SPEC_ABI_HEAL_SUPER_DMG",,,"genicon_health",,,
"SpawnerDude_unlock","sc/ui.sc",,"SpawnerDude",,0,,"unlock",,,,,"common",,,,,,30,
"SpawnerDude_hp","sc/ui.sc","health_icon","SpawnerDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"SpawnerDude_abi","sc/ui.sc","attack_icon","SpawnerDude",,2,,"skill","ArtilleryDudeWeapon",,,,"common","TID_ARTILLERY_DUDE_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"SpawnerDude_ulti","sc/ui.sc","ulti_icon","SpawnerDude",,3,,"skill","SpawnerDudeUlti",,,,"common","TID_ARTILLERY_DUDE_ULTI","TID_CANNON_DAMAGE","TID_CANNON_HEALTH","genicon_damage","genicon_health",,
"SpawnerDude_unique","sc/ui.sc","icon_eiuD","SpawnerDude",,4,,"self_destruct",,1680,,,"common","TID_SPEC_ABI_SELF_DESTRUCT",,,"genicon_health",,,
"SpawnerDude_unique_2","sc/ui.sc","icon_eiuD","SpawnerDude",,4,,"ulti_burn",,400,,,"common","TID_SPEC_ULTI_BURN",,,"genicon_health",,,
